"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Marcus Stroman","Duke","Jr.","P","11","81.0","112"
"2","Andrew Heaney","Oklahoma St.","Jr.","P","11","84.0","102"
"3","Kevin Gausman","LSU","So.","P","11","75.0","97"
"","Carlos Rodon","North Carolina St.","Fr.","P","12","82.3","97"
"5","Chris Stratton","Mississippi St.","Jr.","P","11","75.3","95"
"6","Chris Beck","Ga. Southern","Jr.","P","12","78.7","94"
"7","Travis Ballew","Texas St.","Jr.","P","12","78.3","90"
"","Joe Bircher","Bradley","Sr.","P","11","80.7","90"
"","Jose De Leon","Southern U.","So.","P","11","66.3","90"
"10","Dan Langfield","Memphis","Jr.","P","11","71.7","88"
"","Daniel Minor","A&M-Corpus Christi","Jr.","P","12","81.3","88"
"12","Kyle Zimmer","San Francisco","Jr.","P","11","76.3","85"
"13","Buck Farmer","Georgia Tech","Jr.","P","11","74.7","82"
"","Pierce Johnson","Missouri St.","Jr.","P","9","60.3","82"
"","Brandon Yarusi","Wofford","Jr.","P","11","76.3","82"
"16","Mark Appel","Stanford","Jr.","P","10","79.0","81"
"","Andrew Barbosa","South Fla.","Sr.","P","12","61.7","81"
"","Chance Cleveland","UALR","Jr.","P","11","77.0","81"
"","Pat Light","Monmouth","Jr.","P","11","80.3","81"
"","Andrew Vasquez","UC Santa Barbara","Fr.","P","11","67.3","81"
"21","Zach Cooper","Central Mich.","Sr.","P","11","75.3","80"
"","Sean Manaea","Indiana St.","So.","P","12","74.7","80"
"","Jacob Mayers","Richmond","Jr.","P","11","77.3","80"
"","Matthew Reckling","Rice","Sr.","P","11","68.7","80"
"","David Starn","Kent St.","Sr.","P","11","71.7","80"
"26","Andrew Pierce","Southern Miss.","Jr.","P","11","74.0","79"
"","Dayne Quist","UC Davis","Sr.","P","10","75.0","79"
"","Matthew Vedo","UC Santa Barbara","Sr.","P","19","62.3","79"
"29","Dustin Hunter","Western Ill.","Sr.","P","11","60.0","78"
"","Kyle McGowin","Savannah St.","So.","P","13","80.3","78"
"","Michael Wacha","Texas A&M","Jr.","P","11","77.0","78"
"32","Ryan Beck","New Mexico St.","Jr.","P","12","69.3","77"
"","Ross Stripling","Texas A&M","Sr.","P","11","86.0","77"
"34","Frank Duncan","Kansas","So.","P","14","83.7","76"
"","Kyle Hansen","St. John's (NY)","Jr.","P","11","60.7","76"
