"Rank","Name","Team","Cl","Pos","App","IP","W","L","PCT"
"1","Ryan Williams","East Carolina","Sr.","P","14","41.0","7","1","0.875"
"2","Aaron Garza","Houston","Jr.","P","6","46.0","6","0","1.000"
"","Jeff Gold","Oregon","Sr.","P","6","39.2","6","0","1.000"
"","Josh Prevost","Seton Hall","Sr.","P","6","48.0","6","0","1.000"
"","Dan Savas","Illinois St.","Jr.","P","6","39.0","6","0","1.000"
"","Sam Street","Tex.-Pan American","Sr.","P","6","51.2","6","0","1.000"
"","Zach Plesac","Ball St.","Fr.","P","12","33.1","6","1","0.857"
"8","Carson Baranik","La.-Lafayette","Jr.","P","6","45.2","5","0","1.000"
"","Casey Bloomquist","Cal Poly","So.","P","7","34.2","5","0","1.000"
"","Wil Crowe","South Carolina","Fr.","P","6","38.2","5","0","1.000"
"","Chris Diaz","Miami (FL)","Jr.","P","6","38.1","5","0","1.000"
"","Montana Durapau","Bethune-Cookman","Sr.","P","9","52.0","5","0","1.000"
"","Blake Fox","Rice","So.","P","6","39.1","5","0","1.000"
"","David Hess","Tennessee Tech","Jr.","P","6","37.2","5","0","1.000"
"","Anthony Magovney","Buffalo","Jr.","P","5","33.2","5","0","1.000"
"","Michael Murray","FGCU","So.","P","6","44.2","5","0","1.000"
"","Aaron Nola","LSU","Jr.","P","6","40.1","5","0","1.000"
"","Tate Scioneaux","Southeastern La.","So.","P","6","43.1","5","0","1.000"
"","Mike Shawaryn","Maryland","Fr.","P","6","35.2","5","0","1.000"
"","Chandler Shepherd","Kentucky","Jr.","P","6","41.0","5","0","1.000"
"","Keegan Thompson","Auburn","Fr.","P","6","46.1","5","0","1.000"
"","Trent Thornton","North Carolina","So.","P","6","42.0","5","0","1.000"
"","Justin Calomeni","Cal Poly","Fr.","P","6","32.2","5","1","0.833"
"","Matt Imhof","Cal Poly","Jr.","P","6","42.2","5","1","0.833"
"","Nathan Kirby","Virginia","So.","P","6","37.1","5","1","0.833"
"","Trey Lambert","Liberty","Sr.","P","6","38.1","5","1","0.833"
"","Eric Lauer","Kent St.","Fr.","P","6","30.2","5","1","0.833"
"","Louie Lechich","San Diego","Sr.","P","6","39.1","5","1","0.833"
"","Dillon Ortman","Auburn","Sr.","P","6","41.1","5","1","0.833"
"","Anthony Parenti","Navy","Jr.","P","6","42.2","5","1","0.833"
"","Jared Poche'","LSU","Fr.","P","6","33.0","5","1","0.833"
"","Kelly Secrest","UNC Wilmington","Sr.","P","10","16.0","5","1","0.833"
"","Jesse Morris","Wofford","Sr.","P","10","30.0","5","2","0.714"
"","Steven Spann","Northwestern St.","Sr.","P","10","27.1","5","3","0.625"
"35","Jack Anderson","Penn St.","So.","P","10","22.0","4","0","1.000"
"","Wes Benjamin","Kansas","Jr.","P","6","40.0","4","0","1.000"
"","Jeff Brigham","Washington","Jr.","P","6","34.0","4","0","1.000"
"","Sean Carley","West Virginia","Jr.","P","6","38.1","4","0","1.000"
"","Gunnar Carroll","Army","Sr.","P","6","39.0","4","0","1.000"
"","Bubba Derby","San Diego St.","So.","P","6","34.2","4","0","1.000"
"","Cale Elam","Wichita St.","Sr.","P","5","34.0","4","0","1.000"
"","Michael Elefante","Elon","So.","P","7","30.0","4","0","1.000"
"","Chris Ellis","Ole Miss","Jr.","P","6","40.1","4","0","1.000"
"","Thomas Eshelman","Cal St. Fullerton","So.","P","6","49.0","4","0","1.000"
"","Tyler Ferguson","Vanderbilt","So.","P","6","33.2","4","0","1.000"
"","Mike Franco","FIU","Sr.","P","6","38.2","4","0","1.000"
"","Stephen Glaze","Mercer","Sr.","P","15","20.1","4","0","1.000"
"","Justin Jacome","UC Santa Barbara","So.","P","5","34.2","4","0","1.000"
"","Brad Kuntz","Baylor","Jr.","P","6","33.0","4","0","1.000"
"","Brad Lombard","Indiana St.","Jr.","P","6","39.2","4","0","1.000"
"","Alex Luna","UAB","Jr.","P","6","36.0","4","0","1.000"
"","Tyler Mapes","Tulane","---","P","5","26.2","4","0","1.000"
"","Matt McClain","Delaware St.","Sr.","P","5","36.0","4","0","1.000"
"","Andrew Morales","UC Irvine","Sr.","P","6","43.2","4","0","1.000"
"","Christopher Mourelle","FIU","Fr.","P","7","31.2","4","0","1.000"
"","Dylan Nelson","Radford","So.","P","5","32.0","4","0","1.000"
"","David Owen","Arkansas St.","So.","P","6","30.1","4","0","1.000"
"","Jason Richman","Ga. Southern","So.","P","18","35.0","4","0","1.000"
"","Cameron Roegner","Bradley","So.","P","6","20.0","4","0","1.000"
"","Chance Sinclair","Nebraska","Jr.","P","6","35.1","4","0","1.000"
"","Cameron Smith","Texas Tech","Jr.","P","10","26.2","4","0","1.000"
"","Ryan Thompson","Campbell","Sr.","P","15","36.1","4","0","1.000"
"","Nathan Thornhill","Texas","Sr.","P","9","35.2","4","0","1.000"
"","Nolan Trabanino","UTSA","So.","P","6","36.1","4","0","1.000"
"","Mick VanVossen","Michigan St.","Jr.","P","6","38.0","4","0","1.000"
"","Matt Warren","Creighton","So.","INF","6","33.0","4","0","1.000"
"","Ben Wetzler","Oregon St.","Sr.","P","4","30.2","4","0","1.000"
"","Andrew Woods","VMI","Jr.","P","6","34.0","4","0","1.000"
"","Lucas Bakker","Elon","Jr.","P","6","43.0","4","1","0.800"
"","Heath Bowers","Campbell","Jr.","P","7","39.2","4","1","0.800"
"","Evan Brock","UC Irvine","Sr.","P","6","35.2","4","1","0.800"
"","Aaron Brown","Pepperdine","Jr.","OF","6","42.1","4","1","0.800"
"","Walker Buehler","Vanderbilt","So.","P","6","31.0","4","1","0.800"
"","Taylor Byrd","Nicholls St.","Sr.","P","6","39.2","4","1","0.800"
"","Luke Cahill","Seton Hall","So.","P","6","25.0","4","1","0.800"
"","Joseph Camacho","Alabama St.","So.","P","6","43.2","4","1","0.800"
"","Charles Cantrell","N.C. A&T","Jr.","P","6","38.2","4","1","0.800"
"","Wesley Cox","UTSA","Sr.","P","10","18.1","4","1","0.800"
"","Tyler Davis","Washington","Jr.","P","7","33.0","4","1","0.800"
"","Joey DeNato","Indiana","Sr.","P","7","37.2","4","1","0.800"
"","Brock Downey","Murray St.","Jr.","OF","6","43.1","4","1","0.800"
"","James Farris","Arizona","Sr.","P","7","48.0","4","1","0.800"
"","Erick Fedde","UNLV","Jr.","P","6","43.0","4","1","0.800"
"","Aaron Fossas","Wake Forest","So.","P","13","21.2","4","1","0.800"
"","Zachary Fowler","Jacksonville St.","Jr.","P","6","34.0","4","1","0.800"
"","Jace Fry","Oregon St.","Jr.","P","6","47.2","4","1","0.800"
"","Kyle Funkhouser","Louisville","So.","P","6","39.0","4","1","0.800"
"","Reilly Hovis","North Carolina","So.","P","15","20.0","4","1","0.800"
"","Pat Kaminska","Central Mich.","Sr.","P","6","42.0","4","1","0.800"
"","Jon Keller","Alabama","Jr.","P","6","33.0","4","1","0.800"
"","Alex Ledford","Samford","Jr.","P","6","36.1","4","1","0.800"
"","Matt Lees","VCU","Jr.","P","11","18.0","4","1","0.800"
"","Brandon Leibrandt","Florida St.","Jr.","P","6","39.1","4","1","0.800"
"","Hunter Lemke","Texas St.","Sr.","P","15","20.0","4","1","0.800"
"","Jake Lemoine","Houston","So.","P","6","38.2","4","1","0.800"
"","Greg Mahle","UC Santa Barbara","Jr.","P","11","20.0","4","1","0.800"
"","John Means","West Virginia","Jr.","P","5","31.0","4","1","0.800"
"","Jared Miller","Vanderbilt","Jr.","P","5","28.2","4","1","0.800"
"","Corey Miller","Pepperdine","Sr.","P","6","47.0","4","1","0.800"
"","Ross Mitchell","Mississippi St.","Jr.","P","9","43.1","4","1","0.800"
"","Anthony Montefusco","George Mason","Sr.","P","6","38.0","4","1","0.800"
"","Jared Moore","Kansas St.","Sr.","P","6","34.0","4","1","0.800"
"","Drew Morovick","Kansas","Jr.","P","7","31.2","4","1","0.800"
"","Bailey Ober","Col. of Charleston","Fr.","P","6","35.0","4","1","0.800"
"","Sam Odom","Sam Houston St.","Fr.","P","6","30.0","4","1","0.800"
"","Rohn Pierce","Canisius","Jr.","P","6","44.0","4","1","0.800"
"","Max Povse","UNC Greensboro","Jr.","P","6","35.1","4","1","0.800"
"","A.J. Reed","Kentucky","Jr.","P","6","41.0","4","1","0.800"
"","John Richy","UNLV","Jr.","P","6","41.2","4","1","0.800"
"","Austin Robichaux","La.-Lafayette","Jr.","P","6","46.0","4","1","0.800"
"","Jared Ruxer","Louisville","Jr.","P","6","34.0","4","1","0.800"
"","Bryan Sammons","Western Caro.","Fr.","P","9","18.0","4","1","0.800"
"","Cody Schumacher","Missouri St.","Sr.","P","6","37.1","4","1","0.800"
"","David Stagg","Indiana St.","Jr.","P","6","38.2","4","1","0.800"
"","Seth Varner","Miami (OH)","Sr.","P","6","38.2","4","1","0.800"
"","Grant Watson","UCLA","Jr.","P","6","41.0","4","1","0.800"
"","Colin Welmon","Loyola Marymount","Jr.","P","6","45.0","4","1","0.800"
"","Jack Wynkoop","South Carolina","So.","P","6","36.1","4","1","0.800"
"","Tyler Beede","Vanderbilt","Jr.","P","6","35.0","4","2","0.667"
"","Chris Caudle","Central Ark.","Jr.","P","9","36.0","4","2","0.667"
"","Taylor Clarke","Col. of Charleston","So.","P","6","31.0","4","2","0.667"
"","Matthew Crownover","Clemson","So.","P","6","26.1","4","2","0.667"
"","Matt Danton","A&M-Corpus Christi","Jr.","P","6","43.0","4","2","0.667"
"","Nick Deckert","FGCU","Jr.","P","7","38.1","4","2","0.667"
"","Beau Dees","Presbyterian","Jr.","P","7","37.2","4","2","0.667"
"","Tyler Eppler","Sam Houston St.","Jr.","P","6","36.1","4","2","0.667"
"","Brandon Finnegan","TCU","Jr.","P","6","43.2","4","2","0.667"
"","Jared Gaynor","George Mason","Sr.","P","7","51.2","4","2","0.667"
"","Chandler Knox","Presbyterian","Sr.","P","8","37.2","4","2","0.667"
"","Tyler Moore","Appalachian St.","Sr.","P","6","39.0","4","2","0.667"
"","Cameron Neff","St. Mary's (CA)","Fr.","P","6","37.0","4","2","0.667"
"","Ty Provencher","Long Beach St.","So.","P","9","18.0","4","2","0.667"
"","Robby Sexton","Wright St.","So.","P","6","35.0","4","2","0.667"
"","Mark Seyler","San Diego St.","So.","P","7","39.2","4","2","0.667"
"","Luke Weaver","Florida St.","Jr.","P","6","37.1","4","2","0.667"
"","Josh Wirsu","Ga. Southern","Jr.","P","6","30.2","4","2","0.667"
"","Dusty Isaacs","Georgia Tech","Sr.","P","11","20.0","4","3","0.571"
"","Desmond Russell","Jackson St.","Sr.","INF","9","44.2","4","3","0.571"
"139","Nick Andros","Lipscomb","Jr.","P","7","25.0","3","0","1.000"
"","Elliot Ashbeck","Bradley","So.","P","4","20.0","3","0","1.000"
"","Riley Barr","New Mexico St.","Jr.","P","11","22.1","3","0","1.000"
"","Nick Bates","Saint Louis","Jr.","P","7","29.2","3","0","1.000"
"","David Berg","UCLA","Jr.","P","18","26.0","3","0","1.000"
"","Cody Boutte","La.-Lafayette","Sr.","P","5","22.2","3","0","1.000"
"","Preston Brown","Mississippi St.","So.","P","7","32.0","3","0","1.000"
"","Chris Chism","Tennessee Tech","Jr.","P","5","24.1","3","0","1.000"
"","Shawn Clowers","Liberty","Jr.","P","7","20.1","3","0","1.000"
"","Patrick Coffin","Alabama St.","Fr.","P","14","27.0","3","0","1.000"
"","Andy Cox","Tennessee","So.","P","14","32.0","3","0","1.000"
"","Dylan Craig","Illinois St.","So.","P","6","37.0","3","0","1.000"
"","Ryan Daniels","SIU Edwardsville","Jr.","P","6","38.1","3","0","1.000"
"","Kaleb Jon Fontenot","McNeese St.","So.","P","7","22.2","3","0","1.000"
"","Ryan Frederick","Ga. Southern","So.","P","7","21.0","3","0","1.000"
"","Cameron Gann","Stephen F. Austin","Jr.","P","7","40.2","3","0","1.000"
"","Ralph Garza Jr.","Oklahoma","So.","P","15","19.2","3","0","1.000"
"","Matthew Grimes","Georgia Tech","Sr.","P","6","22.2","3","0","1.000"
"","Adam Hall","Xavier","So.","P","7","37.2","3","0","1.000"
"","Travis Hayes","Southeast Mo. St.","Jr.","P","9","28.2","3","0","1.000"
"","Houston Hibberd","San Francisco","Sr.","P","9","20.1","3","0","1.000"
"","Matt Hockenberry","Temple","Sr.","P","6","34.1","3","0","1.000"
"","Bryant Holtmann","Florida St.","Jr.","P","8","14.2","3","0","1.000"
"","Tyler Honahan","Stony Brook","So.","P","6","17.0","3","0","1.000"
"","Tyler Howe","Alabama St.","So.","P","8","30.2","3","0","1.000"
"","Jason Inghram","William & Mary","Jr.","P","6","41.2","3","0","1.000"
"","Kody Kerski","Sacred Heart","Sr.","P","4","27.1","3","0","1.000"
"","Brandon Koch","Dallas Baptist","So.","P","13","15.0","3","0","1.000"
"","Andrew Lee","Tennessee","So.","1B","7","32.0","3","0","1.000"
"","Zech Lemond","Rice","Jr.","P","8","34.0","3","0","1.000"
"","Sam Long","Sacramento St.","Fr.","P","6","29.0","3","0","1.000"
