"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Marcus Stroman","Duke","Jr.","P","11","81.0","112","12.44"
"2","Chase Stevens","Oklahoma St.","Jr.","P","16","48.7","67","12.38"
"3","Gera Sanchez","New Mexico","Sr.","P","16","49.7","68","12.31"
"4","Pierce Johnson","Missouri St.","Jr.","P","9","60.3","82","12.24"
"5","Jose De Leon","Southern U.","So.","P","11","66.3","90","12.22"
"6","Andrew Barbosa","South Fla.","Sr.","P","12","61.7","81","11.82"
"7","Andrew Mitchell","TCU","So.","P","10","48.0","63","11.81"
"8","Dustin Hunter","Western Ill.","Sr.","P","11","60.0","78","11.70"
"9","Kevin Gausman","LSU","So.","P","11","75.0","97","11.64"
"10","Matthew Vedo","UC Santa Barbara","Sr.","P","19","62.3","79","11.41"
"11","Ryan Harvey","Seton Hall","Jr.","P","13","49.7","63","11.41"
"12","Chris Stratton","Mississippi St.","Jr.","P","11","75.3","95","11.35"
"13","Kyle Hansen","St. John's (NY)","Jr.","P","11","60.7","76","11.27"
"14","Buddy Borden","UNLV","So.","P","13","46.0","57","11.15"
"15","Drew Steckenrider","Tennessee","Jr.","OF","23","56.0","69","11.09"
"16","Dan Langfield","Memphis","Jr.","P","11","71.7","88","11.05"
"17","Benton Moss","North Carolina","Fr.","P","11","50.7","62","11.01"
"18","Andrew Heaney","Oklahoma St.","Jr.","P","11","84.0","102","10.93"
"19","Brett Mooneyham","Stanford","Jr.","-","10","61.0","74","10.92"
"20","Andrew Vasquez","UC Santa Barbara","Fr.","P","11","67.3","81","10.83"
"21","Brandon Bixler","Fla. Gulf Coast","So.","P","10","46.7","56","10.79"
"22","Chris Beck","Ga. Southern","Jr.","P","12","78.7","94","10.75"
"23","Shae Simmons","Southeast Mo. St.","Jr.","P","11","57.0","68","10.74"
"24","Sam Selman","Vanderbilt","Jr.","P","11","48.3","57","10.62"
"25","Carlos Rodon","North Carolina St.","Fr.","P","12","82.3","97","10.61"
"26","Jamie Gilley","Louisiana Tech","Jr.","P","19","53.0","62","10.53"
"27","Matt Price","South Carolina","Jr.","P","15","49.7","58","10.50"
"28","Matthew Reckling","Rice","Sr.","P","11","68.7","80","10.48"
"29","Tyler Moore","North Florida","So.","P","15","55.0","64","10.47"
"30","R.J. Hively","Ole Miss","Sr.","P","11","57.7","67","10.45"
"31","Justin Hess","Ga. Southern","Jr.","P","12","51.0","59","10.41"
"32","Daniel Gossett","Clemson","Fr.","P","14","47.7","55","10.38"
"33","Nate Koneski","Holy Cross","Sr.","P","10","59.0","68","10.37"
"34","Travis Ballew","Texas St.","Jr.","P","12","78.3","90","10.34"
"35","Ben Bertelson","Air Force","Jr.","P","10","48.3","55","10.25"
"36","Taylor Haydel","Western Ky.","Jr.","P","20","53.0","60","10.19"
"37","Mike Augliera","Binghamton","Sr.","P","9","57.3","64","10.05"
"38","Anthony Tzamtzis","North Carolina St.","Jr.","P","12","43.0","48","10.05"
"39","Zack Jones","San Jose St.","Jr.","P","15","45.7","51","10.04"
"","Austin Maddox","Florida","Jr.","INF","25","45.7","51","10.04"
"41","David Starn","Kent St.","Sr.","P","11","71.7","80","10.04"
"42","Joe Bircher","Bradley","Sr.","P","11","80.7","90","10.04"
"43","Kyle Zimmer","San Francisco","Jr.","P","11","76.3","85","10.03"
"44","Ryan Beck","New Mexico St.","Jr.","P","12","69.3","77","10.00"
"","Bobby Wahl","Ole Miss","So.","P","11","60.3","67","10.00"
"46","Nolan Becker","Yale","Jr.","P","12","50.7","56","9.94"
"47","Joe Scanio","Northwestern St.","Sr.","P","25","56.3","62","9.91"
"48","Buck Farmer","Georgia Tech","Jr.","P","11","74.7","82","9.88"
"49","Hunter Rivers","Jacksonville St.","Jr.","P","12","41.3","45","9.81"
"50","Dan Tobik","UT Martin","Jr.","P","21","46.0","50","9.78"
"51","Kayvon Bahramzadeh","Kansas St.","Sr.","P","11","55.3","60","9.76"
"52","Daniel Minor","A&M-Corpus Christi","Jr.","P","12","81.3","88","9.74"
"53","Brandon Yarusi","Wofford","Jr.","P","11","76.3","82","9.67"
"54","Mason McVay","FIU","Jr.","P","11","54.0","58","9.67"
"55","Andrew Benak","Rice","Jr.","P","11","50.3","54","9.66"
"56","Sean Manaea","Indiana St.","So.","P","12","74.7","80","9.64"
"57","Ryan Dull","UNC Asheville","Sr.","P","10","60.7","65","9.64"
"58","Andrew Pierce","Southern Miss.","Jr.","P","11","74.0","79","9.61"
"59","Zach Cooper","Central Mich.","Sr.","P","11","75.3","80","9.56"
"60","Branden Kline","Virginia","Jr.","P","12","71.7","76","9.54"
"61","Mason Melatokis","Northwestern St.","Jr.","P","20","45.3","48","9.54"
"62","Ben Lively","UCF","So.","P","14","53.0","56","9.51"
"63","Michael Ellis","FIU","So.","P","11","60.7","64","9.49"
"64","Matt Fyffe","Eastern Ky.","Sr.","P","18","42.7","45","9.48"
"65","Dayne Quist","UC Davis","Sr.","P","10","75.0","79","9.48"
"66","Jeffrey Gibbs","Maine","Jr.","P","10","43.7","46","9.47"
"67","Chance Cleveland","UALR","Jr.","P","11","77.0","81","9.47"
"68","Derek Lamacchia","Quinnipiac","Jr.","P","10","54.3","57","9.45"
"69","Corey Knebel","Texas","So.","P","22","47.7","50","9.43"
"70","Colton Turner","Texas St.","Jr.","P","10","63.0","66","9.43"
"71","Jason Hager","Oakland","So.","P","13","43.0","45","9.42"
