"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Cody Robinson","Northeastern St.","Sr.","OF","22","76","68","0.895"
"2","Phillip Wilson","Central Okla.","Sr.","P","24","87","73","0.839"
"3","Josh Coker","Lincoln Memorial","Sr.","P","30","103","84","0.816"
"4","Mike Hayden","St. Anselm","Jr.","1B","12","43","35","0.814"
"5","Austin Kaiser","Colorado Mesa","Sr.","OF","21","77","60","0.779"
"6","Joey Miller","Concord","Sr.","1B","22","72","56","0.778"
"7","Jose Aguirre","Upper Iowa","Sr.","C","10","31","24","0.774"
"8","W. Baylor","Mansfield","---","DH","14","53","41","0.774"
"9","Bradon Reitano","Mount Olive","Sr.","SS","29","100","77","0.770"
"10","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","96","73","0.760"
"11","Brendon Buckley","New Haven","Sr.","3B","7","29","22","0.759"
"12","Giancarlo Brugnoni","Grand Valley St.","Sr.","INF","18","55","41","0.745"
"13","Patrick Grady","Lander","Sr.","OF","30","113","83","0.735"
"14","Bryant Hayman","Valdosta St.","Jr.","C","25","85","62","0.729"
"15","David Lenhardt","Cedarville","Jr.","C","20","59","43","0.729"
"16","Kevin Lenik","Hawaii Pacific","---","RF","21","70","51","0.729"
"17","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","95","69","0.726"
"18","Matt Kimmel","Azusa Pacific","Sr.","OF","22","84","61","0.726"
"19","Chris Knott","East Stroudsburg","Sr.","OF","19","62","45","0.726"
"20","Nico Delerme","East Stroudsburg","---","C","19","56","40","0.714"
"21","Tyler Adams","Upper Iowa","Sr.","OF","13","51","36","0.706"
"22","Stephen Dezzi","Tampa","Jr.","OF","29","94","66","0.702"
"23","Joel Lutz","Lubbock Christian","Fr.","3B","27","102","71","0.696"
"24","Blake Stringer","Okla. Christian","Sr.","1B","23","85","59","0.694"
"25","Enmanuel Lopez","Urbana","So.","OF","9","26","18","0.692"
"","Morgan McCasland","N.M. Highlands","Jr.","C","22","78","54","0.692"
"27","Eric Fasnacht","Concordia-St. Paul","So.","SS","12","41","28","0.683"
"28","Nick Perez","Saint Leo","Jr.","INF","21","85","58","0.682"
"29","Tony Viger","Augustana (SD)","Sr.","INF","18","66","45","0.682"
"30","Kyle Dalton","Concordia-St. Paul","Jr.","2B","12","50","34","0.680"
"31","Steve Hazel","Georgia College","Jr.","C","23","78","53","0.679"
"32","Mike Shada","Post","Sr.","INF","15","53","36","0.679"
"33","Wigberto Nevarez","Lubbock Christian","---","C","27","96","65","0.677"
"34","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","105","71","0.676"
"35","Rustin Thomas","Tarleton St.","Sr.","OF","23","86","58","0.674"
"36","Logan Galliher","Erskine","Jr.","OF","26","91","61","0.670"
"37","Max Ayoub","Neb.-Kearney","Jr.","OF","23","78","52","0.667"
"","Alex Ritchie","Indianapolis","So.","C","17","45","30","0.667"
"","Austin Wallingford","Colorado Mesa","Jr.","C","17","48","32","0.667"
"40","Connor Lewis","Lander","Sr.","INF","30","122","81","0.664"
"41","Daniel Young","Benedict","So.","3B","26","83","55","0.663"
"42","Erik Lunde","Lander","Sr.","INF","30","121","80","0.661"
"43","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","97","64","0.660"
"44","Nick La Face","UC San Diego","Sr.","C","20","67","44","0.657"
"45","Zach Braun","Bemidji St.","Sr.","C","10","32","21","0.656"
"46","Nick Howell","Trevecca Nazarene","Sr.","OF","25","98","64","0.653"
"47","Zach Jacobs","Indianapolis","Jr.","OF","20","72","47","0.653"
"48","Blake Cooper","Eastern N.M.","Jr.","INF","26","86","56","0.651"
"49","Matt Bosse","S.C. Aiken","---","LF","27","106","69","0.651"
"50","Nick Tindall","Tampa","Jr.","C","28","100","65","0.650"
"51","Matt Johnson","Central Okla.","Sr.","INF","23","77","50","0.649"
"52","C. Witt","Colo. Christian","---","RF","20","54","35","0.648"
"53","Dillion Bollig","Adams St.","So.","2B","25","68","44","0.647"
"54","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","82","53","0.646"
"55","Ty Barkell","S.C. Aiken","Jr.","INF","28","104","67","0.644"
"56","Chris DeMorais","New Haven","Sr.","OF","7","28","18","0.643"
"","Jake Taylor","Flagler","Jr.","1B","28","112","72","0.643"
"58","Mike Kattula","Arkansas Tech","Sr.","1B","28","106","68","0.642"
"59","Paul Kronenfeld","Catawba","Sr.","1B","29","103","66","0.641"
"60","Zach Smith","Erskine","Jr.","INF","26","97","62","0.639"
"61","Matthew Chavez","N.M. Highlands","Jr.","INF","22","58","37","0.638"
"62","Pat Kregeloh","Shippensburg","Sr.","3B","17","55","35","0.636"
"63","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","128","81","0.633"
"64","Sean Plunkett","West Florida","Jr.","OF","20","57","36","0.632"
"65","Fran Whitten","Saint Leo","Sr.","P","27","84","53","0.631"
"66","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","89","56","0.629"
"","Matt Calhoun","Harding","Sr.","INF","28","89","56","0.629"
"68","Jack Morrow","Young Harris","Sr.","C","31","118","74","0.627"
"69","Scott DeJong","Felician","So.","1B","19","67","42","0.627"
"70","Logan Knox","Regis (CO)","Jr.","INF","21","75","47","0.627"
