"Rank","Name","Team","Cl","Pos","G","R"
"1","Richard Amion","Alabama St.","Jr.","OF","29","40"
"2","Daniel Miles","Tennessee Tech","Sr.","3B","24","36"
"3","Michael Katz","William & Mary","Jr.","INF","22","34"
"4","Ryan Lindemuth","William & Mary","---","2B","22","32"
"5","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","31"
"","Max Kuhn","Kentucky","Jr.","INF","24","31"
"","Nick Thompson","William & Mary","Jr.","INF","22","31"
"8","Andrew Daniel","San Diego","Jr.","INF","22","30"
"","Ty McFarland","James Madison","Sr.","INF","22","30"
"10","Austin Cousino","Kentucky","Jr.","OF","24","29"
"","Jackson Gooch","McNeese St.","Sr.","OF","22","29"
"","Andrew Guillotte","McNeese St.","Jr.","OF","22","29"
"","A.J. Reed","Kentucky","Jr.","P","24","29"
"14","Danny Pardo","Campbell","Fr.","OF","24","28"
"15","Sean Guite","UNC Greensboro","Sr.","INF","23","27"
"","Hunter Haley","Oklahoma","So.","INF","22","27"
"","Greg Harisis","Santa Clara","Sr.","INF","20","27"
"","Connor Joe","San Diego","Jr.","INF","23","27"
"","Sasha LaGarde","Mercer","Sr.","OF","25","27"
"","Zack Lee","N.C. Central","Sr.","INF","23","27"
"","Ryan Seiz","Liberty","Jr.","INF","25","27"
"","Bradley Strong","Western Caro.","Jr.","INF","22","27"
"23","Garrett Chapman","Ga. Southern","Fr.","INF","23","26"
"","Aramis Garcia","FIU","Jr.","C","24","26"
"","Scott Kingery","Arizona","So.","INF","26","26"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","26"
"","DJ Stewart","Florida St.","So.","OF","23","26"
"","Michael Suiter","Kansas","Jr.","OF","24","26"
"","Doug Votolato","Central Ark.","Sr.","INF","21","26"
"30","Grant Kay","Louisville","Jr.","INF","23","25"
"","Zac MacAneney","UNC Greensboro","Jr.","OF","21","25"
"","Grant Massey","Lipscomb","Jr.","INF","25","25"
"","Trever Morrison","Oregon St.","Fr.","INF","24","25"
"","Ty Stetson","Murray St.","Sr.","OF","21","25"
"35","Josh Anderson","FIU","Sr.","INF","24","24"
"","Jesse Baker","UTSA","So.","INF","24","24"
"","Jake Barrios","Texas Tech","Sr.","INF","26","24"
"","Dalton Busby","Ga. Southern","Jr.","INF","24","24"
"","Justin Gonzalez","Florida St.","Sr.","INF","23","24"
"","Eric Gutierrez","Texas Tech","So.","INF","26","24"
"","Sam Haggerty","New Mexico","So.","INF","25","24"
"","Kevin Husum","James Madison","Jr.","OF","22","24"
"","Mike Korte","Lipscomb","Jr.","INF","25","24"
"","Tyler Krieger","Clemson","So.","INF","23","24"
"","Ben Morgan","Ga. Southern","Sr.","INF","25","24"
"","Joey Pankake","South Carolina","Jr.","INF","20","24"
"","Cesar Rivera","Alabama St.","Jr.","OF","27","24"
"","Tyler Sullivan","Pacific","Jr.","OF","26","24"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","24"
"","Nic Wilson","Georgia St.","Sr.","INF","24","24"
"51","Austin Anderson","Ole Miss","Sr.","INF","25","23"
"","Austin Baker","Arkansas St.","So.","OF","23","23"
"","Bill Cullen","VCU","Sr.","OF","23","23"
"","Chase Davis","UAB","Jr.","OF","25","23"
"","Joey Epperson","UC Santa Barbara","Sr.","OF","20","23"
"","Skyler Ewing","Rice","Jr.","INF","25","23"
"","Tyler France","San Diego St.","So.","INF","23","23"
"","Julius Gaines","FIU","Jr.","SS","23","23"
"","Richard Gonzalez","Alabama St.","Jr.","C","24","23"
"","Bryan Langlois","Pepperdine","Sr.","OF","23","23"
"","Chayse Marion","McNeese St.","Sr.","INF","22","23"
"","Max Murphy","Bradley","Jr.","OF","19","23"
"","Sheldon Neuse","Oklahoma","Fr.","INF","25","23"
"","Jake Noll","FGCU","Fr.","INF","24","23"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","23"
"","Justin Protacio","Kansas","Jr.","INF","23","23"
"","Daniel Spingola","Georgia Tech","Jr.","OF","24","23"
"","Cole Sturgeon","Louisville","Sr.","OF","23","23"
"","Dansby Swanson","Vanderbilt","So.","INF","25","23"
"","Kyle Teaf","South Fla.","Jr.","INF","23","23"
"","John Welborn","UTSA","Sr.","OF","23","23"
"","Sutton Whiting","Louisville","Jr.","INF","17","23"
"73","Craig Aikin","Oklahoma","So.","OF","25","22"
"","Aaron Attaway","Western Caro.","Sr.","INF","22","22"
"","Kyle Barrett","Kentucky","So.","OF","23","22"
"","Jason Blum","Southeast Mo. St.","Jr.","2B","23","22"
"","Bobby Boyd","West Virginia","Jr.","OF","20","22"
"","Stryker Brown","Ga. Southern","Sr.","INF","25","22"
"","Hunter Burton","Furman","Sr.","INF","24","22"
"","Dale Carey","Miami (FL)","Sr.","OF","24","22"
"","Keenan Cook","Rice","Sr.","OF","25","22"
"","Tres Eberhardt","Xavier","Sr.","INF","21","22"
"","Austin Fisher","Kansas St.","Jr.","INF","23","22"
"","Rolando Gautier","Austin Peay","Sr.","OF","22","22"
"","Saige Jenco","Virginia Tech","Fr.","OF","21","22"
