"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Mike Kovach","Beloit","Sr.","INF","9","46.0","3","0.59"
"2","Brendan Close","Moravian","Jr.","P","10","71.7","5","0.63"
"3","Derek Dallas","Texas-Dallas","So.","P","12","92.3","7","0.68"
"4","Matt Finkenzeller","Albertus Magnus","So.","P","9","47.7","4","0.75"
"5","Anders Dzurak","St. Olaf","So.","P","9","45.0","4","0.80"
"6","Jeremy Rubens","Wis.-Oshkosh","Sr.","P","6","44.3","4","0.81"
"","Reed Tomlinson","La Roche","Jr.","P","7","44.3","4","0.81"
"8","Ryan Larson","Linfield","Jr.","P","12","87.7","8","0.82"
"9","Eric Anderson","Whitworth","Sr.","P","11","43.7","4","0.82"
"10","Jordan Watkins","Lynchburg","Sr.","INF","8","42.7","4","0.84"
"11","Brandon Simon","Willamette","So.","P","10","70.0","7","0.90"
"12","Gary Johnson","Westminster (MO)","Jr.","P","9","47.7","5","0.94"
"13","Brian Ranta","George Fox","Jr.","P","12","84.3","9","0.96"
"14","Joe Sweeney","Ill. Wesleyan","Jr.","P","8","55.3","6","0.98"
"15","Cody Sukalski","Gust. Adolphus","Sr.","INF","7","36.3","4","0.99"
"16","Isaac Earle","Lyndon St.","So.","P","6","36.0","4","1.00"
"","Nicholas Sarna","SUNY Maritime","Fr.","P","9","45.0","5","1.00"
"18","Greg Van Sickler","Shenandoah","Sr.","P","12","80.3","9","1.01"
"19","Blake Paisley","Willamette","Jr.","P","10","53.0","6","1.02"
"20","Andrew Mulvey","CCNY","So.","P","8","42.7","5","1.05"
"21","Benjamin Petrides","Endicott","Jr.","P","10","42.0","5","1.07"
"22","Kyle Aldrich","Washington Col.","So.","P","11","55.3","7","1.14"
"23","Kyle Grantier","Hampden-Sydney","Sr.","P","17","46.0","6","1.17"
"24","Cody Hallahan","Bethany Lutheran","Sr.","P","7","38.3","5","1.17"
"25","Dave Ahern","Babson","Sr.","P","7","53.0","7","1.19"
"26","Eric Robinson","Macalester","Fr.","-","10","44.7","6","1.21"
"27","Ryan Taylor","Gettysburg","So.","P","10","74.3","10","1.21"
"28","Nate Arenson","North Central (IL)","Sr.","P","8","52.0","7","1.21"
"","Steven Melchiorre","Rowan","So.","P","8","52.0","7","1.21"
"30","Elliott Ross","DePauw","Jr.","P","12","66.7","9","1.21"
"31","Paul Labe","Albright","Jr.","P","8","44.3","6","1.22"
"","Kyle Silk","Grove City","Sr.","P","10","44.3","6","1.22"
"33","Nick Smith","Denison","Sr.","P","6","36.0","5","1.25"
"34","Alex Norman","Beloit","Jr.","P","8","57.0","8","1.26"
"35","Ryan Pelle","Marywood","Jr.","P","11","63.3","9","1.28"
"36","Adam Clements","Hope","Jr.","C","8","56.0","8","1.29"
"37","Ryan Glover","Mississippi Col.","Jr.","P","11","48.7","7","1.29"
"38","Greg Vogt","Anderson (IN)","Jr.","P","12","76.3","11","1.30"
"39","Robert Graber","TCNJ","So.","P","8","48.0","7","1.31"
"40","Frank Holbrook","Wheaton (MA)","So.","P","8","47.7","7","1.32"
"41","Bryan Meyer","Eureka","Fr.","OF","12","40.7","6","1.33"
"42","Colin Butschek","Concordia (TX)","So.","P","13","81.3","12","1.33"
"43","Kellen McGriff","Texas Lutheran","Fr.","P","19","60.7","9","1.33"
"44","Nate Blough","Lebanon Valley","Sr.","P","8","53.7","8","1.34"
"","Jason Conde","St. Lawrence","Jr.","-","8","53.7","8","1.34"
"46","Evan Michaud","Western New Eng.","Sr.","P","9","40.0","6","1.35"
"47","Garrick Day","Wis. Lutheran","Fr.","INF","7","46.0","7","1.37"
"","Garrett Scray","Wis.-La Crosse","Jr.","P","8","46.0","7","1.37"
"49","Lucas Ilges","Mass.-Boston","Fr.","P","13","45.7","7","1.38"
"50","Stephen Bonser","Washington-St. Louis","So.","P","10","51.3","8","1.40"
"51","Jason Pankau","Ill. Wesleyan","Sr.","P","10","64.0","10","1.41"
"52","Jimmy Hill","Wesleyan (CT)","Fr.","P","11","38.3","6","1.41"
"53","Tyler Milstead","Bridgewater (VA)","Sr.","P","10","50.7","8","1.42"
"54","Travis Thome","Messiah","Sr.","P","11","69.3","11","1.43"
