"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","D.J. Peterson","New Mexico","So.","3B","45","183","140"
"2","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","162","135"
"3","Zach Stephens","Tennessee Tech","So.","1B","43","166","130"
"4","Danny Poma","Hofstra","Sr.","OF","42","178","127"
"5","Daniel Kassouf","Appalachian St.","Sr.","INF","41","167","126"
"6","Sean Bignall","UALR","Sr.","OF","43","167","125"
"7","Nick Backlund","Mercer","So.","1B","47","182","122"
"8","Chris Serritella","Southern Ill.","Jr.","1B","44","179","121"
"9","Bill Cullen","VCU","So.","OF","44","194","118"
"10","Mitchell Garver","New Mexico","Jr.","C","45","192","117"
"11","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","185","116"
"","Ryan McCauley","Niagara","Jr.","1B","40","160","116"
"13","Goose Kallunki","Utah Valley","Sr.","1B","41","167","115"
"14","Tom Bourdon","Boston College","So.","OF","45","201","112"
"","Brandon Miller","Samford","Sr.","OF","44","179","112"
"16","William Carmona","Stony Brook","Jr.","INF","44","166","111"
"","Trent Miller","Middle Tenn.","So.","C","46","178","111"
"","Kenton Parmley","Southeast Mo. St.","Sr.","INF","44","188","111"
"19","Marty Gantt","Col. of Charleston","Sr.","OF","44","170","110"
"","Mike Zunino","Florida","Jr.","C","44","167","110"
"21","Austin Cousino","Kentucky","Fr.","OF","44","187","109"
"22","Bobby Glover","Dayton","Sr.","OF","45","190","108"
"","Richie Rodriguez","Eastern Ky.","Sr.","SS","41","159","108"
"","Matthew Scruggs","East Tenn. St.","Sr.","OF","43","172","108"
"","Jordan Steranka","Penn St.","Sr.","3B","44","178","108"
"26","Saxon Butler","Samford","Sr.","INF","45","180","106"
"","Jacob Morley","VMI","Sr.","OF","44","170","106"
"28","Barrett Barnes","Texas Tech","Jr.","OF","47","175","105"
"","Kris Bryant","San Diego","So.","3B","44","162","105"
"","Chris Burke","Iona","Sr.","INF","43","164","105"
"","Chad Pinder","Virginia Tech","So.","INF","44","177","105"
"","Dylan Pratt","East Tenn. St.","Sr.","OF","43","162","105"
"","James Ramsey","Florida St.","Sr.","OF","43","149","105"
"34","Royce Bolinger","Gonzaga","Sr.","OF","41","173","104"
"","Boomer Collins","Dallas Baptist","Jr.","OF","43","166","104"
"","Jordan Dean","Central Mich.","Jr.","INF","45","201","104"
"","Jake Hibberd","Wright St.","Sr.","INF","44","184","104"
"","Travis Jankowski","Stony Brook","Jr.","OF","44","164","104"
"","L.J. Mazzilli","Connecticut","Jr.","INF","43","178","104"
"","Matt Snyder","Ole Miss","Sr.","INF","44","166","104"
"41","Austin Elkins","Dallas Baptist","Jr.","INF","39","150","103"
"","Mike Garza","Georgetown","Jr.","INF","43","174","103"
"","Jake Kirkland","Campbell","Jr.","INF","45","172","103"
"44","Evan Campbell","Kent St.","Jr.","INF","42","186","102"
"","Andrew Deeds","Morehead St.","Sr.","OF","42","173","102"
"","Preston Tucker","Florida","Sr.","OF","45","175","102"
"","Alex Yarbrough","Ole Miss","Jr.","INF","43","174","102"
"48","Trevor Edwards","UNC Greensboro","Jr.","C","42","165","101"
"","Phillip Ervin","Samford","So.","P","45","183","101"
"","Jeremy Lucas","Indiana St.","Jr.","C","45","170","101"
"","Tristan Moore","Wright St.","Sr.","OF","44","176","101"
"52","Bob Donato","Bucknell","Sr.","OF","46","177","100"
"","Eric Jagielo","Notre Dame","So.","OF","42","166","100"
"","Richie Shaffer","Clemson","Jr.","INF","45","167","100"
"","Ben Waldrip","Jacksonville St.","Sr.","1B","36","146","100"
"56","Brandon Bayardi","UNLV","Jr.","OF","44","164","99"
"","Daniel Bowman","Coastal Caro.","Sr.","OF","43","171","99"
"","Rick Devereaux","Pittsburgh","Sr.","C","42","177","99"
"","Matt Fleishman","Villanova","Sr.","OF","45","184","99"
"","Mitch Haniger","Cal Poly","Jr.","OF","42","161","99"
"","Jeff Kemp","Radford","Jr.","INF","41","172","99"
"","Patrick Kivlehan","Rutgers","Sr.","3B","38","143","99"
"","Kendall Logan","Jackson St.","Sr.","OF","42","157","99"
"","Robby Newman","Longwood","Sr.","OF","40","149","99"
"","Daniel Palka","Georgia Tech","So.","1B","45","167","99"
"","Matt Pollock","Buffalo","Jr.","OF","38","159","99"
"","Jimmy Rider","Kent St.","Sr.","INF","44","191","99"
"","Kyle Schwarber","Indiana","Fr.","C","45","172","99"
"69","Tim Colwell","North Dakota St.","So.","OF","43","178","98"
"","Hunter Dozier","Stephen F. Austin","So.","INF","44","169","98"
"","Luke Maile","Kentucky","Jr.","C","45","167","98"
"","Robert Refsnyder","Arizona","Jr.","OF","42","168","98"
"","Raph Rhymes","LSU","Jr.","OF","41","156","98"
"74","Danny Collins","Troy","So.","INF","44","182","97"
"","Mac Doyle","Wofford","Sr.","C","43","163","97"
"","Clinton Freeman","East Tenn. St.","So.","P","43","172","97"
"","Bradley Goodson","Col. of Charleston","Jr.","INF","44","187","97"
"78","Cameron Bentley","UALR","Sr.","OF","42","178","96"
"","Justin Glass","Cincinnati","So.","OF","45","191","96"
"","Travis Isaak","Murray St.","Sr.","INF","42","181","96"
"","Derek Jones","Washington St.","Sr.","OF","39","148","96"
"","Tyler Naquin","Texas A&M","Jr.","OF","44","172","96"
"","Tyler Tewell","Appalachian St.","Jr.","C","41","152","96"
"84","Stephen Bruno","Virginia","Jr.","INF","44","177","95"
"","Nick Colwell","North Dakota St.","Sr.","OF","43","177","95"
"","Chris Cowell","Richmond","Sr.","C","40","148","95"
"","Joey DeMichele","Arizona St.","Jr.","INF","43","164","95"
"","Brock Hebert","Southeastern La.","Jr.","INF","45","171","95"
"","Zack Helgeson","George Mason","Sr.","1B","47","164","95"
"","Rhys Hoskins","Sacramento St.","Fr.","INF","41","156","95"
"","Eli Hynes","Memphis","Sr.","OF","44","174","95"
"","Jensen Painter","Ohio","Sr.","OF","43","162","95"
"","Logan Pierce","Troy","Jr.","INF","44","168","95"
"","Jared Schlehuber","Oral Roberts","Sr.","1B","44","159","95"
"","Tyler Sciacca","Villanova","Sr.","SS","45","177","95"
"","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","183","95"
"97","Taylor Ard","Washington St.","Jr.","1B","39","167","94"
"","Aaron Dobbs","Kennesaw St.","Sr.","INF","46","188","94"
"","Eduardo Gonzalez","Alcorn St.","Sr.","1B","44","173","94"
"","Brooks Klein","Nevada","Jr.","OF","43","152","94"
"","Alex Mejia","Arizona","Jr.","INF","42","179","94"
"","Joey Rapp","La.-Monroe","Sr.","INF","44","168","94"
"","Jeremy Schaffer","Tulane","Sr.","C","44","166","94"
"","Brandon Thomas","Georgia Tech","Jr.","OF","44","171","94"
"","Jose Trevino","Oral Roberts","Fr.","INF","44","166","94"
"106","Mike Ahmed","Holy Cross","So.","INF","49","182","93"
"","Jayce Boyd","Florida St.","Jr.","1B","42","162","93"
"","James Brooks","Utah","Sr.","INF","42","170","93"
"","Greg Dupell","Navy","Jr.","INF","48","170","93"
"","Michael Felton","Campbell","Jr.","INF","45","184","93"
"","Mason Katz","LSU","Jr.","1B","44","157","93"
"","Tyler Marincov","North Florida","So.","OF","43","160","93"
"","Zak Messer","Lipscomb","Sr.","INF","44","178","93"
"","Mike Miller","Cal Poly","Sr.","INF","42","179","93"
"","Nick Schneeberger","Tulane","Sr.","INF","44","170","93"
"","Adam Brett Walker","Jacksonville","Jr.","1B","45","165","93"
"117","Preston Beck","Texas-Arlington","Jr.","INF","40","146","92"
"","Zac Fisher","New Mexico St.","Jr.","C","43","169","92"
"","Alex Friedrich","UCF","Sr.","OF","44","167","92"
"","Justin Guidry","Middle Tenn.","Sr.","OF","46","185","92"
"","Josh Ludy","Baylor","Sr.","C","43","159","92"
"","Tom Murphy","Buffalo","Jr.","C","39","156","92"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","176","92"
"","Jeremy Rathjen","Rice","Jr.","OF","42","157","92"
"","Alex Williams","Louisiana Tech","Sr.","1B","43","173","92"
"","Jacob Wilson","Memphis","Sr.","INF","42","165","92"
"127","Greg Bachman","Austin Peay","Sr.","3B","42","181","91"
"","Brandon Boudreaux","Tulane","Jr.","OF","44","173","91"
"","Evan Boyd","Mercer","Jr.","SS","47","172","91"
"","Chris Diaz","North Carolina St.","Jr.","INF","42","172","91"
"","Ross Heffley","Western Caro.","Sr.","OF","44","179","91"
"","Jeff McVaney","Texas St.","Sr.","OF","42","168","91"
"","Cameron Perkins","Purdue","Jr.","INF","40","169","91"
"","Kevin Plawecki","Purdue","Jr.","C","41","156","91"
"","Abe Ruiz","Arizona St.","Sr.","INF","43","152","91"
"","Ryan Tella","Auburn","So.","OF","44","170","91"
"","Johnny Thomas","Middle Tenn.","Jr.","INF","46","185","91"
"","Sam Travis","Indiana","Fr.","INF","45","175","91"
"139","Andrew Daniel","San Diego","Fr.","INF","43","178","90"
"","Jared Hammer","Hofstra","Jr.","1B","42","158","90"
"","D.J. Hicks","UCF","Jr.","1B","45","161","90"
"","Trevor Kirk","UNLV","Sr.","OF","40","161","90"
"","Garrett Koster","Elon","Sr.","INF","44","163","90"
"","Ryan Lindemuth","William & Mary","So.","INF","45","170","90"
"","Carlos Lopez","Wake Forest","Sr.","OF","45","161","90"
"","Seth Mejias-Brean","Arizona","Jr.","INF","42","169","90"
"","Jordan Sivertsen","Southern Ill.","Sr.","OF","43","169","90"
"","Greg Zebrack","Penn","Jr.","OF","39","137","90"
"149","Tyler Horan","Virginia Tech","So.","OF","45","159","89"
"","Stewart Ijames","Louisville","Sr.","OF","44","166","89"
"","A.J. Jamison","Eastern Ky.","Sr.","INF","38","161","89"
"","Jacob Mayers","Richmond","Jr.","P","38","153","89"
"","Jordan Owen","UT Martin","Sr.","OF","43","157","89"
"","Christian Walker","South Carolina","Jr.","INF","44","158","89"
