"Rank","Name","Team","Cl","Pos","G","SH"
"1","Michael Price","Armstrong","Sr.","OF","48","25"
"2","Kevin Cantrell","Southwestern Okla.","So.","SS","39","14"
"","Harrison Gerber","Mo. Southern St.","Jr.","OF","42","14"
"","Brett Wright","West Ga.","So.","OF","46","14"
"5","Zak Blair","Mercyhurst","So.","INF","44","13"
"","Jesse Daywalt","Chestnut Hill","Jr.","2B","35","13"
"","Josh Heath","Armstrong","Sr.","OF","46","13"
"","Chris Zittrouer","Armstrong","So.","INF","47","13"
"9","Al Benson","Limestone","Jr.","OF","52","12"
"","Brendon Buckley","New Haven","Fr.","INF","36","12"
"","Antonio Callaway","Mount Olive","Jr.","OF","43","12"
"","Derek Hooper","North Ga.","So.","INF","48","12"
"","Cody Snyder","King (TN)","Fr.","INF","37","12"
"","Bradley Vanderglas","Northern Ky.","So.","INF","41","12"
"15","Justin Blinn","Southern Ind.","Sr.","OF","45","11"
"","Nick Burke","Missouri S&T","Jr.","SS","36","11"
"","Mike Diorio","Lynn","Jr.","INF","37","11"
"","Anthony Foulk","North Greenville","Jr.","C","44","11"
"","Matt Gundlach","Ashland","So.","SS","38","11"
"","Brenton Kopecek","Davis & Elkins","Jr.","OF","42","11"
"","Brock McCallister","Francis Marion","Jr.","INF","41","11"
"","Jeff Rice","Augusta St.","Fr.","INF","43","11"
"","Aaron Vargas","Carson-Newman","Jr.","2B","42","11"
"","Cass Via","Ouachita Baptist","Sr.","INF","46","11"
"","Troy Zawadzki","Carson-Newman","Jr.","SS","48","11"
"26","Greg Anderson","Colorado Mesa","Sr.","OF","44","10"
"","Branfy Arias","Tusculum","Sr.","OF","46","10"
"","Brad Guenther","Wayne St. (MI)","So.","C","40","10"
"","Mason Guymon","Carson-Newman","Jr.","C","42","10"
"","John Jones","Francis Marion","Jr.","OF","41","10"
"","Jake Morris","Northern Ky.","Jr.","INF","38","10"
"","Erik Ornelas","Cal St. San B'dino","Sr.","2B","42","10"
"","Sam Phillips","Shippensburg","So.","SS","47","10"
"","A.J. Rouleau","Southern Conn. St.","Jr.","3B","36","10"
"","Dylan Schuch","St. Edward's","Sr.","OF","43","10"
"","Bret Schwartz","Central Mo.","Jr.","SS","46","10"
"","Sky Valenzuela","Abilene Christian","Sr.","INF","38","10"
"","Max Wheeler","Southwestern Okla.","Jr.","OF","33","10"
"","J.J. Williams","UNC Pembroke","Jr.","INF","47","10"
"40","Braulio Acosta","Wayne St. (NE)","Jr.","SS","34","9"
"","Jon Arche","Felician","So.","SS","43","9"
"","John Ascenzia","Bridgeport","Fr.","2B","33","9"
"","K.C. Clabough","Florida Tech","Jr.","INF","47","9"
"","Geno DeAngelis","Northwest Mo. St.","Jr.","INF","45","9"
"","Grant Dennis","Henderson St.","Sr.","INF","33","9"
"","Cody Foster","Cal St. Chico","Jr.","OF","40","9"
