"Rank","Name","Team","Cl","Pos","G","SH"
"","Nate Fudala","Flagler","Jr.","INF","49","9"
"","Jason Garcia","St. Mary's (TX)","Sr.","OF","47","9"
"","Mike Gasque","Lenoir-Rhyne","Fr.","INF","40","9"
"","Brian Giles","North Greenville","Sr.","P","44","9"
"","Phil Imholte","St. Cloud St.","So.","OF","40","9"
"","Matt McAllester","Ashland","Sr.","2B","45","9"
"","Paul McCoy","St. Edward's","Sr.","OF","42","9"
"","Michael Morrissette","Bellarmine","So.","P","44","9"
"","Brett Overton","Chowan","So.","INF","49","9"
"","Thomas Padro","Anderson (SC)","Jr.","INF","50","9"
"","Eric Skinner","Columbus St.","Sr.","SS","44","9"
"","Josh Young","Georgia College","Jr.","OF","49","9"
"59","Andrew Abreu","Dowling","Fr.","INF","38","8"
"","Ian Atkinson","Mo. Western St.","Sr.","INF","44","8"
"","Chad Balderman","Limestone","Fr.","OF","51","8"
"","Weston Baros","St. Mary's (TX)","Sr.","2B","47","8"
"","Charles Bradley","Harding","Sr.","INF","36","8"
"","Jeremy Butler","Mo.-St. Louis","Jr.","SS","30","8"
"","Tyler Christophel","Southwest Baptist","Jr.","INF","43","8"
"","Michel Coffey","Ga. Southwestern","So.","C","48","8"
"","Jan-Pi Crespo","Nyack","Fr.","-","37","8"
"","Brian Dean","Pittsburg St.","Sr.","3B","40","8"
"","Ray Delvalle","Ky. Wesleyan","Jr.","2B","30","8"
"","Emilio Fernandez","Bloomfield","Jr.","OF","33","8"
"","Alex Frederick","Armstrong","Jr.","SS","46","8"
"","Bj Janney","Wilmington (DE)","So.","INF","29","8"
"","Aaron Jividen","Columbus St.","So.","OF","28","8"
"","T.K. Kiernan","Southern Conn. St.","Fr.","INF","37","8"
"","Chase Lacomb","Colorado St.-Pueblo","So.","SS","42","8"
"","Scott Lawley","Indianapolis","Jr.","2B","40","8"
"","Rick Lesperance","N.M. Highlands","Jr.","C","35","8"
"","Teddy Leverett","S.C. Aiken","Jr.","OF","46","8"
"","Brandon Mack","Chowan","So.","INF","50","8"
"","Tyler Migl","St. Mary's (TX)","Jr.","OF","48","8"
"","Ben Miller","Shippensburg","Jr.","INF","48","8"
"","Chris Newcomb","Saint Leo","Fr.","OF","45","8"
"","Jordan Oncay","Wilmington (DE)","Jr.","OF","40","8"
"","Andy Quiring","Tex. Permian Basin","Sr.","OF","38","8"
"","Jeff Ridgeway","Mont. St. Billings","Sr.","OF","37","8"
"","Mike Santora","Cal Poly Pomona","Jr.","INF","45","8"
"","Robert Skinner","Lander","Sr.","INF","49","8"
"","Jason Solma","Mo. Western St.","So.","INF","44","8"
"","Frank Specht","Central Mo.","Sr.","INF","38","8"
"","Casey Teagarden","California (PA)","Sr.","INF","42","8"
"","Justin Urschel","Mercyhurst","Sr.","OF","41","8"
"92","Paul Anzalone","Harding","So.","P","40","7"
"","Andrew Armour","Indianapolis","Jr.","OF","40","7"
"","Jeff Beck","Henderson St.","Fr.","SS","31","7"
"","Cameron Bedard","Northwest Mo. St.","So.","INF","45","7"
"","Marcellous Biggins","Angelo St.","Jr.","INF","45","7"
"","Hunter Boehme","Pfeiffer","Sr.","OF","45","7"
"","Blake Boling","Washburn","Sr.","OF","34","7"
"","Tyler Boyd","Francis Marion","Jr.","OF","44","7"
"","Brandon Brewer","West Fla.","Sr.","SS","48","7"
"","Brandon Buchanan","Neb.-Kearney","Sr.","INF","33","7"
"","Adam Capps","Chowan","Jr.","INF","48","7"
"","Derek Carr","Slippery Rock","Jr.","OF","40","7"
"","Ty Chancelor","Ala.-Huntsville","Jr.","OF","43","7"
"","Stephen Clout","New Haven","So.","OF","36","7"
"","Hayden Cosby","Ill.-Springfield","Fr.","INF","36","7"
"","Jeffrey Criscuolo","St. Anselm","Jr.","INF","41","7"
"","Brandon Day","Cal St. San B'dino","Jr.","C","40","7"
"","James DeAlto","Stonehill","So.","OF","41","7"
"","Andrew Elke","Saint Martin's","Sr.","OF","47","7"
"","Kevin Giambri","Philadelphia U.","So.","INF","39","7"
"","Casey Hall","Stillman","Jr.","INF","40","7"
"","Kyle Harpster","Gannon","Jr.","OF","38","7"
"","Hugo Hernandez","Tex. Permian Basin","Jr.","INF","43","7"
"","Eric Herrera","Lynn","Jr.","INF","39","7"
"","Charlie Hillman","Henderson St.","Sr.","OF","42","7"
"","Bryce Holland","Cal St. San B'dino","Sr.","OF","30","7"
"","Trey Horn","West Tex. A&M","Sr.","INF","42","7"
"","Joseph Horsely","Lincoln Memorial","Jr.","INF","51","7"
"","Zach Howard","Limestone","Jr.","3B","52","7"
"","Jose Jauregui","Cal St. Dom. Hills","So.","INF","34","7"
"","Cory Johnson","Bellarmine","Fr.","OF","35","7"
"","Michael Jordan","Benedict","Jr.","INF","34","7"
"","David Kaplan","Metro St.","So.","2B","40","7"
"","Kade Kauk","Central Okla.","Sr.","INF","31","7"
"","Dane Kolkmeyer","Mo. Southern St.","So.","INF","38","7"
"","Leo Lamarche","West Fla.","Jr.","2B","45","7"
"","Rich Maccarone","C.W. Post","Fr.","INF","33","7"
"","Joe Mangum","UNC Pembroke","Sr.","INF","44","7"
"","Brantley Miller","Tex. Permian Basin","Sr.","INF","39","7"
"","Reagan Moczygemba","St. Mary's (TX)","Sr.","INF","50","7"
"","Dennis Murphy","USciences","Jr.","C","33","7"
"","Mike Newell","Cal St. San B'dino","Jr.","INF","40","7"
"","Bryan Patterson","Hawaii Hilo","Sr.","INF","42","7"
"","null Price","Saint Rose","Fr.","-","36","7"
"","Zach Ragsdale","Southeastern Okla.","Sr.","OF","40","7"
"","John Reinholz","North Greenville","Fr.","OF","44","7"
"","German Reyes","Winston-Salem","So.","INF","47","7"
"","Cody Ridinger","Urbana","Fr.","SS","40","7"
"","Jake Rierson","Limestone","Jr.","P","52","7"
"","Christian Rosa","Bloomfield","Sr.","3B","31","7"
"","Cameron Scott","Columbus St.","So.","2B","46","7"
"","Albert Selanders","Central Mo.","So.","C","42","7"
"","Jamie Soyk","Winona St.","Jr.","C","31","7"
"","Jake Sutton","Augusta St.","So.","SS","47","7"
"","Tyler Phan Thornton","Colorado Mines","Jr.","INF","44","7"
"","Ian Tomkins","Abilene Christian","Sr.","C","46","7"
"","Josh Troutman","Limestone","Sr.","P","39","7"
"","Matt Umba","Wilmington (DE)","Sr.","SS","40","7"
"","Brett Underwood","Catawba","Jr.","INF","53","7"
"","Ben Warner","Ouachita Baptist","Sr.","OF","30","7"
"","Kevin Wempe","Emporia St.","Sr.","INF","45","7"
"","Ryan Wides","Indianapolis","So.","OF","43","7"
"","Abe Williams","Abilene Christian","Sr.","C","40","7"
"","null Wollerman","Southern N.H.","Fr.","-","44","7"
"","Mike Zeiner","Stonehill","So.","SS","43","7"
"157","null Amador","Southern N.H.","Fr.","-","42","6"
"","Drew Anusky","Wilmington (DE)","Sr.","INF","36","6"
"","Cash Barker","Tex. A&M-Kingsville","So.","C","36","6"
"","Mike Barnhill","Armstrong","So.","2B","48","6"
"","Xavier Bonilla","Dominican (NY)","Jr.","OF","27","6"
"","Braden Box","Colorado Mesa","So.","INF","34","6"
"","Grant Brasher","Missouri S&T","Sr.","1B","31","6"
"","Dion Bryant","Stillman","Jr.","OF","41","6"
"","David Buchanan","West Ga.","Sr.","C","45","6"
"","Trey Buck","Southern Ark.","Jr.","SS","45","6"
"","Sean Burns","Mass.-Lowell","Sr.","INF","40","6"
"","Thomas Burnswick","West Va. Wesleyan","Fr.","INF","20","6"
"","Tyler Cappelmann","Francis Marion","Sr.","INF","47","6"
"","Jorge Chavarria","Palm Beach Atl.","Fr.","SS","47","6"
"","David Christy","Limestone","Sr.","2B","52","6"
"","Antonio Clark","Valdosta St.","Sr.","OF","42","6"
"","William A. Coble","Morehouse","Fr.","P","30","6"
"","Nate Defilippi","Seton Hill","Jr.","OF","38","6"
"","Dane Derstine","Lynn","Sr.","C","40","6"
"","Korey Domenick","West Fla.","Jr.","INF","43","6"
"","Adrian English","Barry","Fr.","INF","50","6"
"","Brooks Fleming","Palm Beach Atl.","Fr.","OF","34","6"
"","Trace Fowler","Urbana","Sr.","INF","40","6"
"","David Frazier","North Greenville","Jr.","INF","44","6"
"","Evan Gallagher","East Stroudsburg","Jr.","SS","39","6"
"","Luke Garmon","Ky. Wesleyan","Sr.","SS","35","6"
"","Bryce Gerhardt","Abilene Christian","So.","OF","36","6"
"","Mac Grace","East Central","So.","C","30","6"
"","Eric Herman","Shippensburg","Jr.","INF","48","6"
"","Shayne Herold","Ashland","So.","OF","36","6"
"","Michael Holbert","Salem Int'l","Jr.","INF","36","6"
"","Taylor Hollifield","North Greenville","Fr.","INF","43","6"
"","Matt Kuchenbecker","Minn. St. Mankato","Jr.","INF","39","6"
"","William Lariscy","Paine","Sr.","2B","40","6"
"","Adam Lewton","West Va. Wesleyan","Sr.","C","36","6"
"","Carlos Leyva","Cal St. Dom. Hills","Sr.","2B","43","6"
"","Cameron Louie","Northwest Nazarene","Sr.","INF","44","6"
"","Matt Maringer","Indianapolis","Jr.","3B","32","6"
"","Jacob Mays","Concord","Jr.","P","42","6"
"","Landan McCall","Tarleton St.","So.","SS","43","6"
"","Gavan McCauley","Southern Ark.","Jr.","OF","43","6"
"","Evan Melendez","Ashland","Sr.","OF","45","6"
"","Josh Miller","S.C. Aiken","So.","C","46","6"
"","Danny Miller","Minn. St. Mankato","Sr.","OF","41","6"
"","Matt Nassi","Bridgeport","Jr.","INF","27","6"
"","Cody Nix","Carson-Newman","Sr.","OF","49","6"
"","Eric Nordine","Colorado Mesa","Sr.","INF","33","6"
"","Jake Oard","Northwood (MI)","So.","OF","35","6"
"","Aaron Ordy","California (PA)","Sr.","INF","44","6"
"","Joe Park","Cal St. L.A.","Jr.","OF","45","6"
"","Logan Parker","Northwest Nazarene","So.","OF","44","6"
"","Kyle Parks","Saginaw Valley","Fr.","-","24","6"
"","Brian Paulhus","Francis Marion","Jr.","C","36","6"
"","Kyle Peterson","Mo. Western St.","Jr.","OF","39","6"
"","Kevin Phillips","Southeastern Okla.","Jr.","INF","45","6"
"","Luis Quinones","Eastern N.M.","So.","OF","40","6"
"","Anthony Ragos","Davis & Elkins","So.","OF","42","6"
"","Micah Robinson","Limestone","Sr.","INF","52","6"
"","Jonathan Rodriguez","Wilmington (DE)","So.","INF","38","6"
"","Mike Romanowski","Urbana","So.","OF","28","6"
"","Lucas Romeo","Adelphi","Jr.","INF","38","6"
"","Alec Rosales","Northwest Mo. St.","Jr.","OF","45","6"
"","Reid Rothenbuhler","Findlay","Fr.","INF","42","6"
"","Zach Rowles","Minn. St. Mankato","Sr.","INF","41","6"
"","Charlest Rymers","Salem Int'l","Jr.","C","32","6"
"","D.J. Santoro","Chestnut Hill","Sr.","3B","31","6"
"","Ian Schneider","Dowling","Fr.","INF","16","6"
"","Michael Schultz","Cal St. Chico","Sr.","OF","34","6"
"","Ryan Serena","Colo. Christian","Sr.","3B","47","6"
"","Brad Shankle","Southeastern Okla.","Jr.","C","42","6"
"","Aaron Shapiro","Eckerd","Jr.","C","41","6"
"","Aarin Sharpe","Pfeiffer","So.","INF","45","6"
"","Drew Shaulis","Pitt.-Johnstown","Sr.","OF","27","6"
"","Tyler Shaw","West Ala.","Jr.","INF","33","6"
"","Oscar Soriano","Cal St. Dom. Hills","Jr.","OF","31","6"
"","Jorge Tauil","Oakland City","Sr.","1B","27","6"
"","Jacob Trimble","Metro St.","Sr.","INF","22","6"
"","Ricky Vasquez","Cal St. Dom. Hills","Jr.","INF","25","6"
"","Trace Venegas","Tampa","Sr.","INF","31","6"
"","Kyle Vesey","Wayne St. (MI)","Jr.","OF","40","6"
"","Jason Veyna","Colorado St.-Pueblo","Sr.","2B","45","6"
"","Steven Vidaurri","Incarnate Word","Sr.","OF","47","6"
"","Jacob White","Emporia St.","Sr.","SS","40","6"
"","Colby Wiggins","Chowan","Fr.","INF","49","6"
"","Ty Windall","Northwest Nazarene","Sr.","OF","44","6"
"","Josiah Yance","Stillman","Fr.","-","27","6"
"","Kyle Zimmerman","Ouachita Baptist","Sr.","INF","47","6"
"","Ammon Zitting","Dixie St.","Jr.","SS","47","6"
"245","Jared Anderson","Winona St.","Sr.","INF","35","5"
"","Jay Andrews","USciences","Fr.","2B","32","5"
"","Val Arduini","Shepherd","Sr.","INF","28","5"
"","Nicholas Arena","Salem Int'l","Jr.","INF","35","5"
"","Jamie Bahr","Okla. Panhandle","Jr.","OF","35","5"
"","Josh Band","Rollins","Jr.","2B","34","5"
"","Cameron Bankston","Abilene Christian","Sr.","C","46","5"
"","Charlie Basil","Colorado Mines","Fr.","OF","41","5"
"","Lewis Bauman","Bemidji St.","So.","INF","32","5"
"","Kenny Bechaud","Mo.-St. Louis","Sr.","1B","38","5"
"","Stephen Bellantoni","S.C. Aiken","Jr.","OF","50","5"
"","Eric Birch","Mary","Jr.","OF","26","5"
"","R.J. Blasi","St. Andrews","Sr.","C","44","5"
"","Brad Blumer","Cameron","Fr.","INF","21","5"
"","Brian Brademan","Angelo St.","So.","INF","28","5"
"","Kaleb Brawner","Cameron","So.","INF","31","5"
"","John Brennan","Wis.-Parkside","Jr.","INF","35","5"
"","Tyler Callicutt","North Greenville","Sr.","1B","44","5"
"","John Canepa","Cal St. Stanislaus","Sr.","OF","24","5"
"","Stephen Carmon","S.C. Aiken","Jr.","SS","50","5"
"","Dustin Carpenter","North Ga.","So.","INF","45","5"
"","Josh Carpenter","North Ala.","Fr.","SS","39","5"
"","Rudy Casillas","Upper Iowa","Jr.","INF","44","5"
"","Patrick Chamberlain","Stillman","So.","C","39","5"
"","Michael Chiarelli","Western Ore.","Sr.","C","41","5"
"","Tyler Choate","Southern Ind.","Sr.","P","45","5"
"","John Cotton","Southwestern Okla.","Fr.","C","20","5"
"","Kevin Cramer","Sonoma St.","Jr.","C","29","5"
"","John Cucchiarella","Belmont Abbey","Jr.","INF","36","5"
"","Arrow Cunningham","Central Okla.","Sr.","C","43","5"
"","Drew Davenport","Missouri S&T","Sr.","C","37","5"
"","Adam Davey","Lander","Jr.","OF","32","5"
"","Chad Davidson","Northeastern St.","So.","SS","38","5"
"","Patrick Deao","Mo. Southern St.","Sr.","OF","46","5"
"","Eric Dow","Cal St. San B'dino","Jr.","C","38","5"
"","Michael Dugan","Kutztown","Sr.","INF","39","5"
"","Chris Eichten","Southwest Minn. St.","So.","OF","27","5"
"","Orry Engebretsen","Minn. Duluth","Jr.","2B","33","5"
"","Nick Eversole","Bloomsburg","So.","C","36","5"
"","Cole Faulconer","Drury","Fr.","INF","29","5"
"","Brian Ferguson","Dowling","Sr.","OF","39","5"
"","Ronnie Fhurong","Cal St. Monterey Bay","So.","INF","43","5"
"","Matt Flores","Incarnate Word","Sr.","INF","34","5"
"","Chris Fox","Florida Tech","Sr.","OF","42","5"
"","Alan Fredriksson","North Ga.","Sr.","INF","40","5"
"","Blake Gentry","Southeastern Okla.","Jr.","OF","45","5"
"","Mike Godwin","Wilmington (DE)","Jr.","P","39","5"
"","Ryan Goodman","Cal Poly Pomona","Fr.","INF","45","5"
"","Jake Graham","Mo. Western St.","Jr.","C","33","5"
"","Kevin Gratza","Central Mo.","Fr.","-","30","5"
"","Tyler Griffin","Bluefield St.","Sr.","INF","36","5"
"","Zachary Hamasaki","Hawaii Hilo","So.","OF","38","5"
"","Jed Hanson","Neb. Omaha","Sr.","INF","46","5"
"","Lee Harris","Henderson St.","Sr.","INF","38","5"
"","Ware Hart","Saint Leo","Sr.","OF","23","5"
"","Josh Headley","Montevallo","Jr.","OF","44","5"
"","Dan Hennigan","Franklin Pierce","Jr.","2B","43","5"
"","Andrew Henry","West Liberty","So.","INF","36","5"
"","Chris Holloway","Rollins","Jr.","OF","42","5"
"","Ethan Houck","Ashland","Jr.","OF","32","5"
"","Jay Jennings","West Ala.","Sr.","OF","40","5"
"","Andrew Kapple","Tarleton St.","Sr.","C","41","5"
"","Dan Kemp","Franklin Pierce","So.","SS","40","5"
"","Aaron Kicklighter","Valdosta St.","Jr.","INF","44","5"
"","Will Klein","San Fran. St.","Jr.","INF","31","5"
"","Chet Lafave","Saginaw Valley","Fr.","-","34","5"
"","Scott Lantis","Hillsdale","So.","INF","40","5"
"","Tate Leapaldt","Mary","Fr.","3B","35","5"
"","Michael Levy","Dominican (NY)","Sr.","INF","38","5"
"","Ross Lincoln","Franklin Pierce","Fr.","OF","27","5"
"","Andrew Lombardi","Felician","Jr.","C","28","5"
"","David Longmore","Newman","Jr.","OF","46","5"
"","Mike Love","Ala.-Huntsville","Jr.","OF","44","5"
"","Erik Lunde","Lander","Fr.","INF","43","5"
"","John Magee","Winona St.","Sr.","OF","37","5"
"","Ben Manlove","Cal St. Chico","So.","C","39","5"
"","Aric Marquardt","St. Joseph's (IN)","Jr.","C","42","5"
"","Collin Martindale","Felician","Fr.","OF","46","5"
"","Eddie Mathis","Albany St. (GA)","Jr.","OF","39","5"
"","Chris Matzner","Cal St. L.A.","Sr.","3B","45","5"
"","Zach McCarthy","Erskine","Jr.","INF","49","5"
"","Will McCord","Missouri S&T","Jr.","OF","39","5"
"","Sean McDonald","Northwest Nazarene","Jr.","OF","44","5"
"","Nick McGregor","North Ala.","Sr.","SS","33","5"
"","Luke McKay","Georgia College","Jr.","INF","40","5"
"","Casey McKay","C.W. Post","So.","INF","40","5"
"","Jon McKinney","Ala.-Huntsville","Jr.","P","35","5"
"","Stephen McKinney","UNC Pembroke","Fr.","INF","23","5"
"","Derek Moczygemba","St. Mary's (TX)","So.","P","47","5"
"","Marco Moreno","Dominican (NY)","Sr.","INF","35","5"
"","Ryan Morrow","St. Mary's (TX)","Sr.","C","50","5"
"","Cy Mozingo","West Va. Wesleyan","Sr.","P","29","5"
"","Mike Mroz","Davis & Elkins","So.","INF","27","5"
"","Ray Navarro","Nova Southeastern","Jr.","INF","30","5"
"","Dalton Nelson","Southeastern Okla.","Jr.","INF","45","5"
"","Rob Noe","Mass.-Lowell","Jr.","C","36","5"
"","Andy Onufrak","Augusta St.","Sr.","SS","41","5"
"","Jordan Oshiro","Hawaii Pacific","Fr.","OF","44","5"
"","Drew Parker","North Ala.","Jr.","C","27","5"
"","Aaron Parnell","UNC Pembroke","Jr.","INF","43","5"
"","Brent Payne","Colorado Mines","Sr.","INF","37","5"
"","Alex Pearce","UNC Pembroke","Jr.","C","38","5"
"","Stephen Pelc","Eckerd","Sr.","INF","45","5"
"","Kevin Pillar","Cal St. Dom. Hills","Sr.","OF","45","5"
"","Elliot Powell","Concordia-St. Paul","Fr.","1B","28","5"
"","Mike Raimo","West Chester","Fr.","OF","40","5"
"","Jasson Read","Benedict","Jr.","INF","30","5"
"","Kyle Roden","Bellarmine","Sr.","C","43","5"
"","Trevor Rogers","Southern Ark.","Jr.","OF","41","5"
"","Jose Rohena","Flagler","Sr.","INF","49","5"
"","Aryn Ross","Indianapolis","Sr.","INF","41","5"
"","Tyler Ruch","Central Mo.","Sr.","INF","46","5"
"","Adam Rusche","Indianapolis","Jr.","SS","21","5"
"","Colt Savage","Saint Martin's","Fr.","-","27","5"
"","Alex Schultz","Eastern N.M.","Jr.","INF","36","5"
"","Lucas Skjefte","Minn. St. Mankato","So.","INF","30","5"
"","Brad Smith","Bloomsburg","Fr.","P","39","5"
"","Nick Sydnor","Concord","Fr.","OF","44","5"
"","Bob Terry","Regis (CO)","So.","OF","41","5"
"","Jack Thompson","Northern St.","Jr.","INF","31","5"
"","Theodore Tramontana","Albany St. (GA)","Fr.","SS","39","5"
"","Mike Tranghese","American Int'l","Sr.","OF","35","5"
"","Andrew Trepel","Grand Valley St.","Sr.","INF","40","5"
"","Cade Uyetake","Hawaii Hilo","Sr.","INF","34","5"
"","Luke Valerius","Neb.-Kearney","Sr.","3B","37","5"
"","Eric Van Dyke","Missouri S&T","Fr.","INF","25","5"
"","Mike VanAlst","Saginaw Valley","Jr.","1B","35","5"
"","Derrick Walls","Incarnate Word","Fr.","OF","47","5"
"","Reed Watson","Abilene Christian","So.","2B","30","5"
"","Cory Wilkins","Miles","Sr.","OF","31","5"
"","Dustin Wold","San Fran. St.","Jr.","OF","33","5"
"","Bryan Woolford","Wilmington (DE)","Sr.","INF","39","5"
"","Jacob Yates","Pfeiffer","So.","INF","49","5"
"","Julio Zubillaga","Catawba","Fr.","2B","51","5"
"379","David Albritton","Emporia St.","Sr.","C","43","4"
"","Tate Allison","Angelo St.","Jr.","OF","47","4"
"","Jeff Anderson","Tex. A&M Int'l","So.","INF","40","4"
"","Stephen Andrews","Lenoir-Rhyne","Sr.","OF","46","4"
"","Stephan Arcieri","Lenoir-Rhyne","Jr.","OF","46","4"
"","Dj Arellano","Cal St. Stanislaus","Jr.","C","24","4"
"","Kameron Armacost","Brevard","Jr.","OF","38","4"
"","Luis Arrizurieta","Barry","So.","C","24","4"
"","Evan Baglieri","Gannon","Jr.","C","38","4"
"","Zach Barnes","Coker","Jr.","INF","31","4"
"","Cullen Baxter","Mo. Southern St.","Jr.","INF","42","4"
"","Josh Beal","Stillman","Fr.","-","39","4"
"","Justin Beranek","Wayne St. (NE)","So.","OF","36","4"
"","Josh Bishop","St. Augustine's","Sr.","C","54","4"
"","Mike Blanchard","Hillsdale","Jr.","OF","31","4"
"","Zachary Blanchard","Bellarmine","Sr.","C","44","4"
"","Eric Blood","Chestnut Hill","Jr.","OF","30","4"
"","Andrew Blum","Mo.-St. Louis","So.","OF","34","4"
"","Tyler Bourdo","S.C. Aiken","Jr.","INF","45","4"
"","Tyler Brewer","Northeastern St.","Sr.","INF","29","4"
"","Tucker Brown","Central Okla.","Jr.","INF","43","4"
"","Jarius Brown","Stillman","Fr.","OF","41","4"
"","Dustin Brown","Saint Leo","Jr.","OF","44","4"
"","Christopher Brown","Dominican (NY)","So.","INF","26","4"
"","David Ray Bryan","Alderson-Broaddus","Fr.","OF","31","4"
"","Tj Burgmann","Philadelphia U.","Fr.","C","37","4"
"","Dallas Burke","Mo. Southern St.","Jr.","C","41","4"
"","Connor Burnham","Mass.-Lowell","Sr.","OF","38","4"
"","Khatim Butler","Elizabeth City St.","Sr.","P","40","4"
"","Brayan Cacique","Lake Erie","Jr.","OF","39","4"
"","Zach Cadet","Cal St. Stanislaus","Sr.","OF","33","4"
"","Nicholas Canterbury","Alderson-Broaddus","Sr.","OF","33","4"
"","Seve Carbajal","Colo. Christian","Jr.","C","47","4"
"","Dan Catalano","Lenoir-Rhyne","Sr.","INF","44","4"
"","Josh Catalano","Chowan","Fr.","INF","47","4"
"","Brian Chritz","Neb.-Kearney","Sr.","OF","33","4"
"","Andrew Ciennik","Wayne St. (MI)","Jr.","2B","41","4"
"","Dylan Cintula","Findlay","Fr.","INF","37","4"
"","Ryan Clark","Colo. Christian","Jr.","INF","29","4"
"","Dyson Coker","Coker","Jr.","C","41","4"
"","Duncan Collins","Ouachita Baptist","So.","INF","45","4"
"","Kaleb Cunningham","Indianapolis","Sr.","INF","43","4"
"","Josh Dawson","Cameron","Jr.","INF","44","4"
"","Mike DeLellis","Bridgeport","Sr.","C","33","4"
"","Nick DeProspo","Southern Conn. St.","Sr.","C","34","4"
"","Scottie Deason","Montevallo","Sr.","INF","40","4"
"","Brent Denny","Angelo St.","So.","INF","41","4"
"","Brandon Devries","Eastern N.M.","Jr.","OF","33","4"
"","Derek Diruscia","Slippery Rock","Sr.","C","44","4"
"","Joe Doerrer","Caldwell","Jr.","OF","39","4"
"","Patrick Donahue","Tampa","Sr.","INF","43","4"
"","Julian Duran","Tex. A&M-Kingsville","Fr.","OF","36","4"
"","Michael Dushane","Tiffin","Jr.","OF","41","4"
"","Tim Dye","Belmont Abbey","Sr.","OF","46","4"
"","Jordan Easom","West Tex. A&M","Jr.","OF","49","4"
"","Nikko Echevarria","Nova Southeastern","Sr.","INF","33","4"
"","Matthew Edwards","West Va. Wesleyan","So.","2B","19","4"
"","Collin Elmore","St. Edward's","Jr.","INF","42","4"
"","Daniel Entzeroth","Quincy","Sr.","OF","32","4"
"","Jackson Evans","Cal St. Chico","Sr.","2B","41","4"
"","Ben Farleigh","Ky. Wesleyan","Sr.","3B","28","4"
"","Garrett Fischer","St. Cloud St.","Fr.","OF","40","4"
"","Andy Fisher","Kentucky St.","So.","C","29","4"
"","Nathaniel Fitch","Findlay","Jr.","C","27","4"
"","Ryan Flowers","Incarnate Word","Jr.","OF","35","4"
"","Ryan Foster","Charleston (WV)","Fr.","OF","36","4"
"","John Fouchet","Florida Tech","Sr.","INF","47","4"
"","Jimmy Franklin","Christian Bros.","Jr.","OF","44","4"
"","Shawn Frigon","Assumption","Sr.","SS","42","4"
"","Greg Fujii","Cal St. Monterey Bay","Sr.","INF","44","4"
"","Manuel Gasper","Clark Atlanta","Fr.","P","29","4"
"","Jacob Gaul","Newman","Fr.","OF","40","4"
"","Ryan Giacomini","Tex. Permian Basin","Sr.","1B","44","4"
"","Trevor Goff","Dixie St.","Jr.","OF","43","4"
