"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Stephen Gates","Millsaps","Jr.","INF","44","185","75"
"2","Brandon Rogalski","Washington-St. Louis","Sr.","OF","39","164","73"
"3","Justin Anderson","Stevenson","Sr.","1B","44","183","72"
"","Devon Snow","Bridgewater (VA)","Sr.","OF","44","185","72"
"5","Hayden Chick","Texas-Tyler","Sr.","C","43","165","68"
"","Anthony Even","Concordia Chicago","Sr.","INF","36","152","68"
"","Geoff Kimmel","Wesley","Sr.","1B","42","159","68"
"","Aaron McCain","Texas-Tyler","Sr.","INF","43","177","68"
"9","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","135","67"
"10","Chase Brown","Texas-Dallas","Sr.","OF","43","160","66"
"","Sean Ryan","Wheaton (MA)","Jr.","OF","39","167","66"
"","Jordan Walton","Randolph-Macon","Sr.","1B","39","159","66"
"13","Eric Bohem","King's (PA)","Jr.","OF","37","148","65"
"","Brock Gates","Pacific Lutheran","Sr.","INF","37","160","65"
"","Dave Jacob","Ramapo","Jr.","OF","39","151","65"
"","Michael Kenah","Lynchburg","Jr.","SS","42","172","65"
"","Jacob Ludvik","La Verne","Sr.","OF","37","157","65"
"","Dan Savage","Lynchburg","Jr.","2B","41","160","65"
"","Andrew Vallejo","Whittier","Sr.","OF","36","149","65"
"20","Grant Brown","Huntingdon","Jr.","C","40","161","64"
"","Drew Golz","Wheaton (IL)","Sr.","OF","37","157","64"
"","Wes Perkins","Millsaps","Jr.","C","44","175","64"
"","Tyler Pfeffer","Whitworth","So.","INF","40","163","64"
"","Collin Radack","Hendrix","So.","OF","40","159","64"
"25","Rob Benedict","Wesley","Sr.","INF","42","169","63"
"","Chris Joshlin","Mary Hardin-Baylor","Sr.","C","38","147","63"
"","Josh Mcmillian","Emory & Henry","Sr.","INF","38","171","63"
"","Shawn Miller","Concordia Chicago","Jr.","OF","36","145","63"
"","Jacob Starnes","Texas-Dallas","Sr.","INF","43","171","63"
"30","Michael Ball","Lewis & Clark","Sr.","OF","40","155","62"
"","Beau Banglesdorf","East. Mennonite","Sr.","SS","38","157","62"
"","Steve Karnyski","St. John Fisher","Sr.","INF","35","146","62"
"","Mike Kerdock","Mississippi Col.","Sr.","INF","42","149","62"
"","Corey Kopec","Maryville (TN)","Sr.","OF","38","157","62"
"","Corey Marchant","Manchester","Jr.","INF","37","144","62"
"","Jake Pendergraft","Shenandoah","Sr.","OF","39","155","62"
"","John Macon Smith","Guilford","So.","INF","41","155","62"
"","Steve Tretter","York (PA)","Jr.","OF","39","165","62"
"39","Marc Magliaro","Rowan","Sr.","INF","38","173","61"
"","Josh Morris","Stevenson","Jr.","OF","43","157","61"
"","Tony Prescott","Stevenson","Sr.","DH","42","154","61"
"","Ethan Rieker","Susquehanna","Sr.","INF","39","143","61"
"","Mike Rubino","Western New Eng.","Jr.","INF","38","146","61"
"","Tony Sanchez","North Park","Fr.","-","37","152","61"
"","Clark Sims","Hendrix","Sr.","INF","42","164","61"
"","Tim Wilson","Linfield","Jr.","INF","37","155","61"
"","Dave Zubia","Moravian","Sr.","INF","38","135","61"
"48","James Carter","Averett","Sr.","1B","43","164","60"
"","Apolinar De la Cruz","Wheaton (MA)","Fr.","1B","39","154","60"
"","David Kennett","Thomas More","Jr.","SS","36","145","60"
"","David Kinney","Clarkson","Sr.","INF","35","122","60"
"","Tim Mackey","Aurora","Sr.","3B","36","150","60"
"","Jack Montanile","Wm. Paterson","Sr.","OF","38","154","60"
"","Christian Muscarello","Trinity (TX)","So.","INF","44","171","60"
"","Kyle Niermann","Bluffton","Jr.","P","37","165","60"
"","Kent Peterson","Guilford","Jr.","INF","39","149","60"
"","Bill Root","Salisbury","So.","OF","36","146","60"
"","Nick Turano","Rowan","Sr.","C","38","157","60"
"","Ryan Zemke","Millsaps","Sr.","OF","40","149","60"
"","Dan Zust","Benedictine (IL)","Sr.","INF","37","157","60"
