"Rank","Name","Team","Cl","Pos","G","BB"
"1","Alexi Colon","Tusculum","Sr.","OF","54","64"
"2","Jacob Rogers","Mount Olive","Sr.","3B","48","53"
"3","Kyle Koeneman","Carson-Newman","Sr.","1B","49","51"
"4","Nathan Minnich","Shepherd","Sr.","1B","46","50"
"5","William VanWinkle","Paine","Jr.","1B","46","44"
"6","Ryan Hathaway","Charleston (WV)","Sr.","OF","44","43"
"","Keith Morrisroe","Concord","Sr.","SS","50","43"
"8","Trey Buck","Southern Ark.","Sr.","SS","46","42"
"","Robert Kelly","St. Anselm","Jr.","1B","48","42"
"","Zac Menendez","East Stroudsburg","Jr.","OF","45","42"
"","Drew Walker","Armstrong","Sr.","INF","48","42"
"12","Aaron Lupia","Indiana (PA)","So.","C","48","41"
"","Chad Murphy","Shepherd","Jr.","C","46","41"
"14","Justi Bagbey","Chowan","Fr.","-","49","40"
"","Matt Boulter","Southern N.H.","Jr.","SS","48","40"
"","Cody Coffman","Tusculum","Sr.","INF","54","40"
"","Michael Leviseur","Seton Hill","Sr.","C","48","40"
"18","Tyler Migl","St. Mary's (TX)","Sr.","OF","49","39"
"19","Alex Frederick","Armstrong","Sr.","SS","47","38"
"","Patrick Grady","Lander","So.","OF","47","38"
"","Michael Jordan","Benedict","Sr.","INF","36","38"
"","Dodson McPherson","Wingate","Sr.","OF","55","38"
"","Bradon Reitano","Mount Olive","So.","SS","47","38"
"","Michael Schmidt","North Ala.","Sr.","INF","50","38"
"","Jovany Valenzuela","Colorado St.-Pueblo","Jr.","1B","46","38"
"26","Lukas Graves","Tusculum","Sr.","OF","53","37"
"","Casey Maloney","Armstrong","Jr.","OF","48","37"
"","Jonathan Richey","Paine","So.","OF","49","37"
"29","Yuto Kata","Dixie St.","Fr.","2B","44","36"
"","Chase Lacomb","Colorado St.-Pueblo","Jr.","2B","46","36"
"","J.D. Pullen","Columbus St.","Jr.","OF","50","36"
"32","Pat Hall","St. Augustine's","---","DH","46","35"
"","Chris Reese","Arkansas Tech","Sr.","SS","39","35"
"","Gabe Thibodeau","Central Mo.","Sr.","OF","40","35"
"","Darryl Wilson","Paine","Jr.","OF","51","35"
"36","Jos Catalano","Chowan","Fr.","-","48","34"
"","Matt Henriksen","Tusculum","Jr.","INF","53","34"
"","Quaid McKinnon","Angelo St.","Jr.","INF","50","34"
"","Peter Testa","Southern Conn. St.","Sr.","OF","42","34"
"40","Brett Botsford","Le Moyne","Sr.","OF","44","33"
"","Derek Carr","Slippery Rock","Sr.","OF","36","33"
"","Jake Hartley","Indianapolis","Jr.","1B","45","33"
"","Evan King","Millersville","Jr.","2B","46","33"
"","Eddie Mathis","Albany St. (GA)","Sr.","OF","42","33"
"","Mike Mercurio","Mount Olive","Jr.","SS","48","33"
"","Igor Molina","Charleston (WV)","Jr.","INF","41","33"
"","Parker Norris","Ouachita Baptist","Fr.","-","50","33"
"","Marc Rogier","Oakland City","Jr.","OF","39","33"
"","Luis Serrano","Paine","Jr.","C","51","33"
"50","David Allday","Southern Ark.","Sr.","1B","46","32"
"","Stephan Arcieri","Lenoir-Rhyne","Sr.","OF","49","32"
"","Ryan Bostian","Catawba","Sr.","OF","50","32"
"","Dan Hennigan","Franklin Pierce","Sr.","2B","45","32"
"","Jake Rierson","Limestone","Sr.","P","47","32"
"","Benjamin Schroeder","Kentucky St.","Fr.","-","33","32"
"","Cade Stallings","Tusculum","Jr.","INF","54","32"
"","Brad Wannemuehler","Southern Ind.","So.","OF","41","32"
"","Zack Wiley","Le Moyne","Jr.","INF","42","32"
"","Zac Zdanowicz","Henderson St.","Jr.","OF","40","32"
"60","Nick Aranas","S.C. Aiken","Sr.","3B","48","31"
"","Nicholas Arena","Salem Int'l","Sr.","INF","46","31"
"","Cody Baker","Lincoln Memorial","Jr.","OF","49","31"
"","Cameron Bedard","Northwest Mo. St.","Jr.","INF","43","31"
"","Sean Borman","St. Cloud St.","Jr.","INF","43","31"
"","Scott Carcaise","Florida Tech","So.","INF","44","31"
"","Ty Coleman","Virginia St.","Fr.","-","42","31"
"","Nick Eversole","Bloomsburg","Jr.","C","40","31"
"","Jp LaMunyon","North Ala.","Sr.","3B","44","31"
"","Billy O'Connor","West Fla.","Jr.","C","39","31"
"","Mike Raimo","West Chester","So.","OF","41","31"
"","Tarron Robinson","Brevard","Fr.","C","49","31"
"","Caleb Saggus","Augusta St.","Sr.","OF","48","31"
"73","Tony Blake","Dominican (NY)","Jr.","OF","44","30"
"","Brayan Cacique","Lake Erie","Sr.","OF","43","30"
"","Jesse Daywalt","Chestnut Hill","Sr.","2B","41","30"
"","Geoff DeGroot","Mass.-Lowell","Fr.","SS","43","30"
"","Markus Duckworth","North Greenville","Sr.","OF","51","30"
"","Anthony Foulk","North Greenville","Sr.","C","50","30"
"","Tanner Funk","Georgia College","Sr.","SS","48","30"
"","Ryan Geffert","Southern Conn. St.","Sr.","1B","42","30"
"","Adam Gemuenden","Winona St.","Sr.","1B","40","30"
"","Mike Godwin","Wilmington (DE)","Sr.","C","41","30"
"","Shayne Houck","Kutztown","Sr.","INF","46","30"
"","James Katsiroubas","Mass.-Lowell","Sr.","3B","43","30"
"","Jon Moser","Mansfield","Sr.","OF","45","30"
"","Emilio Pagan","Belmont Abbey","Jr.","3B","51","30"
"","Michael Robbins","Winston-Salem","Sr.","C","49","30"
"","Jackson Stogner","Sonoma St.","So.","INF","42","30"
"","Cody Strang","Winona St.","Jr.","OF","43","30"
"","Kale Sumner","Hawaii Pacific","Jr.","INF","44","30"
"","Zach Taylor","Armstrong","Jr.","OF","48","30"
"","Nate Van Roekel","Winona St.","Sr.","3B","43","30"
"","Nate Wilder","Arkansas Tech","Sr.","3B","49","30"
"","Mike Zeiner","Stonehill","Jr.","SS","44","30"
"","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","30"
"","Ammon Zitting","Dixie St.","Sr.","SS","41","30"
"97","Vincente Andrews","Montevallo","Jr.","OF","46","29"
"","Jason Berrios","Concordia (NY)","Sr.","OF","37","29"
"","Mike Bisenius","Wayne St. (NE)","Sr.","OF","40","29"
"","Eric Boyer","East Stroudsburg","Jr.","OF","40","29"
"","Jacob Campbell","Albany St. (GA)","So.","OF","41","29"
"","Jeffrey Conley","Alderson-Broaddus","So.","P","45","29"
"","Jon Cotter","Central Mo.","Jr.","INF","43","29"
"","Brandon Day","Cal St. San B'dino","Sr.","1B","41","29"
"","Eric Doyle","Davis & Elkins","Sr.","C","47","29"
"","Nate Gonya","St. Anselm","So.","C","45","29"
"","Cedric Johnson","Dixie St.","Jr.","OF","40","29"
"","Jon Kemmer","Clarion","Jr.","OF","40","29"
"","Ben Miller","Shippensburg","Sr.","INF","32","29"
"","Billy Richard","St. Mary's (TX)","Jr.","OF","49","29"
"","Evan Robinson","Tarleton St.","Fr.","INF","45","29"
"","Chris Ross","Montevallo","Sr.","OF","49","29"
"","Mario Sanelli","Saint Martin's","Fr.","C","44","29"
"","Tommy Scala","Mars Hill","So.","OF","48","29"
"","Kyle Sill","Winona St.","Jr.","C","41","29"
"","William Smalls","Albany St. (GA)","Sr.","SS","38","29"
"","Eddie Smith","Bluefield St.","Sr.","1B","39","29"
"","Justin Vasquez","Belmont Abbey","Jr.","OF","46","29"
"119","Christian Allen","Ark.-Fort Smith","Jr.","DH","41","28"
"","Justin Beranek","Wayne St. (NE)","Jr.","OF","40","28"
"","Daniel Binz","Eastern N.M.","Jr.","INF","45","28"
"","Tim Blackmon","Barry","Jr.","DH","36","28"
"","Duncan Blades","Abilene Christian","Sr.","INF","50","28"
"","Michael Bueker","Mars Hill","Sr.","INF","48","28"
"","Andrew Camardella","Dominican (NY)","Jr.","INF","44","28"
"","Dustin Carpenter","North Ga.","Jr.","INF","47","28"
"","Alex Del Monte","Eckerd","Sr.","SS","43","28"
"","R.J. Dennard","Armstrong","Fr.","C","45","28"
"","Bryan Dorsey","Southern Conn. St.","Sr.","OF","42","28"
