"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Trevor Bauer","UCLA","Jr.","P","11","91.7","142","13.94"
"2","Danny Hultzen","Virginia","Jr.","P","11","75.7","112","13.32"
"3","Marcus Stroman","Duke","So.","P","14","48.0","67","12.56"
"4","Bobby Lucas Jr.","George Washington","Sr.","P","11","54.0","72","12.00"
"5","Nick Tropeano","Stony Brook","Jr.","P","10","65.7","87","11.92"
"6","Charlie Lowell","Wichita St.","Jr.","P","12","72.0","95","11.88"
"7","Matthew Reckling","Rice","Jr.","P","11","54.0","71","11.83"
"8","Andrew Chafin","Kent St.","Jr.","P","10","63.3","83","11.80"
"9","James Crockett","Southern Utah","Sr.","P","12","60.0","78","11.70"
"10","Lex Rutledge","Samford","So.","P","12","54.0","70","11.67"
"11","Jose De Leon","Southern U.","Fr.","P","11","51.0","66","11.65"
"12","Cullen Park","Tennessee Tech","Jr.","P","20","42.7","55","11.59"
"13","Christian Jones","Oregon","So.","P","11","42.7","54","11.38"
"14","Corey Maines","Illinois St.","Sr.","P","11","68.3","85","11.20"
"15","Cody Martin","Gonzaga","Sr.","P","17","41.0","51","11.20"
"16","Charlie Cononie","Towson","Sr.","P","11","64.3","79","11.06"
"17","Kyle Hendricks","Dartmouth","Jr.","P","8","54.0","66","11.00"
"18","Marc Zecchino","Virginia Tech","Jr.","P","11","64.0","78","10.97"
"19","Justin Meza","A&M-Corpus Christi","Fr.","P","13","63.0","76","10.86"
"20","Paul Cusick","Penn","Sr.","P","11","66.7","80","10.79"
"21","Nate Koneski","Holy Cross","Jr.","P","10","52.7","63","10.76"
"22","Greg Gonzalez","Fresno St.","Sr.","P","11","73.7","88","10.75"
"23","Kyle Hald","Old Dominion","Sr.","P","10","68.7","82","10.74"
"24","Tyler Wilson","Virginia","Sr.","P","11","66.3","79","10.72"
"25","Robbie Collier","North Florida","Sr.","P","11","50.7","60","10.65"
"","Richie Goodenow","Lipscomb","Sr.","P","14","50.7","60","10.65"
"27","Terrance Washington","Jackson St.","Sr.","P","11","61.7","73","10.65"
"28","Jordan Egan","Norfolk St.","So.","P","11","51.7","61","10.62"
"29","Jed Bradley","Georgia Tech","Jr.","P","11","69.3","81","10.52"
"30","Kyle McMyne","Villanova","Jr.","P","11","62.7","73","10.48"
"31","Dan Langfield","Memphis","So.","P","11","61.0","71","10.48"
"32","Patrick Goelz","Bethune-Cookman","So.","P","11","54.3","63","10.44"
"33","Sam Stafford","Texas","Jr.","P","13","55.3","64","10.42"
"34","Alex Meyer","Kentucky","Jr.","P","11","78.7","91","10.41"
"35","Patrick Dolan","Charleston So.","Jr.","P","10","46.0","53","10.37"
"36","Noe Ramirez","Cal St. Fullerton","Jr.","P","9","61.7","71","10.36"
"37","Matt Wainman","William & Mary","So.","P","18","46.3","53","10.30"
"38","Cory Mazzoni","North Carolina St.","Jr.","P","11","77.0","88","10.29"
"39","Sonny Gray","Vanderbilt","Jr.","P","11","75.3","86","10.28"
"40","Esteban Guzman","San Jose St.","Jr.","P","14","51.7","59","10.27"
"41","Carson Smith","Texas St.","Jr.","P","11","73.3","83","10.19"
"42","Trent Howard","Central Mich.","Jr.","P","11","70.0","79","10.16"
"43","Matt Marksberry","Campbell","Fr.","P","18","45.3","51","10.13"
"44","Danny Winkler","UCF","Jr.","P","13","53.3","60","10.13"
"45","Steven Ewing","Miami (FL)","So.","P","10","61.3","69","10.13"
"46","Casey Medlen","North Florida","Sr.","P","13","49.0","55","10.10"
"47","Cade Lynch","Arkansas","So.","P","14","51.0","57","10.06"
"48","Greg Holt","North Carolina","Sr.","P","23","43.0","48","10.05"
"49","Dan Savas","Illinois St.","Fr.","P","10","47.0","52","9.96"
"","Zach Toney","Austin Peay","So.","P","13","47.0","52","9.96"
"51","Tyler Anderson","Oregon","Jr.","P","11","83.3","92","9.94"
"52","Cole Green","Texas","Sr.","P","12","65.3","72","9.92"
"53","Sean Gilmartin","Florida St.","Jr.","P","12","79.0","87","9.91"
"","John Stilson","Texas A&M","Jr.","P","12","79.0","87","9.91"
"55","Ryan Carpenter","Gonzaga","Jr.","P","11","74.7","82","9.88"
"56","Kyle Winkler","TCU","Jr.","P","11","79.3","87","9.87"
"57","Chris Lamb","Davidson","Jr.","P","11","71.3","78","9.85"
"58","Ryan Shook","Norfolk St.","Jr.","P","11","62.3","68","9.82"
"59","Jonas Dufek","Creighton","Sr.","P","12","73.3","80","9.82"
"60","Tyler Pill","Cal St. Fullerton","Jr.","P","11","70.0","76","9.77"
"61","Corey Black","San Diego St.","So.","INF","15","49.3","53","9.68"
"62","Cory Luckie","Auburn","Jr.","P","11","44.7","48","9.66"
"","Matt Murray","Ga. Southern","Jr.","P","19","44.7","48","9.66"
"64","Kevin Miller","California","Sr.","P","13","64.3","69","9.66"
"65","Phil Klein","Youngstown St.","Sr.","P","11","65.3","70","9.65"
"66","Gerrit Cole","UCLA","Jr.","P","11","75.7","81","9.63"
"67","Cody Allen","High Point","Jr.","P","10","67.3","72","9.63"
"68","Patrick Johnson","North Carolina","Sr.","P","11","62.7","67","9.62"
"69","Mason Radeke","Cal Poly","Jr.","P","11","74.0","79","9.61"
"70","Quintavious Drains","Jackson St.","Jr.","P","13","75.0","80","9.60"
"","Burch Smith","Oklahoma","Jr.","P","11","60.0","64","9.60"
"72","Michael Morin","North Carolina","So.","P","18","46.0","49","9.59"
"73","Kurt Heyer","Arizona","So.","P","14","91.3","97","9.56"
"74","Brad Schreiber","Purdue","So.","P","8","47.3","50","9.51"
"75","Dakota Laufenberg","Texas Southern","Sr.","P","13","51.3","54","9.47"
"76","Kyle Ziimmer","San Francisco","So.","P","14","61.0","64","9.44"
"77","Josh Osich","Oregon St.","Jr.","P","11","55.3","58","9.44"
"78","Chris Beck","Ga. Southern","So.","P","14","67.7","71","9.44"
"79","Zach Cooper","Central Mich.","Jr.","P","11","62.0","65","9.44"
"80","John Taylor","South Carolina","Sr.","P","28","44.0","46","9.41"
"81","Cameron Hobson","Dayton","Jr.","P","12","74.7","78","9.40"
"82","David Starn","Kent St.","Jr.","P","11","73.0","76","9.37"
"83","Jarett Miller","UNC Greensboro","Jr.","P","20","49.0","51","9.37"
"84","Vinny Lally","Yale","Sr.","P","13","67.3","70","9.36"
"85","Brian Holmes","Wake Forest","So.","P","11","43.3","45","9.35"
"86","Anthony Meo","Coastal Caro.","Jr.","P","11","70.3","73","9.35"
"87","Matthew Grimes","Georgia Tech","Fr.","P","11","53.0","55","9.34"
"88","Andrew Mitchell","TCU","Fr.","P","17","45.3","47","9.34"
"89","Brady Kirkpatrick","Maryland","Fr.","P","16","47.3","49","9.32"
"90","Eric Eadington","Harvard","Sr.","P","10","52.3","54","9.29"
"91","Derrick Mitchell","Prairie View","Jr.","P","11","66.0","68","9.27"
"92","Todd McInnis","Southern Miss.","Sr.","P","10","62.3","64","9.25"
"93","Pat Ludwig","Yale","Jr.","P","8","47.7","49","9.25"
"94","Austin Kubitza","Rice","Fr.","P","10","65.3","67","9.23"
"95","Jon Gulbransen","Valparaiso","Sr.","P","12","66.3","68","9.23"
"96","Desmond Russell","Jackson St.","Fr.","INF","11","71.3","73","9.21"
"","Logan Verrett","Baylor","Jr.","P","12","71.3","73","9.21"
"98","Cameron Maldonado","Southern Ill.","Jr.","P","11","54.7","56","9.21"
"99","Bryan Radziewski","Miami (FL)","Fr.","P","11","59.7","61","9.20"
"100","Jonathan Meyer","Clemson","So.","P","18","47.0","48","9.19"
"101","Sander Beck","Maryland","Jr.","P","11","49.0","50","9.18"
"102","Kyle Hansen","St. John's (NY)","So.","P","11","69.7","71","9.17"
"103","Eric Potter","Maryland","Sr.","P","14","54.0","55","9.17"
"104","Logan Billbrough","William & Mary","Sr.","P","11","75.7","77","9.15"
"105","Bryan Blough","Kennesaw St.","Sr.","P","10","61.0","62","9.15"
"106","Josh Conway","Coastal Caro.","So.","INF","14","53.3","54","9.12"
"107","Austin Pritcher","Citadel","So.","P","11","65.3","66","9.10"
"108","Buck Farmer","Georgia Tech","So.","P","11","71.3","72","9.09"
"109","Cole Sulser","Dartmouth","Jr.","P","8","48.7","49","9.06"
"110","Brian Muransky","Xavier","Sr.","P","15","51.7","52","9.05"
"111","Mark Leiter","NJIT","So.","P","11","61.0","61","9.00"
"","Ross Stripling","Texas A&M","Jr.","P","16","70.0","70","9.00"
"","Mike Thomas","Rider","Sr.","P","10","66.0","66","9.00"
"114","Andrew Gagnon","Long Beach St.","Jr.","P","11","72.3","72","8.96"
"115","Matthew Neil","BYU","Sr.","P","14","51.3","51","8.95"
"116","Lucas Kesterson","IPFW","Sr.","P","9","45.3","45","8.94"
"117","Drew Granier","La.-Monroe","Sr.","P","11","67.7","67","8.91"
"118","Michael Wacha","Texas A&M","So.","P","11","77.0","76","8.88"
"119","Mike Strong","Oklahoma St.","Sr.","P","11","52.7","52","8.88"
"120","Brett Koehler","William & Mary","So.","P","22","51.7","51","8.88"
"121","Caleb Smith","Sam Houston St.","Fr.","P","14","49.7","49","8.87"
"122","D.J. Brown","James Madison","So.","P","14","68.3","67","8.83"
"123","Chris Jensen","San Diego","Jr.","P","15","67.3","66","8.83"
"124","Shane McCain","Troy","So.","P","12","46.0","45","8.80"
"125","Alex Caravella","Pittsburgh","So.","P","19","44.0","43","8.80"
"126","T.J. Walz","Kansas","Sr.","P","12","72.7","71","8.79"
"127","Matt Shelton","Sam Houston St.","Sr.","P","12","68.7","67","8.78"
"128","Scott Gussaroff","Fairfield","Sr.","P","10","63.7","62","8.76"
"129","Drew Zizinia","Tulane","Sr.","P","14","48.3","47","8.76"
"130","Keith Bilodeau","Maine","Jr.","P","10","62.7","61","8.76"
"131","Justin Hageman","Western Ky.","Fr.","P","13","71.0","69","8.75"
"132","Jack Wagoner","Fla. Gulf Coast","Sr.","P","14","45.3","44","8.74"
"133","Daniel Cropper","UNC Wilmington","Sr.","P","10","62.0","60","8.71"
"134","Connor Sinclair","Lipscomb","Fr.","-","12","68.3","66","8.70"
"135","Jake Barrett","Arizona St.","So.","P","12","67.3","65","8.69"
"136","Karsten Whitson","Florida","Fr.","P","11","58.0","56","8.69"
"137","Eric Whaley","Miami (FL)","So.","P","11","66.3","64","8.69"
"138","Colby Holmes","South Carolina","So.","P","10","46.7","45","8.67"
"139","Jeremy Dobbs","Austin Peay","Jr.","P","12","60.3","58","8.66"
"140","Tommy Gately","George Washington","Sr.","P","12","68.7","66","8.65"
"141","David Benson","VCU","Sr.","P","11","58.3","56","8.64"
"142","D.J Baxendale","Arkansas","So.","P","13","48.0","46","8.63"
"143","Casey Hauptman","Nebraska","Sr.","P","22","54.3","52","8.62"
"144","Tim Cooney","Wake Forest","So.","P","10","70.0","67","8.61"
"145","Brandon McNelis","Northeastern","Sr.","P","10","60.7","58","8.60"
"146","Blake Treinen","South Dakota St.","Sr.","P","9","59.7","57","8.59"
"147","Tanner Peters","UNLV","Jr.","P","11","87.0","83","8.59"
"148","Kurt Schluter","Stetson","So.","P","10","57.7","55","8.58"
"149","E.J. Encinosa","Miami (FL)","So.","P","11","61.0","58","8.56"
"150","Casey Webber","Western Mich.","Jr.","P","11","65.3","62","8.55"
"151","Colton Turner","Texas St.","So.","P","11","59.0","56","8.54"
"152","Kyle Hunter","Kansas St.","Jr.","P","11","62.3","59","8.52"
"153","John Neely","Texas Tech","Jr.","P","24","49.7","47","8.51"
"154","Taylor Hill","Vanderbilt","Sr.","P","11","59.3","56","8.50"
"155","Jordan Guth","Milwaukee","So.","P","11","51.0","48","8.47"
"156","Jesse Holiday","Southern U.","So.","P","10","45.7","43","8.47"
"157","Ryan Arrowood","Appalachian St.","Jr.","P","14","67.0","63","8.46"
"","Nick Petree","Missouri St.","Fr.","P","12","67.0","63","8.46"
"159","Kevin Gausman","LSU","Fr.","P","11","66.0","62","8.45"
"160","Sam Gaviglio","Oregon St.","Jr.","P","11","81.0","76","8.44"
"161","Grayson Garvin","Vanderbilt","Jr.","P","11","71.7","67","8.41"
"162","Vince Voiro","Penn","Jr.","P","11","61.0","57","8.41"
"163","Sean Manaea","Indiana St.","Fr.","P","11","63.3","59","8.39"
"164","Dan Jensen","Cincinnati","Sr.","P","11","68.7","64","8.38"
"165","Tj Clarkson","Citadel","Jr.","P","23","43.0","40","8.37"
"166","Dave Kubiak","Albany (NY)","Sr.","P","10","61.3","57","8.37"
"167","John Pedrotty","Holy Cross","Jr.","P","11","60.3","56","8.36"
"168","Kent Emanuel","North Carolina","Fr.","P","13","59.3","55","8.35"
"169","Josh Renfro","Col. of Charleston","Jr.","P","11","68.0","63","8.34"
"170","Matt Freeman","Nebraska","Sr.","P","14","54.0","50","8.33"
"171","Mike Schneider","Milwaukee","Fr.","P","10","44.3","41","8.33"
"172","Will Roberts","Virginia","Jr.","P","12","69.3","64","8.31"
"173","Jon Keller","Nebraska","Fr.","P","11","52.0","48","8.31"
"","Chris Stratton","Mississippi St.","So.","P","11","65.0","60","8.31"
"175","Derek Varnadore","Auburn","Jr.","P","10","59.7","55","8.29"
"176","Luke Irvine","Northwestern St.","Sr.","P","11","76.0","70","8.29"
"177","Ed Kohout","Le Moyne","Jr.","P","15","54.3","50","8.29"
"178","Cody Hall","Southern U.","Sr.","P","12","53.3","49","8.27"
"179","Erik Johnson","California","Jr.","P","11","69.7","64","8.26"
