"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Adam Derner","Wm. Paterson","Sr.","1B","40","61"
"2","Anthony Orsano","Old Westbury","Sr.","C","39","58"
"3","Trey Martin","Wheaton (IL)","Jr.","3B","37","56"
"4","Nick Pappas","Trinity (TX)","Sr.","INF","44","55"
"5","Tyler Pfeffer","Whitworth","So.","INF","40","54"
"6","Connor Mathis","Mount Union","So.","OF","33","51"
"","Wes Perkins","Millsaps","Jr.","C","44","51"
"","John Macon Smith","Guilford","So.","INF","41","51"
"9","Michael Daly","Baruch","Fr.","INF","37","50"
"","Joe Giaimo","Wesleyan (CT)","Sr.","OF","35","50"
"","Geoff Kimmel","Wesley","Sr.","1B","42","50"
"12","Tony Sanchez","North Park","Fr.","-","37","49"
"13","James Campbell","Pomona-Pitzer","Sr.","INF","30","48"
"","Terry Davis","Illinois Col.","Sr.","OF","33","48"
"","Kenny Durling","Misericordia","Jr.","OF","38","48"
"","Kyle Moody","St. Scholastica","Sr.","C","35","48"
"","Ethan Moser","DeSales","Sr.","OF","38","48"
"","Dan Savage","Lynchburg","Jr.","2B","41","48"
"19","Garrett Herald","Pitt.-Greensburg","Jr.","C","37","47"
"","Tim Kwilos","Swarthmore","Jr.","OF","36","47"
"","Jack Montanile","Wm. Paterson","Sr.","OF","38","47"
"22","Bryan Colish","Pitt.-Greensburg","Sr.","INF","37","46"
"","Brock Gates","Pacific Lutheran","Sr.","INF","37","46"
"","Ben Goodall","Thomas (ME)","Sr.","INF","42","46"
"","Brett Hightower","Mississippi Col.","Jr.","INF","41","46"
"","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","46"
"","Aaron McCain","Texas-Tyler","Sr.","INF","43","46"
"","Jason Rivera","Mt. St. Vincent","So.","INF","31","46"
"29","Corey Marchant","Manchester","Jr.","INF","37","45"
"","Kyle Newcomb","Averett","Sr.","OF","44","45"
"","Collin Radack","Hendrix","So.","OF","40","45"
"32","Ryan Adams","Aurora","Sr.","OF","37","44"
"","Pedro Aldape","Occidental","Jr.","1B","33","44"
"","Erik Bergstrom","Keene St.","Sr.","INF","29","44"
"","Nick Dean","Maryville (TN)","So.","P","38","44"
"","Jason Moralez","La Verne","Jr.","C","37","44"
"","Cory Walden","Aurora","Jr.","P","37","44"
"38","Matt Bittner","Penn St.-Behrend","Jr.","INF","37","43"
"","Nick Busillo","Muhlenberg","Sr.","OF","39","43"
"","Derrek Etsell","Neumann","Sr.","OF","38","43"
"","Stephen Gates","Millsaps","Jr.","INF","44","43"
"","Ethan Rieker","Susquehanna","Sr.","INF","39","43"
"","Derek Smith","Pitt.-Bradford","Jr.","INF","32","43"
"","Michael Tucker","Anderson (IN)","Sr.","C","37","43"
"45","John Barrett","Frostburg St.","Sr.","OF","39","42"
"","Chase Brown","Texas-Dallas","Sr.","OF","43","42"
"","Brett Cahill","Salem St.","So.","C","38","42"
"","Kevin Callahan","Ill. Wesleyan","Jr.","1B","35","42"
"","Ryan Darner","Thomas More","Jr.","OF","36","42"
"","Aaron Hopper","Marietta","Jr.","OF","35","42"
"","Matt Joiner","FDU-Florham","Sr.","OF","37","42"
"","Michael Kenah","Lynchburg","Jr.","SS","42","42"
"","Bryan Sanderson","Bridgewater (VA)","So.","INF","42","42"
"","Andrew Thole","Thomas More","Sr.","1B","36","42"
