"Rank","Name","Team","Cl","Pos","G","2B"
"1","Adam Kirsch","Texas Tech","Sr.","OF","25","13"
"2","Tyler France","San Diego St.","So.","INF","23","12"
"","Sean Godfrey","Ball St.","Sr.","OF","24","12"
"","Andrew Guillotte","McNeese St.","Jr.","OF","22","12"
"","Zach Marberry","Stephen F. Austin","Sr.","C","20","12"
"","Brandon Rawe","Morehead St.","Jr.","OF","23","12"
"7","Jordan Betts","Duke","Sr.","INF","23","11"
"","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","11"
"","Blaise Fernandez","George Mason","Sr.","INF","21","11"
"","Colin Gay","Maine","Sr.","OF","24","11"
"","Trent Gilbert","Arizona","Jr.","INF","26","11"
"","Casey Jones","Elon","Jr.","INF","23","11"
"","Lee Longo","Eastern Mich.","Sr.","INF","19","11"
"","Sheldon Neuse","Oklahoma","Fr.","INF","25","11"
"","Tj Olesczuk","Winthrop","Sr.","OF","21","11"
"","Kevin Santana","Lamar","Jr.","INF","25","11"
"","DJ Stewart","Florida St.","So.","OF","23","11"
"18","Will Allen","Ole Miss","Sr.","INF","25","10"
"","Connor Bright","South Carolina","Jr.","INF","22","10"
"","David Daniels","Davidson","Jr.","INF","20","10"
"","Caleb Dugas","Northwestern St.","Jr.","P","22","10"
"","Justin Gonzalez","Florida St.","Sr.","INF","23","10"
"","Matt Gonzalez","Georgia Tech","So.","INF","24","10"
"","Chase Griffin","Ga. Southern","Jr.","C","25","10"
"","Taylor Gushue","Florida","Jr.","C","24","10"
"","Shane Hoelscher","Rice","Sr.","INF","21","10"
"","Mac James","Oklahoma","Jr.","C","24","10"
"","Kevin Kaczmarski","Evansville","Jr.","OF","19","10"
"","Sean McMullen","LSU","Sr.","OF","22","10"
"","Kewby Meyer","Nevada","Jr.","INF","23","10"
"","Hutton Moyer","Pepperdine","So.","INF","23","10"
"","JJ Nazzaro","Gardner-Webb","Sr.","OF","24","10"
"","Max Pentecost","Kennesaw St.","Jr.","C","27","10"
"","Derek Peterson","Temple","Sr.","INF","17","10"
"","Bryan Reynolds","Vanderbilt","Fr.","OF","25","10"
"","Ryan Seiz","Liberty","Jr.","INF","25","10"
"","Jordan Tarsovich","VMI","Jr.","INF","22","10"
"","Francisco Tellez","UC Riverside","So.","1B","20","10"
"","Nic Wilson","Georgia St.","Sr.","INF","24","10"
"40","Jimmy Allen","Cal Poly","Sr.","INF","23","9"
"","Josh Anderson","FIU","Sr.","INF","24","9"
"","Sal Annunziata","Seton Hall","Jr.","INF","19","9"
"","Tyler Baumgartner","Oregon","Sr.","OF","22","9"
"","Bryant Burleson","Texas Tech","Jr.","INF","26","9"
"","Josiah Burney","Old Dominion","Sr.","INF","22","9"
"","Kevin Casey","William & Mary","Sr.","INF","22","9"
"","Ryan Cleveland","Ga. Southern","Fr.","INF","24","9"
"","Hunter Cole","Georgia","Jr.","OF","25","9"
"","Austin Cousino","Kentucky","Jr.","OF","24","9"
"","Kevin Cron","TCU","Jr.","INF","23","9"
"","Joe Forney","Xavier","Jr.","INF","22","9"
"","Clinton Freeman","East Tenn. St.","Sr.","INF","23","9"
"","Jackson Glines","Michigan","Jr.","OF","24","9"
"","Danny Grauer","Liberty","Sr.","P","22","9"
"","Chase Green","SIU Edwardsville","Jr.","INF","20","9"
"","Greg Harrison","Furman","Sr.","1B","24","9"
"","Brendan Hendriks","San Francisco","Jr.","INF","21","9"
"","Mike Hollenbeck","Illinois St.","Sr.","C","21","9"
"","Tyler Jones","Air Force","Fr.","INF","22","9"
"","Jordan Luplow","Fresno St.","Jr.","OF","24","9"
"","Grant Massey","Lipscomb","Jr.","INF","25","9"
"","Seth Neely","Wofford","Sr.","INF","24","9"
"","Kyle Nowlin","Eastern Ky.","So.","OF","24","9"
"","Robert Pehl","Washington","Jr.","2B","22","9"
"","Alex Real","New Mexico","Jr.","C","25","9"
"","Zach Remillard","Coastal Caro.","So.","INF","23","9"
"","Nick Rivera","FGCU","So.","INF","24","9"
"","Mason Robbins","Southern Miss.","Jr.","OF","24","9"
"","Michael Russell","North Carolina","Jr.","OF","23","9"
"","Erik Samples","USC Upstate","Jr.","INF","25","9"
"","Eric Sams","Bethune-Cookman","Sr.","INF","25","9"
"","Wes Satzinger","North Dakota St.","Sr.","INF","16","9"
"","Chris Shaw","Boston College","So.","1B","21","9"
"","Matt Shortall","Texas-Arlington","Sr.","OF","23","9"
"","Adam Sonabend","Eastern Mich.","Sr.","C","17","9"
"","Dansby Swanson","Vanderbilt","So.","INF","25","9"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","9"
"","Alex Tomasovich","Charleston So.","Sr.","INF","25","9"
"","Kyle Towes","UNC Asheville","Jr.","INF","21","9"
"","Nelson Ward","Georgia","Jr.","INF","25","9"
"","Wade Wass","Alabama","Sr.","C","23","9"
"","Kyle Weston","James Madison","So.","INF","19","9"
"","Zander Wiel","Vanderbilt","So.","INF","25","9"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","9"
"85","Jonathan Allison","Lipscomb","Jr.","OF","24","8"
"","Tyson Ashcraft","Lipscomb","Jr.","INF","25","8"
"","Erik Barber","UCF","Jr.","OF","24","8"
"","Christoph Bono","UCLA","So.","OF","22","8"
"","Garrett Boulware","Clemson","Jr.","C","23","8"
"","Nathaniel Causey","Arizona St.","Jr.","C","19","8"
"","Keenan Cook","Rice","Sr.","OF","25","8"
"","Bill Cullen","VCU","Sr.","OF","23","8"
"","Andrew Daniel","San Diego","Jr.","INF","22","8"
"","Matt Davis","VCU","Fr.","INF","19","8"
"","Chase Davis","UAB","Jr.","OF","25","8"
"","Garrett Deschamp","Tulane","Jr.","INF","23","8"
"","Norm Donkin","Delaware","Jr.","OF","22","8"
"","Steven Duggar","Clemson","So.","OF","23","8"
"","Camden Duzenack","Dallas Baptist","Fr.","INF","20","8"
"","Drew Ferguson","Belmont","Jr.","OF","23","8"
"","Zach Fish","Oklahoma St.","Jr.","OF","24","8"
"","Tyler Gamble","Jacksonville St.","So.","1B","22","8"
"","Jeff Gardner","Louisville","Sr.","OF","22","8"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","8"
"","Casey Grayson","Houston","Sr.","1B","23","8"
"","Kieston Greene","Wright St.","Sr.","OF","22","8"
"","David Hall","Troy","Jr.","OF","22","8"
"","Tim Hoehn","William & Mary","Fr.","INF","22","8"
"","Brett Hoffman","Southeastern La.","Jr.","INF","23","8"
"","Chris Hugg","Saint Peter's","Jr.","INF","13","8"
"","Austin Hulsey","Alabama A&M","So.","INF","23","8"
"","Mott Hyde","Georgia Tech","Sr.","INF","23","8"
"","Michael Katz","William & Mary","Jr.","INF","22","8"
