"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","Eric Fasnacht","Concordia-St. Paul","So.","SS","12","41","23","0.561"
"2","Tyler Adams","Upper Iowa","Sr.","OF","13","51","28","0.549"
"3","Nick Perez","Saint Leo","Jr.","INF","21","85","46","0.541"
"4","Kyle Dalton","Concordia-St. Paul","Jr.","2B","12","50","26","0.520"
"5","Phillip Wilson","Central Okla.","Sr.","P","24","87","43","0.494"
"6","Austin Kaiser","Colorado Mesa","Sr.","OF","21","77","38","0.494"
"7","Sean Plunkett","West Florida","Jr.","OF","20","57","28","0.491"
"","Paul Trenhaile","Truman","Jr.","1B","17","57","28","0.491"
"9","Alex Ritchie","Indianapolis","So.","C","17","45","22","0.489"
"10","Mike Hayden","St. Anselm","Jr.","1B","12","43","21","0.488"
"11","Jose Aguirre","Upper Iowa","Sr.","C","10","31","15","0.484"
"12","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","105","49","0.467"
"13","Cliff Brantley","Adelphi","Jr.","OF","15","58","27","0.466"
"14","Matt Paculan","Urbana","Jr.","OF","12","43","20","0.465"
"15","Chris DeMorais","New Haven","Sr.","OF","7","28","13","0.464"
"","Nico Delerme","East Stroudsburg","---","C","19","56","26","0.464"
"17","Nick Thimesch","Drury","Sr.","OF","17","65","30","0.462"
"","Jose Vargas","Urbana","Sr.","OF","12","39","18","0.462"
"19","Caleb Cole","Drury","Sr.","INF","17","61","28","0.459"
"20","Joey Miller","Concord","Sr.","1B","22","72","33","0.458"
"","Austin Wallingford","Colorado Mesa","Jr.","C","17","48","22","0.458"
"22","Damin Muth","Bloomsburg","Fr.","C","15","44","20","0.455"
"23","Chris Knott","East Stroudsburg","Sr.","OF","19","62","28","0.452"
"24","Jeremy Carrell","Wayne St. (MI)","So.","INF","19","60","27","0.450"
"25","Patrick Grady","Lander","Sr.","OF","30","113","50","0.442"
"26","Matt Wilson","Shepherd","Jr.","OF","17","52","23","0.442"
"27","Jared Massengill","Ill.-Springfield","Sr.","INF","18","68","30","0.441"
"28","Joe Petosa","Felician","Sr.","OF","17","59","26","0.441"
"29","David Jacob","Quincy","Fr.","OF","12","41","18","0.439"
"30","Paul Winterbottom","Stillman","Jr.","INF","28","98","43","0.439"
"31","Garrett Fischer","St. Cloud St.","Sr.","OF","17","64","28","0.438"
"32","Michael Lott","Shepherd","Sr.","OF","21","71","31","0.437"
"33","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","94","41","0.436"
"34","Rich Baerga","St. Thomas Aquinas","Jr.","OF","15","60","26","0.433"
"","Roman Gammell","Urbana","So.","P","11","30","13","0.433"
"36","Josh Dennett","Rockhurst","Sr.","1B","17","58","25","0.431"
"37","Matt Kimmel","Azusa Pacific","Sr.","OF","22","84","36","0.429"
"38","Chase Williams","Miles","So.","C","24","96","41","0.427"
"39","Stephen Dezzi","Tampa","Jr.","OF","29","94","40","0.426"
"40","Trey Kamachi","Dixie St.","Fr.","C","24","73","31","0.425"
"41","David Lenhardt","Cedarville","Jr.","C","20","59","25","0.424"
"42","Larsen Cronkright","Northwood (MI)","---","SS","14","52","22","0.423"
"","Enmanuel Lopez","Urbana","So.","OF","9","26","11","0.423"
"44","Mike Jurgella","St. Cloud St.","Jr.","C","17","71","30","0.423"
"45","Ryan Haggstrom","Minn.-Crookston","So.","C","12","45","19","0.422"
"46","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","128","54","0.422"
"47","Anthony Pacheco","Neb.-Kearney","So.","OF","27","102","43","0.422"
"48","Tyler Bugner","Newman","---","LF","20","69","29","0.420"
"49","Skippy Ferreria","Cal St. Stanislaus","Jr.","INF","26","100","42","0.420"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","100","42","0.420"
"51","Brody Miller","Mont. St. Billings","Jr.","INF","24","86","36","0.419"
"52","Nick Howell","Trevecca Nazarene","Sr.","OF","25","98","41","0.418"
"53","Kevin Toon","Mont. St. Billings","So.","INF","19","55","23","0.418"
"54","Tyler Moore","S.C. Aiken","So.","OF","27","122","51","0.418"
"55","Nick La Face","UC San Diego","Sr.","C","20","67","28","0.418"
"","Jes Staples","Bellarmine","So.","OF","19","67","28","0.418"
"57","Alex Kirby","Newberry","Jr.","OF","25","79","33","0.418"
"58","Logan Galliher","Erskine","Jr.","OF","26","91","38","0.418"
"59","Daniel Fraga","UNC Pembroke","Sr.","INF","30","127","53","0.417"
"60","Dale Davis","Bluefield St.","Sr.","INF","20","72","30","0.417"
"","Zach Hoffman","St. Cloud St.","So.","1B","17","72","30","0.417"
"","Mike McCollum","UVa-Wise","---","DH","17","60","25","0.417"
"","Chance Wolfe","Southwest Baptist","Fr.","OF","22","72","30","0.417"
"64","Johnathon Cruz","Dowling","Jr.","OF","19","77","32","0.416"
"65","Cody Aasen","Minn. Duluth","Sr.","OF","12","41","17","0.415"
"66","Will Fulmer","Montevallo","Sr.","INF","30","128","53","0.414"
"67","Matthew Chavez","N.M. Highlands","Jr.","INF","22","58","24","0.414"
"","Jimmy Spanos","Shippensburg","Jr.","INF","17","58","24","0.414"
"69","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","97","40","0.412"
"70","Clay Ardeeser","Georgia College","Jr.","INF","24","102","42","0.412"
"","Dillion Bollig","Adams St.","So.","2B","25","68","28","0.412"
"","Codey Ellenwood","Hawaii Pacific","Jr.","DH","24","85","35","0.412"
"","Mike Muir","Bentley","Jr.","OF","13","51","21","0.412"
"","Karl Sorensen","St. Cloud St.","So.","OF","15","51","21","0.412"
"","Dylan Tice","Indiana (PA)","Jr.","INF","17","51","21","0.412"
"76","Clayton Miller","Armstrong","Sr.","C","26","107","44","0.411"
"77","Logan Moon","Mo. Southern St.","Sr.","OF","26","95","39","0.411"
"78","Steve Hazel","Georgia College","Jr.","C","23","78","32","0.410"
"79","Alex Fink","Augustana (SD)","So.","INF","18","66","27","0.409"
"80","Zach DeCamp","Lake Erie","So.","INF","16","49","20","0.408"
"81","Wigberto Nevarez","Lubbock Christian","---","C","27","96","39","0.406"
"82","Sean Miller","S.C. Aiken","So.","INF","28","101","41","0.406"
"83","Spencer Wolfe","Shepherd","Jr.","C","21","69","28","0.406"
"84","Kyle Booth","Limestone","Jr.","1B","30","106","43","0.406"
"85","C.J. Ferriggi","St. Thomas Aquinas","Sr.","P","12","37","15","0.405"
"86","Aaron Overbeck","Grand Valley St.","Jr.","INF","14","42","17","0.405"
