"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Jordan Powers","St. Norbert","Jr.","OF","24","84","42","22","1","0","2","0.607"
"2","Dave Gage","Southern Vt.","Sr.","2B","36","98","36","21","29","0","3","0.581"
"3","John Apostolo","Mitchell","Jr.","P","25","93","49","10","3","2","0","0.574"
"","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","135","66","26","1","0","0","0.574"
"5","Michael Pascarella","Pitt.-Bradford","Fr.","INF","31","102","47","21","5","2","0","0.562"
"6","Mike Nodzenski","Grinnell","Jr.","C","27","91","41","19","6","2","0","0.559"
"7","Matt Oliveto","FDU-Florham","Sr.","OF","32","123","56","27","2","0","1","0.559"
"8","Kevin Callahan","Ill. Wesleyan","So.","1B","34","122","55","28","3","1","0","0.558"
"9","Harry Steldt","Concordia (WI)","Fr.","P","29","80","31","24","6","0","2","0.555"
"10","Anthony Porcaro","Marian (WI)","Jr.","C","29","108","46","28","3","0","1","0.554"
"11","Greg Van Horn","Wooster","Sr.","INF","34","112","48","15","17","2","0","0.548"
"12","Corey McDonald","Worcester St.","Sr.","OF","34","116","56","14","6","3","1","0.547"
"13","William Bissell","Gallaudet","Fr.","OF","42","128","56","24","8","1","0","0.547"
"14","Matt Will","Frank. & Marsh.","Sr.","INF","38","122","45","41","9","2","3","0.546"
"15","Tom Hickey","John Carroll","Jr.","1B","31","110","48","23","4","1","0","0.543"
"16","Matt Cornetti","Mt. Aloysius","Jr.","C","28","78","34","16","7","4","0","0.543"
"17","Derek Smith","Pitt.-Bradford","So.","INF","31","105","48","21","1","2","0","0.543"
"18","Brandon Hannon","Emory","Fr.","OF","42","146","60","37","5","0","5","0.543"
"19","Andrew Jett","Westminster (MO)","Sr.","OF","34","96","36","34","4","3","1","0.540"
"20","Jack Kavetski","DeSales","Jr.","OF","34","94","36","13","20","1","2","0.539"
"21","Chad Mullins","Case","Sr.","3B","43","169","80","29","2","6","0","0.539"
"22","Ryan Adams","Aurora","Jr.","OF","31","113","48","29","2","3","1","0.537"
"23","Michael Tucker","Anderson (IN)","Jr.","C","35","123","54","17","12","3","0","0.535"
