"Rank","Name","Team","Cl","Pos","G","SH"
"1","Josh Doyle","North Ala.","Jr.","OF","50","19"
"2","Tim Ravel","Bloomsburg","So.","2B","45","17"
"3","Curtis Cassise","Cal St. San B'dino","Jr.","INF","34","16"
"","Tripper Crisson","Tusculum","Jr.","INF","52","16"
"","Jason Dahl","Southern Ark.","Sr.","OF","46","16"
"","T.K. Kiernan","Southern Conn. St.","So.","INF","39","16"
"7","Mike Diorio","Lynn","Sr.","INF","43","15"
"","Derek Hooper","North Ga.","Jr.","INF","48","15"
"9","Scott Lawley","Indianapolis","Sr.","2B","46","14"
"","Bret Schwartz","Central Mo.","Sr.","INF","44","14"
"11","Rudy Casillas","Upper Iowa","Sr.","SS","41","13"
"","Andrew Fitzpatrick","Mercyhurst","Jr.","OF","47","13"
"","Ryan Ventura","Pittsburg St.","Jr.","OF","44","13"
"14","Aj Almaraz","San Fran. St.","Jr.","INF","41","12"
"","Hector Flores","Incarnate Word","Sr.","INF","39","12"
"","Jarrod Forrest","Bellarmine","Fr.","INF","35","12"
"","Devon Hellett","Flagler","Sr.","INF","38","12"
"","Ryan Henritzy","Lock Haven","Fr.","OF","45","12"
"","Jason Pinkerton","Ill.-Springfield","Sr.","INF","43","12"
"","Jeff Schmidt","East Central","Sr.","INF","48","12"
"","Cody Snyder","King (TN)","So.","INF","45","12"
"","Will Wurth","Tex. A&M Int'l","Sr.","INF","47","12"
"23","Austin Dubberly","Montevallo","Jr.","INF","49","11"
"","Markus Duckworth","North Greenville","Sr.","OF","51","11"
"","Robert Haggerty","Bluefield St.","Jr.","P","24","11"
"","Matt Henriksen","Tusculum","Jr.","INF","53","11"
"","Taylor Hollifield","North Greenville","So.","INF","53","11"
"","Tony Loeffler","Mo. Western St.","Sr.","C","38","11"
"","Brandon Mack","Chowan","Fr.","-","49","11"
"","Cody Spence","Erskine","Fr.","INF","50","11"
"","Eason Spivey","North Ga.","Fr.","C","47","11"
"","Taylor Steen","Chestnut Hill","Fr.","SS","41","11"
"33","Robert Alonso","Dominican (NY)","Fr.","INF","42","10"
"","Braden Box","Colorado Mesa","Jr.","INF","43","10"
"","Tyler Boyd","Francis Marion","Sr.","OF","40","10"
"","Thomas Brunswick","West Va. Wesleyan","So.","INF","42","10"
"","Andrew Ciennik","Wayne St. (MI)","Sr.","2B","41","10"
"","Jon Cotter","Central Mo.","Jr.","INF","43","10"
"","David Frazier","North Greenville","Sr.","INF","53","10"
"","Mason Guymon","Carson-Newman","Sr.","C","46","10"
"","Kyle Hitchens","Wilmington (DE)","Sr.","INF","36","10"
"","Anthony Holloway","St. Augustine's","Sr.","OF","46","10"
"","Josh Logan","Seton Hill","Sr.","OF","46","10"
"","Taylor Nehls","Urbana","So.","2B","39","10"
"","Emmett Niland","Abilene Christian","Jr.","C","41","10"
"","Mark O'Flynn","Merrimack","Jr.","P","45","10"
"","Connor Obrochta","Tampa","So.","OF","43","10"
"","Will Percy","Flagler","Sr.","2B","46","10"
"","Evan Robinson","Tarleton St.","Fr.","INF","45","10"
"","Jonathan Rodriguez","Wilmington (DE)","Jr.","INF","39","10"
"","Chris Roemer","Pace","Sr.","OF","41","10"
"","Jeremy Stein","East Central","Jr.","OF","39","10"
"","Corey Stonelake","Wis.-Parkside","Sr.","OF","42","10"
"","Brett Underwood","Catawba","Sr.","INF","52","10"
"","Colton Yack","Dixie St.","Jr.","INF","43","10"
"","Tj Yasuhara","Cal St. Chico","Sr.","INF","45","10"
"57","Mike Barnhill","Armstrong","Jr.","2B","47","9"
"","Cody Blood","Lake Erie","Jr.","3B","42","9"
"","Anthony Caronia","Tampa","Jr.","SS","39","9"
"","Josh Carpenter","North Ala.","So.","SS","50","9"
"","Adam Chamblee","West Ala.","Fr.","INF","48","9"
"","Emilio Fernandez","Bloomfield","Sr.","OF","37","9"
"","Ross Gonsalves","Cal St. Stanislaus","Jr.","INF","43","9"
"","Sam Greenberg","Southern Conn. St.","Sr.","SS","40","9"
"","Casey Hall","Stillman","Sr.","INF","42","9"
"","Kyle Harris","St. Edward's","Sr.","C","36","9"
"","Val Helldobler","Tiffin","Sr.","INF","40","9"
"","Tito Lluberes","St. Anselm","So.","INF","48","9"
"","Rich Maccarone","C.W. Post","So.","INF","41","9"
"","Mario Maldonado","St. Mary's (TX)","Fr.","P","38","9"
"","Matt Maringer","Indianapolis","Sr.","OF","45","9"
"","Josh McElroy","St. Mary's (TX)","Sr.","OF","49","9"
"","Eddie Newton","Merrimack","So.","INF","44","9"
"","Ryan Noelte","Valdosta St.","Sr.","OF","43","9"
"","Matt Peters","California (PA)","Fr.","INF","47","9"
"","Luis Quinones","Eastern N.M.","Jr.","OF","46","9"
"","Chris Rawlings","Barton","Sr.","INF","48","9"
"","Nate Reid","Tusculum","Sr.","C","29","9"
"","Adam Rusche","Indianapolis","Sr.","INF","38","9"
"","Aaron Scoville","Shepherd","So.","INF","46","9"
"","Brad Smith","Bloomsburg","So.","P","44","9"
"","Andrew St. Pierre","Lincoln (MO)","Jr.","INF","36","9"
"","Nick Thimesch","Drury","So.","OF","42","9"
"","Max Wheeler","Southwestern Okla.","Sr.","OF","44","9"
"85","Cesar Abreu","Arkansas Tech","Jr.","INF","41","8"
"","Braulio Acosta","Wayne St. (NE)","Sr.","SS","40","8"
"","Aj Alexander","N.M. Highlands","Sr.","OF","36","8"
"","Bo Ausmus","Carson-Newman","Fr.","SS","43","8"
"","Kenny Bellavance","North Ga.","Jr.","OF","48","8"
"","Nick Billinger","Regis (CO)","Jr.","2B","45","8"
"","Julian Bridges","Limestone","So.","SS","45","8"
"","Brooke Brooks","Eastern N.M.","Jr.","OF","45","8"
"","Andrew Chandler","St. Anselm","Jr.","OF","46","8"
"","Brendan Costantino","Seton Hill","So.","INF","49","8"
"","Jan-Pi Crespo","Nyack","So.","C","32","8"
"","Patrick Daugherty","Georgia College","Sr.","OF","43","8"
"","Chad Davidson","Northeastern St.","Jr.","SS","48","8"
"","Brandon Day","Cal St. San B'dino","Sr.","1B","41","8"
"","Jesse Daywalt","Chestnut Hill","Sr.","2B","41","8"
"","Kyle DeGennaro","Philadelphia U.","Fr.","INF","42","8"
"","Zachary Drummond","Paine","Jr.","OF","40","8"
"","Ryan Ermers","Saginaw Valley","Sr.","OF","33","8"
"","Brendan Fallers","Wilmington (DE)","Fr.","INF","32","8"
"","Mitch Frey","Henderson St.","Jr.","SS","44","8"
"","Corey Gall","Maryville (MO)","So.","INF","41","8"
"","Christian Gallegos","Ark.-Monticello","Jr.","INF","44","8"
"","William Gorman","Paine","Jr.","INF","47","8"
"","Chase Graskewicz","Central Mo.","Jr.","C","41","8"
"","Brad Guenther","Wayne St. (MI)","Jr.","C","41","8"
"","Aaron Guinn","Tusculum","Sr.","1B","54","8"
"","Kris Hecktor","Northern Ky.","Jr.","INF","33","8"
"","Wes Koenig","St. Edward's","Jr.","1B","40","8"
"","Jake Kretzer","Northwest Mo. St.","Jr.","OF","43","8"
"","Nick Little","Maryville (MO)","Jr.","INF","42","8"
"","Zach Long","Carson-Newman","Jr.","3B","52","8"
"","Richie Manzi","St. Anselm","Jr.","SS","45","8"
"","Will McCord","Missouri S&T","Sr.","OF","38","8"
"","Josh McMahon","N.M. Highlands","Jr.","INF","43","8"
"","Kolin McMillen","Mercyhurst","Fr.","INF","42","8"
"","Zac Menendez","East Stroudsburg","Jr.","OF","45","8"
"","Ross Miles","Augusta St.","So.","INF","37","8"
"","Kenny Miller","Columbus St.","So.","SS","44","8"
"","Mike Nadratowski","Grand Valley St.","Fr.","OF","42","8"
"","Matt Odegaard","Minn. St. Mankato","Sr.","1B","37","8"
"","Justin Pearson","Ala.-Huntsville","Jr.","OF","44","8"
"","Angel Pimentel","C.W. Post","Jr.","INF","41","8"
