"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","Erik Klimoff","Neumann","Jr.","P","18","18.3","10"
"2","Justin McCarthy","Brockport","So.","P","15","28.0","9"
"","Derek Miller","Texas-Tyler","Jr.","P","16","23.0","9"
"","Jeremy Spalding","Trine","So.","P","16","13.3","9"
"","Jose Vega","Case","So.","P","16","16.7","9"
"","Ryan Grant","Wheaton (MA)","So.","P","17","17.0","9"
"","Mike Bitanga","Emory","Jr.","P","19","38.0","9"
"","Brandon Ullom","York (PA)","Sr.","P","19","19.0","9"
"","Ed Cook","Piedmont","Sr.","P","21","34.7","9"
"","Ryan Fleischmann","Chris. Newport","Jr.","P","77","27.0","9"
"11","Kirby Cantalamessa","LeTourneau","Jr.","P","17","22.7","8"
"","Aj Rosenthal","Frostburg St.","So.","P","17","28.3","8"
"","Michael Ham","TCNJ","Sr.","P","18","22.0","8"
"","Sean Kistler","Texas Lutheran","Jr.","P","20","29.7","8"
"","Austin Patton","Maryville (TN)","Sr.","P","22","24.7","8"
"16","Joey Long","Saint John's (MN)","Jr.","INF","13","17.3","7"
"","Tyler Spivey","Huntingdon","Fr.","P","13","14.0","7"
"","Tyler Leichtenberger","Rochester Inst.","So.","P","15","17.3","7"
"","Aaron Schwartz","Johns Hopkins","Sr.","P","16","25.7","7"
"","Ryan Ullmann","Concordia (TX)","Jr.","P","17","23.3","7"
"","Ryan Rechten","Muhlenberg","Jr.","P","19","23.0","7"
"","Ryan Wood","Randolph-Macon","Sr.","P","19","24.0","7"
"","Max Willard","Texas-Dallas","Sr.","P","20","24.3","7"
"","Blake Yance","Birmingham-So.","Jr.","P","20","34.3","7"
"","Jesse Bauer","La Roche","So.","P","21","49.7","7"
"","Chip Hockenbury","Hanover","So.","P","22","26.7","7"
"","Shay Wagner","Benedictine (IL)","Jr.","P","39","11.0","7"
"","Jason Renner","Whitworth","Fr.","P","54","26.0","7"
"29","William Katzka","Chicago","So.","INF","9","9.3","6"
"","Ian Edwards","Bowdoin","Sr.","P","10","12.0","6"
"","Chris DePalma","Johnson & Wales (RI)","Sr.","INF","11","13.3","6"
"","Brad Kubis","Bethany (WV)","Jr.","INF","12","14.3","6"
"","Steve Sanguiliano","Kean","Sr.","INF","13","22.0","6"
"","Michael Mansfield","Lynchburg","So.","OF","14","32.3","6"
"","Chad Zurat","Penn St.-Behrend","So.","P","14","26.3","6"
"","Joe Wojda","DePauw","Jr.","P","15","14.7","6"
"","Kevin Becker-Menditto","Alvernia","Fr.","P","16","24.0","6"
"","Danny Niehaus","Transylvania","Sr.","P","16","23.7","6"
"","Nick Evans","Rutgers-Newark","Sr.","P","18","20.0","6"
"","Buddy Flaherty","Bethel (MN)","Sr.","INF","19","29.3","6"
"","Chris Skiniotes","Aurora","Jr.","P","38","17.3","6"
"","Matt Riegler","Shenandoah","Fr.","P","48","32.0","6"
"43","Jeff Thomas","Mass.-Boston","Jr.","P","8","10.7","5"
"","Jon Tenley","Baldwin-Wallace","Jr.","P","10","13.7","5"
"","Hank Akard","Rose-Hulman","So.","SS","11","46.0","5"
"","David Camilleri","McMurry","Fr.","-","11","18.7","5"
"","Tyler Herman","North Central (IL)","Sr.","P","11","17.0","5"
"","Kyle Lindquist","Marietta","Sr.","P","11","20.3","5"
"","Allen Loth","Beloit","Sr.","OF","11","23.0","5"
"","Paul Giulio","Frank. & Marsh.","Fr.","INF","13","12.0","5"
"","Chase Hirschauer","Wartburg","So.","INF","13","19.7","5"
"","Quinn Rhoda","Union (NY)","Jr.","P","13","15.7","5"
"","Alex Schomaeker","Defiance","Jr.","P","13","16.0","5"
"","Connor Alberhasky","Coe","Fr.","P","14","36.3","5"
"","Trevor Connors","DeSales","Fr.","P","14","17.7","5"
"","Ben Goldberg","Trinity (CT)","Jr.","P","14","34.3","5"
"","Tyler Hebda","Cal Lutheran","So.","P","14","24.3","5"
"","Todd Leister","Elizabethtown","Sr.","P","14","14.3","5"
"","John Morrison","Endicott","So.","P","14","22.0","5"
"","Mark Schaper","Oswego St.","Sr.","P","14","33.0","5"
"","Matt Smith","Susquehanna","So.","P","14","15.0","5"
"","Spencer Radabaugh","Loras","Sr.","P","15","26.3","5"
"","Zacary Cooney","Mass. Maritime","Fr.","P","16","39.7","5"
"","Patrick Rock","Drew","Jr.","OF","17","29.0","5"
"","Alex Silverthorne","North Park","Jr.","P","18","28.3","5"
"","Tyler Brunnemann","Hardin-Simmons","Jr.","P","19","33.0","5"
"","Taylor Landry","WPI","Fr.","P","20","40.7","5"
"","Zach Adams","Messiah","Sr.","C","21","39.7","5"
