"Rank","Name","Team","Cl","Pos","App","IP","SO"
"1","Ben Klimesh","Trinity (TX)","Sr.","P","15","97.7","142"
"2","Chris Perry","Methodist","Sr.","P","15","88.0","123"
"3","Brian Rauh","Chapman","Jr.","P","11","79.0","106"
"4","Russ Gilliam","Neumann","Jr.","P","14","71.3","95"
"5","Ryan Doty","Wartburg","Jr.","P","12","74.0","93"
"6","Paul Schwendel","Emory","Sr.","P","13","84.7","92"
"7","Kevin Herget","Kean","Jr.","P","10","76.7","89"
"8","Torey Mancari","Mary Washington","Jr.","P","11","64.3","88"
"9","Shane Mattingly","Washington Col.","Sr.","P","11","72.0","84"
"","David Mueller","Webster","Sr.","P","12","66.0","84"
"11","Travis McGee","Chapman","Jr.","P","10","72.7","81"
"12","Justin D'Amato","St. John Fisher","So.","P","11","61.7","80"
"13","Mike Jeffreys","Geneva","So.","3B","14","68.3","78"
"","Dan Scheibe","Whitworth","Fr.","P","29","71.3","78"
"15","Austin Blaski","Marietta","Sr.","P","13","70.7","77"
"","Doug Politz","Frostburg St.","Jr.","P","13","62.3","77"
"17","Connor Dillman","Emory","Fr.","P","11","66.7","76"
"","Jt Miller","Wabash","So.","P","12","71.7","76"
"","Aaron Schuldt","SUNY Cortland","Sr.","P","10","66.3","76"
"20","Alexander Eliopoulos","Johns Hopkins","Sr.","P","11","76.0","75"
"","Steve Kuligowski","North Park","Sr.","P","12","73.3","75"
"","Nick Soldano","North Park","Jr.","INF","11","74.7","75"
"","Chris Walker","Ferrum","So.","P","23","86.0","75"
"24","Will Edwards","Millsaps","Fr.","-","16","84.3","74"
"","Ryan Lucero","Trinity (TX)","Jr.","P","11","68.7","74"
"","Brad Orosey","Texas Lutheran","Sr.","P","13","81.3","74"
"","Oliver Van Zant","Bowdoin","Jr.","SS","8","51.3","74"
"28","Scott Benson","Wartburg","Jr.","INF","11","76.7","72"
"29","Jackson Baker","Rhodes","Jr.","P","14","77.7","71"
"","Braylin Perez","John Jay","So.","P","13","79.0","71"
"","Sean White","Dickinson","Sr.","P","12","78.0","71"
"32","Trevor Lubking","Pacific Lutheran","Fr.","P","22","63.0","70"
"33","Caleb Cochran","Piedmont","Sr.","P","11","77.3","69"
"","Steven Dooley","Webster","Jr.","P","18","71.7","69"
"","Scott Hays","Concordia (TX)","Sr.","P","13","71.7","69"
"","Blaine O'Brien","Keystone","Sr.","P","9","58.0","69"
"","Chance Ryan","Mary Hardin-Baylor","Jr.","P","12","65.7","69"
"","Jeff Spillane","Texas Lutheran","Jr.","P","11","68.7","69"
"","Mason Webster","LaGrange","Jr.","P","13","63.7","69"
"40","Brian Ranta","George Fox","Sr.","P","11","84.0","68"
"","Blake Stevens","Birmingham-So.","Fr.","P","12","67.3","68"
"","Luke Westphal","Wis.-Oshkosh","Sr.","P","10","60.0","68"
"43","Jason Beaumont","St. John Fisher","Fr.","-","9","57.7","67"
"","Chance Cotton","East Tex. Baptist","Jr.","P","13","76.3","67"
"","Chris Phelan","Farmingdale St.","Sr.","P","11","69.0","67"
"","Joel Pulliam","Central (IA)","Sr.","P","10","65.0","67"
"47","Emmett Goodman","Oglethorpe","Jr.","P","13","64.0","65"
"","Scott Trousdale","Mississippi Col.","Sr.","P","16","73.0","65"
"","Kyle Van Vliet","Rutgers-Newark","Jr.","P","12","68.3","65"
"50","Tyler Erickson","Castleton","Sr.","P","11","89.0","64"
"","Ryan Jacobs","Penn St.-Behrend","Jr.","P","9","46.3","64"
