"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","Jess Cooper","West Tex. A&M","Jr.","INF","46","160","79","0.494"
"2","Nick DeBiasse","Central Mo.","Sr.","INF","46","161","77","0.478"
"3","Bryan Lippincott","Concordia-St. Paul","Jr.","3B","29","118","55","0.466"
"4","Matt Johnson","Arkansas Tech","Sr.","OF","46","198","92","0.465"
"5","Brandon Gipson","Benedict","Sr.","C","40","130","60","0.462"
"6","Kenny Held","Cameron","Sr.","OF","44","167","77","0.461"
"","Chase Larsson","Cameron","Jr.","OF","44","167","77","0.461"
"8","Nathan Minnich","Shepherd","Jr.","1B","33","108","49","0.454"
"9","Greg Pron","West Fla.","Sr.","OF","48","168","74","0.440"
"10","Matt Roohan","Incarnate Word","Sr.","INF","47","184","81","0.440"
"11","David Harvey","Morehouse","Jr.","OF","37","119","52","0.437"
"12","Dillon Hazlett","Emporia St.","Sr.","INF","45","174","75","0.431"
"13","William Calhoun","Abilene Christian","Sr.","DH","47","181","78","0.431"
"14","Donald Smith","Claflin","Jr.","OF","34","114","49","0.430"
"15","Stuart Drew","West Ga.","Jr.","2B","48","182","78","0.429"
"16","Jason Simone","Mount Olive","Sr.","OF","37","150","64","0.427"
"17","John Zule","Incarnate Word","So.","INF","37","108","46","0.426"
"18","Kendall Boone","West Tex. A&M","Jr.","INF","48","177","75","0.424"
"19","David Fox","Metro St.","Sr.","OF","40","144","61","0.424"
"20","Jacob Rogers","Mount Olive","Jr.","3B","45","156","66","0.423"
"21","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","121","51","0.421"
"22","Charlie Dubanoski","Augustana (SD)","Sr.","INF","40","140","59","0.421"
"23","Greg Anderson","Colorado Mesa","Sr.","OF","44","148","62","0.419"
"24","Brandon James","Lake Erie","Sr.","OF","41","141","59","0.418"
"25","Mike Williams","Newman","Sr.","INF","46","175","73","0.417"
"26","William Smalls","Albany St. (GA)","Jr.","SS","52","181","75","0.414"
"27","Michael Bueker","Mars Hill","Jr.","INF","48","210","87","0.414"
"28","Justin Miller","Southeastern Okla.","Sr.","OF","45","162","67","0.414"
"29","Andrew Jones","Tampa","Jr.","OF","45","155","64","0.413"
"30","Steve Anderson","Grand Valley St.","Jr.","OF","40","129","53","0.411"
"31","Brandon Brewer","West Fla.","Sr.","SS","48","151","62","0.411"
"32","Travis Hayes","Tarleton St.","Jr.","INF","36","117","48","0.410"
"33","Jp LaMunyon","North Ala.","Jr.","3B","43","161","66","0.410"
"34","Dodson McPherson","Wingate","Jr.","OF","54","222","91","0.410"
"35","Bryan Butcher","Morehouse","Jr.","C","41","142","58","0.408"
"36","Andrew Haake","Neb.-Kearney","Sr.","1B","43","152","62","0.408"
"37","Vallmer Jordan","Morehouse","Jr.","OF","33","103","42","0.408"
"38","Adam Taylor","North Greenville","So.","P","44","167","68","0.407"
