"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","135","133"
"2","John Macon Smith","Guilford","So.","INF","41","155","123"
"3","Tyler Pfeffer","Whitworth","So.","INF","40","163","122"
"4","Sean Riley","Bridgewater St.","Jr.","2B","40","147","115"
"5","Chase Brown","Texas-Dallas","Sr.","OF","43","160","112"
"","Adam Derner","Wm. Paterson","Sr.","1B","40","135","112"
"7","Corey Marchant","Manchester","Jr.","INF","37","144","110"
"","Jordan Walton","Randolph-Macon","Sr.","1B","39","159","110"
"9","Tony Prescott","Stevenson","Sr.","DH","42","154","109"
"10","Stephen Gates","Millsaps","Jr.","INF","44","185","107"
"11","Trey Martin","Wheaton (IL)","Jr.","3B","37","147","105"
"12","Wes Perkins","Millsaps","Jr.","C","44","175","104"
"13","Kenny Durling","Misericordia","Jr.","OF","38","138","103"
"","Geoff Kimmel","Wesley","Sr.","1B","42","159","103"
"","Aaron McCain","Texas-Tyler","Sr.","INF","43","177","103"
"","Chris Sweeney","King's (PA)","Jr.","OF","34","138","103"
"","Andrew Vallejo","Whittier","Sr.","OF","36","149","103"
"18","Terry Davis","Illinois Col.","Sr.","OF","33","117","102"
"19","Christian Muscarello","Trinity (TX)","So.","INF","44","171","100"
"","Brandon Rogalski","Washington-St. Louis","Sr.","OF","39","164","100"
"21","William Bissell","Gallaudet","So.","OF","42","142","99"
"","Joey Donofrio","Shenandoah","Jr.","OF","40","173","99"
"","Nick Gentili","Pomona-Pitzer","Jr.","OF","36","139","99"
"","Ethan Moser","DeSales","Sr.","OF","38","132","99"
"25","Brock Gates","Pacific Lutheran","Sr.","INF","37","160","98"
"","Ryan Gibbons","Wm. Paterson","Jr.","OF","40","151","98"
"27","Beau Banglesdorf","East. Mennonite","Sr.","SS","38","157","97"
"","Connor Bierfeldt","Western Conn. St.","Jr.","OF","30","109","97"
"","Matthew Hardy","Immaculata","Jr.","INF","37","125","97"
"","Steve Karnyski","St. John Fisher","Sr.","INF","35","146","97"
"","Josh Mcmillian","Emory & Henry","Sr.","INF","38","171","97"
"","Jake Pendergraft","Shenandoah","Sr.","OF","39","155","97"
"33","Justin Anderson","Stevenson","Sr.","1B","44","183","96"
"","Hayden Chick","Texas-Tyler","Sr.","C","43","165","96"
"","Dan Fiorito","Manhattanville","Sr.","SS","34","130","96"
"","Michael Kenah","Lynchburg","Jr.","SS","42","172","96"
"","Steve Tretter","York (PA)","Jr.","OF","39","165","96"
"","Michael Tucker","Anderson (IN)","Sr.","C","37","130","96"
"39","Ethan Rieker","Susquehanna","Sr.","INF","39","143","95"
"","Matt Ruch","Wilkes","Sr.","INF","39","149","95"
"","Dan Savage","Lynchburg","Jr.","2B","41","160","95"
"42","Matt Bittner","Penn St.-Behrend","Jr.","INF","37","135","94"
"","Nick Turano","Rowan","Sr.","C","38","157","94"
"44","Drew Golz","Wheaton (IL)","Sr.","OF","37","157","93"
"","Jacob Ludvik","La Verne","Sr.","OF","37","157","93"
"","Anthony Orsano","Old Westbury","Sr.","C","39","147","93"
"","Nick Pappas","Trinity (TX)","Sr.","INF","44","158","93"
"","Sean Ryan","Wheaton (MA)","Jr.","OF","39","167","93"
"","Devon Snow","Bridgewater (VA)","Sr.","OF","44","185","93"
"50","Eric Bohem","King's (PA)","Jr.","OF","37","148","92"
"","Paul Greco","Lancaster Bible","Sr.","INF","31","113","92"
"","Cory Nelson","Shenandoah","Sr.","3B","40","149","92"
"","Kyle Niermann","Bluffton","Jr.","P","37","165","92"
"","Tony Sanchez","North Park","Fr.","-","37","152","92"
