"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Brandon Moore","Arkansas","So.","P","16","46.3","2","0.39"
"2","Adam Norton","Notre Dame","Jr.","INF","11","72.0","4","0.50"
"3","Aaron Nola","LSU","Fr.","P","13","55.3","4","0.65"
"4","Tyler Deetjen","Valparaiso","Sr.","P","11","82.0","6","0.66"
"5","Mike Augliera","Binghamton","Sr.","P","9","57.3","5","0.79"
"6","Preston Morrison","TCU","Fr.","P","14","67.3","6","0.80"
"7","Dylan Floro","Cal St. Fullerton","Jr.","P","11","74.0","7","0.85"
"8","Hudson Randall","Florida","Jr.","P","9","52.0","5","0.87"
"9","Matt Gwaltney","Longwood","Sr.","P","12","71.0","7","0.89"
"10","Seth Webster","Nicholls St.","Sr.","P","11","78.3","8","0.92"
"11","Brian McAfee","Cornell","Fr.","P","9","56.0","6","0.96"
"12","Lance Breedlove","Purdue","Sr.","P","11","73.0","8","0.99"
"13","Matt Flemer","California","Sr.","1B","11","82.0","9","0.99"
"14","Brian Connolly","UNC Asheville","So.","P","15","45.0","5","1.00"
"15","Kyle McGowin","Savannah St.","So.","P","13","80.3","9","1.01"
"16","Taylor Haydel","Western Ky.","Jr.","P","20","53.0","6","1.02"
"17","Eric Erickson","Miami (FL)","Sr.","P","11","69.0","8","1.04"
"18","Kerry Doane","East Tenn. St.","Jr.","INF","15","43.0","5","1.05"
"19","Jaron Long","Ohio St.","So.","P","12","77.3","9","1.05"
"20","Kyle Kraus","Portland","Sr.","P","11","84.7","10","1.06"
"21","Matthew Sisto","Hawaii","Sr.","P","11","76.0","9","1.07"
"22","Koby Gauna","Cal St. Fullerton","Fr.","P","13","50.0","6","1.08"
"23","A.J. Ladwig","Wichita St.","Fr.","P","14","47.3","6","1.14"
"24","Trevor Williams","Arizona St.","So.","P","12","78.7","10","1.14"
"25","Sasha Kuebel","Iowa","Fr.","P","10","62.3","8","1.16"
"26","Jordan Montgomery","South Carolina","Fr.","P","10","46.7","6","1.16"
"27","James Farris","Arizona","So.","P","11","68.3","9","1.19"
"28","Dayne Quist","UC Davis","Sr.","P","10","75.0","10","1.20"
"29","Pat Light","Monmouth","Jr.","P","11","80.3","11","1.23"
"30","Anthony Kupbens","UC Davis","Sr.","P","10","65.3","9","1.24"
"31","Seth Cutler-Voltz","VCU","Sr.","P","15","57.7","8","1.25"
"32","Tom Briner","UC Davis","Sr.","P","10","64.7","9","1.25"
"33","Matt Davenport","William & Mary","Sr.","P","13","86.0","12","1.26"
"34","Ryan Casey","Wagner","So.","P","10","57.0","8","1.26"
"35","T.J. Oakes","Minnesota","Jr.","P","11","77.7","11","1.27"
"36","Tyler Joyner","East Carolina","Jr.","P","12","70.0","10","1.29"
"","Blake Mascarello","Purdue","Sr.","P","20","49.0","7","1.29"
"38","Evan Stecko-Haley","Stony Brook","Sr.","P","10","55.3","8","1.30"
"39","Colin Welmon","Loyola Marymount","Fr.","P","11","68.7","10","1.31"
"40","Michael Hager","Pacific","Fr.","P","14","61.7","9","1.31"
"41","Justin Ziegler","Bradley","Sr.","P","12","54.3","8","1.33"
"42","Ryan Dull","UNC Asheville","Sr.","P","10","60.7","9","1.33"
"43","Rafael Pineda","Texas A&M","Jr.","P","11","67.3","10","1.34"
"44","Will Dorsey","Stetson","Sr.","P","13","67.0","10","1.34"
"","Ryan Fasano","Rutgers","Sr.","P","12","73.7","11","1.34"
"46","Thomas Harlan","Fresno St.","Sr.","P","15","73.0","11","1.36"
"47","Kurt Heyer","Arizona","Jr.","P","11","85.7","13","1.37"
"48","Duke von Schamann","Texas Tech","So.","INF","11","79.0","12","1.37"
"49","John Straka","North Dakota St.","Jr.","P","11","78.7","12","1.37"
"50","Ryan Torgerson","Indiana St.","Jr.","P","11","65.3","10","1.38"
"51","Dalton Schafer","Houston Baptist","Sr.","P","11","78.3","12","1.38"
"52","Brady Rodgers","Arizona St.","Jr.","P","11","83.7","13","1.40"
"53","Ethan Mildren","Pittsburgh","So.","P","10","70.7","11","1.40"
"54","Russ Harless","Youngstown St.","Fr.","P","16","51.0","8","1.41"
"55","Josh Renfro","Col. of Charleston","Sr.","P","12","63.7","10","1.41"
"56","Josh Walker","New Mexico","So.","P","13","57.3","9","1.41"
"57","Shawn Marquardt","Miami (OH)","Sr.","P","11","74.0","12","1.46"
"58","Ricky Knapp","Fla. Gulf Coast","So.","P","11","80.0","13","1.46"
"59","Ross Stripling","Texas A&M","Sr.","P","11","86.0","14","1.47"
"60","Mike Eliasen","Fairleigh Dickinson","Sr.","INF","11","73.7","12","1.47"
"","Chris Rowley","Army","Jr.","P","11","73.7","12","1.47"
"62","Brett Koehler","William & Mary","Jr.","P","10","49.0","8","1.47"
"","Damian Rivera","Saint Louis","So.","P","11","49.0","8","1.47"
"64","Jon Prosinski","Seton Hall","Jr.","P","11","73.3","12","1.47"
"65","Jake Lambert","Binghamton","Jr.","P","9","54.7","9","1.48"
"66","Troy Scribner","Sacred Heart","Jr.","P","10","60.7","10","1.48"
"67","Eric Van Wyk","La Salle","Sr.","P","11","72.3","12","1.49"
"68","Francis Brooke","Northwestern","Sr.","P","12","72.0","12","1.50"
"","Lindsey Caughel","Stetson","Sr.","P","12","66.0","11","1.50"
"","Marco Gonzales","Gonzaga","So.","1B","8","60.0","10","1.50"
"","Michael Palazzone","Georgia","Sr.","P","12","60.0","10","1.50"
"72","Jacob Roark","Northwestern St.","So.","P","13","53.7","9","1.51"
"73","Aaron West","Washington","Jr.","P","12","65.0","11","1.52"
"74","Tyler Ray","Troy","Sr.","P","11","76.7","13","1.53"
"75","Kyle Zimmer","San Francisco","Jr.","P","11","76.3","13","1.53"
"76","Alex Keudell","Oregon","Sr.","P","12","81.7","14","1.54"
"77","Shaun Coughlin","Maine","So.","P","13","64.0","11","1.55"
"78","Tyler Johnson","Stony Brook","Sr.","P","8","52.3","9","1.55"
"79","Mitch Horacek","Dartmouth","So.","P","8","52.0","9","1.56"
"80","Joe Bircher","Bradley","Sr.","P","11","80.7","14","1.56"
"81","Stefan Crichton","TCU","So.","P","12","63.3","11","1.56"
"","Tyler Klitsch","Winthrop","Jr.","P","16","63.3","11","1.56"
"83","Will Handlin","Murray St.","Jr.","P","22","46.0","8","1.57"
"84","Austin Maddox","Florida","Jr.","INF","25","45.7","8","1.58"
"85","Andrew Pierce","Southern Miss.","Jr.","P","11","74.0","13","1.58"
"86","Michael Renner","North Florida","Jr.","P","9","56.3","10","1.60"
"87","Ben Singer","Bowling Green","So.","P","22","45.0","8","1.60"
"88","Ben Tomchick","Old Dominion","Sr.","P","12","61.7","11","1.60"
"89","Austin Lubinsky","Minnesota","Sr.","P","11","61.3","11","1.62"
"90","Craig Warner","Fairleigh Dickinson","Jr.","P","12","55.7","10","1.62"
"91","Jimmy Reed","Maryland","Jr.","P","17","49.7","9","1.63"
"","Grahamm Wiest","Cal St. Fullerton","Fr.","P","10","49.7","9","1.63"
"93","Kyle Anderson","Cal Poly","Sr.","P","11","71.7","13","1.63"
"","Dan Weigel","Bucknell","So.","P","11","71.7","13","1.63"
"95","Michael Wacha","Texas A&M","Jr.","P","11","77.0","14","1.64"
"96","Joey Wagman","Cal Poly","Jr.","P","11","76.7","14","1.64"
"97","Jeff Gorecki","Oakland","Sr.","INF","11","65.0","12","1.66"
"98","Tyler Smith","Rider","Jr.","P","19","48.7","9","1.66"
"99","Eddie Orozco","UC Riverside","Sr.","P","11","70.3","13","1.66"
"100","Ryan Bores","Kent St.","Jr.","P","11","64.7","12","1.67"
