"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Jeremy Rhoades","Illinois St.","Jr.","P","8","25.0","39","14.04"
"2","Matt Imhof","Cal Poly","Jr.","P","6","42.2","64","13.50"
"3","Brandon Finnegan","TCU","Jr.","P","6","43.2","65","13.40"
"4","Aaron Nola","LSU","Jr.","P","6","40.1","56","12.50"
"5","Matt Krook","Oregon","Fr.","P","6","36.0","49","12.25"
"6","Ben Smith","Coastal Caro.","Jr.","P","6","28.2","39","12.24"
"7","Zac Curtis","Middle Tenn.","Sr.","P","6","39.1","52","11.90"
"8","Conor Fisk","Southern Miss.","Sr.","P","4","26.2","35","11.81"
"","Dan Gautieri","Penn","Jr.","P","4","21.1","28","11.81"
"10","Kyle McKenzie","Tulane","Sr.","P","6","23.1","30","11.57"
"11","DJ Roche","NJIT","Sr.","P","4","20.2","26","11.32"
"12","Luke Leftwich","Wofford","So.","P","6","37.0","46","11.19"
"13","Michael Fagan","Princeton","Sr.","P","4","22.0","27","11.05"
"14","Justin Calomeni","Cal Poly","Fr.","P","6","32.2","40","11.02"
"15","Jake Stinnett","Maryland","Sr.","P","6","42.0","51","10.93"
"16","Carlos Rodon","North Carolina St.","Jr.","P","6","41.1","50","10.89"
"17","T.J. Fussell","Western Caro.","Sr.","P","9","24.0","29","10.88"
"18","Tyler Beede","Vanderbilt","Jr.","P","6","35.0","42","10.80"
"","Jesse Morris","Wofford","Sr.","P","10","30.0","36","10.80"
"20","Bryan Radziewski","Miami (FL)","Sr.","P","5","27.0","32","10.67"
"21","Cory Taylor","Dallas Baptist","So.","P","7","34.2","41","10.64"
"22","Max Cordy","UC Davis","So.","P","4","20.1","24","10.62"
"23","Phil Bickford","Cal St. Fullerton","Fr.","P","9","27.1","32","10.54"
"24","Trevor Fitts","Mississippi St.","Jr.","P","6","31.2","37","10.52"
"25","Mike Franco","FIU","Sr.","P","6","38.2","45","10.47"
"26","Sean Newcomb","Hartford","Jr.","P","5","32.2","38","10.47"
"27","Dylan Craig","Illinois St.","So.","P","6","37.0","43","10.46"
"28","Nick Cassell","Lehigh","Sr.","P","7","17.1","20","10.38"
"","Alex Daniele","NJIT","Fr.","P","4","26.0","30","10.38"
"30","Jordan Schwartz","Niagara","Jr.","P","6","38.1","44","10.33"
"31","Zech Lemond","Rice","Jr.","P","8","34.0","39","10.32"
"32","Sam Howard","Ga. Southern","Jr.","P","6","37.2","43","10.27"
"33","Dustin Hunt","Northeastern","Fr.","P","5","26.1","30","10.25"
"34","Matt Ditman","Rice","So.","C","10","31.2","36","10.23"
"35","Brandon Hinkle","Delaware","Sr.","P","6","34.1","39","10.22"
"36","Tyler Stubblefield","Texas A&M","Fr.","P","10","35.1","40","10.19"
"37","Ryan Thompson","Campbell","Sr.","P","15","36.1","41","10.16"
"38","Andro Cutura","Southeastern La.","Jr.","P","6","40.1","45","10.04"
"39","David Hess","Tennessee Tech","Jr.","P","6","37.2","42","10.04"
"40","Daniel Gossett","Clemson","Jr.","P","6","36.0","40","10.00"
"","Anthony Mannuccia","Central Conn. St.","---","P","3","9.0","10","10.00"
"42","Daniel Mengden","Texas A&M","Jr.","P","6","41.2","46","9.94"
"43","Michael Murray","FGCU","So.","P","6","44.2","49","9.87"
"44","Kyle Freeland","Evansville","Jr.","P","5","32.0","35","9.84"
"45","Erick Fedde","UNLV","Jr.","P","6","43.0","47","9.84"
"46","Brent Jones","Cornell","Jr.","P","4","18.1","20","9.82"
"","Patrick Peterson","North Carolina St.","Jr.","P","6","22.0","24","9.82"
"48","Paul Voelker","Dallas Baptist","Jr.","P","6","37.2","41","9.80"
"49","Andrew Woods","VMI","Jr.","P","6","34.0","37","9.79"
"50","Seth Varner","Miami (OH)","Sr.","P","6","38.2","42","9.78"
"51","Christian Talley","Southern Miss.","Jr.","P","5","29.2","32","9.71"
"52","Jason Foley","Sacred Heart","Fr.","P","6","21.1","23","9.70"
"53","Travis Bergen","Kennesaw St.","So.","P","6","34.1","37","9.70"
"54","Brian Hunter","Hartford","Sr.","INF","5","27.0","29","9.67"
"55","Heath Dwyer","VCU","Jr.","P","5","31.2","34","9.66"
"56","Aaron Rhodes","Florida","So.","P","12","28.0","30","9.64"
"57","James Kaprielian","UCLA","So.","P","6","39.1","42","9.61"
"58","Brent Jurceka","Evansville","So.","P","8","20.2","22","9.58"
"59","Grant Borne","Nicholls St.","So.","P","6","34.0","36","9.53"
"","Taylor Byrd","Nicholls St.","Sr.","P","6","39.2","42","9.53"
"61","Jake Roehn","Ohio","Fr.","P","5","25.2","27","9.47"
"62","Trent Thornton","North Carolina","So.","P","6","42.0","44","9.43"
"63","Austen Williams","Texas St.","Jr.","P","6","37.1","39","9.40"
"64","Cody Johnson","Fordham","So.","P","9","23.0","24","9.39"
"","Jordan Montgomery","South Carolina","Jr.","P","6","30.2","32","9.39"
"66","Mat Batts","UNC Wilmington","Sr.","P","6","39.1","41","9.38"
"67","Aaron Myers","Longwood","Jr.","P","6","49.0","51","9.37"
"","Brett Lilek","Arizona St.","So.","P","6","32.2","34","9.37"
"69","Mike McGee","Buffalo","Jr.","P","5","25.0","26","9.36"
"70","Brock Hartson","UTSA","So.","P","6","35.2","37","9.34"
"71","J.P. France","Tulane","Fr.","P","7","27.0","28","9.33"
"72","Matt McCall","Ga. Southern","Sr.","P","15","28.0","29","9.32"
"73","Connor Bach","VMI","Sr.","P","6","29.0","30","9.31"
"74","Vincent Molesky","Mt. St. Mary's","Sr.","P","5","20.1","21","9.30"
"75","Anthony Parenti","Navy","Jr.","P","6","42.2","44","9.28"
"76","Chase Mallard","UAB","Sr.","P","6","43.2","45","9.27"
"77","Mitchell Schulewitz","Ill.-Chicago","Fr.","P","12","22.1","23","9.27"
"","Taylor Thurber","Appalachian St.","Jr.","P","10","22.1","23","9.27"
"79","Austin Coley","Belmont","Jr.","P","6","36.0","37","9.25"
"80","Michael Ellis","FIU","Sr.","P","8","24.1","25","9.25"
