"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","162","70","32","15","3","0","0.552"
"2","Raph Rhymes","LSU","Jr.","OF","41","156","78","12","3","3","0","0.534"
"3","Albert Carpen","Chicago St.","Sr.","OF","37","126","54","30","1","3","3","0.531"
"4","James Ramsey","Florida St.","Sr.","OF","43","149","58","39","7","2","2","0.528"
"5","Eddie Sorondo","Delaware St.","So.","C","39","105","36","27","16","2","3","0.527"
"6","Jamodrick McGruder","Texas Tech","Jr.","INF","45","160","61","40","9","1","8","0.524"
"7","Zach Stephens","Tennessee Tech","So.","1B","43","166","70","26","9","1","0","0.520"
"8","Ben Magsig","Eastern Mich.","Sr.","INF","41","132","45","39","12","2","0","0.519"
"9","Forrestt Allday","Central Ark.","Jr.","OF","40","129","43","48","2","1","6","0.517"
"10","Danny Poma","Hofstra","Sr.","OF","42","178","80","17","10","3","0","0.514"
"11","Jared Hammer","Hofstra","Jr.","1B","42","158","64","33","4","2","0","0.513"
"12","Ryan Kresky","Fairleigh Dickinson","Sr.","INF","43","145","56","31","9","3","0","0.511"
"13","Mike Martinez","FIU","Sr.","1B","40","146","57","29","8","4","0","0.503"
"14","Zac Mitchell","Belmont","Sr.","INF","44","153","56","19","24","2","6","0.500"
"15","Chris Wolfe","Grambling","Sr.","INF","41","160","55","45","5","1","0","0.498"
"16","Marty Gantt","Col. of Charleston","Sr.","OF","44","170","67","30","5","1","1","0.495"
"17","Joey Cujas","VCU","So.","INF","44","158","63","24","10","4","0","0.495"
"18","Tyler Heineman","UCLA","Jr.","C","38","131","51","18","11","2","11","0.494"
"19","Juluis Green","Savannah St.","Sr.","INF","41","115","38","13","25","1","3","0.494"
"20","Brock Hebert","Southeastern La.","Jr.","INF","45","171","70","23","7","2","4","0.493"
"21","Shane Zimmer","Canisius","So.","OF","43","126","38","44","5","2","2","0.492"
"22","Sean Potkay","Tulane","Jr.","INF","38","127","44","34","2","0","3","0.491"
"23","D.J. Peterson","New Mexico","So.","3B","45","183","80","20","2","3","0","0.490"
"24","Logan Pierce","Troy","Jr.","INF","44","168","65","34","3","4","1","0.488"
"25","Parker Hipp","New Mexico St.","Jr.","C","43","150","51","43","6","6","1","0.488"
"26","Patrick Kivlehan","Rutgers","Sr.","3B","38","143","57","15","12","3","0","0.486"
"27","Mike McQuillan","Iowa","Sr.","2B","39","141","49","32","7","2","1","0.484"
"28","Ty Young","Louisville","So.","INF","42","133","49","15","15","1","1","0.482"
"29","Richie Shaffer","Clemson","Jr.","INF","45","167","58","45","0","2","0","0.481"
"30","Chad Hinshaw","Illinois St.","Jr.","OF","38","106","26","34","15","1","2","0.481"
"31","Justin Lacy","Longwood","Jr.","DH","39","147","58","21","4","1","1","0.480"
"32","Ronnie Richardson","UCF","Jr.","OF","44","156","46","33","24","2","2","0.479"
"33","Brandon Trinkwon","UC Santa Barbara","So.","INF","42","146","50","36","3","1","0","0.478"
"34","Kris Bryant","San Diego","So.","3B","44","162","58","29","9","1","0","0.478"
"35","Ty Stetson","Murray St.","So.","OF","44","169","55","43","7","1","3","0.477"
