"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","Michael Wagner","San Diego","So.","P","25","38.7","19"
"2","Stefan Lopez","Southeastern La.","Jr.","INF","20","20.7","16"
"3","Owen Jones","Portland","Sr.","P","23","23.3","14"
"4","Chris O'Grady","George Mason","Jr.","P","21","30.7","13"
"","Robbie Powell","Stetson","Sr.","P","21","28.3","13"
"6","Michael Lorenzen","Cal St. Fullerton","So.","OF","15","16.3","12"
"","Austin Maddox","Florida","Jr.","INF","25","45.7","12"
"8","Robert Benincasa","Florida St.","Jr.","P","21","26.7","11"
"","Garrett Fanchier","Belmont","Sr.","P","22","24.7","11"
"","Michael Schum","Wright St.","Sr.","P","22","36.3","11"
"","Seth Willoughby","Xavier","Jr.","INF","22","29.0","11"
"","Michael Gomez","FIU","Jr.","P","23","32.0","11"
"13","Jon Fitzsimmons","Canisius","So.","P","18","18.3","10"
"","Nathan Hyatt","Appalachian St.","Jr.","P","18","19.0","10"
"","Eric Snyder","Fairleigh Dickinson","Fr.","P","19","22.7","10"
"","Chad Sobotka","S.C. Upstate","Fr.","P","19","24.7","10"
"","Matt Duncan","Morehead St.","Jr.","P","20","26.7","10"
"","Jimmie Sherfy","Oregon","So.","P","20","39.3","10"
"","Michael Dimock","Wake Forest","Sr.","P","21","34.0","10"
"","Nick Blount","Tennessee","Jr.","P","23","44.7","10"
"","John Colella","Holy Cross","Jr.","P","24","46.3","10"
"","Kyle Glancy","Northern Ill.","Sr.","P","25","25.0","10"
"","Michael Morin","North Carolina","Jr.","P","25","41.0","10"
"","David Peterson","Col. of Charleston","Sr.","P","25","29.7","10"
"","Ryan Connolly","Coastal Caro.","Jr.","P","26","43.7","10"
"26","Bradley Roney","Southern Miss.","Fr.","INF","15","19.7","9"
"","Tyler Burgess","Missouri St.","Fr.","P","16","27.3","9"
"","Matt Gardner","Nevada","Sr.","P","17","19.7","9"
"","Max Garner","Baylor","Jr.","P","17","39.0","9"
"","Drew Reynolds","East Carolina","So.","INF","17","19.7","9"
"","Nick Wittgren","Purdue","Jr.","P","18","26.3","9"
"","Bret Dahlson","Loyola Marymount","So.","1B","19","27.3","9"
"","Mike Bradstreet","Rhode Island","Jr.","P","20","28.3","9"
"","Taylor Garrison","Fresno St.","Sr.","P","20","26.7","9"
"","John Koch","Arkansas St.","Jr.","P","20","26.3","9"
"","Chase Byerly","Butler","Jr.","P","22","38.3","9"
"","Scott Griggs","UCLA","Jr.","P","22","23.3","9"
"","Joe Rogers","UCF","Jr.","P","22","30.3","9"
"","Jordan Dailey","Bethune-Cookman","Jr.","P","24","35.0","9"
"","Adam Izokovic","Gardner-Webb","Sr.","P","24","33.0","9"
"41","Lee Sosa","Binghamton","Jr.","P","13","13.0","8"
"","Mason Marshall","BYU","Fr.","P","16","23.3","8"
"","Trevor Gott","Kentucky","So.","P","17","14.7","8"
"","Tony Bryant","Oregon St.","Jr.","P","18","23.7","8"
"","E.J. Encinosa","Miami (FL)","Jr.","P","18","22.3","8"
"","Caleb Reed","Mississippi St.","Sr.","P","18","40.7","8"
"","Kyle Bartsch","South Ala.","Jr.","P","19","29.7","8"
"","J.T. Chargois","Rice","Jr.","P","19","25.7","8"
"","Rj Davis","Sacramento St.","Sr.","P","19","19.7","8"
"","D.J Ponder","Tulane","Sr.","P","19","35.0","8"
"","C.K. Irby","Samford","So.","P","20","22.3","8"
"","Pat Christensen","La Salle","Jr.","P","21","37.0","8"
"","Cale Elam","Wichita St.","So.","P","21","36.0","8"
"","Todd Hornsby","Jacksonville St.","Sr.","P","21","34.7","8"
"","Corey Knebel","Texas","So.","P","22","47.7","8"
"","Dan Slania","Notre Dame","So.","P","22","23.3","8"
"","Preston Hatcher","Western Caro.","Jr.","P","23","40.3","8"
"","Blake Hauser","VCU","Jr.","P","23","24.0","8"
"","Nick Goody","LSU","Jr.","P","24","23.0","8"
"","Justin Thompson","Virginia","Sr.","P","24","28.7","8"
"","Jake Walsh","Missouri","So.","P","24","26.7","8"
"","Tyler Rogers","Austin Peay","Jr.","P","26","44.7","8"
"63","Brett Huber","Ole Miss","Jr.","P","14","14.7","7"
"","Zack Jones","San Jose St.","Jr.","P","15","45.7","7"
"","Kevin Kray","Minnesota","So.","C","15","28.3","7"
"","John Hamilton","Charlotte","Jr.","P","16","32.0","7"
"","Josh Ingham","Central Conn. St.","So.","INF","16","24.3","7"
"","Josh Powell","Southern U.","Jr.","P","16","33.0","7"
"","Kellen Urbon","Cornell","---","P","16","27.3","7"
"","Brent Harrison","Hawaii","Sr.","P","17","27.3","7"
"","Justin Hepner","San Diego St.","So.","P","17","33.7","7"
