"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Jim Duff","Stonehill","Jr.","P","3","21.0","1","0","0.00"
"","A.J. Cecil","Findlay","Fr.","OF","4","19.1","3","0","0.00"
"","Reese Gregory","St. Cloud St.","So.","P","7","19.0","0","0","0.00"
"","Frank Vilacha","New Haven","Sr.","P","2","14.0","0","0","0.00"
"","Jake DeCarli","LIU Post","Fr.","P","2","13.0","0","0","0.00"
"6","George Asmus","Sonoma St.","Sr.","P","6","38.2","2","1","0.23"
"7","Billy Kirkpatrick","William Jewell","So.","P","3","25.0","4","1","0.36"
"8","Joey Arena","LIU Post","Jr.","P","3","22.0","4","1","0.41"
"9","Randy Dobnak","Alderson Broaddus","Fr.","P","4","20.1","2","1","0.44"
"10","Zach Soulier","Stonehill","Sr.","P","3","20.0","1","1","0.45"
"11","Zach Rengel","Concordia-St. Paul","So.","P","3","19.0","3","1","0.47"
"12","Zach Parks","West Ala.","Sr.","P","8","55.2","5","3","0.49"
"13","Brad Lohse","Cal St. Chico","So.","P","6","34.0","2","2","0.53"
"14","Kevin O'Connor","Assumption","So.","P","2","14.0","1","1","0.64"
"15","Bryson Gauthe","Hawaii Pacific","Sr.","P","9","27.2","7","2","0.65"
"16","Alex Williams","Findlay","Jr.","P","6","13.2","5","1","0.66"
"","Wesley Helsabeck","Winston-Salem","Jr.","P","7","41.0","5","3","0.66"
"18","Michael Manley","Delta St.","Sr.","P","6","47.0","6","4","0.77"
"19","Nikolay Uherek","Lee","Jr.","P","6","33.2","4","3","0.80"
"20","Justin Donatella","UC San Diego","So.","P","5","32.0","4","3","0.84"
"21","Jordan DeLorenzo","West Florida","Jr.","P","7","51.1","8","5","0.88"
"22","Olen Little","Wingate","Sr.","P","8","51.0","9","5","0.88"
"23","Tyler Badamo","Dowling","Sr.","P","5","40.0","13","4","0.90"
"","Tyler Honeycutt","Davis & Elkins","Fr.","P","3","20.0","5","2","0.90"
"25","Luke Barker","Cal St. Chico","Jr.","P","11","29.0","3","3","0.93"
"26","Josh Weyker","West Tex. A&M","Sr.","P","7","46.0","5","5","0.98"
"27","Bryce Bellin","Minn. St. Mankato","Sr.","1B","5","27.1","7","3","0.99"
"28","Eric Huson","Western Ore.","Jr.","P","7","45.0","7","5","1.00"
"","Mike Robert","Southern N.H.","Fr.","P","4","27.0","5","3","1.00"
"","Taylor Taska","Tex. A&M-Kingsville","Sr.","P","6","27.0","5","3","1.00"
"31","Nick Bozman","Urbana","Jr.","P","3","17.2","9","2","1.02"
"32","Zachary Hedges","Azusa Pacific","Jr.","P","6","42.2","7","5","1.05"
"33","Neal Horan","Stonehill","Jr.","P","4","25.1","5","3","1.07"
"34","B. Bass","Angelo St.","---","1B","6","33.1","8","4","1.08"
"","Paul Fahey","Franklin Pierce","Jr.","P","9","25.0","4","3","1.08"
"36","Brannon Easterling","St. Edward's","Sr.","P","8","57.2","16","7","1.09"
"37","Conner McMahon","Merrimack","Sr.","P","4","24.0","9","3","1.13"
"","Joe Gnacinski","Mercyhurst","Jr.","P","3","16.0","3","2","1.13"
"39","Pete Baumgartner","Saginaw Valley","---","P","3","15.2","2","2","1.15"
"40","Bill Menek","Lynn","Jr.","P","11","31.0","4","4","1.16"
"41","Joe Nestor","Lock Haven","Jr.","P","6","30.0","12","4","1.20"
"42","Heath Kelley","Lake Erie","Jr.","P","5","22.1","9","3","1.21"
"43","Ray Gambone","Wilmington (DE)","Jr.","P","4","21.2","3","3","1.25"
"44","Brandon Whitslar","Walsh","Jr.","P","5","28.0","7","4","1.29"
"","Ben Wright","Southern Ind.","Jr.","P","5","28.0","4","4","1.29"
"","Derek Drag","New Haven","Sr.","P","1","7.0","3","1","1.29"
"47","Scott Ward","Florida Tech","Jr.","P","8","61.2","10","9","1.31"
"48","Chris Murphy","Millersville","Jr.","P","6","40.2","9","6","1.33"
"","Patrick Chiaramonte","Charleston (WV)","Jr.","P","3","20.1","5","3","1.33"
"50","Walker O'Connor","West Florida","So.","P","8","26.2","4","4","1.35"
"","Rocco Cundari","Southern Conn. St.","Sr.","P","3","20.0","4","3","1.35"
"","Eric Keling","Maryville (MO)","Jr.","C","4","20.0","4","3","1.35"
"53","Evan Nietfeldt","Grand Valley St.","Jr.","P","4","26.1","7","4","1.37"
"54","Matthew Kaplanis","Indianapolis","So.","P","5","32.0","11","5","1.41"
"55","Preston Felgate","William Jewell","Jr.","P","4","31.2","7","5","1.42"
"56","Mark Smyth","West Liberty","So.","P","5","31.1","6","5","1.44"
"57","Ricky Winters","Delta St.","Sr.","P","7","43.1","7","7","1.45"
"58","A.J. Turnier","Southern Conn. St.","Jr.","P","3","18.1","3","3","1.47"
"59","Mick Fennell","California (PA)","So.","INF","4","24.0","6","4","1.50"
"","Alberto Canales","Ohio Dominican","Jr.","P","4","18.0","10","3","1.50"
"","Cole Yoder","Ohio Valley","---","P","3","18.0","8","3","1.50"
"62","Ricky Reeves","Central Okla.","Jr.","P","6","35.1","7","6","1.53"
"","Will Lundquist","Winona St.","So.","P","4","17.2","3","3","1.53"
"64","Preston Packrall","Tampa","Sr.","P","11","29.1","7","5","1.53"
"65","Frank Samluk","Wilmington (DE)","Jr.","INF","5","23.0","5","4","1.57"
"66","Marcus Shippey","Shippensburg","So.","P","5","33.2","9","6","1.60"
"67","Matt Cambria","Post","Sr.","P","5","28.0","5","5","1.61"
"","Mason Crenshaw","Southeastern Okla.","---","P","12","28.0","6","5","1.61"
"","Cole Tobin","Nyack","Jr.","1B","4","28.0","7","5","1.61"
