"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","Chad Zurcher","Memphis","Jr.","INF","42","151","71","0.470"
"2","Bo Cuthbertson","Southern Utah","Jr.","SS","39","149","67","0.450"
"3","C.J. Cron","Utah","Jr.","C","37","154","69","0.448"
"4","Tyler Jones","LIU Brooklyn","Jr.","C","41","137","61","0.445"
"5","Scott Davis","Delaware St.","Jr.","INF","43","158","70","0.443"
"6","Brad Miller","Clemson","Jr.","INF","37","126","55","0.437"
"7","Bryson Myles","Stephen F. Austin","Jr.","OF","43","179","78","0.436"
"8","Eric Phillips","Ga. Southern","Jr.","INF","44","176","76","0.432"
"9","Jason Krizan","Dallas Baptist","Sr.","OF","43","174","75","0.431"
"10","Ross Heffley","Western Caro.","Jr.","OF","40","171","73","0.427"
"11","Frazier Hall","Southern U.","Sr.","INF","41","153","65","0.425"
"12","Brandon Elliott","Murray St.","So.","INF","34","123","52","0.423"
"13","A.J. Miller","Lafayette","Sr.","C","38","131","55","0.420"
"14","Tanner Waite","New Mexico St.","Fr.","C","43","124","52","0.419"
"15","Matt Gedman","Massachusetts","Sr.","SS","35","148","62","0.419"
"16","Thomas Pope","UNC Wilmington","Jr.","OF","44","156","65","0.417"
"17","Adam Brett Walker","Jacksonville","So.","C","42","169","70","0.414"
"18","Eric Helmrich","Marist","Jr.","DH","33","104","43","0.413"
"19","Trever Adams","Creighton","Sr.","INF","41","163","67","0.411"
"20","Joe Panik","St. John's (NY)","Jr.","INF","39","151","62","0.411"
"21","Tyler Naquin","Texas A&M","So.","OF","43","169","69","0.408"
"22","Effrey Valdez","NYIT","Sr.","INF","33","118","48","0.407"
"23","Jarrod Parks","Mississippi St.","Sr.","3B","42","143","58","0.406"
"24","Chris O'Brien","Wichita St.","Jr.","C","47","183","74","0.404"
"25","Kevan Smith","Pittsburgh","Sr.","C","39","151","61","0.404"
"26","Alex Hudak","Fla. Atlantic","Jr.","OF","43","152","61","0.401"
"27","David Coleman","Virginia","Sr.","OF","42","120","48","0.400"
"28","Chris Benson","Utah Valley","Sr.","OF","38","173","69","0.399"
"","Jake Hibberd","Wright St.","Jr.","INF","40","173","69","0.399"
"30","Tommy La Stella","Coastal Caro.","Jr.","2B","44","163","65","0.399"
"31","Trent Cook","UNLV","Jr.","1B","46","186","74","0.398"
"32","Jj Edwards","Sacred Heart","Sr.","INF","43","164","65","0.396"
"33","Trenton Moses","Southeast Mo. St.","Sr.","INF","41","134","53","0.396"
"34","James Brooks","Utah","Jr.","INF","37","172","68","0.395"
"35","Ricky Pacione","Marist","Sr.","OF","42","167","66","0.395"
"36","Mark Micowski","Georgia St.","Sr.","OF","46","190","75","0.395"
"37","Brandon Eckerle","Michigan St.","Sr.","OF","40","175","69","0.394"
"38","Matt Mack","Radford","Jr.","3B","43","165","65","0.394"
"39","Parker Hipp","New Mexico St.","So.","C","38","127","50","0.394"
"40","Taylor Davis","Morehead St.","Jr.","C","38","140","55","0.393"
"41","Dan Gulbransen","Jacksonville","So.","OF","42","163","64","0.393"
"42","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","179","70","0.391"
"43","Kolten Wong","Hawaii","Jr.","INF","40","151","59","0.391"
"44","Cody Fick","Evansville","Sr.","INF","39","159","62","0.390"
"45","Mike McCann","Manhattan","Sr.","OF","38","136","53","0.390"
"","Kilby Perdomo","Alcorn St.","Sr.","OF","37","136","53","0.390"
"47","Tyler Forney","New Mexico St.","Jr.","INF","38","95","37","0.389"
"48","Greg Kumpel","Saint Joseph's","So.","INF","38","139","54","0.388"
"49","Shane Kennedy","North Florida","Fr.","INF","31","103","40","0.388"
"50","Joe Winker","Mercer","Sr.","OF","45","137","53","0.387"
"51","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","158","61","0.386"
"52","Luke Tendler","N.C. A&T","Fr.","INF","44","166","64","0.386"
"53","Ben Thomas","Xavier","Sr.","1B","40","161","62","0.385"
"54","Joey Rickard","Arizona","So.","OF","43","177","68","0.384"
"55","Pablo Bermudez","FIU","Jr.","OF","41","159","61","0.384"
"56","Jarryd Reid","Florida A&M","Jr.","OF","38","133","51","0.383"
"57","Cole Frenzel","Arizona","So.","INF","43","162","62","0.383"
"58","Phillip Ervin","Samford","Fr.","P","43","157","60","0.382"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","157","60","0.382"
"60","Byron McKoy","Temple","Sr.","OF","41","178","68","0.382"
