"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","John Apostolo","Mitchell","Jr.","P","25","93","49","0.527"
"2","Jordan Powers","St. Norbert","Jr.","OF","24","84","42","0.500"
"3","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","135","66","0.489"
"4","Corey McDonald","Worcester St.","Sr.","OF","34","116","56","0.483"
"5","Connor Bierfeldt","Western Conn. St.","So.","P","29","95","45","0.474"
"6","Chad Mullins","Case","Sr.","3B","43","169","80","0.473"
"7","Kyle Wooden","Guilford","Sr.","INF","35","135","63","0.467"
"8","Chris Campbell","St. Joseph's (ME)","Sr.","INF","35","118","55","0.466"
"9","Sam Schmeltzer","Thomas More","Sr.","3B","29","104","48","0.462"
"10","Michael Pascarella","Pitt.-Bradford","Fr.","INF","31","102","47","0.461"
"11","Jordan Walton","Randolph-Macon","Jr.","1B","42","176","81","0.460"
"12","Chris Ray","Alvernia","So.","INF","34","122","56","0.459"
"13","Scott Windler","Franklin","Fr.","OF","28","85","39","0.459"
"14","Derek Smith","Pitt.-Bradford","So.","INF","31","105","48","0.457"
"15","Matt Oliveto","FDU-Florham","Sr.","OF","32","123","56","0.455"
"16","Kyle Moody","St. Scholastica","Jr.","C","28","99","45","0.455"
"17","John Snyder","Marietta","Sr.","OF","32","119","54","0.454"
"18","Marco Hernandez","Williams","Fr.","-","28","82","37","0.451"
"19","Kevin Callahan","Ill. Wesleyan","So.","1B","34","122","55","0.451"
"20","Drew Leachman","Birmingham-So.","Sr.","INF","39","162","73","0.451"
"21","Mike Nodzenski","Grinnell","Jr.","C","27","91","41","0.451"
"22","Josh Mackey","Southern Me.","Sr.","INF","29","107","48","0.449"
"23","Ben Lowmaster","Allegheny","Jr.","C","28","105","47","0.448"
"24","Ben Kuebbing","Transylvania","Sr.","OF","28","90","40","0.444"
"25","Matt Forgatch","Denison","Sr.","3B","36","124","55","0.444"
"26","Nate Lotze","Kenyon","Fr.","INF","30","95","42","0.442"
"27","Jake Cintolo","Suffolk","Fr.","3B","39","145","64","0.441"
"28","Jake Northrup","Endicott","Fr.","P","40","125","55","0.440"
"29","Alex Oliver","Widener","Sr.","2B","27","91","40","0.440"
"30","Michael Tucker","Anderson (IN)","Jr.","C","35","123","54","0.439"
"31","Mike Eaton","Southern Me.","Sr.","OF","33","130","57","0.438"
"","Bobby Hillier","Thiel","Jr.","3B","35","130","57","0.438"
"33","Zach Roeder","Middlebury","Jr.","C","25","89","39","0.438"
"34","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","169","74","0.438"
"35","Dave Ahern","Babson","Sr.","P","38","144","63","0.438"
"","William Bissell","Gallaudet","Fr.","OF","42","128","56","0.438"
"37","Tom Hickey","John Carroll","Jr.","1B","31","110","48","0.436"
"38","Matt Cornetti","Mt. Aloysius","Jr.","C","28","78","34","0.436"
"39","Derek Dauenbaugh","Rose-Hulman","Jr.","OF","34","108","47","0.435"
"40","Mike Rubino","Western New Eng.","So.","INF","40","152","66","0.434"
"41","Mike Petti","Carthage","Sr.","OF","31","118","51","0.432"
"42","Tim Wiand","Westminster (PA)","Jr.","1B","31","95","41","0.432"
"43","David Wolak","Elmhurst","Fr.","OF","34","123","53","0.431"
"44","Stephen Williams","Chicago","Jr.","INF","21","79","34","0.430"
"45","Daniel Covert","Greenville","Sr.","OF","31","107","46","0.430"
"46","Nick Skala","Concordia Chicago","Jr.","C","33","135","58","0.430"
"47","Brent Gibbs","D'Youville","So.","INF","27","91","39","0.429"
"","Greg Van Horn","Wooster","Sr.","INF","34","112","48","0.429"
"49","Nick Frederick","Pomona-Pitzer","Sr.","1B","39","152","65","0.428"
"50","Eric Hansen","Allegheny","So.","OF","30","103","44","0.427"
"","Cam Stephens","Concordia Chicago","Jr.","OF","31","103","44","0.427"
"52","Nick Clifton","Texas-Tyler","Sr.","1B","39","136","58","0.426"
"53","Josh Denny","Mt. St. Joseph","Jr.","INF","35","122","52","0.426"
"54","Anthony Porcaro","Marian (WI)","Jr.","C","29","108","46","0.426"
