"Rank","Name","Team","Cl","Pos","App","IP","HA","PG"
"1","Stephen Bove","Adelphi","Fr.","P","8","40.3","19","4.24"
"2","Jeremy Gigliotti","East Stroudsburg","Sr.","P","10","53.0","26","4.42"
"3","Andy Heston","Northern Ky.","Sr.","P","16","44.0","23","4.70"
"4","Ryan Modglin","Harding","So.","P","10","49.0","26","4.78"
"5","Brian Maloney","Franklin Pierce","Sr.","P","10","74.0","40","4.86"
"6","Aaron Hilt","Ashland","Jr.","P","8","44.3","24","4.88"
"7","Robert Frank","St. Thomas Aquinas","So.","P","11","57.0","31","4.89"
"8","Jamie Treml","Wilmington (DE)","Fr.","P","14","56.3","32","5.12"
"9","Jacob Rickett","North Ga.","Sr.","P","24","40.0","23","5.18"
"10","Eric Aschley","Mercyhurst","Jr.","P","10","55.0","32","5.24"
"11","Dan McMahon","USciences","So.","P","11","79.3","47","5.33"
"12","Kurt Bruce","Wilmington (DE)","Sr.","P","11","62.0","37","5.37"
"13","Don Sandifer","Francis Marion","So.","P","12","91.7","55","5.40"
"14","J.J. Bessell","Dowling","Fr.","P","9","40.0","24","5.40"
"15","Chuck Fontana","Molloy","Jr.","P","10","70.0","43","5.53"
"16","Jack Leathersich","Mass.-Lowell","Jr.","P","10","65.0","40","5.54"
"17","Ryan Thompson","Franklin Pierce","So.","P","10","73.0","45","5.55"
"18","Kevin Pettine","Southern Conn. St.","Sr.","P","11","69.0","44","5.74"
"19","Gabriel Asakura","Cal St. L.A.","Jr.","P","12","65.0","42","5.82"
"20","Kyle DiMartino","Dixie St.","Jr.","P","22","43.3","28","5.82"
"21","Luke Putz","Minn. St. Mankato","Sr.","P","9","49.0","32","5.88"
"22","Heath Wyatt","Southeastern Okla.","Sr.","P","28","63.7","42","5.93"
"23","Kodey Simon","Winona St.","Jr.","P","8","53.0","35","5.94"
"24","Daniel Vargas-Vila","West Fla.","Sr.","P","13","86.0","57","5.97"
"25","Dave Middendorf","Northern Ky.","Sr.","P","13","82.3","55","6.01"
"26","Josh McKeon","Upper Iowa","Sr.","P","10","71.7","48","6.03"
"27","Bryan Galligan","Stonehill","Sr.","P","9","62.7","42","6.03"
"28","Ben Rawding","Mercyhurst","So.","P","12","58.0","39","6.05"
"29","Michael Jordan","Benedict","Jr.","INF","13","49.0","33","6.06"
"30","Joe Harris","Wilmington (DE)","Sr.","P","12","57.7","39","6.08"
"31","Ryan Trimble","Truman","Jr.","P","8","50.0","34","6.12"
"32","Brett Shankin","Wayne St. (MI)","Sr.","P","11","55.7","38","6.14"
"33","Timothy Flight","Southern N.H.","So.","P","10","70.3","48","6.15"
"34","Brooks Rothschild","Millersville","Jr.","P","11","67.3","46","6.15"
"","Mike Scudero","Adelphi","Sr.","P","12","67.3","46","6.15"
"36","Glen Hudson","C.W. Post","Jr.","P","11","49.7","34","6.16"
"37","Zach Jeney","Slippery Rock","Sr.","P","11","55.3","38","6.18"
"38","Jeremy Peed","Limestone","Jr.","P","13","42.0","29","6.21"
"39","Robert Nixon","Adelphi","Sr.","P","11","81.0","56","6.22"
"40","Austin Moyer","Catawba","Jr.","P","11","59.3","41","6.22"
"41","Kevin Peters","West Fla.","Fr.","P","13","49.0","34","6.24"
"","Dustin Ramey","Mass.-Lowell","Sr.","P","11","49.0","34","6.24"
"43","Chase Pickering","West Virginia St.","Jr.","P","9","40.3","28","6.25"
"44","Carter Capps","Mount Olive","So.","P","14","89.0","62","6.27"
"45","Nick Gillung","Mercyhurst","Sr.","P","11","59.7","42","6.33"
"46","Doug Shields","Southern Ark.","Jr.","P","17","62.3","44","6.36"
"47","Dan Marcacci","Southern Ind.","Sr.","P","15","45.3","32","6.36"
"48","Jonathan Cornelius","Florida Tech","Sr.","P","14","89.0","63","6.37"
"49","Ian Ocon","Sonoma St.","So.","P","12","42.3","30","6.38"
"50","Carl O'Neal","St. Mary's (TX)","So.","C","13","75.7","54","6.42"
"51","Richard Raraigh","Seton Hill","Sr.","P","8","44.7","32","6.44"
"52","Ajay Meyer","Ashland","Sr.","P","14","85.0","61","6.46"
"53","Cutler Ruby","Post","Jr.","P","9","55.7","40","6.46"
"54","Joe Ferrara","St. Thomas Aquinas","Jr.","P","8","41.7","30","6.47"
"55","Nick Lomascolo","Catawba","So.","P","15","93.7","68","6.53"
"56","Jeb Huber","West Ala.","Jr.","P","13","81.0","59","6.56"
"57","Barry Meeks","West Ala.","So.","P","12","64.0","47","6.61"
"58","Dave Bartuska","Dominican (NY)","Jr.","P","10","66.3","49","6.65"
"59","Kyle Schepel","Grand Valley St.","Jr.","P","10","52.7","39","6.66"
"60","Taylor Robinson","Mass.-Lowell","So.","P","12","54.0","40","6.67"
"61","Steven Corbett","Post","Jr.","P","10","62.0","46","6.68"
"62","Jason Sterrett","Bellarmine","So.","P","11","58.7","44","6.75"
"63","Dan Bream","Southern Ark.","Sr.","P","14","87.7","66","6.77"
"64","Danny Miller","Minn. St. Mankato","Sr.","OF","9","54.3","41","6.80"
"65","Nicholas Albero","Dowling","So.","P","14","41.0","31","6.80"
"66","Steve Paladino","Felician","Fr.","P","12","68.7","52","6.81"
"67","Trent Franzago","Ga. Southwestern","Jr.","P","10","70.0","53","6.81"
"68","Dylan Porter","West Chester","Jr.","P","12","51.3","39","6.84"
"69","Taylor Candage","New Haven","So.","P","9","44.7","34","6.85"
"70","Blake Hobby","North Ga.","Jr.","P","13","93.3","71","6.85"
"71","Josh Bagley","UNC Pembroke","Sr.","P","11","68.3","52","6.85"
"72","Joey Cuda","Eckerd","Jr.","P","14","101.0","77","6.86"
