"Rank","Name","Team","Cl","Pos","G","SF"
"1","Michael Katz","William & Mary","Fr.","INF","44","9"
"","Alfredo Rodriguez","Maryland","Sr.","INF","47","9"
"3","Stephen Bruno","Virginia","Jr.","INF","44","8"
"","C.J. Gillman","Dayton","Sr.","INF","45","8"
"","D.J. Hicks","UCF","Jr.","1B","45","8"
"","George Roberts","Kent St.","Jr.","INF","43","8"
"7","Brett Austin","North Carolina St.","Fr.","C","41","7"
"","Brian Blasik","Dayton","Sr.","INF","45","7"
"","Andrew Ciencin","North Carolina St.","Sr.","INF","41","7"
"","Cody Gougler","Southeastern La.","Sr.","OF","45","7"
"","Jake Mahon","Evansville","So.","C","44","7"
"","Alex Mejia","Arizona","Jr.","INF","42","7"
"","Riley Moore","Arizona","Fr.","C","41","7"
"","Andrew Parker","Towson","Jr.","C","44","7"
"","Jessie Plumlee","Sam Houston St.","Jr.","SS","41","7"
"","Brian Rowry","Southern U.","So.","OF","40","7"
"","Eric Stamets","Evansville","Jr.","INF","44","7"
"","Mike Zunino","Florida","Jr.","C","44","7"
"19","Landon Anderson","Dallas Baptist","Sr.","OF","43","6"
"","Kevin Bower","Miami (OH)","Jr.","INF","44","6"
"","Greg Brody","Belmont","So.","INF","41","6"
"","Marcos Calderon","Butler","So.","P","44","6"
"","Will Callaway","Appalachian St.","Jr.","INF","41","6"
"","Johnny Coy","Wichita St.","Jr.","INF","47","6"
"","Coley Crank","Michigan","Sr.","C","44","6"
"","Jacob Daniel","Eastern Ky.","Sr.","OF","40","6"
"","Parker Hipp","New Mexico St.","Jr.","C","43","6"
"","Jacob Hoyle","Western Caro.","Fr.","P","41","6"
"","Andrew Lasher","Evansville","Jr.","OF","40","6"
"","Evan Marzilli","South Carolina","Jr.","OF","44","6"
"","Ryan McCauley","Niagara","Jr.","1B","40","6"
"","Jake McGuiggan","Harvard","So.","INF","37","6"
"","Tony Montalbano","Charlotte","Jr.","INF","42","6"
"","Robby Ort","Indiana St.","Jr.","OF","45","6"
"","Josh Smith","William & Mary","Fr.","OF","44","6"
"","Kyle Stanton","Illinois St.","Jr.","INF","34","6"
"","Alex Swim","Elon","Jr.","C","46","6"
"","Jose Trevino","Oral Roberts","Fr.","INF","44","6"
"","Billy Urban","St. Bonaventure","Jr.","3B","36","6"
"","Zach Vincej","Pepperdine","Jr.","SS","40","6"
"","Chris Warren","Norfolk St.","Sr.","C","39","6"
"","Scooter Williams","Ga. Southern","Jr.","OF","45","6"
"","Elijah Yarborough","Temple","Jr.","INF","33","6"
"","Steve Zavala","Rutgers","Jr.","OF","42","6"
"","Mike Zolk","North Carolina","Fr.","2B","42","6"
"46","Bryan Aanderud","Liberty","Jr.","INF","48","5"
"","Greg Bachman","Austin Peay","Sr.","3B","42","5"
"","Brandon Bayardi","UNLV","Jr.","OF","44","5"
"","Andrew Biancardi","Santa Clara","Sr.","OF","39","5"
"","Trevor Brown","UCLA","Jr.","C","40","5"
"","Devin Bujnovsky","High Point","Jr.","OF","44","5"
"","Nathan Burns","FIU","Jr.","OF","43","5"
"","Pat Cantwell","Stony Brook","Sr.","C","42","5"
"","Jonathan Carpen","Chicago St.","Sr.","OF","37","5"
"","Daniel Cortes","Army","Fr.","OF","45","5"
"","Chris Cowell","Richmond","Sr.","C","40","5"
"","Dylan Craig","Belmont","Sr.","OF","44","5"
"","Bo Cuthbertson","Southern Utah","Sr.","SS","39","5"
"","Marc Damon","A&M-Corpus Christi","Sr.","1B","24","5"
"","Dillon Day","Southern Miss.","Jr.","P","38","5"
"","Chris Diaz","North Carolina St.","Jr.","INF","42","5"
"","Pete Diresta","Albany (NY)","Sr.","OF","42","5"
"","Drew Dosch","Youngstown St.","So.","INF","41","5"
"","Waldyvan Estrada","Alabama St.","Fr.","OF","47","5"
"","Nick Fangonilo","Mississippi Val.","Jr.","C","43","5"
"","Brad Fieger","Miami (FL)","So.","1B","43","5"
"","Zac Fisher","New Mexico St.","Jr.","C","43","5"
"","Cameron Flynn","Kentucky","Sr.","OF","42","5"
"","Mike Ford","Princeton","So.","P","38","5"
"","Chris Forsten","William & Mary","Sr.","C","35","5"
"","Nolan Gaige","Albany (NY)","Jr.","P","42","5"
