"Rank","Name","Team","Cl","Pos","G","AB","TB"
"1","Casey Allison","Wingate","Sr.","OF","55","219","163"
"2","Austin Rycroft","Central Okla.","Sr.","OF","48","180","151"
"3","Brian Yeung","Wingate","Jr.","INF","55","218","148"
"4","Zach Taylor","Armstrong","Jr.","OF","48","205","145"
"5","Jacob Karr","Wingate","Sr.","INF","55","228","144"
"6","Nathan Minnich","Shepherd","Sr.","1B","46","136","141"
"7","Kyle Koeneman","Carson-Newman","Sr.","1B","49","154","136"
"","Zach Mathieu","Franklin Pierce","So.","1B","45","183","136"
"9","Ryan Busboom","Fort Hays St.","Jr.","INF","44","168","134"
"10","Alexi Colon","Tusculum","Sr.","OF","54","178","131"
"","Derek Fulmer","North Greenville","Sr.","P","53","204","131"
"","German Reyes","Winston-Salem","Jr.","INF","47","173","131"
"13","Coty Pate","Mars Hill","Sr.","INF","42","167","130"
"","Jacob Rogers","Mount Olive","Sr.","3B","48","169","130"
"15","Geno Escalante","Mount Olive","Jr.","C","48","195","126"
"16","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","162","125"
"17","Anthony Boza","Lynn","Sr.","1B","43","164","124"
"","Aaron Guinn","Tusculum","Sr.","1B","54","212","124"
"19","Cade Stallings","Tusculum","Jr.","INF","54","201","123"
"20","Cody Coffman","Tusculum","Sr.","INF","54","201","122"
"","Dodson McPherson","Wingate","Sr.","OF","55","212","122"
"","Lee Neumann","Angelo St.","Jr.","OF","50","176","122"
"23","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","182","121"
"","Christian Glisson","Valdosta St.","Sr.","C","42","162","121"
"","Heath Peterson","Montevallo","Sr.","1B","49","194","121"
"26","null Joey Belviso","Mars Hill","Fr.","-","48","188","120"
"","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","133","120"
"28","Tucker Brown","Central Okla.","Sr.","INF","47","177","119"
"","A Jones","Winston-Salem","Fr.","-","50","173","119"
"30","Shane Latshaw","Mercyhurst","Sr.","OF","48","175","118"
"","Joe Wendle","West Chester","Sr.","2B","41","142","118"
"32","Kevin Blue","Central Okla.","Sr.","INF","48","192","117"
"","Aj Nunziato","Lander","Sr.","INF","48","197","117"
"34","Justin Vasquez","Belmont Abbey","Jr.","OF","46","174","116"
"35","Josh Lyon","Limestone","Sr.","C","47","184","115"
"","Thomas Spitz","Wingate","Fr.","OF","55","225","115"
"37","Grant DeBruin","Ala.-Huntsville","Sr.","INF","48","184","114"
"38","Brett Moreland","Flagler","Jr.","C","49","208","113"
"","Brian Wuest","Neb.-Kearney","Jr.","1B","44","160","113"
"40","Garrett Furr","Catawba","Jr.","DH","53","211","111"
"","James Roche","Franklin Pierce","Sr.","OF","45","181","111"
"","Michael Schmidt","North Ala.","Sr.","INF","50","179","111"
"43","Daniel Duran","Cal St. L.A.","Sr.","INF","42","158","110"
"44","Carlos Asuaje","Nova Southeastern","So.","INF","40","152","108"
"","Ethan Satterfield","Catawba","So.","OF","52","189","108"
"","Will Tankersley","S.C. Aiken","Fr.","OF","45","165","108"
"","Robbie Zinsmeister","Indiana (PA)","Jr.","SS","49","175","108"
"48","Billy Richard","St. Mary's (TX)","Jr.","OF","49","183","107"
"49","B Harrison","Winston-Salem","Fr.","-","48","184","106"
"50","Phillip Williams","Barton","Jr.","P","48","185","105"
"","Paul Winterbottom","Stillman","Fr.","INF","43","162","105"
"52","John Calhoun","Washburn","Sr.","INF","39","149","104"
