"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","AJ Konopaski","Pacific Lutheran","Jr.","P","12","18.0","9"
"2","Matt Smith","Susquehanna","Sr.","P","9","14.1","7"
"3","Ryan Grant","Wheaton (MA)","Sr.","P","7","7.2","6"
"","Neil Lawler","Huntingdon","Sr.","P","11","11.0","6"
"5","Brandon Clounch","Texas-Dallas","Jr.","P","6","6.0","5"
"","Tyler Pogmore","Roger Williams","Sr.","P","6","6.1","5"
"","Josh Ayers","Methodist","Sr.","P","8","18.1","5"
"","Jacob Brewster","Piedmont","Jr.","P","9","8.0","5"
"","Aaron Roth","Cal Lutheran","Sr.","P","11","18.2","5"
"","Kevin Kannappan","Pomona-Pitzer","So.","P","12","20.1","5"
"11","Kyle McLain","Wash. & Jeff.","Sr.","INF","4","4.1","4"
"","Andrew Bayer","Wheaton (IL)","Sr.","P","6","6.0","4"
"","Daniel Sondag","Case","Jr.","P","6","7.1","4"
"","Steve Cox","Concordia Chicago","Sr.","P","7","8.1","4"
"","Kirby Moore","East Tex. Baptist","Jr.","P","8","14.0","4"
"","Kirby Cantalamessa","LeTourneau","Sr.","P","9","8.0","4"
"","David Bourbonnais","Birmingham-So.","Jr.","P","10","11.1","4"
"","Matt Dyer","Maryville (TN)","Sr.","P","10","19.2","4"
"","Patrick Kulick","Oglethorpe","Jr.","P","10","16.2","4"
"","Manny Torres","Ferrum","Jr.","INF","10","13.0","4"
"21","Michael Villegas","Scranton","Jr.","P","3","4.0","3"
"","Patrick Falkoff","Haverford","Sr.","P","4","7.0","3"
"","Corey Lee","Misericordia","Jr.","P","4","7.2","3"
"","Rob Valunas","Western Conn. St.","Jr.","P","4","6.2","3"
"","Bryce Feia","Concordia-M'head","Jr.","P","5","6.0","3"
"","Kevin Lambert","Salve Regina","Sr.","P","5","9.0","3"
"","Judson McKown","Central (IA)","Sr.","P","5","19.0","3"
"","Tim Ashworth","Johnson & Wales (RI)","Sr.","OF","6","6.2","3"
"","Kevin Becker-Menditto","Alvernia","Jr.","P","6","6.2","3"
"","Alex McNally","Rose-Hulman","So.","P","6","5.2","3"
"","Lee Webber","Lebanon Valley","Jr.","OF","6","11.1","3"
"","Nick Bifano","Greenville","So.","P","7","7.2","3"
"","Jason Renner","Whitworth","Jr.","P","7","13.0","3"
"","Trevor Keele","Dallas","Jr.","INF","8","12.2","3"
"","Andor Kesselman","Claremont-M-S","Sr.","P","8","19.1","3"
"","Jackson Watt","Willamette","So.","P","8","17.2","3"
"","Vinny Zanfordino","Kean","So.","P","8","14.0","3"
"","Andrew Cooper","Wesley","Sr.","P","9","19.2","3"
"","null Halasz","Rhodes","---","P","9","18.0","3"
"","Thomas Beamish","Rhodes","So.","P","10","21.2","3"
"","Tabor Watson","Chapman","Sr.","P","10","25.2","3"
"","Kian Kurokawa","Puget Sound","---","P","11","23.2","3"
"","David Langhan","Oglethorpe","Sr.","P","12","17.1","3"
