"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Thomas Eshelman","Cal St. Fullerton","So.","P","6","49.0","1","0.18"
"2","Matt McClain","Delaware St.","Sr.","P","5","36.0","1","0.25"
"3","Mac Gill","UMBC","Sr.","P","4","27.2","1","0.33"
"4","John Salas","Cal St. Northridge","Sr.","P","10","27.0","1","0.33"
"5","Evan Manarino","UC Irvine","Jr.","P","7","25.0","1","0.36"
"6","Bryan Bonnell","UNLV","So.","P","6","46.1","2","0.39"
"7","Aaron Garza","Houston","Jr.","P","6","46.0","2","0.39"
"8","Josh Walker","New Mexico","Sr.","P","6","45.0","2","0.40"
"9","James Lively","Richmond","Jr.","P","8","21.1","1","0.42"
"","Matt Meurer","Villanova","Sr.","P","10","21.1","1","0.42"
"11","Elliot Ashbeck","Bradley","So.","P","4","20.0","1","0.45"
"12","Alex Luna","UAB","Jr.","P","6","36.0","2","0.50"
"13","Kyle Freeland","Evansville","Jr.","P","5","32.0","2","0.56"
"14","Chris Sadberry","Texas Tech","Jr.","P","6","30.2","2","0.59"
"15","Frank Duncan","Kansas","Sr.","P","6","45.1","3","0.60"
"16","Jack Hartman","Penn","Fr.","P","4","15.0","1","0.60"
"","Colin Welmon","Loyola Marymount","Jr.","P","6","45.0","3","0.60"
"18","David Speer","Columbia","Sr.","P","4","29.0","2","0.62"
"19","Ryan Williams","East Carolina","Sr.","P","14","41.0","3","0.66"
"20","Jeff Gold","Oregon","Sr.","P","6","39.2","3","0.68"
"21","Mikey Ramirez","Ark.-Pine Bluff","Sr.","P","6","37.0","3","0.73"
"22","Brett Mabry","East Carolina","Sr.","P","8","24.0","2","0.75"
"23","Bailey Ober","Col. of Charleston","Fr.","P","6","35.0","3","0.77"
"24","Tyler Davis","Washington","Jr.","P","7","33.0","3","0.82"
"","Jon Keller","Alabama","Jr.","P","6","33.0","3","0.82"
"","Christian Taugner","Brown","Fr.","P","3","22.0","2","0.82"
"27","Dane Mehring","Chicago St.","Jr.","P","5","21.1","2","0.84"
"28","Cameron White","Air Force","Sr.","P","7","41.2","4","0.86"
"29","Montana Durapau","Bethune-Cookman","Sr.","P","9","52.0","5","0.87"
