"Rank","Name","Team","Cl","Pos","G","2B"
"1","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","24"
"","Sean Riley","Bridgewater St.","Jr.","2B","40","24"
"3","Ryan Gibbons","Wm. Paterson","Jr.","OF","40","23"
"","Kyle Newcomb","Averett","Sr.","OF","44","23"
"5","Cory Nelson","Shenandoah","Sr.","3B","40","21"
"6","Dan Savage","Lynchburg","Jr.","2B","41","20"
"","Dustin Shimkus","Norwich","Jr.","OF","34","20"
"","Jordan Walton","Randolph-Macon","Sr.","1B","39","20"
"","Jesse Weiss","Kenyon","Jr.","INF","37","20"
"","Dan Zust","Benedictine (IL)","Sr.","INF","37","20"
"11","Beau Banglesdorf","East. Mennonite","Sr.","SS","38","18"
"","William Chapman","Gallaudet","Sr.","OF","41","18"
"","Stephen Gates","Millsaps","Jr.","INF","44","18"
"","Remington Hedgepeth","Emory & Henry","Sr.","OF","36","18"
"","Cord Heine","Penn St.-Altoona","Sr.","OF","35","18"
"","Matt Keller","Ithaca","Jr.","2B","30","18"
"","Tyler Stephenson","Bluffton","Sr.","3B","37","18"
"","Steve Tretter","York (PA)","Jr.","OF","39","18"
"19","Tommy Barksdale","Gallaudet","Jr.","SS","42","17"
"","Matt Bittner","Penn St.-Behrend","Jr.","INF","37","17"
"","Justin Cohen","York (PA)","Jr.","C","39","17"
"","Mike Galeotafiore","TCNJ","Sr.","C","39","17"
"","Garrett Horan","Dickinson","Sr.","C","36","17"
"","Alex Hudak","Haverford","Jr.","OF","36","17"
"","Chris Joshlin","Mary Hardin-Baylor","Sr.","C","38","17"
"","David Kinney","Clarkson","Sr.","INF","35","17"
"","Jacob Ludvik","La Verne","Sr.","OF","37","17"
"","Josh Mcmillian","Emory & Henry","Sr.","INF","38","17"
"","Wes Perkins","Millsaps","Jr.","C","44","17"
"","Tyler Pfeffer","Whitworth","So.","INF","40","17"
"","Ethan Rieker","Susquehanna","Sr.","INF","39","17"
"","Devon Snow","Bridgewater (VA)","Sr.","OF","44","17"
"","Nick Turano","Rowan","Sr.","C","38","17"
"34","Jeff Boice","Fitchburg St.","Jr.","OF","36","16"
"","Jake Cameron","SUNY New Paltz","Sr.","INF","38","16"
"","Nick Conti","Salem St.","So.","SS","39","16"
"","Kenny Durling","Misericordia","Jr.","OF","38","16"
"","Anthony Even","Concordia Chicago","Sr.","INF","36","16"
"","Nick Gentili","Pomona-Pitzer","Jr.","OF","36","16"
"","Joe Giaimo","Wesleyan (CT)","Sr.","OF","35","16"
"","Ethan Moser","DeSales","Sr.","OF","38","16"
"","Austin Newman","Wilmington (OH)","Sr.","INF","32","16"
"","Michael Olson","Concordia-M'head","Jr.","INF","35","16"
"","Anthony Orsano","Old Westbury","Sr.","C","39","16"
"","Nick Pappas","Trinity (TX)","Sr.","INF","44","16"
"","Nicholas Pasqualichio","Marywood","Sr.","OF","38","16"
"","Dave Prager","Eastern","Jr.","1B","37","16"
"","Mike Ruzek","Lakeland","Sr.","P","36","16"
"","Nick Stoia","Franklin","Jr.","INF","33","16"
"","Matty Sullivan","East Tex. Baptist","Fr.","OF","35","16"
"","Dillon Tagle","Elizabethtown","Jr.","C","38","16"
"","Tim Wilson","Linfield","Jr.","INF","37","16"
"","Jake Wyand","Texas-Dallas","Jr.","OF","41","16"
