"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Jay Gonzalez","Mount Olive","Sr.","OF","30","29","2"
"2","Kevin Davis","Benedict","Jr.","INF","26","28","5"
"3","Tyler Orris","Millersville","So.","SS","23","24","4"
"4","Calvin Butcher","Saint Augustine's","Sr.","INF","26","22","2"
"5","Lel Clemmons","Winston-Salem","---","CF","31","21","1"
"","Siosi Poti","Lee","Jr.","OF","28","21","3"
"7","Kody Belcher","S.C. Aiken","---","CF","27","20","3"
"","John Razzino","Franklin Pierce","Jr.","OF","24","20","4"
"","Ryan Salter","Southeastern Okla.","Sr.","OF","27","20","2"
"10","Brendan Costantino","Seton Hill","Sr.","INF","23","19","3"
"","Justin Harris","Emporia St.","Jr.","OF","25","19","5"
"","Fico Kondla","Coker","Sr.","3B","28","19","2"
"","Elisha McDaniel","Benedict","Sr.","OF","26","19","7"
"","Brooks Orton","St. Mary's (TX)","Jr.","OF","29","19","1"
"15","Brendan Collins","Columbus St.","Jr.","OF","32","18","3"
"","N. Norkeh","Angelo St.","---","CF","29","18","3"
"17","Mitchell Dixon","Benedict","Jr.","INF","26","17","3"
"","Calvin Graves","Franklin Pierce","Sr.","OF","24","17","1"
"","Geoff Jimenez","Nova Southeastern","Sr.","OF","28","17","2"
"","Levi Parker","Emporia St.","Jr.","INF","25","17","3"
"21","Ryan Christian","Morehouse","So.","OF","24","16","1"
"","Garrett Cook","King (TN)","Sr.","OF","33","16","1"
"","Tyler Coughenour","Angelo St.","Sr.","INF","28","16","5"
"","Ethan Hurt","Trevecca Nazarene","Fr.","OF","24","16","1"
"","Tyler Moore","S.C. Aiken","So.","OF","27","16","1"
"","Parker Norris","Ouachita Baptist","Jr.","INF","27","16","1"
"","Josh Rudnik","Young Harris","Sr.","P","31","16","1"
"","Jesse Solar","Bridgeport","Sr.","OF","18","16","1"
"","Garrett Vernau","Tiffin","So.","OF","20","16","1"
"30","T. Brown","West Ga.","---","SS","29","15","1"
"","T.J. Giczkowski","Coker","Sr.","INF","28","15","1"
"","Hunter Mayall","Henderson St.","Jr.","1B","31","15","3"
"","Brendan O'Brien","Southern N.H.","Sr.","OF","19","15","0"
"","Taylor Schmidt","Seton Hill","So.","OF","23","15","1"
"","Jake Ward","North Ala.","Sr.","OF","31","15","4"
"","Avery Wilson","Paine","Jr.","INF","26","15","1"
"","Marcus Wise","Cal St. East Bay","Fr.","OF","21","15","4"
"38","Keith Curcio","Fla. Southern","Jr.","OF","29","14","0"
"","Jarren Donato","Coker","---","2B","28","14","1"
"","Cameron Duncan","Tuskegee","Sr.","P","23","14","4"
"","Ryan Latner","Albany St. (GA)","So.","P","29","14","0"
"","Jesse Minter","Claflin","So.","C","22","14","2"
"","Jordan Oshiro","Hawaii Pacific","Jr.","OF","24","14","2"
"","Kyle Porter","Shepherd","Sr.","OF","21","14","0"
"","Mike Reed","Valdosta St.","Jr.","SS","25","14","2"
"","Tyler Summers","Pfeiffer","Sr.","INF","30","14","4"
"","Fernando Tanaka","Stillman","Jr.","INF","29","14","1"
"48","Christian Coburn","Rollins","Jr.","OF","20","13","4"
"","Brian Hamm","Cal St. Monterey Bay","Jr.","INF","29","13","4"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","13","2"
"","Jason McPeek","Walsh","So.","OF","21","13","2"
"","Jackson Oliver","Columbus St.","So.","OF","32","13","5"
"","Zak Orrison","Mount Olive","So.","2B","30","13","2"
"","Tyler Raymond","King (TN)","Jr.","OF","30","13","2"
"","Eric Renegar","Brevard","Sr.","INF","30","13","4"
"","JD Sabo","GRU Augusta","Sr.","OF","28","13","1"
"","Michael Stemle","Lynn","Jr.","INF","29","13","2"
"","Nick Thimesch","Drury","Sr.","OF","17","13","1"
"59","Baron Bower","Fresno Pacific","So.","P","27","12","2"
"","Lyle Brackenridge","Academy of Art","Sr.","INF","24","12","3"
"","Chris Brown","Stillman","So.","OF","28","12","2"
"","Nicholas Christopher","Virginia St.","Jr.","P","26","12","1"
"","Curtis Clark","Ark.-Fort Smith","Jr.","OF","25","12","0"
"","Andre Collum Jr.","Benedict","Jr.","OF","26","12","3"
"","Chase Corn","Erskine","Sr.","OF","26","12","0"
"","Jossue Delgado","Ohio Dominican","Sr.","OF","18","12","0"
