"Rank","Name","Team","Cl","Pos","G","AB","H","BB","HBP","SF","SH","PCT"
"1","Nick DeBiasse","Central Mo.","Sr.","INF","46","161","77","25","15","2","1","0.576"
"2","Nathan Minnich","Shepherd","Jr.","1B","33","108","49","24","4","0","0","0.566"
"3","Jess Cooper","West Tex. A&M","Jr.","INF","46","160","79","17","9","0","1","0.565"
"4","Chase Larsson","Cameron","Jr.","OF","44","167","77","32","5","0","0","0.559"
"5","Kenny Held","Cameron","Sr.","OF","44","167","77","32","2","0","0","0.552"
"6","Eric Dorton","West Tex. A&M","Fr.","OF","48","158","64","37","15","1","3","0.550"
"7","Justin Miller","Southeastern Okla.","Sr.","OF","45","162","67","35","13","0","2","0.548"
"8","Brandon Gipson","Benedict","Sr.","C","40","130","60","17","6","0","0","0.542"
"9","Andrew Pickering","West Virginia St.","Fr.","INF","28","69","26","22","4","1","1","0.542"
"10","Garrett Yatch","Grand Valley St.","Fr.","INF","38","124","49","26","14","2","3","0.536"
"11","Courtney Kelley","Miles","So.","OF","38","116","44","27","11","0","1","0.532"
"12","Zach Cohen","Angelo St.","Jr.","INF","47","157","60","25","25","1","0","0.529"
"13","Rashad Ingram","St. Augustine's","Sr.","INF","54","173","69","42","7","2","1","0.527"
"14","Donald Smith","Claflin","Jr.","OF","34","114","49","21","4","2","0","0.525"
"15","Dean Green","Barry","Sr.","1B","50","184","74","36","13","2","2","0.523"
"16","Jacob Rogers","Mount Olive","Jr.","3B","45","156","66","34","3","4","0","0.523"
"17","John Zule","Incarnate Word","So.","INF","37","108","46","22","5","5","1","0.521"
"18","Cash Barker","Tex. A&M-Kingsville","So.","C","36","87","31","17","13","0","6","0.521"
"19","Tyler Anthony","Central Mo.","Sr.","OF","46","131","50","32","6","0","3","0.521"
"20","Michael Knox","Mount Olive","Jr.","DH","46","160","58","47","5","0","1","0.519"
"21","Brandon Brewer","West Fla.","Sr.","SS","48","151","62","33","4","3","7","0.518"
"22","C.J. Maszal","Wayne St. (MI)","Jr.","OF","37","121","51","22","2","0","0","0.517"
"23","Greg Anderson","Colorado Mesa","Sr.","OF","44","148","62","23","8","1","10","0.517"
"24","Andrew Haake","Neb.-Kearney","Sr.","1B","43","152","62","34","3","3","0","0.516"
"25","Cory Wilkins","Miles","Sr.","OF","31","85","31","16","11","1","5","0.513"
"26","Jacob Mays","Concord","Jr.","P","42","138","51","19","21","0","6","0.511"
"27","Patrick Melvin","Miles","Sr.","1B","39","125","49","30","3","3","1","0.509"
"28","Matt Johnson","Arkansas Tech","Sr.","OF","46","198","92","19","1","2","3","0.509"
"29","David Fox","Metro St.","Sr.","OF","40","144","61","23","4","2","1","0.509"
"30","Phil Imholte","St. Cloud St.","So.","OF","40","86","29","8","23","1","9","0.508"
"31","Trey Buck","Southern Ark.","Jr.","SS","45","143","51","43","4","3","6","0.508"
"32","Pierce Joseph","St. Augustine's","Sr.","OF","54","164","64","26","16","3","0","0.507"
"33","William Smalls","Albany St. (GA)","Jr.","SS","52","181","75","32","4","3","0","0.505"
"34","Vallmer Jordan","Morehouse","Jr.","OF","33","103","42","19","3","2","0","0.504"
"35","Garrett Harris","Angelo St.","Jr.","OF","45","140","56","23","8","2","0","0.503"
"36","Jason Nappi","Harding","Sr.","INF","45","149","58","24","12","2","0","0.503"
"37","Chris Ross","Montevallo","Jr.","OF","43","158","64","26","5","0","3","0.503"
"38","Travis Taijeron","Cal Poly Pomona","Sr.","OF","45","153","56","31","12","1","0","0.503"
"39","Andre Yates","Southwestern Okla.","Jr.","2B","47","157","58","19","25","2","2","0.502"
"40","William Calhoun","Abilene Christian","Sr.","DH","47","181","78","27","1","2","0","0.502"
"41","Patrick Donahue","Tampa","Sr.","INF","43","156","60","24","14","2","4","0.500"
"","Josh Federico","Oakland City","Sr.","SS","29","85","31","11","12","0","2","0.500"
"","Greg Pron","West Fla.","Sr.","OF","48","168","74","19","6","5","2","0.500"
"","Jeremy Soliday","Southwestern Okla.","Jr.","3B","44","151","61","25","6","2","3","0.500"
"45","Brock Green","Ouachita Baptist","Jr.","1B","47","160","61","31","8","2","1","0.498"
"46","Josh Cyr","North Ala.","So.","INF","44","131","41","28","24","4","1","0.497"
"47","Jason Solma","Mo. Western St.","So.","INF","44","136","53","24","5","0","8","0.497"
