"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Marquis Riley","N.C. A&T","Jr.","2B","44","166","3","55.3"
"2","Mark Onorati","Manhattan","Sr.","OF","38","146","3","48.7"
"3","Nick Rickles","Stetson","Jr.","C","44","170","4","42.5"
"4","Chris Dudics","Toledo","Sr.","INF","43","182","5","36.4"
"5","Tyler Koelling","Southern Miss.","Sr.","OF","43","190","6","31.7"
"6","Danny Stienstra","San Jose St.","Sr.","INF","46","183","7","26.1"
"7","Tanner Mathis","Ole Miss","So.","OF","44","178","7","25.4"
"8","Dillon Checkal","San Diego","So.","INF","38","127","5","25.4"
"9","Casey McMurray","Illinois","Sr.","OF","39","152","6","25.3"
"10","Taylor Heon","Southeast Mo. St.","Sr.","INF","33","113","5","22.6"
"11","Hunter Phillips","Sacred Heart","Jr.","INF","42","154","7","22.0"
"12","Corey LeVier","San Diego","Jr.","INF","38","130","6","21.7"
"13","Chad Zurcher","Memphis","Jr.","INF","42","151","7","21.6"
"14","Ryan Jones","Michigan St.","So.","INF","38","150","7","21.4"
"15","Anthony Gomez","Vanderbilt","So.","INF","43","188","9","20.9"
"16","Craig Manuel","Rice","Jr.","C","41","118","6","19.7"
"17","Alex Azor","Navy","Jr.","OF","49","194","10","19.4"
"18","Alex Swim","Elon","So.","C","47","190","10","19.0"
"19","T.J. Rivera","Troy","Sr.","2B","44","169","9","18.8"
"20","Kevin Plawecki","Purdue","So.","C","42","164","9","18.2"
"21","Maxx Tissenbaum","Stony Brook","So.","INF","40","144","8","18.0"
"","Derek Vigoa","Penn","Jr.","INF","40","144","8","18.0"
"","Brandon Eggenschwiler","Murray St.","Fr.","OF","34","108","6","18.0"
"24","A.J. Rusbarsky","Seton Hall","Sr.","INF","40","161","9","17.9"
"25","Brock Bennett","Alabama","Sr.","C","43","160","9","17.8"
"","Greg Fontenot","La.-Lafayette","Sr.","SS","44","160","9","17.8"
"27","Angel Ibanez","Tex.-Pan American","So.","INF","37","157","9","17.4"
"28","Jeff Cammans","Rhode Island","Jr.","OF","42","155","9","17.2"
"29","Brantley Meier","Charleston So.","Sr.","OF","43","170","10","17.0"
"30","Jason Martin","San Jose St.","Sr.","OF","46","151","9","16.8"
"31","Dylan Craig","Belmont","Jr.","OF","45","183","11","16.6"
"32","Chad Marshall","Stony Brook","Sr.","INF","40","166","10","16.6"
"33","Cory Tilton","Charlotte","Sr.","OF","43","165","10","16.5"
"","Kyle Nisson","Quinnipiac","Jr.","C","40","132","8","16.5"
