"Rank","Name","Team","Cl","Pos","G","BB"
"1","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","53"
"2","Justin Zeller","Wheaton (IL)","Sr.","OF","37","41"
"3","Jon Brock","LaGrange","Jr.","OF","42","39"
"","Daniel Iturrey","Emory","Jr.","OF","37","39"
"5","Trey Such","Methodist","Sr.","C","41","38"
"6","Mitchell Rowan","Willamette","Jr.","OF","35","36"
"7","Dan Allen","Stevens","So.","P","35","35"
"8","Kevin O'Connor","Emory","Sr.","INF","37","34"
"9","Todd Tompkins","Becker","Jr.","C","37","33"
"10","Jordan Powers","St. Norbert","Sr.","OF","29","32"
"11","Nick Beall","Shenandoah","Jr.","OF","37","31"
"12","Adam Derner","Wm. Paterson","Sr.","1B","40","30"
"","Danny Freudiger","Centre","Sr.","OF","37","30"
"","Ryan Mullin","Benedictine (IL)","So.","INF","37","30"
"","Josh Sharpe","Mt. St. Vincent","So.","OF","33","30"
"","Jon Walker","Birmingham-So.","Sr.","INF","41","30"
"17","Nathan Brown","Northland","Fr.","OF","32","29"
"","John Holm","Wabash","Sr.","INF","40","29"
"","Tommy Kawamura","Willamette","So.","INF","36","29"
"","Brent Schaekel","Concordia (TX)","So.","OF","42","29"
"21","Nick Connor","Thomas More","Fr.","OF","35","28"
"","Bryan Gill","Nichols","Jr.","INF","30","28"
"","Geoff Green","Skidmore","Jr.","C","33","28"
"","Brandon Hannon","Emory","So.","OF","37","28"
"","Jonathan Mason","Bridgewater (VA)","Jr.","OF","44","28"
"","Cody Pace","Montclair St.","So.","INF","39","28"
"","Richard Palase","Lynchburg","Sr.","SS","42","28"
"","Lynden Pindling","Rhodes","Jr.","SS","42","28"
"","Clark Sims","Hendrix","Sr.","INF","42","28"
"","Kevin Smeraglio","Gwynedd-Mercy","Sr.","OF","38","28"
"","Vernon Trice","Oglethorpe","Fr.","OF","40","28"
"","Mark Vlaskamp","Hendrix","Sr.","INF","41","28"
"","Daniel Yancelson","Texas Lutheran","Sr.","SS","41","28"
"34","Ryan Adams","Aurora","Sr.","OF","37","27"
"","John Barrett","Frostburg St.","Sr.","OF","39","27"
"","Jordan Buck","Hamline","Jr.","DH","35","27"
"","Michael Del Buono","Lynchburg","Jr.","1B","42","27"
"","Brian Evans","Elmhurst","Jr.","INF","34","27"
"","Brian Jordan","Randolph-Macon","Sr.","OF","39","27"
"","Barry Larro","Richard Stockton","Jr.","OF","37","27"
"","Brian Reutter","Old Westbury","Sr.","2B","38","27"
"","Joey Semler","SUNY Maritime","Jr.","C","33","27"
"","Nick Stein","Coe","Jr.","OF","35","27"
"","Cody Stevenson","Webster","Jr.","OF","36","27"
"","Brandon Thigpen","Methodist","Jr.","INF","41","27"
"","Elijah Vottero","Immaculata","So.","INF","35","27"
"","Mike Wasco","Richard Stockton","Sr.","1B","36","27"
"48","John Adornetto","SUNY Cortland","Jr.","SS","38","26"
"","Tommy Barksdale","Gallaudet","Jr.","SS","42","26"
"","Michael Bodden","Drew","Jr.","SS","38","26"
"","John Burns","Gwynedd-Mercy","So.","C","37","26"
"","Ben Cok","Calvin","Jr.","INF","35","26"
"","Drew Frankenfield","York (PA)","Jr.","OF","38","26"
"","Carter Franz","St. Lawrence","Jr.","-","33","26"
"","Ryan Gibbons","Wm. Paterson","Jr.","OF","40","26"
"","Matt Hancock","Ramapo","Jr.","C","34","26"
"","Ryan Javech","North Park","Sr.","C","37","26"
"","Gabe Klein","Hamilton","Jr.","OF","32","26"
"","Ricardo Lizcano","Heidelberg","Sr.","OF","37","26"
"","Shannon Mark","Chris. Newport","Sr.","OF","33","26"
"","Nick Pappas","Trinity (TX)","Sr.","INF","44","26"
"","Anthony Porcaro","Marian (WI)","Sr.","C","34","26"
"","Mitchell Powers","Ozarks (AR)","Jr.","SS","35","26"
"","Scott Renauro","Eastern","Sr.","INF","34","26"
"","Joe Turek","North Central (IL)","Sr.","1B","31","26"
