"Rank","Name","Team","Cl","Pos","App","IP","SO","K/9"
"1","Jacob Rickett","North Ga.","Sr.","P","24","40.0","58","13.05"
"2","Nick Gillung","Mercyhurst","Sr.","P","11","59.7","85","12.81"
"3","William Landsheft","Drury","Fr.","P","12","53.3","74","12.50"
"4","Joe Holtmeyer","Neb. Omaha","Jr.","P","10","58.7","81","12.42"
"5","Jack Leathersich","Mass.-Lowell","Jr.","P","10","65.0","89","12.32"
"6","Brian Maloney","Franklin Pierce","Sr.","P","10","74.0","100","12.16"
"7","Zach Leitten","Mercyhurst","Jr.","P","10","46.0","62","12.13"
"8","Randy Sturgill","California (PA)","Jr.","P","12","75.7","102","12.13"
"9","Chuck Fontana","Molloy","Jr.","P","10","70.0","94","12.09"
"10","Jonathan Cornelius","Florida Tech","Sr.","P","14","89.0","119","12.03"
"11","Ryan Thompson","Franklin Pierce","So.","P","10","73.0","96","11.84"
"12","Gregg Downing","Franklin Pierce","Jr.","P","8","52.7","69","11.78"
"13","Max Rusch","Flagler","Jr.","P","27","62.3","81","11.70"
"14","Justin Somers","Wingate","So.","P","16","56.3","72","11.51"
"15","Felix Cardenas","Tex. Permian Basin","Sr.","P","14","67.0","85","11.42"
"16","Jonathan Gonzalez","Adelphi","Sr.","P","11","72.7","92","11.39"
"17","Jamie Treml","Wilmington (DE)","Fr.","P","14","56.3","71","11.35"
"18","Ben Hawkins","West Fla.","Jr.","P","13","65.3","82","11.30"
"19","Kevin Brahney","Cal St. Chico","Sr.","P","8","47.0","59","11.30"
"20","B.J. Sieverding","St. Joseph's (IN)","Jr.","P","19","42.7","53","11.17"
"21","Kirk Jewasko","Incarnate Word","Jr.","P","12","76.3","94","11.09"
"22","Joe Harris","Wilmington (DE)","Sr.","P","12","57.7","71","11.07"
"23","Ian Ocon","Sonoma St.","So.","P","12","42.3","52","11.06"
"24","Brice Rivenbark","Winston-Salem","Jr.","P","13","69.0","84","10.96"
"25","Josh Cagle","Stillman","Jr.","P","14","79.0","96","10.94"
"26","Steve Simon","Southern Conn. St.","Sr.","P","9","50.3","61","10.91"
"27","Blake Wixson","Drury","Sr.","P","10","53.7","65","10.89"
"28","Joby Lapkowicz","Slippery Rock","So.","P","10","46.3","56","10.89"
"29","Dennis Bronson","Morehouse","Sr.","P","9","53.0","64","10.87"
"30","Michael Jordan","Benedict","Jr.","INF","13","49.0","59","10.84"
"31","James Rhodes","Cameron","Jr.","P","18","58.3","70","10.81"
"32","Josh McKeon","Upper Iowa","Sr.","P","10","71.7","86","10.79"
"33","Shawn Kale","Lynn","Jr.","P","19","44.3","53","10.77"
"34","Jeremy Gigliotti","East Stroudsburg","Sr.","P","10","53.0","63","10.70"
"","Brian Willis","UNC Pembroke","Sr.","P","18","53.0","63","10.70"
"36","Kyle Grana","Bellarmine","Fr.","P","12","58.3","69","10.65"
"37","Kevin McGovern","Philadelphia U.","Jr.","C","11","55.0","65","10.64"
"38","Sean Tighe","Nova Southeastern","Jr.","P","15","65.3","77","10.61"
"39","Nolan Snell","Colorado Mesa","So.","P","12","68.0","80","10.59"
"40","Derek Hansen","Augustana (SD)","So.","INF","9","40.0","47","10.58"
"41","Manny Rodriguez","Barry","Jr.","P","13","94.7","111","10.55"
"42","Jj Jankowski","Catawba","Jr.","P","15","90.7","106","10.52"
"43","Tony Mueller","Winona St.","Jr.","OF","8","48.0","56","10.50"
"44","Chase Pickering","West Virginia St.","Jr.","P","9","40.3","47","10.50"
"45","Tyler Golden","Lock Haven","Sr.","P","10","46.7","54","10.41"
"","Kyle Teague","Valdosta St.","Jr.","P","9","46.7","54","10.41"
"47","Bryan Tuttle","Pfeiffer","So.","P","14","72.0","83","10.38"
"48","Eddie Sipple","Fla. Southern","Sr.","P","14","59.0","68","10.37"
"49","Lou Trivino","Slippery Rock","Fr.","P","10","47.0","54","10.34"
"50","Gabriel Duran","Dowling","Sr.","P","10","56.7","65","10.32"
"51","Danny Miller","Minn. St. Mankato","Sr.","OF","9","54.3","62","10.28"
"52","Dave Bartuska","Dominican (NY)","Jr.","P","10","66.3","75","10.18"
"53","Dylan Porter","West Chester","Jr.","P","12","51.3","58","10.18"
"54","Wesley Edwards","Winston-Salem","So.","P","14","56.7","64","10.16"
"55","John Wenker","Winona St.","Jr.","P","8","41.7","47","10.14"
"56","Phillip Mozingo","Francis Marion","Sr.","P","11","45.3","51","10.13"
"","Tyler Wood","UNC Pembroke","Sr.","P","12","45.3","51","10.13"
"58","Kyle Olney","Alderson-Broaddus","So.","P","15","53.3","60","10.13"
"59","Kyle Sayers","N.M. Highlands","Sr.","P","10","48.0","54","10.13"
"60","Cy Mozingo","West Va. Wesleyan","Sr.","P","9","55.3","62","10.09"
"61","Donovan Drake","Indianapolis","Jr.","P","13","50.0","56","10.08"
"62","Trent Mertz","Kutztown","Sr.","P","11","42.0","47","10.07"
"63","Atlee Pearson","Erskine","Sr.","P","21","48.3","54","10.06"
"64","Brad Monroe","Southern N.H.","Jr.","P","11","66.3","74","10.05"
"65","Timothy Flight","Southern N.H.","So.","P","10","70.3","78","9.99"
"66","Vinny Pacchetti","Cal St. Stanislaus","Sr.","P","11","65.0","72","9.97"
"67","Zeb Sneed","Northwest Nazarene","So.","P","11","50.3","55","9.84"
"68","Carter Capps","Mount Olive","So.","P","14","89.0","97","9.81"
"69","Chris Nelson","Wingate","Sr.","C","13","78.0","85","9.81"
"70","Matt Cook","Caldwell","Jr.","INF","11","60.7","66","9.79"
"71","Kyle DiMartino","Dixie St.","Jr.","P","22","43.3","47","9.77"
"72","Zach Jeney","Slippery Rock","Sr.","P","11","55.3","60","9.76"
"73","Tyler Badamo","Dowling","Fr.","P","9","50.7","55","9.76"
"74","Ryan Modglin","Harding","So.","P","10","49.0","53","9.73"
"75","Jason Postill","West Fla.","Sr.","P","13","89.0","96","9.71"
"76","Gabriel Asakura","Cal St. L.A.","Jr.","P","12","65.0","70","9.69"
"77","Jayson Huett","Northwest Mo. St.","Sr.","P","25","62.3","67","9.68"
"78","Adrian Dominguez","Southwestern Okla.","Jr.","P","12","43.3","46","9.56"
"79","Kendall Wilson","Kentucky St.","Jr.","P","8","45.3","48","9.54"
"80","Ziggie Vanderwall","Southern Ark.","Jr.","P","13","57.7","61","9.51"
"81","Kevin Earlie","Nyack","Jr.","INF","13","74.0","78","9.49"
"82","Tyson Gau","Augustana (SD)","So.","P","11","56.0","59","9.48"
"83","Jason Lembo","Molloy","Jr.","P","10","48.7","51","9.43"
"84","Ajay Meyer","Ashland","Sr.","P","14","85.0","89","9.42"
"85","Kerich Randolph","Elizabeth City St.","Fr.","C","13","70.7","74","9.42"
"86","Steve Landell","Southern Conn. St.","So.","P","7","46.0","48","9.39"
"87","Joey Cuda","Eckerd","Jr.","P","14","101.0","105","9.36"
"88","Joseph Herbert","Winston-Salem","Fr.","P","14","53.0","55","9.34"
"89","Heath Wyatt","Southeastern Okla.","Sr.","P","28","63.7","66","9.32"
"90","Robert Frank","St. Thomas Aquinas","So.","P","11","57.0","59","9.32"
"91","Luis Mendoza","Bloomfield","Jr.","P","11","49.3","51","9.31"
"","Ben Rawding","Mercyhurst","So.","P","12","58.0","60","9.31"
"93","Ryan Griffin","Ala.-Huntsville","Jr.","P","10","50.3","52","9.30"
"94","Steve Paladino","Felician","Fr.","P","12","68.7","71","9.30"
