"Rank","Name","Team","Cl","Pos","G","HR"
"1","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","14"
"2","Adam Derner","Wm. Paterson","Sr.","1B","40","13"
"","Corey Marchant","Manchester","Jr.","INF","37","13"
"","John Macon Smith","Guilford","So.","INF","41","13"
"","Michael Tucker","Anderson (IN)","Sr.","C","37","13"
"6","James Campbell","Pomona-Pitzer","Sr.","INF","30","11"
"","Terry Davis","Illinois Col.","Sr.","OF","33","11"
"","John Holm","Wabash","Sr.","INF","40","11"
"","Trey Martin","Wheaton (IL)","Jr.","3B","37","11"
"","Tyler Pfeffer","Whitworth","So.","INF","40","11"
"","Tony Prescott","Stevenson","Sr.","DH","42","11"
"","Chris Sweeney","King's (PA)","Jr.","OF","34","11"
"13","Frank Difilippo","Lancaster Bible","Jr.","INF","28","10"
"","Mitchell Rowan","Willamette","Jr.","OF","35","10"
"15","Kevin Callahan","Ill. Wesleyan","Jr.","1B","35","9"
"","Bryan Colish","Pitt.-Greensburg","Sr.","INF","37","9"
"","Joey Donofrio","Shenandoah","Jr.","OF","40","9"
"","T.J. Evanson","Wis.-Superior","Fr.","1B","35","9"
"","Dan Fiorito","Manhattanville","Sr.","SS","34","9"
"","Paul Greco","Lancaster Bible","Sr.","INF","31","9"
"","Ethan Moser","DeSales","Sr.","OF","38","9"
"","Stephen Nappe","Montclair St.","Jr.","INF","38","9"
"","Jon Schoch","Wis.-Stout","Sr.","OF","36","9"
"24","Pedro Aldape","Occidental","Jr.","1B","33","8"
"","Chase Brown","Texas-Dallas","Sr.","OF","43","8"
"","Kenny Durling","Misericordia","Jr.","OF","38","8"
"","Chuck Erickson","Rensselaer","Jr.","1B","35","8"
"","Adam Grambow","Ripon","Jr.","INF","29","8"
"","Sky Kelley","Willamette","Jr.","OF","26","8"
"","Brian Mauro","DeSales","Jr.","C","38","8"
"","Jordan Neiman","Manchester","So.","INF","35","8"
"","Joseph Odom","Huntingdon","So.","C","40","8"
"","Brandon Thigpen","Methodist","Jr.","INF","41","8"
"","Cory Walden","Aurora","Jr.","P","37","8"
"35","Connor Bierfeldt","Western Conn. St.","Jr.","OF","30","7"
"","Kevin Bond","Montclair St.","Sr.","C","39","7"
"","Brooks Braga","Wis.-La Crosse","Jr.","OF","36","7"
"","Ryan Brown","Messiah","Jr.","-","39","7"
"","Brandon Chase","St. Joseph's (ME)","Jr.","INF","40","7"
"","Justin Cohen","York (PA)","Jr.","C","39","7"
"","Zack Dandrea","Western Conn. St.","Sr.","2B","28","7"
"","Jake Duske","Wis.-Stout","Sr.","INF","36","7"
"","Bill Eannotti","Western Conn. St.","Jr.","INF","24","7"
"","Derrek Etsell","Neumann","Sr.","OF","38","7"
"","Brock Gates","Pacific Lutheran","Sr.","INF","37","7"
"","Pat Hirschberg","Trinity (TX)","So.","OF","44","7"
"","Billy Kass","Loras","Jr.","OF","36","7"
"","Ricardo Lizcano","Heidelberg","Sr.","OF","37","7"
"","Kyle Moyes","Whitman","So.","3B","35","7"
"","Christian Muscarello","Trinity (TX)","So.","INF","44","7"
"","Anthony Orsano","Old Westbury","Sr.","C","39","7"
"","Paul Pakan","Case","Jr.","INF","43","7"
"","Richard Palase","Lynchburg","Sr.","SS","42","7"
"","Wes Perkins","Millsaps","Jr.","C","44","7"
"","Sean Riley","Bridgewater St.","Jr.","2B","40","7"
"","Matt Ruch","Wilkes","Sr.","INF","39","7"
"","Tay Sidler","Wilkes","Sr.","C","37","7"
