"Rank","Name","Team","Cl","Pos","G","3B"
"1","Aaron Brill","Felician","Sr.","SS","19","6"
"","Lel Clemmons","Winston-Salem","---","CF","31","6"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","6"
"","Ernie Kirkwood","Coker","Sr.","OF","28","6"
"","Tyler Moore","S.C. Aiken","So.","OF","27","6"
"","Eric Serra","Wingate","Sr.","OF","28","6"
"7","Sam Hedrick","Eastern N.M.","Sr.","INF","28","5"
"","Tyler Tichenor","Trevecca Nazarene","So.","OF","25","5"
"9","Drew Johnson","Cedarville","Fr.","INF","20","4"
"","Eric Loxtercamp","St. Cloud St.","Jr.","OF","17","4"
"","Chris Morley","Adams St.","So.","OF","25","4"
"","Parker Norris","Ouachita Baptist","Jr.","INF","27","4"
"","Tyler Raymond","King (TN)","Jr.","OF","30","4"
"","Jake Sandlin","Georgia College","Jr.","INF","25","4"
"15","Nathan Antoun","California Baptist","Jr.","OF","26","3"
"","Nick Bienlich","Belmont Abbey","---","DH","25","3"
"","Shane Billings","Wingate","Fr.","2B","28","3"
"","Bret Bitow","Mont. St. Billings","Jr.","OF","24","3"
"","Chandler Brock","Ala.-Huntsville","Jr.","OF","29","3"
"","Andrew Brodbeck","Flagler","Jr.","INF","29","3"
"","Jake Brower","Missouri S&T","Sr.","OF","19","3"
"","Mason Brozovich","Colo. Christian","---","PR","15","3"
"","Dominic Brugnoni","Fla. Southern","Jr.","INF","27","3"
"","Tyler Burden","Chowan","So.","P","27","3"
"","Tyler Cameron","Southern Ark.","Sr.","INF","31","3"
"","David Chew","Mo. Western St.","Sr.","OF","24","3"
"","Johnathon Cruz","Dowling","Jr.","OF","19","3"
"","Kevin Davis","Benedict","Jr.","INF","26","3"
"","Mike Failoni","Lindenwood (MO)","Sr.","1B","25","3"
"","Mick Fennell","California (PA)","So.","INF","18","3"
"","Cody Fox","Carson-Newman","Jr.","OF","31","3"
"","Tyler Gaby","King (TN)","Sr.","OF","32","3"
"","Keegan Ghidotti","Ouachita Baptist","Sr.","P","27","3"
"","Blake Gipson","Rogers St.","So.","OF","25","3"
"","Keaton Hawks","Catawba","Sr.","OF","29","3"
"","Matt Kimmel","Azusa Pacific","Sr.","OF","22","3"
"","Chris Knott","East Stroudsburg","Sr.","OF","19","3"
"","Ben Korger","Southwest Minn. St.","Sr.","SS","19","3"
"","Nick La Face","UC San Diego","Sr.","C","20","3"
"","Josh Lavender","East Central","Sr.","INF","25","3"
"","Jordan Lopez","Okla. Christian","Jr.","OF","23","3"
"","Austin Mascorro","Colorado St.-Pueblo","Jr.","INF","19","3"
"","Kevin Meredith","Tarleton St.","Jr.","OF","26","3"
"","Clayton Miller","Armstrong","Sr.","C","26","3"
"","Logan Moon","Mo. Southern St.","Sr.","OF","26","3"
"","N. Norkeh","Angelo St.","---","CF","29","3"
"","Joe Post","Flagler","Sr.","INF","27","3"
"","Brandon Raidy","Cameron","Sr.","OF","22","3"
"","Orlando Rivera","Tampa","Jr.","3B","26","3"
"","Zach Santos","Shorter","---","SS","28","3"
"","Kyle Sargent","McMurry","---","SS","25","3"
"","Eric Schneider","Stonehill","Jr.","C","16","3"
"","Jason Shaul","Mary","Jr.","3B","16","3"
"","Thomas Spitz","Wingate","Jr.","OF","28","3"
"","Chevis Springer","Southeastern Okla.","Sr.","OF","28","3"
"","Blake Stringer","Okla. Christian","Sr.","1B","23","3"
"","William Townsend","Southern Ark.","So.","OF","31","3"
"","Colby Wilmer","N.M. Highlands","Jr.","OF","16","3"
"","Michael Wilson","Francis Marion","Sr.","INF","28","3"
"","Paul Winterbottom","Stillman","Jr.","INF","28","3"
"","Lawrence Wooten","Okla. Panhandle","Sr.","OF","25","3"
"62","Matt Ackerman","Lynn","Jr.","OF","27","2"
"","Tyler Adams","Upper Iowa","Sr.","OF","13","2"
"","Ben Agredano","Ark.-Monticello","Sr.","INF","31","2"
"","Ben Albano","Lewis","Sr.","OF","19","2"
"","Eric Altman","Northwood (MI)","Sr.","INF","16","2"
"","Clay Ardeeser","Georgia College","Jr.","INF","24","2"
"","Ryan Arington","Trevecca Nazarene","Fr.","SS","25","2"
"","Brandon Arnold","St. Cloud St.","So.","INF","17","2"
"","Max Ayoub","Neb.-Kearney","Jr.","OF","23","2"
"","Ty Barkell","S.C. Aiken","Jr.","INF","28","2"
"","Andrew Bartlett","Florida Tech","Sr.","INF","29","2"
"","Ronald Bauer Jr.","Molloy","Fr.","P","9","2"
"","W. Baylor","Mansfield","---","DH","14","2"
"","Jason Baytop","Saint Augustine's","So.","OF","27","2"
"","Mitchell Beaudreau","Newman","---","C","17","2"
"","Aaron Beckley","Cal St. San B'dino","Sr.","OF","25","2"
"","James Black","Tex. A&M-Kingsville","Sr.","INF","24","2"
"","Dillion Bollig","Adams St.","So.","2B","25","2"
"","Baron Bower","Fresno Pacific","So.","P","27","2"
"","Lyle Brackenridge","Academy of Art","Sr.","INF","24","2"
"","Chris Bradshaw","Western Ore.","Sr.","OF","29","2"
"","Jc Brandmaier","Dowling","Sr.","1B","18","2"
"","Dominick Bregar","Colorado St.-Pueblo","So.","1B","20","2"
"","Cameron Brewster","Lee","Sr.","OF","28","2"
"","Mitchell Broughton","Quincy","Sr.","OF","15","2"
"","Matt Burns","Southern Conn. St.","So.","OF","15","2"
"","Brian Campbell","Stonehill","So.","INF","17","2"
"","Chris Carlson","Cal Poly Pomona","Sr.","OF","27","2"
"","Markus Carr","Okla. Christian","Sr.","OF","19","2"
"","Phillip Carroll","Mars Hill","So.","OF","32","2"
"","Daniel Catalan","Holy Names","Sr.","OF","26","2"
"","Nick Chapman","West Tex. A&M","Jr.","OF","29","2"
"","Jordan Chovanec","Delta St.","Sr.","OF","22","2"
"","Ryan Christian","Morehouse","So.","OF","24","2"
"","Nicholas Christopher","Virginia St.","Jr.","P","26","2"
"","Cole Clifton","Wayne St. (MI)","Fr.","OF","18","2"
"","Steven Cooper","Anderson (SC)","So.","INF","31","2"
"","Jimmy Correnti","Fla. Southern","Sr.","INF","25","2"
"","Sam Cothran","Erskine","So.","OF","24","2"
"","Tyler Coughenour","Angelo St.","Sr.","INF","28","2"
"","Andy Crowley","California Baptist","Jr.","OF","28","2"
"","Austin Crutcher","Bellarmine","Jr.","INF","17","2"
"","Keith Curcio","Fla. Southern","Jr.","OF","29","2"
"","Adam Daniel","Mars Hill","So.","INF","28","2"
"","Garrett Demers","American Int'l","---","DH","6","2"
"","Stephen Dezzi","Tampa","Jr.","OF","29","2"
"","J.J. Downum","Fla. Southern","Sr.","OF","18","2"
"","Cody Eastwood","Okla. Christian","Sr.","2B","21","2"
"","Blake Edwards","Columbus St.","So.","2B","32","2"
"","Eric Ehlow","Sonoma St.","Jr.","C","18","2"
"","Dalton Eisenbath","Mars Hill","So.","INF","32","2"
"","Chris Faulkner","Southwestern Okla.","Sr.","OF","25","2"
"","Kyle Floyd","Lincoln Memorial","Jr.","C","26","2"
"","Eli Flynn","Concord","Fr.","OF","12","2"
"","Ryan Gerber","Palm Beach Atl.","Sr.","INF","26","2"
"","Scott Gibson","Tusculum","---","C","25","2"
"","null Gilliard","Albany St. (GA)","---","C","27","2"
"","David Goggin","Angelo St.","So.","C","29","2"
"","Nick Gonzales","N.M. Highlands","Jr.","INF","24","2"
"","Jay Gonzalez","Mount Olive","Sr.","OF","30","2"
"","Dillon Granzella","Adams St.","So.","OF","15","2"
"","Logan Gray","Malone","Sr.","INF","19","2"
"","Jon Gray","Pfeiffer","Sr.","INF","30","2"
"","Sixto Guerrero","Claflin","So.","OF","25","2"
"","Sam Haas","Southwest Minn. St.","So.","OF","18","2"
"","Chad Hanson","Bemidji St.","Sr.","OF","10","2"
"","Justin Hargrove","West Tex. A&M","Jr.","C","20","2"
"","Tadarius Hawkins","Henderson St.","So.","OF","26","2"
"","David Hebert","West Tex. A&M","Sr.","INF","29","2"
"","Tom Hooker","King (TN)","Sr.","OF","19","2"
"","Blake Houston","Catawba","Jr.","OF","29","2"
"","Trey Hunt","Point Loma","Jr.","OF","26","2"
"","Shaquille Jackson","West Ga.","Sr.","OF","25","2"
"","Richie Johnson","Cal St. Monterey Bay","So.","INF","24","2"
"","Tanner Johnson","Washburn","Jr.","INF","11","2"
"","Andrew Johnson","New Haven","Sr.","2B","7","2"
"","Billy Johnson","Assumption","Jr.","1B","12","2"
"","Paul Johnson","Northwest Mo. St.","Jr.","INF","23","2"
"","Ryan Johnston","Concord","Jr.","INF","21","2"
"","Trevor Jones","Central Mo.","Jr.","OF","22","2"
"","Todd Juliano","Flagler","Jr.","INF","28","2"
"","Trevor Karbowski","Missouri S&T","So.","OF","22","2"
"","Will Kengor","Slippery Rock","Sr.","INF","20","2"
"","Jon Kennedy","Nyack","Jr.","OF","11","2"
"","Andrew Kozak","Erskine","Jr.","OF","26","2"
"","Ethan Krenning","Missouri S&T","Fr.","OF","13","2"
"","Brandon Landanger","Neb.-Kearney","Jr.","OF","27","2"
"","Kyle Lento","Tiffin","Fr.","INF","17","2"
"","Dean Long","Emporia St.","Jr.","INF","25","2"
"","Erik Lunde","Lander","Sr.","INF","30","2"
"","David Marcus","California (PA)","So.","INF","18","2"
"","Jim Martin","Union (TN)","Jr.","1B","27","2"
"","Brandon Martinez","Kutztown","Jr.","OF","16","2"
"","Tim Massengale","Columbus St.","Jr.","3B","31","2"
"","Carlos Matamoros","Barry","Jr.","OF","24","2"
"","KJ McAllister","Limestone","Sr.","SS","30","2"
"","Jackson McCurdy","Southern Ark.","Sr.","OF","24","2"
"","Codey McElroy","Cameron","Jr.","SS","23","2"
"","Tyler McKnight","West Tex. A&M","Sr.","OF","19","2"
"","Sean Miller","S.C. Aiken","So.","INF","28","2"
"","Scott Miller","Lincoln Memorial","Jr.","INF","30","2"
"","Landon Moore","Ouachita Baptist","Sr.","OF","29","2"
"","Samuel Moreno","Okla. Panhandle","Fr.","INF","21","2"
"","Hank Morrison","Mercyhurst","So.","INF","15","2"
"","Jack Morrow","Young Harris","Sr.","C","31","2"
"","Sean Murphy","Maryville (MO)","So.","OF","16","2"
"","Deven Nelson","Adams St.","Jr.","OF","22","2"
"","Patrick Nickler","Palm Beach Atl.","Jr.","OF","18","2"
"","Brendan O'Reilly","New Haven","Jr.","OF","7","2"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","2"
"","Connor Obrochta","Tampa","Sr.","OF","27","2"
"","Lucas Ogaz","Okla. Panhandle","Jr.","INF","24","2"
"","Luke Ortel","Hillsdale","So.","OF","18","2"
"","Brooks Orton","St. Mary's (TX)","Jr.","OF","29","2"
"","Dylan Pastor","Post","Jr.","INF","15","2"
"","Nick Perez","Saint Leo","Jr.","INF","21","2"
"","Joe Petosa","Felician","Sr.","OF","17","2"
"","Derrick Pitts","Lee","Sr.","OF","30","2"
"","Jon Pomatto","Northwest Mo. St.","Sr.","P","24","2"
"","Ryan Poppitz","Concordia-St. Paul","So.","3B","12","2"
"","Graham Ramos","Lander","Sr.","INF","29","2"
"","Luke Reinschmidt","Mont. St. Billings","So.","OF","24","2"
"","Patrick Rients","Southwest Minn. St.","Sr.","INF","20","2"
"","Michael Rizzitello","Dowling","So.","C","17","2"
"","Reginald Rodgers","Claflin","Fr.","SS","25","2"
"","Charlee Rodriguez","Dowling","So.","OF","7","2"
"","Beto Rodriguez","West Tex. A&M","Sr.","INF","28","2"
"","Jean Rodriguez","Lincoln Memorial","So.","INF","26","2"
"","Justin Roman","West Chester","So.","C","14","2"
"","Josh Rudnik","Young Harris","Sr.","P","31","2"
"","Austin Samulowitz","Southern Nazarene","Sr.","OF","27","2"
"","Ricky Sanchez","Newman","Sr.","OF","21","2"
"","Tony Schicktanz","Regis (CO)","Sr.","INF","20","2"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","2"
"","Lonny Schoon","Colorado St.-Pueblo","Sr.","P","22","2"
"","Collin Sefcik","Southeastern Okla.","---","DH","20","2"
"","Jon Tyler Shaw","Paine","Jr.","P","23","2"
"","Riley Shintaffer","Northern St.","Jr.","OF","13","2"
"","Kyle Singleton","Northeastern St.","Sr.","OF","26","2"
"","Luke Slentz","Tarleton St.","Sr.","INF","26","2"
"","Deion Smith","LeMoyne-Owen","---","CF","22","2"
"","Taylor Snare","West Liberty","Jr.","OF","13","2"
"","Jake Stern","Pitt.-Johnstown","So.","INF","19","2"
"","Johnny Stevenson","Claflin","Fr.","C","18","2"
"","Troy Stoffregen","Pittsburg St.","Sr.","OF","22","2"
"","Christian Summers","Angelo St.","Sr.","INF","28","2"
"","Sean Sutton","Gannon","Jr.","OF","18","2"
"","Luke Tewes","Drury","Jr.","INF","17","2"
"","Kale Thaxton","Southwestern Okla.","Sr.","C","26","2"
"","Nick Thimesch","Drury","Sr.","OF","17","2"
"","Joe Tipton","Carson-Newman","So.","OF","30","2"
"","Dietrick Turney","Southwestern Okla.","Sr.","INF","26","2"
"","Adam Urbania","Slippery Rock","---","LF","20","2"
"","Jamie Valvano","Oakland City","Fr.","INF","13","2"
"","Ryan Veltre","Dowling","Sr.","INF","15","2"
"","Ben Wagner","Newman","Jr.","OF","16","2"
"","Michael Wagner","Colorado St.-Pueblo","Jr.","OF","24","2"
"","Brandon Walker","Lenoir-Rhyne","Sr.","OF","31","2"
"","Andrew Webster","Barton","Fr.","INF","28","2"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","2"
