"Rank","Name","Team","Cl","Pos","G","SB","CS"
"1","Melvin Simmons","Old Westbury","Sr.","SS","41","40","5"
"2","Benjamin Farias","Old Westbury","So.","SS","39","36","6"
"3","Joey Link","St. Scholastica","Sr.","OF","31","35","0"
"","Bryan Nolan","Mt. Aloysius","Sr.","INF","28","35","1"
"","Cody Stevenson","Webster","So.","OF","34","35","3"
"6","Rob Benedict","Wesley","Jr.","INF","36","34","4"
"","Kyle Billig","Washington-St. Louis","Fr.","OF","43","34","6"
"","Louis DeRosa","Haverford","Sr.","INF","40","34","2"
"","Joseph Guido","Old Westbury","Jr.","2B","41","34","5"
"10","David Brandt","Castleton","Jr.","INF","35","32","0"
"","Herbie Williams","Hampden-Sydney","Sr.","OF","39","32","6"
"12","Josh Davidson","Aurora","Sr.","OF","33","31","4"
"","Brandon Martin","Arcadia","So.","OF","32","31","1"
"","Trevor Popp","North Park","Sr.","OF","35","31","3"
"","Miles Walding","Huntingdon","Sr.","OF","40","31","5"
"16","Adam Higgins","Averett","Sr.","OF","38","30","3"
"17","Kyle LaVigne","Rensselaer","So.","OF","32","29","2"
"18","Anthony Amedei","Aurora","Sr.","2B","33","28","3"
"","Dennis Nover","St. Joseph's (L.I.)","Jr.","INF","36","28","1"
"","Brandon Rogalski","Washington-St. Louis","Jr.","OF","46","28","3"
"21","Devin Arnold","Dallas","Jr.","OF","33","27","3"
"","James Labartino","Mt. St. Vincent","Sr.","OF","37","27","3"
"","Tripp Lancaster","Methodist","Sr.","OF","44","27","4"
"","Pat Warrington","Southern Vt.","Jr.","OF","36","27","2"
"25","Alvin Mata","Baruch","Jr.","OF","36","26","3"
"","Brian Shelburne","Dallas","Jr.","INF","32","26","4"
"27","Matt Forgatch","Denison","Sr.","3B","36","25","2"
"","Vinny Galya","Kean","Jr.","OF","37","25","5"
"","Josh Martin","Gwynedd-Mercy","So.","INF","29","25","1"
"","Nathan Shelton","Webster","Sr.","SS","33","25","5"
"31","Michael Bodden","Drew","So.","SS","33","24","1"
"","Tom Dee","Fredonia St.","Sr.","2B","32","24","2"
"","Taylor Gahagen","Fredonia St.","Sr.","1B","35","24","2"
"","Kevin Jackson","Trinity (TX)","Sr.","INF","44","24","3"
"","Andrew Meier","Rhodes","Sr.","OF","43","24","5"
"","John Phelan","Fitchburg St.","Sr.","INF","34","24","0"
"","Jeff Pope","Oglethorpe","So.","OF","39","24","2"
"","Anthony Salsedo","Occidental","Jr.","OF","30","24","4"
"39","Jake Chaplin","Haverford","Jr.","1B","40","23","4"
"","Matt Connors","Rutgers-Newark","Sr.","2B","36","23","5"
"","Rob Gonzalez","New Jersey City","Jr.","2B","35","23","5"
"","Liam Lee","Vassar","Jr.","INF","28","23","5"
"","Danny Mello","Endicott","Fr.","INF","40","23","2"
"","Brendan Pilger","Oglethorpe","Sr.","OF","42","23","4"
"","Daniel Putnam","Wis.-Whitewater","Sr.","OF","32","23","4"
"","Clark Sims","Hendrix","Jr.","INF","41","23","3"
"47","Zac Hargett","Maryville (TN)","Sr.","OF","39","22","4"
"","Drew Harrell","Huntingdon","Sr.","DH","40","22","3"
"","Tim Mackey","Aurora","Jr.","3B","33","22","4"
"","Marcos Mejia","Baruch","Jr.","OF","35","22","3"
"","Leejay Pollacchi","Skidmore","So.","OF","32","22","2"
"","Andrew Schartner","Lakeland","Sr.","OF","32","22","2"
"53","Josh Chasse","Daniel Webster","So.","OF","32","21","5"
"","Matt Citro","Rowan","Sr.","OF","37","21","1"
"","Jhon Comas Disla","Lehman","Jr.","SS","26","21","2"
"","Nolan Fadness","Wis.-Oshkosh","Sr.","SS","32","21","3"
"","Andrew Fatse","Western New Eng.","Sr.","OF","40","21","1"
"","Tad Gold","Endicott","Fr.","OF","39","21","3"
"","Matt Irwin","Greensboro","Jr.","INF","35","21","5"
"","John LeClair","SUNYIT","So.","INF","36","21","2"
"","Shawn Lovette","Methodist","Sr.","INF","44","21","2"
"62","Andy Athans","North Park","Sr.","OF","35","20","4"
"","Myles Cordell","Maryville (TN)","Sr.","INF","40","20","5"
"","Anthony Genna","Webster","Sr.","INF","34","20","6"
"","Matt Gilbert","Rhodes","Sr.","P","43","20","5"
"","Matthew Hardy","Immaculata","So.","INF","28","20","3"
"","Tyler Heck","Union (NY)","So.","-","28","20","5"
"","Aaron Helland","Defiance","Fr.","C","30","20","3"
"","Alan Komorowski","Sewanee","So.","P","31","20","1"
"","Dennis Lopez","John Jay","So.","SS","34","20","6"
"","Collin Radack","Hendrix","Fr.","OF","41","20","2"
"","Bill Root","Salisbury","Fr.","OF","35","20","3"
"","Andrew Siano","Keystone","Jr.","OF","33","20","1"
"","Logan Smith","LeTourneau","So.","OF","40","20","3"
"","Ryan Walsh","Mass.-Boston","Sr.","2B","34","20","7"
"76","Bruce Brown","Daniel Webster","Sr.","INF","27","19","1"
"","Alex Caghan","Rochester (NY)","Jr.","OF","32","19","2"
"","Charlie Carluccio","Haverford","Sr.","SS","39","19","4"
"","Kyle Davis","Piedmont","Jr.","OF","38","19","6"
"","Will Hawkins","Millsaps","Sr.","INF","42","19","1"
"","Tj Houseal","Penn St.-Harrisburg","Jr.","OF","32","19","4"
"","Matt Jernegan","SUNY Maritime","Jr.","OF","28","19","4"
"","Kevin Knox","Ramapo","Jr.","INF","34","19","3"
"","Ryan Kragnes","Penn St.-Behrend","So.","INF","28","19","3"
"","Austin Ley","Gwynedd-Mercy","Sr.","OF","27","19","3"
"","Chris Stallone","Scranton","Sr.","OF","35","19","2"
"","Sam Tajiri","Messiah","Fr.","-","28","19","4"
"","Ken Witte","New Jersey City","Sr.","OF","37","19","0"
"89","Logan Allen","Occidental","So.","OF","32","18","2"
"","Robert Bengivengo","Albertus Magnus","Sr.","SS","29","18","3"
"","Miguel Davis","Washington-St. Louis","Sr.","3B","46","18","4"
"","Bobby Doyon","Keene St.","Sr.","OF","37","18","2"
"","Ryan Dudzinski","Western New Eng.","Sr.","OF","40","18","2"
"","Jason Huber","Moravian","Sr.","INF","37","18","1"
"","J.D. Hulse","Birmingham-So.","Sr.","OF","39","18","4"
"","Jacob Ludvik","La Verne","Jr.","OF","39","18","2"
"","Matt Montanes","SUNY Maritime","Sr.","OF","31","18","1"
"","David News","Immaculata","Jr.","OF","27","18","3"
"","Nick Nolan","Kean","Sr.","OF","37","18","3"
"","Pete O'Hara","Delaware Valley","Fr.","OF","27","18","1"
"","Jordan Powers","St. Norbert","Jr.","OF","24","18","4"
"","Dakota Resnik","Puget Sound","Sr.","INF","34","18","3"
"","Dustin Smith","Linfield","Sr.","INF","37","18","2"
"104","Jeremy Aliff","Millsaps","Sr.","OF","40","17","2"
"","Matt Burke","North Central (IL)","Sr.","INF","28","17","2"
"","Rick Gehman","Immaculata","Sr.","INF","28","17","2"
"","Jason Handley","Thomas More","Fr.","2B","28","17","1"
"","Warren Hartmann","Merchant Marine","Fr.","INF","29","17","2"
"","David Kamerman","Kalamazoo","Jr.","OF","29","17","2"
"","Joe Kephart","Fredonia St.","So.","SS","34","17","2"
"","Drew Leachman","Birmingham-So.","Sr.","INF","39","17","2"
"","Matt Liscovitz","Haverford","So.","OF","40","17","0"
"","Mike Mattei","Mass.-Boston","Jr.","3B","33","17","3"
"","Pat Murphy","Bates","Sr.","OF","29","17","3"
"","Michael Perrone","Vassar","So.","INF","29","17","4"
"","Patrick Reitemeyer","Rutgers-Newark","Sr.","SS","36","17","1"
"","Tim Saunders","Marietta","Jr.","OF","32","17","4"
"","Shawn Smith","Husson","So.","OF","43","17","0"
"","Leon Stimpson","Alvernia","So.","OF","31","17","3"
"","Greg Van Horn","Wooster","Sr.","INF","34","17","1"
"","Drue Vernon","Chris. Newport","Sr.","DH","38","17","3"
"","Joe Walker","Loras","Fr.","INF","34","17","4"
"","Dan Winterstein","George Fox","Sr.","OF","35","17","3"
"","Charles Zilnicki","St. Joseph's (L.I.)","Sr.","2B","34","17","0"
"125","Ryan Adams","Aurora","Jr.","OF","31","16","1"
"","Bobby Bailey","Haverford","Sr.","OF","40","16","2"
"","Zach Boyes","Johnson & Wales (RI)","So.","OF","39","16","1"
"","Nick Broyles","Bluffton","Jr.","OF","36","16","1"
"","Vinnie Carminati","Mt. St. Mary (NY)","Fr.","OF","28","16","1"
"","Matt Cox","Puget Sound","Jr.","OF","33","16","2"
"","Brandon Cruz","Farmingdale St.","Sr.","SS","27","16","4"
"","James DiBiasio","Ohio Wesleyan","Jr.","2B","38","16","4"
"","Chris Dominguez","Endicott","Sr.","INF","38","16","6"
"","Mike Furlong","Central (IA)","Jr.","INF","34","16","2"
"","Andrew Gordon","Elizabethtown","Sr.","INF","33","16","1"
"","Matt June","SUNY Cortland","Jr.","2B","37","16","4"
"","Scott Kelly","TCNJ","So.","INF","35","16","5"
"","Jordan Kidd","Averett","So.","OF","40","16","3"
"","Geoff Lang","Penn St.-Behrend","Sr.","OF","30","16","2"
