"Rank","Name","Team","Cl","Pos","G","2B"
"1","Jacob Karr","Wingate","Sr.","INF","55","25"
"2","Andrew Camardella","Dominican (NY)","Jr.","INF","44","24"
"3","Derek Fulmer","North Greenville","Sr.","P","53","22"
"4","Carlos Asuaje","Nova Southeastern","So.","INF","40","21"
"","Tucker Brown","Central Okla.","Sr.","INF","47","21"
"","Jordan Easom","West Tex. A&M","Sr.","OF","45","21"
"","Brian Yeung","Wingate","Jr.","INF","55","21"
"8","David Allday","Southern Ark.","Sr.","1B","46","20"
"","Kevin Blue","Central Okla.","Sr.","INF","48","20"
"","Daniel Duran","Cal St. L.A.","Sr.","INF","42","20"
"","Bo Folkinga","Western Ore.","Sr.","OF","36","20"
"","Christian Glisson","Valdosta St.","Sr.","C","42","20"
"13","Cody Coffman","Tusculum","Sr.","INF","54","19"
"","Nick Erminio","Seton Hill","Sr.","INF","49","19"
"","Alex Frederick","Armstrong","Sr.","SS","47","19"
"","Rick Hepworth","East Central","Sr.","INF","48","19"
"","Zach Mathieu","Franklin Pierce","So.","1B","45","19"
"","Seth McMullen","Winona St.","Jr.","SS","42","19"
"","German Reyes","Winston-Salem","Jr.","INF","47","19"
"","Billy Smith","West Virginia St.","Jr.","OF","45","19"
"21","Casey Allison","Wingate","Sr.","OF","55","18"
"","Matthew Black","North Ga.","Sr.","INF","43","18"
"","Ryan Daughtry","Barton","Sr.","OF","47","18"
"","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","18"
"","Curt Fuqua","Lincoln Memorial","Jr.","INF","49","18"
"","Matt Henriksen","Tusculum","Jr.","INF","53","18"
"","A Jones","Winston-Salem","Fr.","-","50","18"
"","P Martin","Winston-Salem","Fr.","-","50","18"
"","Jordan May","Ark.-Fort Smith","Sr.","OF","44","18"
"","Blake Miller","Western Ore.","Jr.","SS","39","18"
"","Lee Neumann","Angelo St.","Jr.","OF","50","18"
"","Aj Nunziato","Lander","Sr.","INF","48","18"
"","Gelson Perez","Lincoln Memorial","Sr.","INF","47","18"
"","Drew Rodela","Cal St. Dom. Hills","Sr.","OF","44","18"
"","Austin Rycroft","Central Okla.","Sr.","OF","48","18"
"","Michael Schmidt","North Ala.","Sr.","INF","50","18"
"","Buddy Sosnoskie","Francis Marion","Sr.","OF","47","18"
"38","Anthony Boza","Lynn","Sr.","1B","43","17"
"","John Calhoun","Washburn","Sr.","INF","39","17"
