"Rank","Name","Team","Cl","Pos","App","IP","BB","PG"
"1","Michael Blevins","Texas-Tyler","Fr.","P","11","51.7","1","0.17"
"2","Michael Boughton","Mass.-Boston","So.","P","7","43.0","1","0.21"
"3","Richard Anderson","Staten Island","Jr.","P","7","48.0","2","0.38"
"4","Mike Nich","Endicott","Sr.","P","11","49.7","3","0.54"
"5","Aaron Agrelo","Daniel Webster","So.","P","11","49.0","3","0.55"
"6","Tom Baroni","Bates","So.","P","12","46.0","3","0.59"
"7","Kyle Longernecker","Moravian","Sr.","P","11","40.3","3","0.67"
"8","Nolan Corr","Wheaton (MA)","Sr.","P","8","50.3","4","0.72"
"9","Kj Parent","MIT","Fr.","P","10","36.3","3","0.74"
"10","Zach O'Dell","Frostburg St.","Sr.","P","12","69.0","6","0.78"
"11","Paul Perez","Baruch","Fr.","INF","10","57.3","5","0.79"
"12","Brendan Close","Moravian","Sr.","P","9","57.0","5","0.79"
"13","Parker Sheets","Texas-Tyler","Sr.","P","18","43.3","4","0.83"
"14","Tyler Greene","Plattsburgh St.","Sr.","P","8","43.0","4","0.84"
"15","Chris Tyson","SUNY Oneonta","Sr.","P","8","49.0","5","0.92"
"16","Karl Alexander","Bates","Sr.","P","11","58.3","6","0.93"
"17","Ben Ives","Southern Me.","Sr.","P","9","57.7","6","0.94"
"18","Nick Petrella","Skidmore","Fr.","P","13","37.7","4","0.95"
"19","Matt Grenier","Babson","Fr.","P","8","65.3","7","0.96"
"20","David Hoey","Rhode Island Col.","Jr.","P","8","37.0","4","0.97"
"21","Dan Ellefson","Hamline","Jr.","3B","13","55.3","6","0.98"
"22","David Trushel","Wash. & Jeff.","Sr.","P","9","63.0","7","1.00"
"23","Tyler Erickson","Castleton","Sr.","P","11","89.0","10","1.01"
"24","Garrett Benson","Bethany Lutheran","Jr.","P","8","42.3","5","1.06"
"25","Wade Morris","Coe","Jr.","P","11","59.0","7","1.07"
"26","Michael Haslam","Roanoke","Jr.","P","9","50.3","6","1.07"
"27","Bryan Meyer","Eureka","So.","OF","10","41.0","5","1.10"
"28","Shane Mattingly","Washington Col.","Sr.","P","11","72.0","9","1.13"
"","Michael Victory","St. Mary's (MD)","Sr.","P","13","80.0","10","1.13"
"30","Lou Trosch","Guilford","Fr.","P","12","47.3","6","1.14"
"31","Andy Martin","Merchant Marine","Sr.","P","12","63.0","8","1.14"
"32","Caleb Fick","Lebanon Valley","Sr.","P","10","61.7","8","1.17"
"33","Michael Chiaro","DePauw","So.","P","8","46.0","6","1.17"
"","Alex Norman","Beloit","Sr.","P","9","69.0","9","1.17"
"35","Ian Shaw","Wash. & Lee","Jr.","P","11","61.0","8","1.18"
"36","Tommy Mariano","Moravian","So.","P","11","53.0","7","1.19"
"37","Kyle Lyon","Babson","Jr.","P","7","45.3","6","1.19"
"38","Matt Finkenzeller","Albertus Magnus","Jr.","P","10","37.7","5","1.19"
"39","Logan Addison","Muskingum","Jr.","P","22","52.3","7","1.20"
"40","Bryan Bierlein","Chris. Newport","So.","P","6","37.0","5","1.22"
"41","Brenden Schulz","Concordia Chicago","So.","P","7","44.0","6","1.23"
"42","Justin Scott","Manchester","Jr.","INF","10","73.3","10","1.23"
"43","Marvin Prestridge","Texas-Dallas","Sr.","P","12","80.0","11","1.24"
"44","Jared Haller","Saint Vincent","Jr.","P","12","65.0","9","1.25"
"45","Devin Rhodes","Lyndon St.","Fr.","P","18","43.0","6","1.26"
"46","Jamie Hendrick","Randolph-Macon","Jr.","P","12","78.0","11","1.27"
"47","Eric Johnson","WPI","Sr.","P","6","42.3","6","1.28"
"48","Grant Henricksen","Beloit","Jr.","P","8","49.3","7","1.28"
"","Michael Sentman","Trine","Sr.","SS","9","49.3","7","1.28"
"50","Greg Vogt","Anderson (IN)","Sr.","P","12","63.3","9","1.28"
