"Rank","Name","Team","Cl","Pos","G","BB"
"1","Anthony Rendon","Rice","Jr.","3B","44","62"
"2","Rob Kral","Col. of Charleston","Jr.","C","45","45"
"3","Marty Gantt","Col. of Charleston","Jr.","OF","45","44"
"4","Sherman Johnson","Florida St.","Jr.","2B","44","43"
"","Rob Lind","Georgia St.","Sr.","2B","46","43"
"","Tyler Robbins","Dallas Baptist","Sr.","INF","43","43"
"7","Jordan Castaldo","Arkansas St.","Sr.","INF","46","42"
"","Tyler Grimes","Wichita St.","Jr.","INF","47","42"
"9","Pat Blair","Wake Forest","So.","INF","40","41"
"","Zeke DeVoss","Miami (FL)","So.","OF","44","41"
"11","Aaron Buchanan","Lamar","Sr.","INF","45","40"
"12","Shane Basen","Charlotte","So.","INF","43","39"
"","Pablo Bermudez","FIU","Jr.","OF","41","39"
"","Paul Hoilman","East Tenn. St.","Sr.","1B","42","39"
"","Jace Peterson","McNeese St.","Jr.","INF","46","39"
"16","Chas Crane","Winthrop","Jr.","3B","45","38"
"","Ryan Fleming","Georgia St.","Sr.","OF","44","38"
"","Levi Michael","North Carolina","Jr.","SS","41","38"
"19","Steven Brooks","Wake Forest","Sr.","OF","43","37"
"","Kyle Kubitza","Texas St.","Jr.","INF","44","37"
"21","Keith Hernandez","Delaware St.","Sr.","INF","44","36"
"","Mike Orefice","Marist","So.","1B","42","36"
"","Erich Weiss","Texas","Fr.","3B","44","36"
"24","Dan Gulbransen","Jacksonville","So.","OF","42","35"
"","Jeff Kremer","Duke","So.","C","47","35"
"","Mike Nemeth","Connecticut","Sr.","INF","45","35"
"","John Schultz","Pittsburgh","Sr.","OF","41","35"
"","Kelby Tomlinson","Texas Tech","Jr.","INF","47","35"
"","Tanner Waite","New Mexico St.","Fr.","C","43","35"
"30","Johnny Bladel","James Madison","So.","OF","40","34"
"","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","34"
"","Parker Hipp","New Mexico St.","So.","C","38","34"
"","Zack MacPhee","Arizona St.","Jr.","INF","41","34"
"","Mikie Mahtook","LSU","Jr.","OF","45","34"
"","Matt Skole","Georgia Tech","Jr.","3B","43","34"
"","Aaron Westlake","Vanderbilt","Jr.","1B","43","34"
"37","Ryan Aguayo","New Mexico St.","Sr.","INF","44","33"
"","Nick Crawford","UAB","Sr.","INF","44","33"
"","Pat Epps","Central Conn. St.","Sr.","INF","41","33"
"","Spiker Helms","Missouri St.","Jr.","INF","41","33"
"","Mike McGee","Florida St.","Sr.","OF","43","33"
"","Jamodrick McGruder","Texas Tech","So.","INF","46","33"
"","Daniel Merck","Gardner-Webb","Sr.","INF","42","33"
"","Mark Micowski","Georgia St.","Sr.","OF","46","33"
"","Justin Shults","UC Riverside","Sr.","INF","37","33"
"","Mike Yastrzemski","Vanderbilt","So.","OF","43","33"
"47","Mikel Alvarez","Fla. Gulf Coast","Sr.","INF","44","32"
"","Ryan Brown","William & Mary","So.","OF","46","32"
"","Bear Comer","Nicholls St.","Sr.","OF","43","32"
"","Taylor Dugas","Alabama","Jr.","OF","47","32"
"","Brandon Meredith","San Diego St.","Jr.","1B","42","32"
"","David Miller","Purdue","Jr.","INF","39","32"
"","Zach Price","Army","Jr.","INF","43","32"
"","Joey Rapp","La.-Monroe","Jr.","INF","43","32"
"","T.J. Rich","Memphis","Jr.","1B","44","32"
"","Jacob Stallings","North Carolina","Jr.","C","43","32"
"","Devon Travis","Florida St.","So.","2B","44","32"
"58","Les Aulds","La.-Monroe","Jr.","INF","41","31"
"","Ryan Court","Illinois St.","Sr.","INF","40","31"
"","Brandon Hairston","Norfolk St.","Sr.","1B","40","31"
"","Matthew James","UTSA","Jr.","INF","45","31"
"","Dexter Kelley","Savannah St.","Sr.","OF","48","31"
"","Jason Krizan","Dallas Baptist","Sr.","OF","43","31"
"","Tyler McNeely","Illinois St.","Sr.","OF","40","31"
"","Colin Moran","North Carolina","Fr.","3B","43","31"
"","Nick Natoli","Towson","Sr.","SS","41","31"
"","Chase Okey","UT Martin","Jr.","C","41","31"
"","Joe Panik","St. John's (NY)","Jr.","INF","39","31"
"","Jeremy Patton","FIU","Jr.","INF","43","31"
"","Richie Shaffer","Clemson","So.","INF","44","31"
"","Wesley Starkes","New Mexico St.","Sr.","OF","40","31"
"","Kevin Tokarski","Illinois St.","Jr.","INF","40","31"
"","Danny Weiss","Davidson","Sr.","1B","38","31"
"","Justin Wilson","Charlotte","Sr.","OF","44","31"
"75","Tadd Bower","William & Mary","Jr.","INF","45","30"
"","Thomas Carroll","Mercer","Sr.","OF","46","30"
"","David Chester","Pittsburgh","Sr.","1B","41","30"
"","Ryan Durrence","Bethune-Cookman","Sr.","1B","48","30"
"","Nolan Fontana","Florida","So.","INF","43","30"
"","Jabari Henry","FIU","So.","OF","41","30"
"","Brad Hook","South Ala.","Jr.","1B","43","30"
"","Jonathan Houston","Central Ark.","Sr.","1B","41","30"
"","Matt Leeds","Col. of Charleston","Jr.","INF","44","30"
"","Taylor Motter","Coastal Caro.","Jr.","SS","45","30"
"","Matt Pace","Ark.-Pine Bluff","Sr.","3B","41","30"
"","Kevin Quaranto","Siena","Sr.","1B","44","30"
"","Harold Riggins","North Carolina St.","Jr.","INF","43","30"
"","Jomel Torres","San Diego St.","Jr.","1B","41","30"
"","Scott Wingo","South Carolina","Sr.","INF","43","30"
"90","Billy Burns","Mercer","Jr.","OF","45","29"
"","Steve Cochrane","Ga. Southern","Sr.","INF","44","29"
"","Darren Crabtree","Stephen F. Austin","Sr.","1B","43","29"
"","Pat Dameron","Delaware","Sr.","INF","43","29"
"","Taylor Davis","Morehead St.","Jr.","C","38","29"
"","Ryan Emery","Arkansas St.","So.","DH","45","29"
"","Joe Etcheverry","Northern Ill.","Sr.","1B","40","29"
"","Kyle Gaedele","Valparaiso","Jr.","OF","43","29"
"","Eric Garcia","Missouri","So.","INF","42","29"
"","Kevin Hall","Wichita St.","Jr.","OF","47","29"
"","Frazier Hall","Southern U.","Sr.","INF","41","29"
"","Ben Klafczynski","Kent St.","Sr.","OF","42","29"
"","Hank Larue","Middle Tenn.","Fr.","3B","44","29"
"","Xavier Macklin","N.C. A&T","Jr.","OF","43","29"
"","Sean Madigan","UC Irvine","Sr.","OF","40","29"
"","Drew Martinez","Memphis","Jr.","OF","44","29"
"","Sean McClurken","Kennesaw St.","Sr.","INF","41","29"
"","Danny Muno","Fresno St.","Sr.","INF","38","29"
"","Derrick Osteen","William & Mary","Sr.","INF","46","29"
"","David Ricker","Southern Utah","Jr.","INF","31","29"
"","Andrew Russell","Lehigh","Sr.","OF","45","29"
"","Dan Schafferman","George Mason","Jr.","OF","38","29"
"","Jeff Schaus","Clemson","Sr.","OF","44","29"
"","Travis Shaw","Kent St.","Jr.","INF","42","29"
"","Doug Shribman","Bucknell","Sr.","1B","49","29"
"","Jeff Simpson","Stetson","Sr.","OF","42","29"
"","Jordan Sivertsen","Southern Ill.","Jr.","OF","43","29"
"","Mike Tauchman","Bradley","So.","OF","39","29"
"","Bryan Willson","Central Ark.","Jr.","INF","43","29"
"119","Jeremy Baltz","St. John's (NY)","So.","OF","39","28"
"","Barrett Barnes","Texas Tech","So.","OF","46","28"
"","Alex Bechta","Lafayette","Sr.","OF","37","28"
"","Blake Brown","Missouri","So.","OF","40","28"
"","Andrew Caron","Mt. St. Mary's","Sr.","C","41","28"
"","Michael Chiaravalloti","Iona","Jr.","1B","35","28"
"","Alex De LaRosa","Ill.-Chicago","So.","INF","38","28"
"","Jeremy Dowdy","Appalachian St.","Jr.","C","42","28"
"","Ronnie Freeman","Kennesaw St.","So.","C","43","28"
"","Zack Helgeson","George Mason","Jr.","1B","47","28"
"","Jake Lowery","James Madison","Jr.","C","45","28"
"","Nick Martinez","Fordham","Jr.","INF","40","28"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","28"
"","Brad Miller","Clemson","Jr.","INF","37","28"
"","Max Muncy","Baylor","So.","1B","45","28"
"","Ricky Pacione","Marist","Sr.","OF","42","28"
"","Jensen Painter","Ohio","Fr.","-","40","28"
"","Chris Peters","Cincinnati","Sr.","SS","41","28"
"","Neal Pritchard","Elon","Sr.","INF","46","28"
"","Matt Rice","Western Ky.","Sr.","C","44","28"
"","Sam Roberts","VMI","Sr.","INF","44","28"
"","Tyler Sibley","Texas St.","Jr.","INF","41","28"
"","Matt Smith","Ole Miss","Sr.","OF","40","28"
"","Alex Swenson","Jacksonville","Sr.","C","37","28"
"","Jacob Tanis","Mercer","Jr.","3B","46","28"
"","Matt Tenaglia","James Madison","So.","1B","45","28"
"","Brandon Thomas","Georgia Tech","So.","OF","45","28"
"","Kolten Wong","Hawaii","Jr.","INF","40","28"
"","Scott Woodward","Coastal Caro.","Sr.","OF","42","28"
"","Chad Zurcher","Memphis","Jr.","INF","42","28"
"149","Alex Abrams","Furman","Fr.","INF","41","27"
"","Jeff Abt","Lamar","Jr.","OF","43","27"
"","Chris Andreas","Sam Houston St.","Sr.","OF","46","27"
"","Cody Asche","Nebraska","Jr.","3B","44","27"
"","Ken Battiston","Eastern Mich.","Sr.","OF","42","27"
"","Brett Botsford","Le Moyne","Jr.","OF","42","27"
"","Kris Bryant","San Diego","Fr.","3B","41","27"
"","Shane Davis","George Mason","Sr.","DH","45","27"
"","Dan Dispensa","Western Ill.","So.","OF","41","27"
"","Aaron Dobbs","Kennesaw St.","Jr.","INF","43","27"
"","Steve Fernandez","Saint Louis","So.","OF","33","27"
"","C.J. Gillman","Dayton","Jr.","INF","44","27"
"","Dain Hall","Villanova","Sr.","OF","42","27"
"","Paul Karmas","St. John's (NY)","Sr.","1B","39","27"
"","John Koszulinski","Western Ill.","Sr.","C","44","27"
"","Pratt Maynard","North Carolina St.","Jr.","C","45","27"
"","Jeff McVaney","Texas St.","Jr.","OF","44","27"
"","Dane Nielsen","BYU","Sr.","OF","39","27"
"","Jarrod Parks","Mississippi St.","Sr.","3B","42","27"
"","Dylan Pratt","East Tenn. St.","Jr.","OF","42","27"
"","Ronnie Richardson","UCF","So.","OF","44","27"
"","Alfredo Rodriguez","Maryland","Jr.","INF","47","27"
