"Rank","Name","Team","Cl","Pos","G","HBP"
"1","Tyler Crabtree","Central Okla.","Sr.","OF","24","15"
"","Ransom LaLonde","St. Edward's","Sr.","INF","28","15"
"3","Fico Kondla","Coker","Sr.","3B","28","14"
"4","Scott Miller","Lincoln Memorial","Jr.","INF","30","13"
"5","Alex Lang","Ark.-Monticello","Sr.","INF","28","12"
"","Zach Wylie","Union (TN)","So.","C","27","12"
"7","Jacob Barber","Winston-Salem","Jr.","C","21","11"
"","Thomas Berry","Lander","So.","C","30","11"
"","Justin Buchanan","Southern Ark.","So.","C","31","11"
"","Jeremy Carrell","Wayne St. (MI)","So.","INF","19","11"
"","Steve Hazel","Georgia College","Jr.","C","23","11"
"","Mike McGraw","Georgia College","---","3B","24","11"
"","Jesse Minter","Claflin","So.","C","22","11"
"","Justin Shealy","Ark.-Fort Smith","Jr.","C","23","11"
"","Michael Wagner","Colorado St.-Pueblo","Jr.","OF","24","11"
"16","Connor Andrus","Winston-Salem","Sr.","C","31","10"
"","Tyler Coughenour","Angelo St.","Sr.","INF","28","10"
"","Will Fulmer","Montevallo","Sr.","INF","30","10"
"","Brandon Jossey","Seton Hill","Sr.","OF","18","10"
"","Conor Kwalwasser","Belmont Abbey","So.","OF","29","10"
"","Jim Martin","Union (TN)","Jr.","1B","27","10"
"","Cole Mccurry","Tiffin","So.","OF","20","10"
"","Ruben Padilla","Cal St. Chico","Sr.","3B","25","10"
"","Tyler Palmer","Cameron","Jr.","C","21","10"
"","James Sharp","Arkansas Tech","Sr.","INF","28","10"
"","Fernando Tanaka","Stillman","Jr.","INF","29","10"
"","Chris Tavares","Ouachita Baptist","Sr.","C","29","10"
"","Brian Walker","Palm Beach Atl.","Jr.","INF","20","10"
"29","Austin Bartleson","Dixie St.","Jr.","C","22","9"
"","Kody Belcher","S.C. Aiken","---","CF","27","9"
"","Greg Brodzinski","Barry","Jr.","C","24","9"
"","T. Brown","West Ga.","---","SS","29","9"
"","Houston Darling","Davis & Elkins","Sr.","INF","18","9"
"","Brooks Fleming","Nova Southeastern","Sr.","OF","27","9"
"","Patrick Grady","Lander","Sr.","OF","30","9"
"","Brian Hamm","Cal St. Monterey Bay","Jr.","INF","29","9"
"","Matthew Haskins","Montevallo","Jr.","OF","30","9"
"","Chris Hyatt","Lander","Jr.","C","22","9"
"","Jonathan Lowe","Lincoln Memorial","Jr.","OF","24","9"
"","Erik Lunde","Lander","Sr.","INF","30","9"
"","Connor Obrochta","Tampa","Sr.","OF","27","9"
"","Alex Ritchie","Indianapolis","So.","C","17","9"
"","Travis Sais","California Baptist","Jr.","INF","20","9"
"","Chance Scamardo","Arkansas Tech","Sr.","OF","24","9"
"","Brad Sevenish","Stillman","Sr.","C","26","9"
"","Dietrick Turney","Southwestern Okla.","Sr.","INF","26","9"
"","Justin Weigel","Ouachita Baptist","---","SS","26","9"
"","Fran Whitten","Saint Leo","Sr.","P","27","9"
"","Chase Williams","Miles","So.","C","24","9"
"50","Eric Angerer","Cal St. Chico","Sr.","1B","25","8"
"","Max Ayoub","Neb.-Kearney","Jr.","OF","23","8"
"","Noah Blackhurst","West Virginia St.","Sr.","INF","15","8"
"","Alex Bradley","Ill.-Springfield","Jr.","C","18","8"
"","Chris Bradshaw","Western Ore.","Sr.","OF","29","8"
"","Chris Brown","Stillman","So.","OF","28","8"
"","Jimmy Brown Jr","Miles","---","LF","19","8"
"","Matthew Burks","Eastern N.M.","Jr.","OF","28","8"
"","Casey Chenoweth","East Central","Jr.","INF","25","8"
"","Kevin Davis","Benedict","Jr.","INF","26","8"
"","Percy Evans","Virginia St.","Sr.","INF","26","8"
"","Michael Falsetti","Belmont Abbey","Sr.","C","30","8"
"","Vinny Ferrara","Tusculum","Jr.","INF","29","8"
"","Ryan Gerber","Palm Beach Atl.","Sr.","INF","26","8"
"","null Gilliard","Albany St. (GA)","---","C","27","8"
"","Michael Gouge","Valdosta St.","So.","INF","23","8"
"","Cooper Gunter","Limestone","Sr.","1B","30","8"
"","Derek Hackney","Pittsburg St.","Jr.","INF","25","8"
"","Wade Hanna","Emporia St.","Fr.","OF","22","8"
"","Kevin Harris","Miles","Sr.","2B","22","8"
"","Trevor Jones","Central Mo.","Jr.","OF","22","8"
"","Garrett Kilgore","Tarleton St.","Sr.","INF","26","8"
"","Justin Langdale","Miles","Jr.","C","24","8"
"","Zack Larsen","Saint Martin's","Fr.","INF","24","8"
"","Dusty Maas","Central Mo.","So.","INF","22","8"
"","Mike McClellan","Columbus St.","So.","1B","22","8"
"","N. Norkeh","Angelo St.","---","CF","29","8"
"","Jimmy Obermark","Columbus St.","Sr.","SS","30","8"
"","Nathan Prindle","Lindenwood (MO)","So.","INF","25","8"
"","Matt Skrzypiec","St. Joseph's (IN)","Jr.","2B","18","8"
"","Matt Walsh","Franklin Pierce","Jr.","C","24","8"
"","Kyle Watase","Hawaii Hilo","Sr.","INF","19","8"
"82","Jake Arledge","California Baptist","Fr.","OF","26","7"
"","Jeff Bellanca","Gannon","Jr.","C","18","7"
"","John Bellock","LIU Post","So.","OF","9","7"
"","Mitchell Brittain","Southwestern Okla.","Sr.","C","23","7"
"","Joey Casselberry","Bloomsburg","So.","INF","18","7"
"","Jared Clovis","Notre Dame (OH)","Jr.","SS","18","7"
"","Cody Coats","Southeastern Okla.","---","3B/C","25","7"
"","Brian Coleman","Fairmont St.","Sr.","SS","17","7"
"","Ricky Diaz","Bluefield St.","Jr.","3B","21","7"
"","Austin Dunn","Lander","Jr.","C","17","7"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","7"
"","Michael Flores","Union (TN)","Jr.","SS","26","7"
"","Cody Fox","Carson-Newman","Jr.","OF","31","7"
"","Jaelen Gilkey","Miles","---","2B","17","7"
"","Levi Grassley","Winston-Salem","Sr.","1B","31","7"
"","Jarod Hahn","Truman","Jr.","OF","17","7"
"","Ben Hall","Ala.-Huntsville","Jr.","INF","29","7"
"","Brett Huffman","UNC Pembroke","Sr.","INF","30","7"
"","Dale Irving","Saint Leo","Jr.","C","24","7"
"","Geoff Jimenez","Nova Southeastern","Sr.","OF","28","7"
"","Ray Johnson","Ark.-Monticello","Sr.","OF","29","7"
"","Kyle Johnston","Newman","Sr.","1B","23","7"
"","Trey Kamachi","Dixie St.","Fr.","C","24","7"
"","Charles Kelly","Christian Bros.","Jr.","INF","25","7"
"","Trevor LaHonta","Mo. Western St.","Jr.","OF","24","7"
"","Brett Levy","UC San Diego","Jr.","C","16","7"
"","Connor Lewis","Lander","Sr.","INF","30","7"
"","Michael Mann","UC San Diego","Jr.","1B","20","7"
"","Erin McCarver","Harding","Sr.","C","27","7"
"","Blair Moore","California Baptist","Sr.","INF","28","7"
"","Ty Morris","Cal St. Monterey Bay","Jr.","OF","24","7"
"","Sean O'Neill","Merrimack","So.","3B","14","7"
"","Colby Painter","Lander","Jr.","INF","24","7"
"","Hank Parker","Stillman","So.","C","17","7"
"","Brandon Raidy","Cameron","Sr.","OF","22","7"
"","Beto Rodriguez","West Tex. A&M","Sr.","INF","28","7"
"","Reggie Rodriguez","Angelo St.","Sr.","INF","26","7"
"","Casey Ryan","Cal St. L.A.","Sr.","INF","25","7"
"","Jason Shaul","Mary","Jr.","3B","16","7"
"","Cody Slader","Cal St. Chico","Jr.","SS","24","7"
"","Tyler Summers","Pfeiffer","Sr.","INF","30","7"
"","Mike Swayne","Kentucky St.","Sr.","INF","26","7"
"","Jake Taylor","Flagler","Jr.","1B","28","7"
"","Bo Walter","Cal Poly Pomona","Sr.","OF","27","7"
