"Rank","Name","Team","Cl","Pos","G","SH"
"1","Joe Meggs","Washington","Sr.","OF","38","19"
"","Keith Werman","Virginia","Sr.","INF","44","19"
"3","Zach Thoma","Western Mich.","Sr.","INF","36","17"
"4","Maxx Garrett","Gonzaga","Sr.","C","41","16"
"","Ben Hernandez","Southeastern La.","Jr.","INF","45","16"
"","Jason Mahood","San Francisco","Jr.","INF","47","16"
"","Ben McQuown","Campbell","Jr.","OF","45","16"
"8","Mark Elwell","Xavier","Jr.","OF","42","15"
"","Mike Genovese","Seton Hall","Jr.","INF","44","15"
"","Tanner Vavra","Valparaiso","Jr.","INF","42","15"
"11","Jake Berry","Marist","So.","OF","39","14"
"","Scott Davis","Delaware St.","Sr.","INF","44","14"
"","Corey Davis","Wright St.","Sr.","C","43","14"
"","Carlos Delgado","Bethune-Cookman","Jr.","C","35","14"
"","Drew Farber","UNC Wilmington","So.","C","38","14"
"","John Tommasini","Oregon St.","Sr.","INF","39","14"
"17","Kevin Cho","Oral Roberts","Jr.","OF","44","13"
"","Brandon Elliott","Murray St.","Jr.","INF","39","13"
"","Colin Harrington","Virginia","Jr.","OF","41","13"
"","Willie Medina","High Point","Jr.","INF","34","13"
"","Cambric Moye","UNC Greensboro","So.","C","29","13"
"","Tyler Smith","Oregon St.","Jr.","INF","40","13"
"","Trey Stover","Hartford","Fr.","INF","44","13"
"","David Toups","Yale","Fr.","INF","44","13"
"","Jacob Yacinich","Iowa","Fr.","SS","35","13"
"","Chesny Young","Mercer","Fr.","INF","47","13"
"27","Andrew Barry","Holy Cross","So.","INF","49","12"
"","Bobby Boyd","West Virginia","Fr.","OF","42","12"
"","Gaither Bumgardner","S.C. Upstate","Jr.","P","38","12"
"","Dale Carey","Miami (FL)","So.","OF","42","12"
"","Cody Dykema","Ill.-Chicago","Fr.","INF","38","12"
"","Duran Elmore","Morehead St.","So.","OF","40","12"
"","Nate Irving","Virginia","Fr.","C","39","12"
"","Dj Johnson","Mercer","So.","2B","43","12"
"","Jeff McNeil","Long Beach St.","So.","INF","41","12"
"","Einar Muniz","Alabama St.","Fr.","INF","48","12"
"","Nick Priessman","Eastern Ill.","Jr.","OF","40","12"
"","Griffin Richeson","Butler","Sr.","INF","40","12"
"","Lance Roenicke","UC Santa Barbara","Sr.","OF","41","12"
"","Garrett Yrigoyen","Nevada","Sr.","INF","41","12"
"41","Ryan Barnes","Oregon St.","Jr.","C","41","11"
"","Travis Biddix","Longwood","Fr.","2B","40","11"
"","Ryan Brown","William & Mary","Jr.","OF","45","11"
"","Evan Busby","Cal Poly","Jr.","INF","38","11"
"","Chris Fritts","Tennessee","Jr.","OF","44","11"
"","Zac Fujimoto","Loyola Marymount","Jr.","OF","27","11"
"","Kyle Gibson","Louisville","So.","C","34","11"
"","Tyler Heineman","UCLA","Jr.","C","38","11"
"","Collin Hetzler","Houston Baptist","Sr.","INF","26","11"
"","Kevin Hix","Youngstown St.","Fr.","OF","37","11"
"","Kyle Hunt","Nevada","Fr.","INF","40","11"
"","Koby Kraemer","Indiana St.","Jr.","INF","43","11"
"","Alex Mendez","South Fla.","Jr.","OF","44","11"
"","Ben Morgan","Ga. Southern","So.","INF","38","11"
"","Alex Perez","Virginia Tech","Fr.","INF","46","11"
"","Daniel Rod","Xavier","Jr.","INF","43","11"
"","Shon Roe","Loyola Marymount","Sr.","INF","35","11"
"","Rich Sanguinetti","Nebraska","Jr.","OF","41","11"
"","Curtis Schickner","UMBC","Sr.","3B","38","11"
"60","Tim Bodine","Evansville","So.","OF","40","10"
"","Hunter Burton","Furman","So.","INF","42","10"
"","Garrett Carey","Oklahoma","Jr.","INF","42","10"
"","Brannon Champagne","Missouri","Jr.","OF","41","10"
"","Eric Cheray","Missouri St.","Fr.","INF","42","10"
"","Philip Clark","East Carolina","Jr.","OF","44","10"
"","Tony Cooper","Pepperdine","Sr.","INF","35","10"
"","Daniel Cortes","Army","Fr.","OF","45","10"
"","Travis Creel","Southern Miss.","Jr.","INF","37","10"
"","Justin Creel","Coastal Caro.","Jr.","INF","42","10"
"","Matt Duffy","Long Beach St.","Jr.","INF","41","10"
"","J.J. Elseser","Charlotte","Jr.","OF","33","10"
"","Nick Favatella","Rutgers","So.","2B","43","10"
"","James Foster","Wofford","Sr.","OF","43","10"
"","Matt Gelalich","Pepperdine","Fr.","OF","39","10"
"","Steven Halcomb","Gonzaga","Jr.","INF","41","10"
"","Kevin Hall","Wichita St.","Sr.","OF","45","10"
"","Connor Hofmann","Oregon","So.","OF","38","10"
"","Keaton Jones","TCU","Fr.","INF","41","10"
"","Kevin Kaczmarski","Evansville","Fr.","OF","44","10"
"","Nick Lustrino","Temple","Fr.","INF","42","10"
"","Jake Mahon","Evansville","So.","C","44","10"
"","Alex Maldonado","Holy Cross","Jr.","INF","49","10"
"","Blake Marchal","Central Ark.","Jr.","INF","37","10"
"","Brooks Marlo","Texas","Fr.","2B","41","10"
"","Brad Moss","Samford","Sr.","C","44","10"
"","Brock Niggebrugge","Delaware","Fr.","INF","42","10"
"","Nathan Pittman","Fla. Atlantic","Jr.","OF","30","10"
"","Tim Proudfoot","Texas Tech","Fr.","INF","46","10"
"","Michael Rutland","Southeastern La.","Sr.","INF","37","10"
"","Alec Sole","Saint Louis","Fr.","SS","43","10"
"","Kyle Stiner","New Mexico","Sr.","2B","45","10"
"","Cal Towey","Baylor","Jr.","OF","46","10"
"","Justin Viele","Santa Clara","Jr.","INF","40","10"
"","Kevin Wager","Villanova","Sr.","1B","45","10"
"95","Michael Betz","Seton Hall","Sr.","1B","33","9"
"","Brian Bruening","Xavier","So.","INF","44","9"
"","L Brumfield","Mississippi Val.","---","SS","46","9"
"","Carter Bumgardner","Bucknell","Jr.","SS","33","9"
"","Pat Cantwell","Stony Brook","Sr.","C","42","9"
"","Brandon Cipolla","Holy Cross","So.","OF","49","9"
"","Dylan Craig","Belmont","Sr.","OF","44","9"
"","Keith DePew","UAB","Sr.","INF","45","9"
"","Cody Dent","Florida","Jr.","INF","44","9"
"","Kaiana Eldredge","Kansas","So.","INF","36","9"
"","Anthony Flenoy","Texas Southern","Sr.","OF","41","9"
"","Ryan Ford","Middle Tenn.","Jr.","INF","46","9"
"","Julius Gaines","FIU","Fr.","SS","43","9"
"","Kyle Gallegos","San Jose St.","---","C","33","9"
"","Josh Gardiner","Radford","Fr.","INF","42","9"
"","Dan Glevenyak","Auburn","So.","INF","43","9"
"","Rich Graef","Massachusetts","Jr.","OF","31","9"
"","Brad Greve","LIU Brooklyn","Sr.","2B","46","9"
"","Dillion Hamlin","Seton Hall","So.","C","33","9"
"","Matt Henry","McNeese St.","Jr.","C","31","9"
"","Kellen Hoime","Long Beach St.","Sr.","C","31","9"
"","Bobby Ison","Charleston So.","Fr.","OF","43","9"
"","Parks Jordan","North Carolina","So.","OF","41","9"
"","Dan Klem","La Salle","Jr.","INF","43","9"
"","Kevin Kuntz","Kansas","Jr.","INF","44","9"
"","Lawton Langford","Baylor","So.","INF","40","9"
"","Zach Leach","UNC Greensboro","Jr.","C","42","9"
