"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Nathan Minnich","Shepherd","Sr.","1B","46","136","141","1.037"
"2","Bryan Lippincott","Concordia-St. Paul","Sr.","3B","40","133","120","0.902"
"3","Kyle Koeneman","Carson-Newman","Sr.","1B","49","154","136","0.883"
"4","David Weber","Benedict","Jr.","1B","35","101","85","0.842"
"5","Austin Rycroft","Central Okla.","Sr.","OF","48","180","151","0.839"
"6","Joe Wendle","West Chester","Sr.","2B","41","142","118","0.831"
"7","Ryan Busboom","Fort Hays St.","Jr.","INF","44","168","134","0.798"
"8","Coty Pate","Mars Hill","Sr.","INF","42","167","130","0.778"
"9","Jonathan Finnegan","Arkansas Tech","Jr.","INF","48","162","125","0.772"
"10","Jacob Rogers","Mount Olive","Sr.","3B","48","169","130","0.769"
"11","German Reyes","Winston-Salem","Jr.","INF","47","173","131","0.757"
"12","Anthony Boza","Lynn","Sr.","1B","43","164","124","0.756"
"13","Jared Wright","Central Okla.","Jr.","OF","40","108","81","0.750"
"14","Christian Glisson","Valdosta St.","Sr.","C","42","162","121","0.747"
"15","Bo Folkinga","Western Ore.","Sr.","OF","36","138","103","0.746"
"16","Casey Allison","Wingate","Sr.","OF","55","219","163","0.744"
"17","Zach Mathieu","Franklin Pierce","So.","1B","45","183","136","0.743"
"18","Alexi Colon","Tusculum","Sr.","OF","54","178","131","0.736"
"19","Nicholas Sell","Seton Hill","Fr.","INF","42","134","98","0.731"
"20","Areo Regoli","Nova Southeastern","Sr.","OF","40","145","104","0.717"
"21","Carlos Asuaje","Nova Southeastern","So.","INF","40","152","108","0.711"
"22","John Pilackas","Mo.-St. Louis","Jr.","OF","31","100","71","0.710"
"23","Zach Taylor","Armstrong","Jr.","OF","48","205","145","0.707"
"24","Brian Wuest","Neb.-Kearney","Jr.","1B","44","160","113","0.706"
"25","John Calhoun","Washburn","Sr.","INF","39","149","104","0.698"
"26","Blake Miller","Western Ore.","Jr.","SS","39","142","99","0.697"
"27","Daniel Duran","Cal St. L.A.","Sr.","INF","42","158","110","0.696"
"28","Lee Neumann","Angelo St.","Jr.","OF","50","176","122","0.693"
"29","Drew Westover","Pitt.-Johnstown","Sr.","OF","44","148","102","0.689"
"30","A Jones","Winston-Salem","Fr.","-","50","173","119","0.688"
"31","Jon Kemmer","Clarion","Jr.","OF","40","119","81","0.681"
"32","Brian Yeung","Wingate","Jr.","INF","55","218","148","0.679"
"33","Cory Flickinger","West Va. Wesleyan","Sr.","OF","43","143","97","0.678"
"34","Shane Latshaw","Mercyhurst","Sr.","OF","48","175","118","0.674"
"35","Ben Albano","Lewis","So.","OF","43","147","99","0.673"
"36","Tucker Brown","Central Okla.","Sr.","INF","47","177","119","0.672"
"37","Patrick Dockendorf","Minn. St. Mankato","Sr.","INF","40","137","92","0.672"
"38","Justin Vasquez","Belmont Abbey","Jr.","OF","46","174","116","0.667"
"39","Eli Davis","Cal St. Stanislaus","Sr.","OF","46","182","121","0.665"
"40","Matt Barr","Davis & Elkins","Jr.","INF","47","138","91","0.659"
"41","Jovany Valenzuela","Colorado St.-Pueblo","Jr.","1B","46","146","96","0.658"
"42","Will Tankersley","S.C. Aiken","Fr.","OF","45","165","108","0.655"
"43","Joe Vaskas","Emporia St.","Sr.","INF","39","133","87","0.654"
"44","Joe Harbach","Wilmington (DE)","Sr.","OF","41","158","103","0.652"
"45","Giancarlo Brugnoni","Grand Valley St.","So.","1B","42","126","82","0.651"
"46","Shayne Houck","Kutztown","Sr.","INF","46","140","91","0.650"
"47","Paul Winterbottom","Stillman","Fr.","INF","43","162","105","0.648"
