"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Jake Lowery","James Madison","Jr.","C","45","70"
"2","Matt Leeds","Col. of Charleston","Jr.","INF","44","67"
"3","George Springer","Connecticut","Jr.","OF","45","62"
"4","David Herbek","James Madison","Sr.","SS","45","61"
"5","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","60"
"","Jason Krizan","Dallas Baptist","Sr.","OF","43","60"
"7","Jacob Tanis","Mercer","Jr.","3B","46","59"
"8","Chris O'Brien","Wichita St.","Jr.","C","47","58"
"","Adam Brett Walker","Jacksonville","So.","C","42","58"
"10","Peter O'Brien","Bethune-Cookman","Jr.","C","48","57"
"11","Cody Fick","Evansville","Sr.","INF","39","56"
"","Victor Roache","Ga. Southern","So.","OF","44","56"
"13","Andy Chriscaden","Kennesaw St.","Jr.","INF","43","55"
"14","Colin Moran","North Carolina","Fr.","3B","43","54"
"15","Frazier Hall","Southern U.","Sr.","INF","41","53"
"16","Parker Hipp","New Mexico St.","So.","C","38","52"
"","Dan Paolini","Siena","Jr.","2B","44","52"
"18","Garrett Buechele","Oklahoma","Jr.","INF","44","51"
"","Tommy La Stella","Coastal Caro.","Jr.","2B","44","51"
"","Xavier Macklin","N.C. A&T","Jr.","OF","43","51"
"21","Trever Adams","Creighton","Sr.","INF","41","50"
"","Ryan Aguayo","New Mexico St.","Sr.","INF","44","50"
"","Cody Asche","Nebraska","Jr.","3B","44","50"
"","Casey Kalenkosky","Texas St.","Jr.","INF","44","50"
"","Zach Maxfield","Fla. Gulf Coast","Sr.","INF","44","50"
"","Bo Reeder","East Tenn. St.","Jr.","INF","42","50"
"27","C.J. Cron","Utah","Jr.","C","37","49"
"","Jeff Harkensee","Southeastern La.","Sr.","OF","46","49"
"","Steve Nikorak","Temple","Sr.","3B","41","49"
"","Dylan Pratt","East Tenn. St.","Jr.","OF","42","49"
"","Matt Rice","Western Ky.","Sr.","C","44","49"
"","Doug Shribman","Bucknell","Sr.","1B","49","49"
"33","Steve Cochrane","Ga. Southern","Sr.","INF","44","48"
"","Seth Granger","McNeese St.","Jr.","OF","45","48"
"","Ryan Haas","Delaware St.","So.","INF","43","48"
"","Ross Heffley","Western Caro.","Jr.","OF","40","48"
"","Justin Riddell","Cincinnati","Sr.","OF","40","48"
"","Ronnie Shaban","Virginia Tech","Jr.","INF","45","48"
"39","Chris Andreas","Sam Houston St.","Sr.","OF","46","47"
"","Ryan Fleming","Georgia St.","Sr.","OF","44","47"
"","Sean Jamieson","Canisius","Sr.","SS","42","47"
"","Lee Orr","McNeese St.","Jr.","INF","46","47"
"","James Ramsey","Florida St.","Jr.","OF","44","47"
"","Andrew Rash","Virginia Tech","So.","OF","42","47"
"","Jordan Steranka","Penn St.","Jr.","3B","41","47"
"","Ben Thomas","Xavier","Sr.","1B","40","47"
