"Rank","Name","Team","Cl","Pos","G","AB","TB","SLG PCT"
"1","Jason Buco","Colby","Jr.","OF","2","5","9","1.800"
"2","Tom Fairbanks","Wis.-Superior","Sr.","OF","11","38","59","1.553"
"3","Aaron Benz","Lawrence","Sr.","OF","3","11","13","1.182"
"4","Dylan Friend","Wis.-Whitewater","Sr.","OF","5","16","18","1.125"
"","Joel Sharon","Concordia (WI)","Jr.","P","2","8","9","1.125"
"6","Max Araya","Middlebury","So.","C","2","8","8","1.000"
"","Kent Curran","Union (NY)","Fr.","3B","3","8","8","1.000"
"","Kevin Galvin","Colby","Sr.","INF","2","4","4","1.000"
"","Ryan Hayes","Earlham","Sr.","1B","12","35","35","1.000"
"","Bobby Kachel","Wis.-Oshkosh","Sr.","INF","2","5","5","1.000"
"","Walt Roman","Rochester Inst.","Sr.","3B","3","11","11","1.000"
"","Thomas Stephens","Williams","Sr.","P","2","7","7","1.000"
"","Brett Zaziski","Vassar","Sr.","INF","6","21","21","1.000"
"14","Dave Wolak","Elmhurst","Sr.","OF","6","24","23","0.958"
"15","Steven Drury","Fitchburg St.","Fr.","OF","14","44","42","0.955"
"16","Kyle Haen","Wis.-Whitewater","---","LF","5","19","18","0.947"
"17","Andrew Gronski","Case","Jr.","INF","16","73","68","0.932"
"18","Jir'Mychael Thornton","Rust","Jr.","OF","4","13","12","0.923"
"19","Alec Choleva","Utica","Sr.","P","8","25","23","0.920"
"20","Robbie Rushing","Central (IA)","Sr.","INF","11","49","45","0.918"
"21","Julian Barzilli","Whittier","Sr.","3B","20","72","66","0.917"
"22","Warren Hartmann","Merchant Marine","Sr.","INF","13","49","44","0.898"
"23","Cody Wiktorski","St. John Fisher","So.","INF","11","39","35","0.897"
"24","Vinnie Carminati","Mt. St. Mary (NY)","Sr.","OF","9","29","26","0.897"
"","Tom Forster","Macalester","Jr.","C","9","29","26","0.897"
"26","Gabriel Pena","CCNY","Sr.","SS","8","27","24","0.889"
"27","Tyler Craig","Simpson","Sr.","INF","8","31","27","0.871"
"28","Richard Boone","Rust","Jr.","C","4","15","13","0.867"
"29","DJ Utley","Wartburg","---","DH/P","10","37","32","0.865"
"30","Robbie Lynch","Manhattanville","Fr.","3B","13","34","29","0.853"
"","Mike Odenwaelder","Amherst","So.","P","11","34","29","0.853"
