"Rank","Name","Team","Cl","Pos","G","2B"
"1","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","18"
"2","Ben Donath","S.C. Aiken","Sr.","INF","27","15"
"3","Chris Faulkner","Southwestern Okla.","Sr.","OF","25","14"
"","Alexander Fernandez","Nova Southeastern","Jr.","INF","26","14"
"","Tyler Gaby","King (TN)","Sr.","OF","32","14"
"","Jon Gray","Pfeiffer","Sr.","INF","30","14"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","14"
"","Michael Wilson","Francis Marion","Sr.","INF","28","14"
"9","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","13"
"","Hunter Boose","GRU Augusta","So.","C","23","13"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","13"
"","Tyler Vanover","Flagler","Sr.","OF","29","13"
"13","David Armendariz","Cal Poly Pomona","---","LF","26","12"
"","Bo Ausmus","Carson-Newman","Jr.","SS","32","12"
"","Josh Coker","Lincoln Memorial","Sr.","P","30","12"
"","Paul Como","Anderson (SC)","Sr.","OF","31","12"
"","Garrett Donohoe","East Central","Jr.","INF","29","12"
"","Mike Kattula","Arkansas Tech","Sr.","1B","28","12"
"","Paul Kronenfeld","Catawba","Sr.","1B","29","12"
"","Brandon Landanger","Neb.-Kearney","Jr.","OF","27","12"
"","Erik Lunde","Lander","Sr.","INF","30","12"
"","Joel Lutz","Lubbock Christian","Fr.","3B","27","12"
"","KJ McAllister","Limestone","Sr.","SS","30","12"
"","Jackson Oliver","Columbus St.","So.","OF","32","12"
"","Sheehan Planas-Arteaga","Barry","Jr.","1B","27","12"
"","Carver Rademacher","Southern Ark.","So.","1B","31","12"
"27","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","11"
"","Phillip Carroll","Mars Hill","So.","OF","32","11"
"","Steven Cooper","Anderson (SC)","So.","INF","31","11"
"","Raymond Crawford","Winston-Salem","Jr.","INF","30","11"
"","Ben Douglas","McMurry","---","DH","24","11"
"","Dalton Eisenbath","Mars Hill","So.","INF","32","11"
"","Nick Howell","Trevecca Nazarene","Sr.","OF","25","11"
"","Evan Kenebrew","Colorado St.-Pueblo","Sr.","OF","24","11"
"","David King","Mars Hill","Jr.","DH","31","11"
"","Wigberto Nevarez","Lubbock Christian","---","C","27","11"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","11"
"","Cody Robinson","Northeastern St.","Sr.","OF","22","11"
"","Coby Roming","Neb.-Kearney","Jr.","INF","27","11"
"","Zach Santos","Shorter","---","SS","28","11"
"","Tony Viger","Augustana (SD)","Sr.","INF","18","11"
"","J.D. Wallace","King (TN)","Sr.","C","29","11"
"","Fran Whitten","Saint Leo","Sr.","P","27","11"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","11"
"","Drew Wold","Adams St.","Sr.","OF","25","11"
"46","Clay Ardeeser","Georgia College","Jr.","INF","24","10"
"","Dustin Averett","Columbus St.","Jr.","C","32","10"
"","Max Ayoub","Neb.-Kearney","Jr.","OF","23","10"
"","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","10"
"","Jorge Chavarria","Florida Tech","Sr.","INF","29","10"
"","Josh Clark","Wingate","Jr.","C","28","10"
"","Drew Cole","UNC Pembroke","Jr.","INF","30","10"
"","Zade Denton","UNC Pembroke","Jr.","INF","29","10"
"","Skippy Ferreria","Cal St. Stanislaus","Jr.","INF","26","10"
"","Patrick Grady","Lander","Sr.","OF","30","10"
"","Zacary Hawkins","Lee","Sr.","1B","30","10"
"","Taylor Hinshaw","Georgia College","Sr.","OF","23","10"
"","Brett Huffman","UNC Pembroke","Sr.","INF","30","10"
"","Thomas Kain","Lynn","Jr.","3B","29","10"
"","Weston Lawing","Lander","Jr.","OF","29","10"
"","Derrick Pitts","Lee","Sr.","OF","30","10"
"","Jake Taylor","Flagler","Jr.","1B","28","10"
"","Nick Tindall","Tampa","Jr.","C","28","10"
"","Tremayne Toorie","North Georgia","Jr.","OF","26","10"
"","Tom Valichka","Young Harris","Sr.","INF","30","10"
"66","Connor Andrus","Winston-Salem","Sr.","C","31","9"
"","Andrew Arteaga","Tex. A&M Int'l","---","RF","29","9"
"","Eric Barbieri","Newberry","Sr.","INF","31","9"
"","Ty Barkell","S.C. Aiken","Jr.","INF","28","9"
"","Albert Baur","Newberry","Jr.","INF","31","9"
"","Tyler Blair","Dixie St.","Sr.","1B","31","9"
"","Andrew Brodbeck","Flagler","Jr.","INF","29","9"
"","Carter Cashman","Eckerd","So.","INF","23","9"
"","Garrett Cook","King (TN)","Sr.","OF","33","9"
"","Blake Cooper","Eastern N.M.","Jr.","INF","26","9"
"","Sam Cothran","Erskine","So.","OF","24","9"
"","R.J. Dennard","Armstrong","Jr.","C","26","9"
"","Calvin Ellis","Northwestern Okla.","Sr.","1B","23","9"
"","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","9"
"","Skylar Fox","Flagler","Jr.","INF","28","9"
"","Daniel Fraga","UNC Pembroke","Sr.","INF","30","9"
"","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","9"
"","Andrew Grifol","Tex. Permian Basin","Jr.","P","26","9"
"","Chris Hanson","Eckerd","Sr.","1B","25","9"
"","Bryant Hayman","Valdosta St.","Jr.","C","25","9"
"","Steve Hazel","Georgia College","Jr.","C","23","9"
"","Cody Herald","Seton Hill","Jr.","INF","23","9"
"","Scott Hoyt","Colorado St.-Pueblo","Sr.","OF","21","9"
"","John Hunter","Chowan","Sr.","INF","27","9"
"","Mark Hurley","Cal St. Monterey Bay","Sr.","OF","29","9"
"","Peter Ives","Cal St. Dom. Hills","Sr.","3B","20","9"
"","Zac Johnson","Arkansas Tech","Sr.","OF","28","9"
"","Paul Johnson","Northwest Mo. St.","Jr.","INF","23","9"
"","Dan Johnson","Millersville","Sr.","1B","23","9"
"","Ryan Johnson","Northwest Nazarene","Jr.","OF","25","9"
"","Kevin Kline","Dixie St.","Jr.","INF","31","9"
"","Dalton Knight","UNC Pembroke","Jr.","INF","26","9"
"","Nick Kranick","Flagler","Jr.","INF","29","9"
"","Justin Manning","Mount Olive","Jr.","3B","27","9"
"","Alex McKeon","Tex. A&M Int'l","Jr.","C","26","9"
"","Jack Morrow","Young Harris","Sr.","C","31","9"
"","Tyler Nordgren","Point Loma","Sr.","3B","27","9"
"","Anthony Pacheco","Neb.-Kearney","So.","OF","27","9"
"","Jesse Pintado","Lubbock Christian","---","SS","26","9"
"","Jeff Rice","GRU Augusta","Sr.","INF","25","9"
"","Eric Serra","Wingate","Sr.","OF","28","9"
"","Travis Shaw","Saint Martin's","Jr.","INF","23","9"
"","Jackson Slaid","Montevallo","Sr.","C","30","9"
"","Alvin Swoope","Nova Southeastern","Fr.","INF","28","9"
"","Jarrod Taylor","Ga. Southwestern","Sr.","C","25","9"
"","Marshall Vallandingham","Lindenwood (MO)","Sr.","OF","23","9"
"","Paul Winterbottom","Stillman","Jr.","INF","28","9"
"","Daniel Young","Benedict","So.","3B","26","9"
"114","Ben Agredano","Ark.-Monticello","Sr.","INF","31","8"
"","Austin Allen","Florida Tech","So.","C","29","8"
"","Chad Balderman","Limestone","Sr.","OF","30","8"
"","Andrew Bartlett","Florida Tech","Sr.","INF","29","8"
"","Daniel Bick","Georgia College","Sr.","INF","25","8"
"","Kyle Booth","Limestone","Jr.","1B","30","8"
"","Matt Bosse","S.C. Aiken","---","LF","27","8"
"","Austin Braddock","Ark.-Monticello","Jr.","DH","31","8"
"","Matt Calhoun","Harding","Sr.","INF","28","8"
"","Jacob Caples","West Tex. A&M","Jr.","C","24","8"
"","Chris Carlson","Cal Poly Pomona","Sr.","OF","27","8"
"","Patrick Castleberry","Arkansas Tech","Jr.","C","28","8"
"","Heath Comerford","Tusculum","---","1B","26","8"
"","Tyler Coughenour","Angelo St.","Sr.","INF","28","8"
"","Gavin Culler","Winston-Salem","Fr.","OF","29","8"
"","Brett David","Angelo St.","Jr.","INF","28","8"
"","Tyler Ding","Tampa","Sr.","INF","26","8"
"","Trey Drewery","Tusculum","Sr.","OF","29","8"
"","Marty Dunlap","Franklin Pierce","Sr.","C","24","8"
"","Blake Edwards","Columbus St.","So.","2B","32","8"
"","Codey Ellenwood","Hawaii Pacific","Jr.","DH","24","8"
"","Matthew Fears","Valdosta St.","Sr.","INF","25","8"
"","Zack Ferreira","Northwest Mo. St.","Fr.","INF","24","8"
"","Logan Galliher","Erskine","Jr.","OF","26","8"
"","Sal Giardina","Lynn","Sr.","3B","29","8"
"","Brian Hamm","Cal St. Monterey Bay","Jr.","INF","29","8"
"","Mitch Holgate","West Ala.","So.","INF","27","8"
"","Evan Holton","Chowan","Sr.","INF","27","8"
"","Blake Houston","Catawba","Jr.","OF","29","8"
"","Ray Johnson","Ark.-Monticello","Sr.","OF","29","8"
"","Austin Kaiser","Colorado Mesa","Sr.","OF","21","8"
"","Chris Knott","East Stroudsburg","Sr.","OF","19","8"
"","Wes Koenig","St. Edward's","Sr.","1B","29","8"
"","Cooper Langley","Fort Hays St.","Jr.","INF","23","8"
"","Justin Lee","Tex. A&M-Kingsville","Sr.","INF","26","8"
"","Kevin Lenik","Hawaii Pacific","---","RF","21","8"
"","Dalton Lindley","Pfeiffer","Jr.","C","29","8"
"","Zachary Lowe","Morehouse","---","C","23","8"
"","Eric Loxtercamp","St. Cloud St.","Jr.","OF","17","8"
