"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Daniel Miles","Tennessee Tech","Sr.","3B","24","99","44"
"2","Drew Weeks","North Florida","Jr.","OF","23","93","43"
"3","Brett Sullivan","Pacific","So.","SS","26","97","42"
"4","Colt Atwood","Sam Houston St.","Jr.","OF","24","104","41"
"","Brandon Rawe","Morehead St.","Jr.","OF","23","94","41"
"6","Trent Gilbert","Arizona","Jr.","INF","26","104","40"
"","Chase Harris","New Mexico","Sr.","OF","25","108","40"
"","Michael Katz","William & Mary","Jr.","INF","22","98","40"
"","Emmanuel Marrero","Alabama St.","Jr.","INF","29","109","40"
"","John Clay Reeves","Rice","Jr.","C","24","94","40"
"","Matt Shortall","Texas-Arlington","Sr.","OF","23","109","40"
"12","Troy Black","Maine","Sr.","INF","24","103","39"
"","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","97","39"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","103","39"
"","Austin Cousino","Kentucky","Jr.","OF","24","105","39"
"","Ryan Seiz","Liberty","Jr.","INF","25","94","39"
"","Nic Wilson","Georgia St.","Sr.","INF","24","93","39"
"18","Richard Amion","Alabama St.","Jr.","OF","29","111","38"
"","Andrew Guillotte","McNeese St.","Jr.","OF","22","101","38"
"","Mac James","Oklahoma","Jr.","C","24","88","38"
"","Scott Kingery","Arizona","So.","INF","26","95","38"
"","Louie Lechich","San Diego","Sr.","P","23","100","38"
"","Jake Noll","FGCU","Fr.","INF","24","104","38"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","99","38"
"","Bradley Zimmer","San Francisco","Jr.","OF","21","89","38"
"26","Matt Dickason","Longwood","Sr.","INF","25","105","37"
"","Joey Epperson","UC Santa Barbara","Sr.","OF","20","75","37"
"","Aramis Garcia","FIU","Jr.","C","24","89","37"
"","Caleb Howell","Eastern Ill.","Jr.","OF","23","89","37"
"","Bobby Ison","Charleston So.","Jr.","OF","25","102","37"
"","Max Pentecost","Kennesaw St.","Jr.","C","27","112","37"
"","Kal Simmons","Kennesaw St.","So.","SS","27","115","37"
"","Brad Zebedis","Presbyterian","Sr.","1B","25","100","37"
