"Rank","Name","Team","Cl","Pos","G","HR"
"1","Victor Roache","Ga. Southern","So.","OF","44","23"
"2","Jake Lowery","James Madison","Jr.","C","45","20"
"3","Daniel Aldrich","Col. of Charleston","Fr.","OF","43","18"
"4","Casey Kalenkosky","Texas St.","Jr.","INF","44","16"
"","Dan Paolini","Siena","Jr.","2B","44","16"
"","Andrew Rash","Virginia Tech","So.","OF","42","16"
"","Doug Shribman","Bucknell","Sr.","1B","49","16"
"8","Matt Leeds","Col. of Charleston","Jr.","INF","44","15"
"","Xavier Macklin","N.C. A&T","Jr.","OF","43","15"
"","Brandon Miller","Samford","Jr.","C","44","15"
"11","Zack Helgeson","George Mason","Jr.","1B","47","14"
"","Paul Hoilman","East Tenn. St.","Sr.","1B","42","14"
"","Dylan Pratt","East Tenn. St.","Jr.","OF","42","14"
"14","David Herbek","James Madison","Sr.","SS","45","13"
"","Bo Reeder","East Tenn. St.","Jr.","INF","42","13"
"","Jacob Tanis","Mercer","Jr.","3B","46","13"
"","Ben Thomas","Xavier","Sr.","1B","40","13"
"18","Trever Adams","Creighton","Sr.","INF","41","12"
"","Cody Asche","Nebraska","Jr.","3B","44","12"
"","Andy Chriscaden","Kennesaw St.","Jr.","INF","43","12"
"","Ryan Fleming","Georgia St.","Sr.","OF","44","12"
"","Jonathan Griffin","UCF","Sr.","INF","44","12"
"","Peter O'Brien","Bethune-Cookman","Jr.","C","48","12"
"","Will Skinner","Middle Tenn.","Sr.","OF","44","12"
"25","C.J. Cron","Utah","Jr.","C","37","11"
"","Taylor Davis","Morehead St.","Jr.","C","38","11"
"","Sean Jamieson","Canisius","Sr.","SS","42","11"
"","Brendon Kelliher","George Washington","Sr.","OF","43","11"
"","Mikie Mahtook","LSU","Jr.","OF","45","11"
"","A.J. Miller","Lafayette","Sr.","C","38","11"
"","Dusty Robinson","Fresno St.","Jr.","OF","35","11"
"","Ben Thoma","Eastern Ill.","Jr.","OF","36","11"
"","Steve Ulaky","Delaware","Sr.","1B","44","11"
"34","Chris Andreas","Sam Houston St.","Sr.","OF","46","10"
"","Brandon Bayardi","UNLV","So.","OF","38","10"
"","Daniel Bowman","Coastal Caro.","Jr.","OF","43","10"
"","Bob Donato","Bucknell","Jr.","OF","46","10"
"","Trey Hernandez","A&M-Corpus Christi","Sr.","INF","45","10"
"","D.J. Hicks","UCF","Jr.","DH","43","10"
"","Stewart Ijames","Louisville","Jr.","OF","40","10"
"","Tommy La Stella","Coastal Caro.","Jr.","2B","44","10"
"","Tom Lilja","Western Ill.","Jr.","OF","44","10"
"","Mike Martinez","FIU","Jr.","1B","43","10"
"","Jeff McVaney","Texas St.","Jr.","OF","44","10"
"","Clint Moore","Army","Sr.","INF","39","10"
"","Joey Rapp","La.-Monroe","Jr.","INF","43","10"
"","Travis Shaw","Kent St.","Jr.","INF","42","10"
"","Derek Trent","East Tenn. St.","Sr.","C","42","10"
"","B.A. Vollmuth","Southern Miss.","Jr.","INF","40","10"
"","Joe Winker","Mercer","Sr.","OF","45","10"
