"Rank","Name","Team","Cl","Pos","G","SH"
"1","Keith Werman","Virginia","Jr.","INF","47","18"
"2","Brandon Bednar","Fla. Gulf Coast","Fr.","INF","42","17"
"","Bryan Peters","Nebraska","So.","2B","45","17"
"","Zach Thoma","Western Mich.","Jr.","INF","41","17"
"5","Brock Bennett","Alabama","Sr.","C","43","16"
"","Bret Fanning","Northern Colo.","Sr.","OF","43","16"
"","Justin Roland","Charlotte","So.","INF","44","16"
"8","Nick Judkins","Creighton","Jr.","INF","41","15"
"","Jaren Sustar","Charleston So.","So.","INF","43","15"
"10","Denver Chavez","Cal Poly","So.","INF","29","14"
"","Drew Geissinger","High Point","Sr.","INF","44","14"
"","Ben Morgan","Ga. Southern","Fr.","INF","41","14"
"13","Jordan Bourque","La.-Lafayette","Jr.","SS","43","13"
"","Junior Carlin","South Fla.","Sr.","OF","40","13"
"","Greg Fontenot","La.-Lafayette","Sr.","SS","44","13"
"","Tyler Hanover","LSU","Jr.","INF","45","13"
"","Ivan Hartle","Western Ky.","Jr.","INF","44","13"
"","Jonathan Johnson","Loyola Marymount","Sr.","INF","40","13"
"","Trey Martin","Southeastern La.","Sr.","OF","33","13"
"","Steve May","Army","Sr.","INF","43","13"
"","Zach McCool","Iowa","Sr.","OF","39","13"
"","Hayes Orton","Coastal Caro.","Sr.","OF","45","13"
"","Kyle Prevett","Central Ark.","Sr.","INF","41","13"
"","Dustin Torchio","Pacific","So.","INF","38","13"
"25","Michael Beltran","Utah","Sr.","SS","35","12"
"","Krey Bratsen","Texas A&M","Fr.","OF","44","12"
"","Austin Cowen","Western Ill.","Jr.","INF","44","12"
"","Keith DePew","UAB","Jr.","INF","44","12"
"","Michael Gastelum","St. Mary's (CA)","Sr.","INF","39","12"
"","Jeff McNeil","Long Beach St.","Fr.","INF","38","12"
"","Johnny Morales","Virginia Tech","Jr.","INF","46","12"
"","Cam Walters","Winthrop","Jr.","OF","42","12"
"33","Brooks Beilke","Western Mich.","So.","C","41","11"
"","Nick Camastro","Manhattan","So.","INF","38","11"
"","Cameron Edman","Gonzaga","Sr.","C","39","11"
"","Jj Edwards","Sacred Heart","Sr.","INF","43","11"
"","Eric Fredette","Massachusetts","Sr.","2B","37","11"
"","Justin Kopale","Wright St.","So.","INF","39","11"
"","Justin McDavid","West Virginia","Sr.","INF","43","11"
"","Blake Newalu","Ole Miss","Jr.","INF","41","11"
"","Marcus Semien","California","Jr.","INF","40","11"
"42","Ty Afenir","Washington","So.","SS","32","10"
"","Bret Atwood","Texas St.","Sr.","OF","43","10"
"","Andrew Barry","Holy Cross","Fr.","INF","48","10"
"","Connor Bernatz","San Francisco","Sr.","OF","44","10"
"","Nick Boullosa","Tulane","Sr.","OF","44","10"
"","Eric Brindle","UNC Greensboro","So.","INF","42","10"
"","Ryan Brown","William & Mary","So.","OF","46","10"
"","Evan Busby","Cal Poly","So.","INF","35","10"
"","Nick Crawford","UAB","Sr.","INF","44","10"
"","Steve DalPorto","Baylor","So.","INF","41","10"
"","Brandon Elliott","Murray St.","So.","INF","34","10"
"","Chris Giglio","Western Ill.","Sr.","INF","34","10"
"","Brennan Gowens","Fresno St.","Jr.","OF","37","10"
"","T.C. Knipp","Indiana","Sr.","OF","43","10"
"","Adrian Lorenzo","Penn","Sr.","OF","38","10"
"","Brian Martin","Bradley","Sr.","OF","42","10"
"","Bobby Martin","UNC Greensboro","Jr.","OF","41","10"
"","Matt Orloff","Cal St. Fullerton","Jr.","INF","38","10"
"","Derrick Osteen","William & Mary","Sr.","INF","46","10"
"","Herman Petzold","Notre Dame","Sr.","OF","38","10"
"","Hunter Phillips","Sacred Heart","Jr.","INF","42","10"
"","Renny Weber","McNeese St.","Jr.","INF","41","10"
"","Brady Wilson","West Virginia","So.","OF","43","10"
"65","Breland Almadova","Hawaii","So.","OF","37","9"
"","Giovanni Angel","Prairie View","Sr.","INF","41","9"
"","Joey Bowens","Creighton","Jr.","C","35","9"
"","Brett Bowers","George Washington","Jr.","INF","42","9"
"","Pat Colwell","San Diego St.","Sr.","OF","43","9"
"","Matt Corpora","Akron","Fr.","OF","38","9"
"","Jonathan Crist","Youngstown St.","Jr.","C","32","9"
"","Adam Decker","Florida A&M","Fr.","OF","39","9"
"","Mitch Delfino","California","So.","INF","36","9"
"","Mick Doyle","Notre Dame","Sr.","INF","38","9"
"","Troy Drummond","Delaware St.","Sr.","OF","39","9"
"","Julian Duran","San Diego","Jr.","SS","37","9"
"","Jordan Etier","Texas","Jr.","2B","43","9"
"","Cale Hanson","Yale","Fr.","INF","42","9"
"","Kyle Kalaka","Le Moyne","Jr.","C","30","9"
"","Jordan Keur","Michigan St.","So.","OF","39","9"
"","Austin Kingsolver","Cal St. Fullerton","Jr.","OF","33","9"
"","Andrew Law","BYU","Sr.","SS","40","9"
"","Ryan Lindemuth","William & Mary","Fr.","INF","46","9"
"","Zach Looney","Santa Clara","Fr.","C","38","9"
"","Danny Lyons","George Mason","Sr.","C","31","9"
"","Kyle Mahoney","High Point","Sr.","C","44","9"
"","Dan Marsh","Wright St.","Sr.","OF","40","9"
"","Harold Martinez","Miami (FL)","Jr.","3B","43","9"
"","Brantley Meier","Charleston So.","Sr.","OF","43","9"
"","Ryan Nance","UAB","Jr.","P","30","9"
"","Paul Nice","VCU","Jr.","INF","41","9"
"","Derek Niesman","East Tenn. St.","So.","INF","40","9"
"","Brent Ohrman","Eastern Mich.","Jr.","INF","43","9"
"","Mark Paytono","Texas","Fr.","OF","41","9"
"","Paul Rambaud","Villanova","So.","OF","33","9"
"","Caleb Ramsey","Houston","Sr.","OF","44","9"
"","Drew Shields","Georgia St.","So.","INF","39","9"
"","Miles Silverstein","Pepperdine","Sr.","INF","32","9"
"","Alex Staehely","Creighton","So.","INF","41","9"
"","Ryan Still","Houston","Sr.","2B","45","9"
"","Erich Weiss","Texas","Fr.","3B","44","9"
"","Chase Worthington","VMI","Jr.","INF","43","9"
"","Marshall Yanzick","Cornell","Jr.","INF","39","9"
"","Tim Younger","East Carolina","Jr.","INF","35","9"
"105","Nick Ahmed","Connecticut","Jr.","INF","40","8"
"","J.J. Altobelli","Oregon","So.","INF","41","8"
"","Taylor Black","Kentucky","Sr.","INF","45","8"
"","Garrett Black","Ohio","Fr.","INF","29","8"
"","Chad Christensen","Nebraska","So.","SS","45","8"
"","Nick Colwell","North Dakota St.","Jr.","OF","35","8"
"","Zach Costello","Radford","Jr.","OF","42","8"
"","Matt Creamer","Centenary (LA)","So.","INF","31","8"
"","Anthony D'Alessandro","Duke","Fr.","OF","45","8"
"","Drew DeKerlegand","Citadel","Fr.","INF","43","8"
"","Mark Dvoroznak","West Virginia","Sr.","OF","41","8"
"","Tyler Engle","Ohio St.","Sr.","C","36","8"
"","Jeff Flax","La Salle","Jr.","INF","41","8"
"","Brent Frazier","Old Dominion","Jr.","INF","40","8"
"","Ryan Gebhardt","Louisiana Tech","Fr.","SS","37","8"
"","Drew Gehringer","UNC Greensboro","Sr.","OF","42","8"
"","Mike Genovese","Seton Hall","So.","INF","37","8"
"","Scott Glover","High Point","So.","C","31","8"
"","Ethan Gross","Memphis","Fr.","INF","35","8"
"","Alex Guthrie","Loyola Marymount","Jr.","INF","41","8"
"","Jason Haditsch","Cleveland St.","Jr.","INF","35","8"
"","Zack Haley","Liberty","Jr.","2B","34","8"
"","Shane Hammond","Georgia St.","Sr.","C","34","8"
"","Chad Hinshaw","Illinois St.","So.","OF","40","8"
"","Jake Koenig","UNC Wilmington","Jr.","INF","41","8"
"","A. Kubuski","Bowling Green","Fr.","-","38","8"
"","Alex Lee","Wofford","Sr.","INF","44","8"
"","C.J. Lukaszewski","Binghamton","Sr.","C","32","8"
"","Ben Magsig","Eastern Mich.","Jr.","INF","42","8"
"","Matt Malloy","West Virginia","So.","C","30","8"
"","Matt Mancini","Saint Peter's","So.","P","36","8"
"","Craig Manuel","Rice","Jr.","C","41","8"
"","Brett Maxwell","Georgia St.","Sr.","OF","41","8"
"","Steve McGuiggan","Ill.-Chicago","Sr.","OF","26","8"
"","Nick McQuail","Marist","Fr.","2B","40","8"
