"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","Michael Schweiss","Dallas","Jr.","P","19","54.3","5","3","0.50"
"2","Mike Russo","Kean","Jr.","P","10","62.0","11","5","0.73"
"3","Brendan Close","Moravian","Jr.","P","10","71.7","11","6","0.75"
"4","Eric Robinson","Macalester","Fr.","-","10","44.7","11","4","0.81"
"5","Robert Vaughn","Linfield","Sr.","P","9","54.7","13","5","0.82"
"6","Brian Gasser","Marietta","Jr.","P","9","55.0","8","6","0.98"
"7","Anthony Collaro","Concordia Chicago","Sr.","P","6","42.3","10","5","1.06"
"","Luke Westphal","Wis.-Oshkosh","Jr.","P","6","42.3","8","5","1.06"
"9","Michael Bortolotti","Babson","Fr.","P","8","40.0","13","5","1.13"
"","Adam Clements","Hope","Jr.","C","8","56.0","16","7","1.13"
"11","David Cydrus","Otterbein","So.","P","10","47.3","9","6","1.14"
"12","Evan Hilberg","Linfield","Sr.","P","12","39.0","8","5","1.15"
"13","Dave Ahern","Babson","Sr.","P","7","53.0","14","7","1.19"
"14","Corey Batista","Bridgewater St.","So.","P","9","52.0","9","7","1.21"
"15","Andrew Kirk","Alvernia","Jr.","P","7","49.0","11","7","1.29"
"16","Michael Rose","SUNYIT","So.","P","11","41.3","20","6","1.31"
"17","Kendall Paluch","Loras","Fr.","P","9","53.0","10","8","1.36"
"18","Andy Lowe","Heidelberg","Sr.","P","24","45.0","8","7","1.40"
"19","Jason Pankau","Ill. Wesleyan","Sr.","P","10","64.0","15","10","1.41"
"20","Greg Ross","Frostburg St.","Sr.","P","13","76.0","19","12","1.42"
"21","Chris Greiner","Salisbury","Sr.","P","12","81.3","18","13","1.44"
"22","Hunter Chandler","Rhodes","Sr.","P","22","61.0","21","10","1.48"
"","Nick Laracuente","Skidmore","Sr.","P","9","61.0","16","10","1.48"
"","Zack Rudman","Skidmore","Jr.","1B","9","42.7","10","7","1.48"
"","James Simmons","Hardin-Simmons","Jr.","P","20","42.7","16","7","1.48"
"26","Joel Pulliam","Central (IA)","Jr.","P","10","67.0","23","11","1.48"
"27","Chad Sherman","Texas-Tyler","Sr.","P","11","72.7","23","12","1.49"
"28","Augie Lindmark","Luther","Jr.","P","10","66.0","24","11","1.50"
"29","Frank Holbrook","Wheaton (MA)","So.","P","8","47.7","13","8","1.51"
"30","Shawn Marcelle","Newbury","Fr.","P","18","41.7","12","7","1.51"
"31","Nathan James","Heidelberg","Sr.","P","8","47.0","13","8","1.53"
"32","Kyle Smith","Brockport","Sr.","P","9","67.3","16","12","1.60"
"33","Dj Keckler","Wesley","Jr.","P","11","56.0","14","10","1.61"
"34","Joshua Herzenberg","SUNY Oneonta","Jr.","P","8","50.3","11","9","1.61"
"35","Mike Swietanski","Rowan","Sr.","P","8","44.7","13","8","1.61"
"36","Phillip Bertocci","Clark (MA)","Sr.","P","13","38.3","7","7","1.64"
"37","Matt Paz","Purchase St.","So.","P","8","43.0","8","8","1.67"
"38","Brett Kramer","Saint John's (MN)","Sr.","INF","8","48.3","14","9","1.68"
"39","Aric Dama","MIT","So.","OF","13","52.7","15","10","1.71"
"40","Justin Kohls","Bethany Lutheran","Sr.","P","10","41.7","12","8","1.73"
"41","Derek Dallas","Texas-Dallas","So.","P","12","92.3","28","18","1.76"
"42","Pj Cerreto","Ramapo","So.","P","8","45.3","20","9","1.79"
"43","Byron Minnich","Cal Lutheran","Jr.","P","24","40.0","14","8","1.80"
"","Mario Perez","Carthage","Sr.","P","7","40.0","12","8","1.80"
"45","Chris Phelan","Farmingdale St.","Jr.","P","11","69.7","21","14","1.81"
"46","Mark Williams","Marietta","Sr.","P","14","49.7","16","10","1.81"
"47","Brad Watson","Wartburg","Sr.","P","11","74.0","24","15","1.82"
"48","Jeremy Rubens","Wis.-Oshkosh","Sr.","P","6","44.3","12","9","1.83"
"49","Derek Miller","Tufts","Sr.","P","8","44.0","14","9","1.84"
"50","Dustin Herbert","Salisbury","Sr.","P","10","58.3","18","12","1.85"
"51","Kyle Lyon","Babson","So.","P","7","43.3","18","9","1.87"
"52","C.J. Bula","Farmingdale St.","Jr.","P","10","57.7","19","12","1.87"
"53","Christopher Smith","SUNY Oneonta","Jr.","P","9","47.7","13","10","1.89"
"54","Russell Gilliam","Neumann","So.","P","10","52.0","19","11","1.90"
"55","Brad Bates","Thiel","Jr.","P","10","65.7","27","14","1.92"
"56","Michael Mahay","SUNY Cortland","Sr.","P","9","51.3","11","11","1.93"
"57","Brian Rauh","Chapman","So.","P","11","82.3","31","18","1.97"
"58","Matt Ruth","Elizabethtown","So.","P","9","45.7","20","10","1.97"
"59","Kevin Gilchrist","Tufts","Jr.","P","8","54.3","25","12","1.99"
"60","Dan Duval","Rensselaer","Jr.","P","10","58.3","27","13","2.01"
"61","Jason Conde","St. Lawrence","Jr.","-","8","53.7","18","12","2.01"
