"Rank","Name","Team","Cl","Pos","App","IP","R","ER","ERA"
"1","John Taylor","South Carolina","Sr.","P","28","44.0","5","4","0.82"
"2","Cody Martin","Gonzaga","Sr.","P","17","41.0","6","4","0.88"
"3","Taylor Jungmann","Texas","Jr.","P","11","89.7","10","9","0.90"
"4","Brad Mincey","East Carolina","Sr.","P","23","48.0","13","5","0.94"
"5","Matt Murray","Ga. Southern","Jr.","P","19","44.7","8","5","1.01"
"6","Danny Hultzen","Virginia","Jr.","P","11","75.7","16","10","1.19"
"7","Greg Gonzalez","Fresno St.","Sr.","P","11","73.7","15","10","1.22"
"8","Michael Roth","South Carolina","Jr.","P","12","79.7","18","11","1.24"
"9","Kyle Winkler","TCU","Jr.","P","11","79.3","15","11","1.25"
"10","Mark Pope","Georgia Tech","Jr.","P","11","86.3","16","12","1.25"
"11","Andrew Chafin","Kent St.","Jr.","P","10","63.3","12","9","1.28"
"12","Casey Hauptman","Nebraska","Sr.","P","22","54.3","12","8","1.33"
"13","Nick Tropeano","Stony Brook","Jr.","P","10","65.7","14","10","1.37"
"14","Andrew Mitchell","TCU","Fr.","P","17","45.3","11","7","1.39"
"15","Kurt Schluter","Stetson","So.","P","10","57.7","13","9","1.40"
"16","Matt Barnes","Connecticut","Jr.","P","11","83.0","16","13","1.41"
"17","Brandon McNitt","Stony Brook","Fr.","P","12","57.0","10","9","1.42"
"18","Will Roberts","Virginia","Jr.","P","12","69.3","13","11","1.43"
"19","Tanner Peters","UNLV","Jr.","P","11","87.0","22","14","1.45"
"20","Trevor Bauer","UCLA","Jr.","P","11","91.7","18","15","1.47"
"21","Sean Gilmartin","Florida St.","Jr.","P","12","79.0","20","13","1.48"
"22","Mac Thoreson","Miami (OH)","So.","P","11","72.7","17","12","1.49"
"23","Derek Self","Louisville","Jr.","P","16","48.3","10","8","1.49"
"24","D.J Baxendale","Arkansas","So.","P","13","48.0","11","8","1.50"
"25","Michael Rocha","Oklahoma","Sr.","P","11","83.3","22","14","1.51"
"26","David Starn","Kent St.","Jr.","P","11","73.0","15","13","1.60"
"27","Joe DiRocco","Seton Hall","Sr.","P","11","77.7","16","14","1.62"
"28","Justin Amlung","Louisville","So.","P","11","76.7","17","14","1.64"
"29","Andrew Smith","Charlotte","Jr.","P","11","74.0","19","14","1.70"
"30","John Stilson","Texas A&M","Jr.","P","12","79.0","19","15","1.71"
"31","Tyler Anderson","Oregon","Jr.","P","11","83.3","19","16","1.73"
"32","Dillon Overton","Oklahoma","Fr.","P","16","56.7","17","11","1.75"
"33","Hudson Randall","Florida","So.","P","11","72.0","18","14","1.75"
"34","Matthew Neil","BYU","Sr.","P","14","51.3","12","10","1.75"
"35","Sam Stafford","Texas","Jr.","P","13","55.3","15","11","1.79"
"36","Austin Kubitza","Rice","Fr.","P","10","65.3","20","13","1.79"
"37","Adam Plutko","UCLA","Fr.","P","11","70.3","18","14","1.79"
"38","Max Perlman","Harvard","Sr.","P","10","60.0","26","12","1.80"
"","Matt Rein","Coastal Caro.","Sr.","P","13","50.0","15","10","1.80"
"40","Tyler Ray","Troy","Jr.","P","11","78.7","19","16","1.83"
"41","Justin Sarratt","Clemson","Sr.","P","13","52.3","16","11","1.89"
"42","Tyler Johnson","Stony Brook","Jr.","P","10","56.7","19","12","1.90"
"43","Sonny Gray","Vanderbilt","Jr.","P","11","75.3","18","16","1.91"
"44","Jeremy Gendlek","Utah Valley","Jr.","P","10","61.0","16","13","1.92"
"45","Seth Maness","East Carolina","Sr.","P","10","70.0","24","15","1.93"
"46","Erik Johnson","California","Jr.","P","11","69.7","15","15","1.94"
"47","Mike McCarthy","CSU Bakersfield","Sr.","P","12","87.7","30","19","1.95"
"48","Cody Forsythe","Southern Ill.","So.","P","11","78.3","25","17","1.95"
"49","Chris Briere","Longwood","Sr.","P","9","59.7","19","13","1.96"
"","Mike Hamann","Toledo","So.","P","9","59.7","13","13","1.96"
"51","Michael Wacha","Texas A&M","So.","P","11","77.0","24","17","1.99"
"52","Kyle Hallock","Kent St.","Sr.","P","11","72.3","29","16","1.99"
"53","Sam Gaviglio","Oregon St.","Jr.","P","11","81.0","28","18","2.00"
"54","Justin Frane","Valparaiso","Sr.","P","12","58.3","29","13","2.01"
"55","Brad Propst","Oklahoma St.","Sr.","P","11","76.0","20","17","2.01"
"56","Karsten Whitson","Florida","Fr.","P","11","58.0","14","13","2.02"
"57","Noe Ramirez","Cal St. Fullerton","Jr.","P","9","61.7","16","14","2.04"
"58","Tanner Perkins","Western Ky.","So.","P","11","74.0","26","17","2.07"
"59","Carson Smith","Texas St.","Jr.","P","11","73.3","30","17","2.09"
"60","Nick Nuemann","Central Conn. St.","So.","P","9","56.0","17","13","2.09"
"61","Sean McKeown","Marist","Sr.","P","12","47.3","14","11","2.09"
"62","Anthony Kupbens","UC Davis","Jr.","P","11","73.0","20","17","2.10"
"63","Kevin Miller","California","Sr.","P","13","64.3","20","15","2.10"
"64","Tyler Barnette","Charlotte","Fr.","P","11","64.0","24","15","2.11"
"65","Drew Rucinski","Ohio St.","Sr.","P","9","55.3","21","13","2.12"
"66","Jacob Lee","Arkansas St.","Jr.","P","11","76.3","27","18","2.12"
"67","Michael Palazzone","Georgia","Jr.","P","11","80.0","27","19","2.14"
"68","Madison Boer","Oregon","Jr.","P","11","79.7","20","19","2.15"
"69","Ryan Arrowood","Appalachian St.","Jr.","P","14","67.0","16","16","2.15"
"70","Seth Webster","Nicholls St.","Sr.","P","11","75.0","22","18","2.16"
"71","Matt Summers","UC Irvine","Jr.","P","11","70.7","22","17","2.16"
"72","Kyle Hendricks","Dartmouth","Jr.","P","8","54.0","14","13","2.17"
"73","John Neely","Texas Tech","Jr.","P","24","49.7","12","12","2.17"
"74","Trent Howard","Central Mich.","Jr.","P","11","70.0","27","17","2.19"
"","Ross Stripling","Texas A&M","Jr.","P","16","70.0","23","17","2.19"
"76","Matt Salemi","Ill.-Chicago","Jr.","P","11","61.7","21","15","2.19"
"77","Mason Radeke","Cal Poly","Jr.","P","11","74.0","20","18","2.19"
"78","Kevin Brandt","East Carolina","Jr.","P","14","65.7","23","16","2.19"
"79","Josh Conway","Coastal Caro.","So.","INF","14","53.3","17","13","2.20"
"80","Kyle Fitzpatrick","FIU","Jr.","P","11","49.0","17","12","2.20"
"81","Chris Pike","Fordham","Fr.","INF","13","69.0","22","17","2.22"
"82","Brook Hart","Yale","Sr.","P","11","64.7","26","16","2.23"
"83","John Soldinger","Manhattan","So.","P","11","76.7","23","19","2.23"
"84","Corey Maines","Illinois St.","Sr.","P","11","68.3","24","17","2.24"
"85","Grayson Garvin","Vanderbilt","Jr.","P","11","71.7","24","18","2.26"
"86","Brian Johnson","Florida","So.","P","11","63.7","17","16","2.26"
"87","Hoby Milner","Texas","So.","P","17","55.3","17","14","2.28"
"88","Josh Poytress","Fresno St.","Jr.","P","13","51.0","19","13","2.29"
"89","Ty Blach","Creighton","So.","P","12","66.3","18","17","2.31"
"90","Tyler Pill","Cal St. Fullerton","Jr.","P","11","70.0","32","18","2.31"
"91","Scott Garner","Bethune-Cookman","Fr.","P","10","58.3","24","15","2.32"
"92","Matt Andriese","UC Riverside","Jr.","P","10","69.7","20","18","2.32"
"93","James Jones","La.-Monroe","Sr.","P","17","46.3","17","12","2.33"
"94","Jonas Dufek","Creighton","Sr.","P","12","73.3","21","19","2.33"
"","Burny Mitchem","Dayton","Jr.","P","17","73.3","28","19","2.33"
"96","Caleb Smith","Sam Houston St.","Fr.","P","14","49.7","18","13","2.35"
"97","Dan Jensen","Cincinnati","Sr.","P","11","68.7","31","18","2.36"
"98","Andrew Gagnon","Long Beach St.","Jr.","P","11","72.3","26","19","2.37"
"99","Keegan Linza","Liberty","Sr.","P","11","79.7","33","21","2.37"
"100","Brett Shulick","Fairfield","Jr.","P","9","49.3","15","13","2.37"
"101","Zach Gallagher","Hawaii","Sr.","P","13","53.0","14","14","2.38"
"102","Brandon Love","Mercer","Jr.","P","11","64.3","22","17","2.38"
"103","Eddie Orozco","UC Riverside","Jr.","P","8","41.0","15","11","2.41"
"104","Corey Roberts","Charlotte","So.","P","11","74.3","23","20","2.42"
"105","Brian Dupra","Notre Dame","Sr.","P","11","78.0","27","21","2.42"
"106","David Haselden","Clemson","Jr.","P","18","59.3","25","16","2.43"
"107","Kyle Hansen","St. John's (NY)","So.","P","11","69.7","22","19","2.45"
"108","Mike Frongello","Davidson","Sr.","P","34","62.0","23","17","2.47"
"109","Alex Alemann","Saint Louis","So.","P","11","72.7","28","20","2.48"
"110","Martin Agosta","St. Mary's (CA)","So.","P","10","65.3","22","18","2.48"
"111","Steven Ewing","Miami (FL)","So.","P","10","61.3","21","17","2.50"
"112","Connor Sinclair","Lipscomb","Fr.","-","12","68.3","32","19","2.50"
"113","Matt Hamann","Belmont","Jr.","P","19","61.0","22","17","2.51"
"114","Alex Blackford","Arizona St.","So.","P","16","46.3","15","13","2.53"
"115","Vinny Lally","Yale","Sr.","P","13","67.3","23","19","2.54"
"116","Brandon Sinnery","Michigan","Jr.","P","12","46.0","20","13","2.54"
"117","Kurt Heyer","Arizona","So.","P","14","91.3","28","26","2.56"
"118","Dylan Clark","Elon","So.","P","15","49.0","19","14","2.57"
"119","Dillon Napoleon","UAB","Jr.","P","11","73.3","27","21","2.58"
"120","Kent Emanuel","North Carolina","Fr.","P","13","59.3","20","17","2.58"
"121","Dean Ali","Old Dominion","Fr.","P","21","45.3","17","13","2.58"
"","Trent Appleby","TCU","Sr.","P","16","45.3","18","13","2.58"
"123","John Walter","Penn St.","So.","P","11","62.7","27","18","2.58"
"124","Cole Sulser","Dartmouth","Jr.","P","8","48.7","16","14","2.59"
"125","Randy Fontanez","South Fla.","Sr.","P","11","80.0","25","23","2.59"
"126","Mike Thomas","Rider","Sr.","P","10","66.0","21","19","2.59"
"127","Alex Gillingham","Loyola Marymount","Jr.","P","10","79.7","25","23","2.60"
"128","Jed Bradley","Georgia Tech","Jr.","P","11","69.3","28","20","2.60"
"129","Max Brittenham","Mt. St. Mary's","Sr.","P","11","76.0","29","22","2.61"
"130","Bobby Bolling","Radford","Sr.","P","11","69.0","28","20","2.61"
"131","Logan Billbrough","William & Mary","Sr.","P","11","75.7","28","22","2.62"
"132","Cody Fick","Evansville","Sr.","INF","8","55.0","21","16","2.62"
"133","Casey Webber","Western Mich.","Jr.","P","11","65.3","24","19","2.62"
"134","Jordan Nicholson","La.-Lafayette","Jr.","P","9","51.3","23","15","2.63"
"135","Cade Lynch","Arkansas","So.","P","14","51.0","17","15","2.65"
"136","Ryan Carpenter","Gonzaga","Jr.","P","11","74.7","23","22","2.65"
"137","Jon Prosinski","Seton Hall","So.","P","10","54.3","28","16","2.65"
"138","Joey Satriano","La.-Lafayette","Sr.","P","16","50.7","19","15","2.66"
"139","Greg Nappo","Connecticut","Sr.","P","10","54.0","23","16","2.67"
"","Matthew Reckling","Rice","Jr.","P","11","54.0","21","16","2.67"
"141","Cody Allen","High Point","Jr.","P","10","67.3","29","20","2.67"
"","Will Campbell","Georgia St.","Sr.","P","11","67.3","23","20","2.67"
"143","Andrew Brown","Akron","Jr.","P","12","80.7","30","24","2.68"
"144","Tyler Moore","North Florida","Fr.","P","13","43.7","16","13","2.68"
"145","Roberto Padilla","San Jose St.","Jr.","P","11","77.3","32","23","2.68"
"146","Tyler Watkins","Southeastern La.","Sr.","P","11","77.0","28","23","2.69"
"147","Anthony Meo","Coastal Caro.","Jr.","P","11","70.3","26","21","2.69"
"","Mike Wright","East Carolina","Jr.","P","11","70.3","27","21","2.69"
"149","Brandon Sandoval","Sacramento St.","Sr.","P","12","46.7","17","14","2.70"
"150","Paul Cusick","Penn","Sr.","P","11","66.7","28","20","2.70"
"151","Tim Cooney","Wake Forest","So.","P","10","70.0","26","21","2.70"
"152","Joe Bircher","Bradley","Jr.","P","11","73.0","31","22","2.71"
"153","Ryan VanAssche","Norfolk St.","Fr.","P","15","63.0","31","19","2.71"
"154","Greg Holt","North Carolina","Sr.","P","23","43.0","13","13","2.72"
"155","Paul Davis","Fla. Atlantic","Jr.","P","12","72.7","26","22","2.72"
"156","Phil Isaksson","Minnesota","Sr.","P","10","56.0","18","17","2.73"
"157","Steven Hill","Penn St.","So.","P","11","78.3","27","24","2.76"
"158","Tommy Hoenshell","CSU Bakersfield","Jr.","P","12","84.7","44","26","2.76"
"159","Brooks Fiala","Miami (OH)","So.","P","13","55.3","22","17","2.77"
"","Josh Osich","Oregon St.","Jr.","P","11","55.3","19","17","2.77"
"161","Jon Keller","Nebraska","Fr.","P","11","52.0","21","16","2.77"
"162","Esteban Guzman","San Jose St.","Jr.","P","14","51.7","17","16","2.79"
"","Brett Koehler","William & Mary","So.","P","22","51.7","18","16","2.79"
"164","Cole Johnson","Notre Dame","Sr.","P","11","74.3","27","23","2.79"
"165","Rick Anton","Utah","Sr.","P","11","74.0","26","23","2.80"
"166","Chad Pierce","Milwaukee","Sr.","P","11","70.7","27","22","2.80"
"167","E.J. Encinosa","Miami (FL)","So.","P","11","61.0","22","19","2.80"
"168","Chad Gallagher","Marist","Jr.","P","11","76.7","34","24","2.82"
"169","Geoffrey Thomas","Southern Miss.","So.","P","11","70.3","27","22","2.82"
"170","Brady Rodgers","Arizona St.","So.","P","9","54.3","20","17","2.82"
"","Todd Savatsky","Central Conn. St.","So.","P","9","54.3","22","17","2.82"
"172","Nick Petree","Missouri St.","Fr.","P","12","67.0","25","21","2.82"
"173","Kyle Hunter","Dartmouth","So.","P","8","54.0","21","17","2.83"
"174","Eric Whaley","Miami (FL)","So.","P","11","66.3","25","21","2.85"
"","Tyler Wilson","Virginia","Sr.","P","11","66.3","24","21","2.85"
"176","Nick Brown","Iowa","Jr.","P","7","41.0","20","13","2.85"
"177","Alex Caravella","Pittsburgh","So.","P","19","44.0","15","14","2.86"
"178","Blake Treinen","South Dakota St.","Sr.","P","9","59.7","20","19","2.86"
"179","Marco Gonzales","Gonzaga","Fr.","P","11","75.3","29","24","2.87"
"180","Kramer Champlin","Arizona St.","Jr.","P","11","75.0","27","24","2.88"
"","Andy Moye","Ga. Southern","Sr.","P","11","50.0","22","16","2.88"
"","James Nygren","Oregon St.","Sr.","P","10","50.0","19","16","2.88"
"183","Matt Shelton","Sam Houston St.","Sr.","P","12","68.7","32","22","2.88"
"184","Coby Cowgill","VMI","So.","P","11","62.3","28","20","2.89"
