"Rank","Name","Team","Cl","Pos","G","AB","H","BA"
"1","Derek Smith","Pitt.-Bradford","Jr.","INF","32","108","57","0.528"
"2","Bruce Maxwell","Birmingham-So.","Jr.","1B","42","135","67","0.496"
"3","Todd Tompkins","Becker","Jr.","C","37","111","55","0.495"
"4","Austin Davis","Gettysburg","So.","INF","27","91","45","0.495"
"5","David Kinney","Clarkson","Sr.","INF","35","122","60","0.492"
"6","Connor Bierfeldt","Western Conn. St.","Jr.","OF","30","109","52","0.477"
"7","Connor Mathis","Mount Union","So.","OF","33","126","59","0.468"
"8","Kyle Strawn","Adrian","Sr.","OF","30","91","42","0.462"
"9","Carter Franz","St. Lawrence","Jr.","-","33","124","57","0.460"
"10","Jeremy Zoll","Haverford","Sr.","C","29","103","47","0.456"
"11","Terry Davis","Illinois Col.","Sr.","OF","33","117","53","0.453"
"12","Kyle Morrill","Keene St.","Sr.","OF","29","115","52","0.452"
"13","Dave Zubia","Moravian","Sr.","INF","38","135","61","0.452"
"14","Benjamin Mersky","Juniata","Jr.","OF","35","124","56","0.452"
"15","Anthony Even","Concordia Chicago","Sr.","INF","36","152","68","0.447"
"16","Tim LoCastro","Ithaca","So.","SS","24","85","38","0.447"
"17","Brandon Rogalski","Washington-St. Louis","Sr.","OF","39","164","73","0.445"
"18","Jack Cinoman","Chicago","Jr.","OF","33","126","56","0.444"
"19","Brian Penserini","Caltech","Jr.","OF","29","86","38","0.442"
"20","Matt Rowley","Bethel (MN)","Jr.","OF","34","120","53","0.442"
"21","Colin McCarthy","Catholic","Fr.","1B","31","93","41","0.441"
"22","Eric Bohem","King's (PA)","Jr.","OF","37","148","65","0.439"
"23","Kyle Flagstad","St. Scholastica","Jr.","OF","31","96","42","0.438"
"24","Alan Cheatham","Principia","Sr.","3B","34","119","52","0.437"
"25","Andrew Vallejo","Whittier","Sr.","OF","36","149","65","0.436"
"26","Dan Pisanchyn","Wilkes","Fr.","1B","33","108","47","0.435"
"27","Shawn Miller","Concordia Chicago","Jr.","OF","36","145","63","0.434"
"28","Paul Greco","Lancaster Bible","Sr.","INF","31","113","49","0.434"
"29","Vinnie Carminati","Mt. St. Mary (NY)","So.","OF","38","127","55","0.433"
"30","Matthew Hardy","Immaculata","Jr.","INF","37","125","54","0.432"
"31","Johnny LoVetere","Manhattanville","Jr.","C","33","116","50","0.431"
"32","Corey Marchant","Manchester","Jr.","INF","37","144","62","0.431"
"33","Dave Jacob","Ramapo","Jr.","OF","39","151","65","0.430"
"34","Peter Krysztof","St. John Fisher","Sr.","OF","35","121","52","0.430"
"35","Chris Joshlin","Mary Hardin-Baylor","Sr.","C","38","147","63","0.429"
"36","Geoff Kimmel","Wesley","Sr.","1B","42","159","68","0.428"
"37","Ethan Rieker","Susquehanna","Sr.","INF","39","143","61","0.427"
"38","Jimmy Baum","Penn St.-Altoona","Sr.","OF","37","129","55","0.426"
"39","Steve Karnyski","St. John Fisher","Sr.","INF","35","146","62","0.425"
"40","Ryan Smith","Trine","Sr.","INF","34","106","45","0.425"
"41","Nick Beall","Shenandoah","Jr.","OF","37","125","53","0.424"
"42","Josh Staniscia","Wash. & Jeff.","So.","OF","31","111","47","0.423"
"43","Matt Busse","Carroll (WI)","Sr.","INF","29","104","44","0.423"
"44","Adam Derner","Wm. Paterson","Sr.","1B","40","135","57","0.422"
"45","Chris Hoak","Hilbert","Jr.","INF","29","102","43","0.422"
"46","Anthony Siracusa","Va. Wesleyan","Sr.","P","33","121","51","0.421"
"47","Donnie Cimino","Wesleyan (CT)","Fr.","OF","35","133","56","0.421"
"","Jesse Weiss","Kenyon","Jr.","INF","37","133","56","0.421"
"49","Travis Miller","Thomas More","So.","SS","31","107","45","0.421"
"50","Nic Lops","St. Joseph's (ME)","Fr.","C","35","112","47","0.420"
"","Jeff Scafidi","Anna Maria","Sr.","OF","34","112","47","0.420"
"52","Tim Clark","Western New Eng.","Jr.","INF","38","136","57","0.419"
"53","Chris DeGennaro","Old Westbury","Sr.","C","38","141","59","0.418"
"54","Rich Pecoraro","St. Joseph's (L.I.)","Sr.","1B","39","122","51","0.418"
"55","Mike Rubino","Western New Eng.","Jr.","INF","38","146","61","0.418"
"56","Jordan Kaufman","Dickinson","Sr.","INF","33","120","50","0.417"
"","Kyle LaVigne","Rensselaer","Sr.","OF","36","132","55","0.417"
"","Robert Williams","Macalester","Sr.","C","37","120","50","0.417"
"59","Mike Kerdock","Mississippi Col.","Sr.","INF","42","149","62","0.416"
"60","Dan Fiorito","Manhattanville","Sr.","SS","34","130","54","0.415"
"","Tim Kwilos","Swarthmore","Jr.","OF","36","130","54","0.415"
"62","Jordan Walton","Randolph-Macon","Sr.","1B","39","159","66","0.415"
"63","Dan Greco","Fredonia St.","Sr.","P","29","94","39","0.415"
"64","Jacob Ludvik","La Verne","Sr.","OF","37","157","65","0.414"
"65","David Kennett","Thomas More","Jr.","SS","36","145","60","0.414"
"66","Ryan Normoyle","Washington Col.","Sr.","SS","36","133","55","0.414"
"","Tim Saunders","Marietta","Sr.","SS","33","133","55","0.414"
"68","Joey Semler","SUNY Maritime","Jr.","C","33","104","43","0.413"
"69","Kenny Durling","Misericordia","Jr.","OF","38","138","57","0.413"
"70","Matt Hancock","Ramapo","Jr.","C","34","109","45","0.413"
"71","Chase Brown","Texas-Dallas","Sr.","OF","43","160","66","0.413"
"72","Anthony Longhitano","Baldwin-Wallace","Sr.","SS","24","97","40","0.412"
"73","Ryan Schilter","Wis.-Stevens Point","Jr.","C","34","131","54","0.412"
"74","Hayden Chick","Texas-Tyler","Sr.","C","43","165","68","0.412"
"75","Kyle McLain","Wash. & Jeff.","So.","INF","31","102","42","0.412"
"","Nicholas Pasqualichio","Marywood","Sr.","OF","38","136","56","0.412"
"77","Bill Root","Salisbury","So.","OF","36","146","60","0.411"
"78","Eddie Jennings","Kean","Sr.","C","38","134","55","0.410"
"79","Conor Cavanaugh","Lasell","Sr.","OF","36","117","48","0.410"
"","Brendan Scioscia","Waynesburg","Sr.","C","37","117","48","0.410"
"81","Nick Gentili","Pomona-Pitzer","Jr.","OF","36","139","57","0.410"
"82","Alex Kelly","Middlebury","So.","OF","25","100","41","0.410"
"","Creed Mangrum","MIT","So.","P","28","100","41","0.410"
"84","Erik Bergstrom","Keene St.","Sr.","INF","29","105","43","0.410"
"85","Cord Heine","Penn St.-Altoona","Sr.","OF","35","127","52","0.409"
"86","Jay Fanta","Wis.-La Crosse","Sr.","INF","36","132","54","0.409"
"87","Carmen Lopresto","Wilkes","Jr.","INF","37","137","56","0.409"
"88","Thomas Rydzewski","Farmingdale St.","Fr.","2B","32","115","47","0.409"
"89","Matt Rice","North Park","Sr.","OF","37","125","51","0.408"
"90","Alex Hudak","Haverford","Jr.","OF","36","130","53","0.408"
"91","Drew Golz","Wheaton (IL)","Sr.","OF","37","157","64","0.408"
"92","Brock Gates","Pacific Lutheran","Sr.","INF","37","160","65","0.406"
"","Dan Savage","Lynchburg","Jr.","2B","41","160","65","0.406"
"","Jeff Slanovec","Misericordia","Sr.","OF","29","96","39","0.406"
"95","Jimmy Dercks","Rockford","Sr.","INF","34","133","54","0.406"
"96","Richard Westerlund","Lancaster Bible","Jr.","P","33","101","41","0.406"
"97","Aaron Kovach","Mt. Aloysius","Jr.","INF","34","106","43","0.406"
"98","Jesse Wilson","Franklin","Jr.","C","36","143","58","0.406"
"99","Stephen Gates","Millsaps","Jr.","INF","44","185","75","0.405"
"","Chris Ray","Alvernia","Jr.","INF","36","111","45","0.405"
