"Rank","Name","Team","Cl","Pos","G","SF"
"1","T.J. O'Donnell","Augustana (IL)","Sr.","C","29","9"
"","Brian Weeks","Hardin-Simmons","Sr.","INF","42","9"
"3","Brett Watanabe","Claremont-M-S","Fr.","1B","39","8"
"4","Eric Bornstein","Frank. & Marsh.","Sr.","OF","37","7"
"","Hayden Chick","Texas-Tyler","Jr.","C","39","7"
"","Curtis Cornett","Piedmont","Jr.","INF","43","7"
"","Kyle Felix","Trinity (TX)","Sr.","C","44","7"
"","Jason Leclerc","Western New Eng.","Sr.","C","40","7"
"","Nick Pappas","Trinity (TX)","Jr.","INF","44","7"
"","Eric Rehbein","Mary Washington","Sr.","INF","40","7"
"","Austin White","Huntingdon","So.","SS","33","7"
"12","Matt Bittner","Penn St.-Behrend","So.","INF","31","6"
"","Willie Brechun","Heidelberg","Sr.","INF","36","6"
"","Robert Brown","Concordia (TX)","Sr.","OF","42","6"
"","Steve Cammuso","Eastern Conn. St.","Jr.","C","31","6"
"","Chris Colquhoun","Lynchburg","Sr.","C","38","6"
"","Joe Dubina","Adrian","Sr.","C","34","6"
"","Ethan Guerette","Husson","Sr.","INF","42","6"
"","K.C. Judge","Cal Lutheran","Sr.","OF","39","6"
"","Tate Koons","Piedmont","So.","OF","33","6"
"","Korey LeLievre","Daniel Webster","Fr.","OF","32","6"
"","Ben Lowmaster","Allegheny","Jr.","C","28","6"
"","T.J. Martin","Texas-Tyler","So.","3B","39","6"
"","Bruce Maxwell","Birmingham-So.","So.","1B","38","6"
"","Kevin McConnell","Piedmont","Sr.","OF","43","6"
"","Greg Mitro","Randolph-Macon","Sr.","INF","41","6"
"","Chad Mullins","Case","Sr.","3B","43","6"
"","Michael Murphy","TCNJ","So.","OF","35","6"
"","Jake Northrup","Endicott","Fr.","P","40","6"
"","Dan Orza","SUNYIT","Sr.","OF","34","6"
"","David Rettinger","Dallas","Sr.","INF","33","6"
"","Andy Smith","Mississippi Col.","Sr.","OF","37","6"
"","Prateek Thaman","St. Joseph's (L.I.)","Jr.","OF","35","6"
"","Alex Wright","DePauw","Jr.","INF","39","6"
"35","Zach Alexander","N.C. Wesleyan","Sr.","3B","38","5"
"","Corey Armstrong","Southern Vt.","So.","P","32","5"
"","Nick Beaman","Ripon","Sr.","3B","29","5"
"","Shane Bennett","Mississippi Col.","Sr.","INF","40","5"
"","Joe Bogdewiecz","Wash. & Jeff.","Sr.","SS","32","5"
"","Kyle Bosquez","Ripon","So.","INF","29","5"
"","Jordan Buck","Hamline","So.","DH","31","5"
"","Charlie Carluccio","Haverford","Sr.","SS","39","5"
"","Bryan Clark","Wis.-Stevens Point","Jr.","OF","30","5"
"","Rob Coe","Wis.-Whitewater","Sr.","C","32","5"
"","Bob Cook","Amherst","So.","INF","28","5"
"","Ryan Corrigan","John Jay","Fr.","OF","32","5"
"","Ryan Darner","Thomas More","So.","OF","27","5"
"","Mike Domenick","North Park","Sr.","INF","35","5"
"","Erik Fabry","Carleton","Jr.","OF","29","5"
"","Anthony Genna","Webster","Sr.","INF","34","5"
"","Tim Gindville","Benedictine (IL)","So.","INF","29","5"
"","Ian Goldberg","Tufts","Sr.","OF","27","5"
"","Manuel Guerrero","Baruch","Sr.","C","32","5"
"","John Hastings","John Carroll","Sr.","SS","31","5"
"","Brett Howell","Bridgewater (VA)","Sr.","INF","44","5"
"","T.C. Lee","Willamette","Sr.","OF","40","5"
"","Ben Lenda","Chris. Newport","Jr.","C","42","5"
"","Larry Longo","Keene St.","Jr.","INF","33","5"
"","Grady Luzier","Penn St.-Altoona","Sr.","1B","35","5"
"","Shannon Mark","Chris. Newport","Jr.","OF","39","5"
"","Chris Mauro","Sewanee","Sr.","C","31","5"
"","Sam Maus","St. Olaf","Fr.","INF","33","5"
"","James McNamara","Anna Maria","Sr.","P","39","5"
"","Mike McNulty","Eastern","Sr.","1B","34","5"
"","Rob McPike","DePauw","Jr.","INF","39","5"
"","Kevin Mortimer","Trinity (CT)","Jr.","C","33","5"
"","Jake Nowak","Fredonia St.","Jr.","SS","22","5"
"","Kevin O'Connor","Emory","Jr.","2B","43","5"
"","Brett Ossola","Case","So.","1B","43","5"
"","Max Phinney","Oberlin","Sr.","OF","38","5"
"","David Pierce","Bridgewater St.","So.","INF","34","5"
"","Brock Porter","Thiel","Jr.","C","35","5"
"","Michael Pratt","St. Joseph's (ME)","So.","INF","40","5"
"","Francisco Ramirez","New Jersey City","Jr.","C","34","5"
"","Tyler Rosa","Dickinson","Jr.","INF","36","5"
"","Josef Schaetzle","Old Westbury","Sr.","DH","41","5"
"","Sam Schmeltzer","Thomas More","Sr.","3B","29","5"
"","Jake Schweitzer","Moravian","Sr.","SS","37","5"
"","Zach Shultz","Hanover","Fr.","INF","30","5"
"","Melvin Simmons","Old Westbury","Sr.","SS","41","5"
"","Sam Stahl","George Fox","Sr.","INF","35","5"
"","Alex Toth","Marietta","So.","SS","32","5"
"","J.T. Triantos","Frank. & Marsh.","Jr.","1B","37","5"
"","Alex Varga","Claremont-M-S","Sr.","1B","28","5"
"","Robert Weis","Concordia Chicago","So.","INF","33","5"
"","Jared Welch","Emory","Fr.","C","39","5"
"","Stephen Williams","Chicago","Jr.","INF","21","5"
"","Ian Williams","Bridgewater St.","Sr.","INF","33","5"
"","Derek Wyman","Wooster","Sr.","INF","22","5"
"90","Mark Addesa","Suffolk","Jr.","SS","33","4"
"","Mark Annese","Suffolk","Sr.","C","35","4"
"","Jake Arthers","Husson","Jr.","INF","41","4"
"","Matt Beck","Salisbury","So.","INF","31","4"
"","Andrew Bell","McMurry","So.","OF","34","4"
"","Will Benenson","Frank. & Marsh.","Fr.","INF","30","4"
"","Cray Betts","Southwestern (TX)","Jr.","OF","37","4"
"","Jeff Bihy","Stevenson","Sr.","OF","39","4"
"","Brad Blum","Buena Vista","Sr.","INF","33","4"
"","Sean Bolton","Dominican (IL)","Jr.","INF","34","4"
"","Tyler Bonin","Daniel Webster","So.","C","30","4"
"","Kevin Brashears","Shenandoah","Sr.","OF","39","4"
"","Dustin Brown","Methodist","Fr.","INF","43","4"
"","Nick Broyles","Bluffton","Jr.","OF","36","4"
"","Evan Bukowski","Penn St.-Behrend","So.","C","28","4"
"","Matt Butorac","Saint John's (MN)","Sr.","INF","27","4"
"","Peter Byron","Ferrum","Jr.","OF","34","4"
"","Chris Caldwell","Occidental","Fr.","INF","28","4"
"","Jon Canazon","Baptist Bible (PA)","Jr.","INF","25","4"
"","Matt Capone","Salve Regina","Sr.","OF","32","4"
"","Jake Cappelletty","Adrian","Sr.","1B","34","4"
"","Conor Cavanagh","Lasell","Sr.","OF","36","4"
"","Mike Ciummei","Bates","Jr.","INF","30","4"
"","Alex Cloutier","Westfield St.","So.","OF","38","4"
"","Andrew Cohn","Emory","Sr.","3B","43","4"
"","Myles Cordell","Maryville (TN)","Sr.","INF","40","4"
"","Matt Cornetti","Mt. Aloysius","Jr.","C","28","4"
"","Sal Costanzo","Vassar","Jr.","C","29","4"
"","Bobby Czarnowski","Ill. Wesleyan","Fr.","OF","32","4"
"","Eric Dawson","Hope","Fr.","3B","33","4"
"","Jeff Donovan","Wis.-Whitewater","Sr.","INF","32","4"
"","Bobby Doyon","Keene St.","Sr.","OF","37","4"
"","Kenny Durling","Misericordia","So.","OF","34","4"
"","Kyle Eaves","Texas Lutheran","Sr.","P","41","4"
"","Matt Eisenhuth","Castleton","Sr.","OF","36","4"
"","Cody Ewest","Becker","Fr.","INF","31","4"
"","Nolan Fadness","Wis.-Oshkosh","Sr.","SS","32","4"
"","Ali Ferreiras","Old Westbury","Sr.","OF","30","4"
"","Michael Fiorentino","New Jersey City","Sr.","SS","36","4"
"","Travis Fisher","Bethany Lutheran","Jr.","P","28","4"
"","A.J. Flores","Wm. Paterson","Fr.","OF","38","4"
"","Mike Foley","Aurora","So.","INF","33","4"
"","Alex Foster","Fredonia St.","So.","OF","28","4"
"","Kyle Gable","Elizabethtown","So.","INF","34","4"
"","Tyson Giza","Willamette","So.","OF","39","4"
"","Kody Godsey","Lancaster Bible","Fr.","3B","24","4"
"","Nick Grady","Southern Me.","So.","INF","23","4"
"","Brian Green","Salisbury","Sr.","INF","34","4"
"","Elliott Greenhill","Otterbein","Sr.","1B","36","4"
"","Matt Grossi","Neumann","Jr.","INF","33","4"
"","Garrett Herald","Pitt.-Greensburg","So.","INF","31","4"
"","Casey Hicks","Gallaudet","Fr.","C","42","4"
"","Tom Higgins","Benedictine (IL)","So.","C","32","4"
"","Will Hodges","Carthage","Sr.","OF","31","4"
"","Eric Ignatowski","Concordia Chicago","Sr.","SS","31","4"
"","Kevin Jackson","Trinity (TX)","Sr.","INF","44","4"
"","Jr Jarrell","Whitworth","Jr.","INF","39","4"
"","Dan Johanson","Pacific Lutheran","Sr.","OF","32","4"
"","Keith Johnson","St. Mary's (MD)","Jr.","3B","35","4"
"","Matt Karis","Gettysburg","Sr.","P","35","4"
"","Ben Kauder","Oberlin","Sr.","P","37","4"
"","Jordan Kaufman","Dickinson","Jr.","INF","33","4"
"","Scott Kelly","TCNJ","So.","INF","35","4"
"","Todd Keneborus","St. Joseph's (ME)","Sr.","OF","40","4"
"","Michael Kovacs","Rose-Hulman","Sr.","OF","35","4"
"","Daniel Kovner","Newbury","Fr.","INF","34","4"
"","Ian Lee","St. Joseph's (ME)","Sr.","C","36","4"
"","Casey Levens","Marietta","Sr.","INF","28","4"
"","Joey Link","St. Scholastica","Sr.","OF","31","4"
"","Rich Lizotte","Daniel Webster","So.","SS","32","4"
"","Mike Loni","Benedictine (IL)","So.","INF","26","4"
"","Alex Lorenc","St. Joseph's (ME)","Fr.","C","38","4"
"","Brandon Lumadue","Medaille","Sr.","OF","31","4"
"","Devon Luongo","Vassar","Sr.","OF","28","4"
"","Travis May","Washington-St. Louis","Sr.","INF","46","4"
"","Aaron McCain","Texas-Tyler","Jr.","INF","37","4"
"","Michael McCrone","SUNYIT","Jr.","INF","36","4"
"","John McManus","Mt. St. Vincent","Sr.","C","36","4"
"","Anthony Melendez","Baruch","Sr.","INF","35","4"
"","Richard Michelin","Cal Lutheran","Sr.","C","36","4"
"","Kevin Miller","Rockford","Jr.","INF","31","4"
"","Matt Mitchell","Averett","Jr.","INF","41","4"
"","Colin Moberly","Northland","So.","INF","24","4"
"","Zack Montalbano","Guilford","Jr.","P","31","4"
"","C.J. Mooney","Rutgers-Camden","Jr.","INF","35","4"
"","Zach Moore","N.C. Wesleyan","Jr.","OF","23","4"
"","Jason Moralez","La Verne","So.","C","35","4"
"","B.J. Mortimer","East. Mennonite","So.","OF","36","4"
"","Sergio Munoz","La Verne","Sr.","SS","39","4"
"","Brad Murphy","Manchester","So.","OF","36","4"
"","Christian Muscarello","Trinity (TX)","Fr.","INF","44","4"
"","Cory Nelson","Shenandoah","Jr.","3B","39","4"
"","Bobby Newman","Rose-Hulman","So.","3B","35","4"
"","Nate Newman","Misericordia","Sr.","INF","35","4"
"","David Novak","Lakeland","Sr.","C","32","4"
"","Cody Pace","Montclair St.","Fr.","INF","33","4"
"","Bryan Palmero","St. Lawrence","Fr.","-","28","4"
"","Rich Pecoparo","St. Joseph's (L.I.)","Jr.","1B","35","4"
"","Jacob Perschke","Hendrix","Fr.","INF","36","4"
"","Austin Phillips","Becker","So.","2B","31","4"
"","Lynden Pindling","Rhodes","So.","SS","44","4"
"","Anthony Pisani","Southern Me.","Jr.","INF","33","4"
"","Scott Renauro","Eastern","Jr.","INF","35","4"
"","Ken Riley","Transylvania","Jr.","INF","28","4"
"","Chase Rose","Tufts","Sr.","OF","28","4"
"","Jules Roussel","Millsaps","Jr.","OF","41","4"
"","Mike Ruzek","Lakeland","Sr.","P","30","4"
"","James Ruzich","TCNJ","Jr.","INF","35","4"
"","Manny Sanchez","Becker","Jr.","OF","31","4"
"","Ben Schneiderman","Swarthmore","Sr.","OF","33","4"
"","Mike Schuster","Dickinson","Sr.","OF","35","4"
"","Landon Scott","Whitworth","Jr.","INF","40","4"
"","Shane Sixsmith","Mary Washington","Jr.","INF","37","4"
"","Mike Smith","Shenandoah","Sr.","P","32","4"
"","John Smolinski","Manchester","Sr.","C","36","4"
"","Adam Speakman","Emerson","Jr.","2B","34","4"
"","J Sprengle","Messiah","Fr.","-","26","4"
"","Patrick Stone","John Carroll","So.","INF","23","4"
"","Daniel Sullivan","Catholic","Jr.","OF","31","4"
"","Greg Suryn","Grinnell","Sr.","OF","27","4"
