"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","D.J. Peterson","New Mexico","So.","3B","45","183","80"
"","Danny Poma","Hofstra","Sr.","OF","42","178","80"
"3","Raph Rhymes","LSU","Jr.","OF","41","156","78"
"4","Michael Felton","Campbell","Jr.","INF","45","184","76"
"5","Jordan Dean","Central Mich.","Jr.","INF","45","201","73"
"","Mitchell Garver","New Mexico","Jr.","C","45","192","73"
"","Kenton Parmley","Southeast Mo. St.","Sr.","INF","44","188","73"
"","Alex Yarbrough","Ole Miss","Jr.","INF","43","174","73"
"9","Bill Cullen","VCU","So.","OF","44","194","72"
"","Justin Glass","Cincinnati","So.","OF","45","191","72"
"11","Andrew Deeds","Morehead St.","Sr.","OF","42","173","71"
"","Jordan Keur","Michigan St.","Jr.","OF","42","180","71"
"13","Nick Backlund","Mercer","So.","1B","47","182","70"
"","Nick Colwell","North Dakota St.","Sr.","OF","43","177","70"
"","Brock Hebert","Southeastern La.","Jr.","INF","45","171","70"
"","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","162","70"
"","Chris Serritella","Southern Ill.","Jr.","1B","44","179","70"
"","Zach Stephens","Tennessee Tech","So.","1B","43","166","70"
"","Brig Tison","George Mason","Sr.","INF","47","196","70"
"20","Justin Guidry","Middle Tenn.","Sr.","OF","46","185","69"
"","Ryan Jones","Michigan St.","Jr.","INF","42","185","69"
"","Jimmy Rider","Kent St.","Sr.","INF","44","191","69"
"","Brett Vertigan","UC Santa Barbara","Jr.","OF","42","183","69"
"24","Tim Colwell","North Dakota St.","So.","OF","43","178","68"
"","Goose Kallunki","Utah Valley","Sr.","1B","41","167","68"
"","Alex Mejia","Arizona","Jr.","INF","42","179","68"
"","Tyler Naquin","Texas A&M","Jr.","OF","44","172","68"
"28","Daniel Bowman","Coastal Caro.","Sr.","OF","43","171","67"
"","Chris Diaz","North Carolina St.","Jr.","INF","42","172","67"
"","Marty Gantt","Col. of Charleston","Sr.","OF","44","170","67"
"","Bobby Glover","Dayton","Sr.","OF","45","190","67"
"","Jake Hibberd","Wright St.","Sr.","INF","44","184","67"
"","Matt Honchel","Miami (OH)","Fr.","OF","45","175","67"
"","Tristan Moore","Wright St.","Sr.","OF","44","176","67"
"","Alex Swim","Elon","Jr.","C","46","188","67"
"36","Bryan Aanderud","Liberty","Jr.","INF","48","179","66"
"","Tom Bourdon","Boston College","So.","OF","45","201","66"
"","Jayce Boyd","Florida St.","Jr.","1B","42","162","66"
"","Evan Campbell","Kent St.","Jr.","INF","42","186","66"
"","Aaron Dobbs","Kennesaw St.","Sr.","INF","46","188","66"
"","Mike Garza","Georgetown","Jr.","INF","43","174","66"
"","Adam T. McClain","Memphis","Sr.","INF","43","172","66"
"","Seth Mejias-Brean","Arizona","Jr.","INF","42","169","66"
