"Rank","Name","Team","Cl","Pos","G","AB","K","K Avg."
"1","Christian DeBlanc","Texas Lutheran","Sr.","P","21","67","0","0.0"
"","Marshall Betts","McDaniel","Sr.","INF","13","51","0","0.0"
"","Nate Lotze","Kenyon","Sr.","INF","14","51","0","0.0"
"","null Jacob","Pitt.-Greensburg","---","1B","12","43","0","0.0"
"","Ryan Kohlhofer","Defiance","So.","INF","14","43","0","0.0"
"","Jayson Yano","Stevens","So.","INF","12","42","0","0.0"
"","Nick Kreiger","Rowan","Jr.","OF","11","35","0","0.0"
"","Lars Anderson","Bethel (MN)","Fr.","C","11","34","0","0.0"
"","Sam Carius","North Central (IL)","Jr.","OF","9","34","0","0.0"
"","Daniel Casanova","Dubuque","Fr.","OF","11","34","0","0.0"
"","Geoffrey Frost","Elms","Jr.","OF","9","34","0","0.0"
"","Adam Geiger","Bethany Lutheran","Jr.","INF","11","34","0","0.0"
"","Ricky Olasz","Mount Union","Sr.","OF","10","34","0","0.0"
"","David Ruggiero","Worcester St.","Jr.","INF","11","33","0","0.0"
"","Ethan Sander","Rochester (NY)","Sr.","INF","9","32","0","0.0"
"","Aaron Roeseler","Wis. Lutheran","Jr.","INF","9","31","0","0.0"
"","Matt Hardy","Nichols","Fr.","OF","10","29","0","0.0"
"","Tyler Hutchinson","Wittenberg","Sr.","1B","9","29","0","0.0"
"","Tyler Flaherty","Ohio Wesleyan","So.","3B","10","27","0","0.0"
"","Brett Burke","Hanover","Fr.","OF","10","26","0","0.0"
"","Kevin Johnson","Carleton","Sr.","INF","6","26","0","0.0"
"","Pat Thibodeau","Husson","Sr.","OF","7","26","0","0.0"
"","Kevin Sugermeyer","Bridgewater St.","Jr.","2B","8","25","0","0.0"
"","Eric Pittman","Luther","Sr.","INF","5","23","0","0.0"
"","Stevo Kraynak","Carthage","Sr.","INF","8","22","0","0.0"
"","Mike Mierow","Wis.-Whitewater","Jr.","C","5","21","0","0.0"
"","Brett Zaziski","Vassar","Sr.","INF","6","21","0","0.0"
"","Andrew Hutson","Oberlin","Jr.","OF","6","20","0","0.0"
"","Czenvic Rojer","Luther","Jr.","P","6","19","0","0.0"
"","Kian Downes","Polytechnic (NY)","---","P","6","17","0","0.0"
"","Blake Lishka","Eureka","Fr.","INF","6","16","0","0.0"
"","Aubrey Burdine","Rust","Sr.","P","4","15","0","0.0"
"","Pasqual Talley","Rust","Sr.","OF","4","15","0","0.0"
"","Aaron Benz","Lawrence","Sr.","OF","3","11","0","0.0"
"","Walt Roman","Rochester Inst.","Sr.","3B","3","11","0","0.0"
"","Skip Flanagan","Rochester Inst.","Jr.","1B","3","10","0","0.0"
"","Larry Kimber","Rust","---","RF","4","10","0","0.0"
"","John Luke","Middlebury","So.","3B","2","10","0","0.0"
"","David Peretti","Union (NY)","Sr.","C","3","10","0","0.0"
"","Jack Roberts","Williams","Fr.","INF","2","10","0","0.0"
"","Max Araya","Middlebury","So.","C","2","8","0","0.0"
"","Matt Kastner","Williams","Sr.","INF","2","8","0","0.0"
"","Joel Sharon","Concordia (WI)","Jr.","P","2","8","0","0.0"
"","Neil Hebert","Wis.-Oshkosh","Jr.","INF","2","6","0","0.0"
"","Kyle Hegeman","Concordia (WI)","Jr.","C","2","6","0","0.0"
"","Matt Veronica","D'Youville","Sr.","INF","2","6","0","0.0"
