"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Raymond Crawford","Winston-Salem","Jr.","INF","30","41"
"","Bradon Reitano","Mount Olive","Sr.","SS","29","41"
"3","Jake Taylor","Flagler","Jr.","1B","28","40"
"4","Dustin Averett","Columbus St.","Jr.","C","32","39"
"","TJ Costen","S.C. Aiken","---","3B","28","39"
"","Connor Lewis","Lander","Sr.","INF","30","39"
"","Graham Ramos","Lander","Sr.","INF","29","39"
"","Jackson Slaid","Montevallo","Sr.","C","30","39"
"9","Matt Bosse","S.C. Aiken","---","LF","27","37"
"","Josh Coker","Lincoln Memorial","Sr.","P","30","37"
"11","Jackson Oliver","Columbus St.","So.","OF","32","36"
"12","Ty Barkell","S.C. Aiken","Jr.","INF","28","35"
"","Albert Baur","Newberry","Jr.","INF","31","35"
"","Bryant Hayman","Valdosta St.","Jr.","C","25","35"
"","Jack Morrow","Young Harris","Sr.","C","31","35"
"","Dillon Schroeder","Neb.-Kearney","Jr.","SS","24","35"
"17","Weston Lawing","Lander","Jr.","OF","29","34"
"18","Kelvin Brito","Lincoln Memorial","---","RF","28","33"
"","Tyler Cameron","Southern Ark.","Sr.","INF","31","33"
"","Drew Cole","UNC Pembroke","Jr.","INF","30","33"
"","Robert Latner","Albany St. (GA)","Sr.","P","30","33"
"","Colby Painter","Lander","Jr.","INF","24","33"
"","Phillip Wilson","Central Okla.","Sr.","P","24","33"
"24","Jacob Campbell","Albany St. (GA)","Sr.","OF","32","32"
"","Wes Koenig","St. Edward's","Sr.","1B","29","32"
"","Nick Kranick","Flagler","Jr.","INF","29","32"
"27","David Armendariz","Cal Poly Pomona","---","LF","26","31"
"","Steven Cooper","Anderson (SC)","So.","INF","31","31"
"","Jordan Edgerton","UNC Pembroke","Jr.","INF","30","31"
"","Nathan Galliford","Anderson (SC)","Jr.","OF","31","31"
"","Matthew Haskins","Montevallo","Jr.","OF","30","31"
"","Dalton Knight","UNC Pembroke","Jr.","INF","26","31"
"","Ben Schmucker","UNC Pembroke","Jr.","OF","30","31"
"","Rob Shipman","Mount Olive","Jr.","1B","27","31"
"","Zach Smith","Erskine","Jr.","INF","26","31"
"","Trey Vavra","Fla. Southern","Sr.","1B","29","31"
"37","Josh Lavender","East Central","Sr.","INF","25","30"
"","Clayton Miller","Armstrong","Sr.","C","26","30"
"","Joey Miller","Concord","Sr.","1B","22","30"
"","Adam Moore","Young Harris","Sr.","P","31","30"
"","Carver Rademacher","Southern Ark.","So.","1B","31","30"
"","Brandon Wilson","Lubbock Christian","Fr.","1B","27","30"
"43","Zade Denton","UNC Pembroke","Jr.","INF","29","29"
"","Kevin Kline","Dixie St.","Jr.","INF","31","29"
"","Fernando Tanaka","Stillman","Jr.","INF","29","29"
"46","Nick Baldelli-Boggs","Stillman","Fr.","P","25","28"
"","Chad Balderman","Limestone","Sr.","OF","30","28"
"","Trey Drewery","Tusculum","Sr.","OF","29","28"
"","Taylor Hinshaw","Georgia College","Sr.","OF","23","28"
"","Brett Huffman","UNC Pembroke","Sr.","INF","30","28"
"","Joel Lutz","Lubbock Christian","Fr.","3B","27","28"
"","Logan Moon","Mo. Southern St.","Sr.","OF","26","28"
"53","Joshua Banuelos","Fresno Pacific","Jr.","INF","25","27"
"","Thomas Berry","Lander","So.","C","30","27"
"","Stephen Dezzi","Tampa","Jr.","OF","29","27"
"","Blake Edwards","Columbus St.","So.","2B","32","27"
"","Taylor Foster","Tusculum","Sr.","INF","29","27"
"","Ryan Patternson","Armstrong","Fr.","OF","25","27"
"","Josh Rudnik","Young Harris","Sr.","P","31","27"
"","Jake Sandlin","Georgia College","Jr.","INF","25","27"
"","T.J. Wharton","Catawba","Jr.","C","28","27"
"","Daniel Young","Benedict","So.","3B","26","27"
"63","Ben Agredano","Ark.-Monticello","Sr.","INF","31","26"
"","Spencer Blacksher","Southwest Baptist","Jr.","INF","24","26"
"","Garrett Cook","King (TN)","Sr.","OF","33","26"
"","Chase Corn","Erskine","Sr.","OF","26","26"
"","Tyler Ding","Tampa","Sr.","INF","26","26"
"","Garrett Donohoe","East Central","Jr.","INF","29","26"
"","Bryan Everhart","Carson-Newman","Jr.","3B","32","26"
"","Logan Galliher","Erskine","Jr.","OF","26","26"
"","Sal Giardina","Lynn","Sr.","3B","29","26"
"","Cash Oliver","Tuskegee","Sr.","SS","21","26"
"","Taylor Perez","Saint Leo","So.","INF","27","26"
"","Blake Stringer","Okla. Christian","Sr.","1B","23","26"
"","Tyler Vanover","Flagler","Sr.","OF","29","26"
"76","Dylan Boston","North Ala.","Jr.","INF","31","25"
"","Geoff Cieslewitz","King (TN)","So.","1B","21","25"
"","Eric Cunningham","Wayne St. (MI)","Sr.","C","20","25"
"","Scott DeJong","Felician","So.","1B","19","25"
"","R.J. Dennard","Armstrong","Jr.","C","26","25"
"","Brooks Fleming","Nova Southeastern","Sr.","OF","27","25"
"","Daniel Fraga","UNC Pembroke","Sr.","INF","30","25"
"","Jonathan Freemyer","Northwestern Okla.","Jr.","DH","28","25"
"","Chris Hanson","Eckerd","Sr.","1B","25","25"
"","Zacary Hawkins","Lee","Sr.","1B","30","25"
"","Mitch Holgate","West Ala.","So.","INF","27","25"
"","Ernie Kirkwood","Coker","Sr.","OF","28","25"
"","Wigberto Nevarez","Lubbock Christian","---","C","27","25"
"","Tyler Nordgren","Point Loma","Sr.","3B","27","25"
"","Derrick Pitts","Lee","Sr.","OF","30","25"
"","Eric Serra","Wingate","Sr.","OF","28","25"
"","Brandon Weller","Mo. Southern St.","Jr.","INF","26","25"
"93","Austin Allen","Florida Tech","So.","C","29","24"
"","Deandre Allen","Mount Olive","Jr.","2B","30","24"
"","Bo Ausmus","Carson-Newman","Jr.","SS","32","24"
"","Cody Ball","Pittsburg St.","Sr.","OF","24","24"
"","Austin Braddock","Ark.-Monticello","Jr.","DH","31","24"
"","Andrew Brodbeck","Flagler","Jr.","INF","29","24"
"","Giancarlo Brugnoni","Grand Valley St.","Sr.","INF","18","24"
"","Matt Calhoun","Harding","Sr.","INF","28","24"
"","Chris Carlson","Cal Poly Pomona","Sr.","OF","27","24"
"","Heath Comerford","Tusculum","---","1B","26","24"
"","Michael Danner","Tampa","Sr.","OF","26","24"
"","Nico Delerme","East Stroudsburg","---","C","19","24"
"","Chris Dennis","Fla. Southern","Jr.","3B","29","24"
"","Danny Droll","Neb.-Kearney","Jr.","INF","27","24"
"","Adrian English","Barry","Sr.","INF","27","24"
"","Chris Farrell","Palm Beach Atl.","Jr.","3B","25","24"
"","Skylar Fox","Flagler","Jr.","INF","28","24"
"","Will Fulmer","Montevallo","Sr.","INF","30","24"
"","Dylan Harris","Saint Leo","Fr.","INF","27","24"
"","Steve Hazel","Georgia College","Jr.","C","23","24"
"","Matt Johnson","Central Okla.","Sr.","INF","23","24"
"","Thomas Kain","Lynn","Jr.","3B","29","24"
"","Carlos Matamoros","Barry","Jr.","OF","24","24"
"","Brian Mathews","Shorter","---","1B","28","24"
"","Reise McDaniel","Albany St. (GA)","---","CF","31","24"
"","Anthony Pacheco","Neb.-Kearney","So.","OF","27","24"
"","Tony Sandifer","Central Mo.","Jr.","INF","27","24"
"","Nick Tindall","Tampa","Jr.","C","28","24"
