"Rank","Name","Team","Cl","Pos","G","AB","H"
"1","Brett Lake","Emory","Jr.","OF","25","103","49"
"2","Adam Posey","East. Mennonite","Sr.","P","23","96","43"
"3","Collin Radack","Hendrix","Sr.","OF","22","97","41"
"","Christopher Scalisi","Redlands","Fr.","OF","25","95","41"
"","Spencer Wiles","Hampden-Sydney","Jr.","OF","25","91","41"
"6","Derek Dixon","George Fox","Sr.","1B","23","94","40"
"","Andrew Gronski","Case","Jr.","INF","16","73","40"
"8","Tanner Nishioka","Pomona-Pitzer","Fr.","OF","22","92","39"
"9","Andrew Carabajal","Chapman","Sr.","OF","21","84","37"
"","Mark Saatzer","Chapman","Sr.","INF","21","83","37"
"11","Aaron Cohen","Whitman","Sr.","P","25","102","36"
"","Derek Hug","Heidelberg","So.","OF","17","71","36"
"","John Macon Smith","Guilford","Sr.","OF","22","80","36"
"","Josh Vasquez","Sul Ross St.","Jr.","SS","22","89","36"
"15","Mark Carlson","Dallas","Sr.","INF","26","92","35"
"","Connor Griffith","Sul Ross St.","So.","1B","22","92","35"
"","Trevor Keele","Dallas","Jr.","INF","26","90","35"
"","Wes Peacock","Emory","Jr.","OF","25","96","35"
"","Simon Rosenbaum","Pomona-Pitzer","So.","P","21","72","35"
"","Chase Valdez","Schreiner","Sr.","C","27","99","35"
"21","Hunter Lewis","Hampden-Sydney","Sr.","3B","24","85","34"
"","Michael Paul","Shenandoah","Jr.","P","18","71","34"
"","Josh Rapacz","George Fox","Sr.","C","21","79","34"
"24","Ozzy Braff","Whitman","So.","INF","25","97","33"
"","Taryn Hayden","Ferrum","Sr.","DH","21","87","33"
"","Kyle Hayman","Salisbury","Jr.","OF","19","78","33"
"","Jake Petersen","Cal Lutheran","Sr.","P","19","74","33"
"","Taylor Rowe","Wash. & Lee","Jr.","SS","18","78","33"
"","Alex Scheiwe","Redlands","Sr.","OF","25","91","33"
"","Corey Wallace","Guilford","Sr.","INF","21","87","33"
