"Rank","Name","Team","Cl","Pos","App","IP","SV"
"1","Tyler Maloof","Georgia","Jr.","P","21","18.3","15"
"2","Bo Reeder","East Tenn. St.","Jr.","INF","19","23.0","14"
"","James Allen","Kansas St.","Jr.","P","21","29.7","14"
"","Corey Knebel","Texas","Fr.","P","23","39.0","14"
"5","Kyle McMillen","Kent St.","Jr.","P","19","21.0","13"
"","Branden Kline","Virginia","So.","P","21","27.7","13"
"","Matt Price","South Carolina","Jr.","P","23","32.0","13"
"8","Todd Hornsby","Jacksonville St.","Jr.","P","20","32.7","12"
"","Nick Pepitone","Tulane","Sr.","P","20","29.0","12"
"","Evan Zerff","LIU Brooklyn","So.","P","20","24.0","12"
"","Tyler Smith","Rider","So.","P","21","30.0","12"
"","Pat Christensen","La Salle","So.","P","23","29.7","12"
"13","Abram Williams","Radford","Jr.","P","16","20.7","11"
"","Charlie Robertson","Fresno St.","Jr.","P","18","24.0","11"
"","Daniel Miranda","Miami (FL)","Jr.","P","20","24.3","11"
"","Tony Zych","Louisville","Jr.","P","20","20.0","11"
"","Kevin Quackenbush","South Fla.","Sr.","P","23","27.3","11"
"18","Adam Wisniewski","Old Dominion","Sr.","P","21","19.0","10"
"","Andrew Jones","Samford","Sr.","P","22","25.0","10"
"20","Nick Ramirez","Cal St. Fullerton","Jr.","P","14","15.3","9"
"","Zack Jones","San Jose St.","So.","P","16","32.7","9"
"","Dan Kickham","Missouri St.","Jr.","P","16","20.7","9"
"","Eddie Magallon","Long Beach St.","So.","P","17","26.3","9"
"","Stefan Lopez","Southeastern La.","So.","INF","18","30.3","9"
"","Tyler Wagner","Utah","So.","INF","18","24.7","9"
"","Matt Zahel","Toledo","Sr.","P","18","22.7","9"
"","Lenny Linsky","Hawaii","Jr.","P","19","25.3","9"
"","Taylor Miller","Appalachian St.","Sr.","P","19","23.7","9"
"","Mike Francisco","Villanova","Sr.","P","20","26.0","9"
"","Nick Wittgren","Purdue","So.","P","20","38.3","9"
"","Dylan Cole","Furman","So.","P","21","30.3","9"
"","Navery Moore","Vanderbilt","Jr.","P","21","22.7","9"
"","Chris Haney","Dallas Baptist","Sr.","P","22","22.0","9"
"","Jordan LeGros","McNeese St.","Sr.","P","22","26.0","9"
"","John Colella","Holy Cross","So.","P","24","42.0","9"
"36","Ryan Hawthorne","Loyola Marymount","Jr.","OF","15","14.7","8"
"","Ryan Halstead","Indiana","Fr.","P","16","25.0","8"
"","Kyle Glancy","Northern Ill.","Jr.","P","17","22.0","8"
"","Cody Martin","Gonzaga","Sr.","P","17","41.0","8"
"","Justin Ziegler","Bradley","Jr.","P","17","22.3","8"
"","John Cornely","Wofford","Sr.","P","18","32.3","8"
"","Travis Parker","Saint Louis","Sr.","3B","18","26.0","8"
"","Stephen Richter","Delaware","So.","P","18","24.3","8"
"","Paris Shewey","Washington St.","Sr.","P","18","24.3","8"
"","Collin Cargill","Southern Miss.","Sr.","P","19","32.7","8"
"","Scott Coffman","New Mexico St.","Jr.","P","19","29.7","8"
"","Brian Hernandez","UC Irvine","Sr.","INF","19","21.0","8"
"","Cory Kent","Lehigh","Jr.","P","19","37.7","8"
"","Mark Montgomery","Longwood","Jr.","P","19","26.0","8"
"","Nolan Sanburn","Arkansas","Fr.","P","19","25.0","8"
"","Caleb Reed","Mississippi St.","Jr.","P","20","36.0","8"
"","Joaquin Hinojosa","Texas A&M","Sr.","OF","21","25.3","8"
