"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Goose Kallunki","Utah Valley","Sr.","1B","41","60"
"2","D.J. Peterson","New Mexico","So.","3B","45","57"
"3","D.J. Hicks","UCF","Jr.","1B","45","56"
"4","Sean Bignall","UALR","Sr.","OF","43","54"
"","Michael Conforto","Oregon St.","Fr.","OF","40","54"
"","Jared Hammer","Hofstra","Jr.","1B","42","54"
"7","Trenton Moses","Southeast Mo. St.","Sr.","3B","45","52"
"8","Jake Kirkland","Campbell","Jr.","INF","45","51"
"","Josh Ludy","Baylor","Sr.","C","43","51"
"","Zach Voight","New Mexico St.","Sr.","3B","43","51"
"11","Johnny Coy","Wichita St.","Jr.","INF","47","50"
"","Jake Davies","Georgia Tech","Sr.","P","45","50"
"","Zac Fisher","New Mexico St.","Jr.","C","43","50"
"","Daniel Kassouf","Appalachian St.","Sr.","INF","41","50"
"15","Brandon Bayardi","UNLV","Jr.","OF","44","49"
"","Preston Beck","Texas-Arlington","Jr.","INF","40","49"
"","Andy Chriscaden","Kennesaw St.","Sr.","INF","48","49"
"","C.J. Gillman","Dayton","Sr.","INF","45","49"
"","Kendall Logan","Jackson St.","Sr.","OF","42","49"
"","Stephen Piscotty","Stanford","Jr.","INF","39","49"
"21","Jayce Boyd","Florida St.","Jr.","1B","42","48"
"","Stewart Ijames","Louisville","Sr.","OF","44","48"
"","Brandon Miller","Samford","Sr.","OF","44","48"
"","Matt Snyder","Ole Miss","Sr.","INF","44","48"
"25","Rick Devereaux","Pittsburgh","Sr.","C","42","47"
"","Jeremy Lucas","Indiana St.","Jr.","C","45","47"
"27","Barrett Barnes","Texas Tech","Jr.","OF","47","46"
"","William Carmona","Stony Brook","Jr.","INF","44","46"
"","Mitch Haniger","Cal Poly","Jr.","OF","42","46"
"","Jeff Kemp","Radford","Jr.","INF","41","46"
"","Robert Refsnyder","Arizona","Jr.","OF","42","46"
"","Raph Rhymes","LSU","Jr.","OF","41","46"
"","Zach Stephens","Tennessee Tech","So.","1B","43","46"
"34","Austin Heaps","Utah Valley","Sr.","OF","41","45"
"","Joel Hutter","Dallas Baptist","Sr.","INF","43","45"
"","Austin Montgomery","Southern Ill.","Jr.","INF","44","45"
"","Jacob Wilson","Memphis","Sr.","INF","42","45"
"38","Bryan Aanderud","Liberty","Jr.","INF","48","44"
"","Nick Backlund","Mercer","So.","1B","47","44"
"","Billy Burgess","Utah Valley","Sr.","OF","40","44"
"","Jeff Cammans","Rhode Island","Sr.","OF","45","44"
"","Chris Diaz","North Carolina St.","Jr.","INF","42","44"
"","Ryan McCauley","Niagara","Jr.","1B","40","44"
"","Seth Mejias-Brean","Arizona","Jr.","INF","42","44"
"","Cameron Perkins","Purdue","Jr.","INF","40","44"
"","Eric Phillips","Ga. Southern","Sr.","INF","45","44"
"","Phil Pohl","Clemson","Sr.","C","45","44"
"","Chris Serritella","Southern Ill.","Jr.","1B","44","44"
"49","Kris Bryant","San Diego","So.","3B","44","43"
"","Saxon Butler","Samford","Sr.","INF","45","43"
